Zeit	dQIters	relaxationsFaktor	pSoll	pIst	dQ
26.5	 1.0	 0.7	 4627300.0	 4470380.109981589	 101284.67653484923	 
26.5	 2.0	 0.7	 4627300.0	 4544422.847668014	 198956.24513302627	 
26.5	 3.0	 0.7	 4627300.0	 4596016.8203254985	 240411.35995587628	 
26.5	 4.0	 0.7	 4627300.0	 4615238.143929552	 258621.23702126998	 
26.5	 5.0	 0.7	 4627300.0	 4623329.829608798	 264875.4864240267	 
26.5	 6.0	 0.7	 4627300.0	 4626065.192836959	 266851.8069059736	 
26.5	 7.0	 0.7	 4627300.0	 4626925.116519343	 267454.910345779	 
26.5	 8.0	 0.7	 4627300.0	 4627187.116572531	 267636.80446298496	 
26.5	 9.0	 0.7	 4627300.0	 4627266.09670587	 267636.80446298496	 
