vKurbelwinkel	p_Zyl_1	p_Ein	p_Aus
[KWnZOT]	[bar]	[bar]	[bar]
-343.9	2.3435	2.1707	2.8466
-343.8	2.3435	2.1702	2.848
-343.7	2.3434	2.1696	2.8493
-343.6	2.3434	2.1691	2.8506
-343.5	2.3434	2.1685	2.8519
-343.4	2.3432	2.168	2.8531
-343.3	2.3431	2.1675	2.8543
-343.2	2.3429	2.167	2.8555
-343.1	2.3427	2.1665	2.8567
-343	2.3426	2.166	2.8578
-342.9	2.3423	2.1655	2.8589
-342.8	2.342	2.165	2.8599
-342.7	2.3417	2.1645	2.8608
-342.6	2.3413	2.164	2.8618
-342.5	2.3411	2.1635	2.8627
-342.4	2.3408	2.163	2.8634
-342.3	2.3404	2.1625	2.8643
-342.2	2.34	2.162	2.865
-342.1	2.3396	2.1614	2.8657
-342	2.3391	2.1609	2.8664
-341.9	2.3386	2.1604	2.867
-341.8	2.338	2.1598	2.8675
-341.7	2.3373	2.1593	2.868
-341.6	2.3365	2.1587	2.8684
-341.5	2.3358	2.1582	2.8688
-341.4	2.335	2.1576	2.8691
-341.3	2.3342	2.1571	2.8694
-341.2	2.3333	2.1566	2.8696
-341.1	2.3323	2.156	2.8698
-341	2.3314	2.1555	2.8699
-340.9	2.3303	2.155	2.87
-340.8	2.3293	2.1545	2.87
-340.7	2.3283	2.154	2.87
-340.6	2.3271	2.1535	2.8699
-340.5	2.326	2.153	2.8699
-340.4	2.3248	2.1525	2.8697
-340.3	2.3236	2.1521	2.8695
-340.2	2.3224	2.1516	2.8693
-340.1	2.3211	2.1511	2.869
-340	2.3199	2.1507	2.8686
-339.9	2.3187	2.1503	2.8682
-339.8	2.3175	2.1499	2.8678
-339.7	2.3162	2.1495	2.8673
-339.6	2.3149	2.1491	2.8668
-339.5	2.3136	2.1487	2.8662
-339.4	2.3122	2.1483	2.8656
-339.3	2.3109	2.148	2.865
-339.2	2.3096	2.1476	2.8644
-339.1	2.3083	2.1472	2.8636
-339	2.3069	2.1469	2.8628
-338.9	2.3055	2.1466	2.8621
-338.8	2.3042	2.1462	2.8612
-338.7	2.303	2.1459	2.8604
-338.6	2.3017	2.1456	2.8595
-338.5	2.3004	2.1452	2.8586
-338.4	2.2991	2.1449	2.8577
-338.3	2.2979	2.1446	2.8568
-338.2	2.2966	2.1443	2.8558
-338.1	2.2953	2.144	2.8548
-338	2.2939	2.1437	2.8538
-337.9	2.2926	2.1434	2.8528
-337.8	2.2914	2.1431	2.8518
-337.7	2.29	2.1429	2.8508
-337.6	2.2888	2.1426	2.8497
-337.5	2.2877	2.1423	2.8487
-337.4	2.2864	2.1421	2.8475
-337.3	2.2851	2.1418	2.8465
-337.2	2.2839	2.1415	2.8454
-337.1	2.2827	2.1413	2.8443
-337	2.2815	2.141	2.8431
-336.9	2.2803	2.1407	2.8419
-336.8	2.279	2.1405	2.8407
-336.7	2.2779	2.1402	2.8394
-336.6	2.2767	2.1399	2.8382
-336.5	2.2755	2.1397	2.8369
-336.4	2.2744	2.1394	2.8356
-336.3	2.2732	2.1391	2.8342
-336.2	2.2722	2.1388	2.8329
-336.1	2.271	2.1385	2.8315
-336	2.2699	2.1382	2.8301
-335.9	2.2688	2.1379	2.8287
-335.8	2.2678	2.1377	2.8273
-335.7	2.2667	2.1374	2.8259
-335.6	2.2656	2.1371	2.8245
-335.5	2.2645	2.1368	2.823
