Kurbelwinkel [°KW]	pZyl_mess [bar]	pZyl_berech [bar]	pSaug [bar]	pAbg [bar]	T [K]	dQw [J/s]	V [m3]	m [kg]	R [J/kg/K]	mK [kg]	V_motor [m^3]	dm [kg/s]	Hub_E [m]	Hub_A [m]	alpha_E_vor	alpha_E_rück	alpha_A_vor	alpha_A_rück	T_Saug [K]	O2_Massenbruch	CO2_Massenbruch	H2O_Massenbruch	H_Massenbruch	O_Massenbruch	N_Massenbruch	H2_Massenbruch	OH_Massenbruch	CO_Massenbruch	NO_Massenbruch	N2_Massenbruch	Diesel_Massenbruch	RON_95_Massenbruch	AGR_intern_LWA_Massenbruch	AGR_extern_LWA_Massenbruch	feuchteLuft_LWA_Massenbruch
100.19999999999999	 8.8237205787084	 8.849136213191029	 2.25126880064665	 2.760158830057614	 1029.7727521234792	 -0.0	 0.0013000289257426947	 0.0039986825365315865	 279.3801675760968	 0.0039986825365315865	 0.0013028917136820044	 -1.8372349448444233E-4	 6.110000000000001E-6	 0.0	 4.231582814701371E-5	 4.231582814701371E-5	 0.0	 0.0	 324.3107425821319	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
100.4	 8.798476040893277	 8.823705758043348	 2.2257498528936357	 2.684799508480012	 1029.0832144289584	 0.0	 0.0013028869834361835	 0.003998634370870147	 279.3801675760968	 0.003998634370870129	 0.001305749771375493	 -0.0019102216497033932	 0.0	 2.1468000000000042E-5	 0.0	 0.0	 1.48680228913272E-4	 1.48680228913272E-4	 324.3107425821319	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
100.6	 8.773502477829608	 8.798434209854012	 2.2257256727501824	 2.6847643132028165	 1028.396388783199	 0.0	 0.0013057402820747198	 0.003998582645946086	 279.3801675760968	 0.003998582645946051	 0.0013086030700140295	 -0.0020460009697168603	 0.0	 2.3051999999999958E-5	 0.0	 0.0	 1.596504861612043E-4	 1.596504861612043E-4	 324.3107425821319	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
100.79999999999998	 8.748842233228338	 8.773320417665072	 2.225698015884232	 2.684722875978041	 1027.7122656297988	 0.0	 0.0013085887930172062	 0.003998527379545171	 279.3801675760968	 0.003998527379545117	 0.001311451580956516	 -0.0021811031462515744	 0.0	 2.463599999999987E-5	 0.0	 0.0	 1.7062074340913654E-4	 1.7062074340913654E-4	 324.3107425821319	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.0	 8.724549019375287	 8.748363240391207	 2.225674699152506	 2.6846706586059668	 1027.0308354476706	 0.0	 0.0013114324877905455	 0.003998468589293869	 279.3801675760968	 0.003998468589293795	 0.0013142952757298552	 -0.0023155342440023836	 0.0	 2.6219999999999996E-5	 0.0	 0.0	 1.8159100065707025E-4	 1.8159100065707025E-4	 324.3107425821319	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.19999999999999	 8.700633879479511	 8.723561546726966	 2.225631198585231	 2.6846013352976956	 1026.3520887509862	 0.0	 0.0013142713380895974	 0.003998406292660783	 279.3801675760968	 0.003998406292660693	 0.0013171341260289071	 -0.0024493002726858823	 0.0	 2.7803999999999912E-5	 0.0	 0.0	 1.925612579050025E-4	 1.925612579050025E-4	 324.3107425821319	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.39999999999998	 8.677053141829765	 8.69891421505492	 2.2255979524263547	 2.6845275268635667	 1025.676016089118	 0.0	 0.00131710531577713	 0.003998340506958093	 279.3801675760968	 0.003998340506957985	 0.00131996810371644	 -0.0025824071875968015	 0.0	 2.9387999999999828E-5	 0.0	 0.0	 2.0353151515293478E-4	 2.0353151515293478E-4	 324.3107425821319	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.6	 8.653740592169163	 8.674420133354744	 2.2255882922144443	 2.6844641801335705	 1025.0026080465798	 0.0	 0.0013199343928837594	 0.003998271249342962	 279.3801675760968	 0.003998271249342837	 0.0013227971808230693	 -0.0027148608901583294	 0.0	 3.0971999999999954E-5	 0.0	 0.0	 2.145017724008685E-4	 2.145017724008685E-4	 324.3107425821319	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.79999999999998	 8.630642421679005	 8.650078199113212	 2.225595778321015	 2.6844099598001283	 1024.3318552429673	 0.0	 0.0013227585416078814	 0.003998198536818945	 279.3801675760968	 0.003998198536818801	 0.0013256213295471913	 -0.0028466672284666403	 0.0	 3.255599999999987E-5	 0.0	 0.0	 2.2547202964880077E-4	 2.2547202964880077E-4	 324.3107425821319	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.99999999999997	 8.607691803830033	 8.62588731923506	 2.2256067969160958	 2.6843812745319706	 1023.6637483328975	 0.0	 0.0013255777343155971	 0.003998122386237369	 279.3801675760968	 0.003998122386237208	 0.0013284405222549068	 -0.002977831997829785	 0.0	 3.4139999999999785E-5	 0.0	 0.0	 2.3644228689673303E-4	 2.3644228689673303E-4	 324.3107425821319	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
