vKurbelwinkel	p_Zyl_1	p_Ein	p_Aus
[KWnZOT]	[bar]	[bar]	[bar]
-360	3.3921	2.0131	3.2789
-359.8	3.3629	2.0196	3.274
-359.6	3.3339	2.0259	3.2692
-359.4	3.305	2.0321	3.2643
-359.2	3.2763	2.0382	3.2595
-359	3.2478	2.0441	3.2548
-358.8	3.2195	2.0498	3.25
-358.6	3.1913	2.0554	3.2453
-358.4	3.1633	2.0609	3.2407
-358.2	3.1354	2.0662	3.236
-358	3.1077	2.0713	3.2314
-357.8	3.0802	2.0764	3.2269
-357.6	3.0528	2.0812	3.2223
-357.4	3.0256	2.086	3.2178
-357.2	2.9986	2.0905	3.2134
-357	2.9718	2.095	3.2089
-356.8	2.9451	2.0992	3.2045
-356.6	2.9185	2.1034	3.2002
-356.4	2.8922	2.1074	3.1958
-356.2	2.866	2.1112	3.1915
-356	2.84	2.1149	3.1873
-355.8	2.8124	2.1191	3.1831
-355.6	2.7867	2.1231	3.1789
-355.4	2.7607	2.127	3.1746
-355.2	2.7346	2.1307	3.1702
-355	2.7085	2.1343	3.1659
-354.8	2.6826	2.1376	3.1617
-354.6	2.6561	2.1407	3.1576
-354.4	2.6306	2.1435	3.1537
-354.2	2.6053	2.146	3.1498
-354	2.5805	2.148	3.1459
-353.8	2.5571	2.1497	3.1421
-353.6	2.5338	2.1511	3.1383
-353.4	2.5097	2.1521	3.1346
-353.2	2.4858	2.1528	3.131
-353	2.4626	2.1533	3.1276
-352.8	2.4386	2.1533	3.124
-352.6	2.4151	2.1532	3.1204
-352.4	2.3933	2.1529	3.1168
-352.2	2.3708	2.1522	3.113
-352	2.3481	2.1513	3.1092
-351.8	2.3265	2.1502	3.1055
-351.6	2.3054	2.149	3.1018
-351.4	2.2836	2.1477	3.0982
-351.2	2.2619	2.1462	3.0945
-351	2.2427	2.1447	3.091
-350.8	2.2242	2.143	3.0874
-350.6	2.205	2.1411	3.0838
-350.4	2.1874	2.1389	3.0804
-350.2	2.1714	2.1363	3.0771
-350	2.1557	2.1335	3.0739
-349.8	2.1399	2.1305	3.0706
-349.6	2.1261	2.1273	3.0673
-349.4	2.1144	2.1241	3.0641
-349.2	2.1017	2.1206	3.0607
-349	2.0886	2.1168	3.0572
-348.8	2.0775	2.1129	3.0538
-348.6	2.0688	2.1087	3.0504
-348.4	2.0594	2.1041	3.0469
-348.2	2.051	2.0994	3.0433
-348	2.044	2.0945	3.0397
-347.8	2.0379	2.0895	3.036
-347.6	2.0317	2.0845	3.0322
-347.4	2.0251	2.0794	3.0284
-347.2	2.0193	2.0741	3.0246
-347	2.0134	2.0687	3.0209
-346.8	2.0083	2.0631	3.0173
-346.6	2.0034	2.0572	3.0138
-346.4	1.9993	2.0512	3.0102
-346.2	1.9957	2.0451	3.0067
-346	1.9924	2.039	3.0032
-345.8	1.9889	2.0329	2.9998
-345.6	1.986	2.0269	2.9965
-345.4	1.9835	2.0209	2.9933
-345.2	1.9806	2.0151	2.99
-345	1.9776	2.0092	2.9868
-344.8	1.9746	2.0035	2.9837
-344.6	1.9724	1.998	2.9807
-344.4	1.9694	1.9926	2.9778
-344.2	1.9671	1.9876	2.9753
-344	1.9661	1.9829	2.9731
-343.8	1.9648	1.9786	2.9711
-343.6	1.9628	1.9744	2.9693
-343.4	1.9618	1.9706	2.9678
-343.2	1.9625	1.9671	2.9665
-343	1.9635	1.9638	2.9654
-342.8	1.9621	1.9607	2.9645
-342.6	1.9626	1.9578	2.9638
-342.4	1.9652	1.9552	2.9635
-342.2	1.9649	1.9528	2.9632
-342	1.9651	1.9505	2.9629
-341.8	1.962	1.9485	2.9627
-341.6	1.9637	1.9467	2.9628
-341.4	1.9628	1.945	2.9628
-341.2	1.9622	1.9432	2.9628
-341	1.9632	1.9416	2.963
-340.8	1.9652	1.94	2.9633
-340.6	1.9667	1.9384	2.9637
-340.4	1.9683	1.9369	2.9643
-340.2	1.9678	1.9355	2.965
-340	1.9648	1.9342	2.9659
-339.8	1.962	1.9329	2.967
-339.6	1.9609	1.9317	2.9684
-339.4	1.9601	1.9304	2.9699
-339.2	1.9618	1.9291	2.9715
-339	1.9628	1.9278	2.9732
-338.8	1.9642	1.9266	2.9751
-338.6	1.9631	1.9254	2.9769
