Kurbelwinkel [°KW]	pZyl_mess [bar]	pZyl_berech [bar]	pSaug [bar]	pAbg [bar]	T [K]	dQw [J/s]	V [m3]	m [kg]	R [J/kg/K]	mK [kg]	V_motor [m^3]	dm [kg/s]	Hub_E [m]	Hub_A [m]	alpha_E_vor	alpha_E_rück	alpha_A_vor	alpha_A_rück	T_Saug [K]	O2_Massenbruch	CO2_Massenbruch	H2O_Massenbruch	H_Massenbruch	O_Massenbruch	N_Massenbruch	H2_Massenbruch	OH_Massenbruch	CO_Massenbruch	NO_Massenbruch	N2_Massenbruch	Ar_Massenbruch	Diesel_Massenbruch	RON_95_Massenbruch	AGR_intern_LWA_Massenbruch	AGR_extern_LWA_Massenbruch	feuchteLuft_LWA_Massenbruch
100.19999999999999	 8.978035199087772	 9.002613485524387	 2.2593403798188842	 2.751600479274	 1019.3572128714544	 -0.0	 0.0013000289257426947	 0.004109839785765032	 279.3639276113559	 0.004109839785765032	 0.0013028917136820044	 -1.8575788817110046E-4	 6.110000000000001E-6	 0.0	 4.231582814701371E-5	 4.231582814701371E-5	 0.0	 0.0	 321.75948282954784	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
100.4	 8.953752367097481	 8.976729231390973	 2.233854884994527	 2.685970936451604	 1018.6731434513259	 0.0	 0.0013028869834361835	 0.004109790524602263	 279.3639276113559	 0.004109790524602244	 0.001305749771375493	 -0.0019536680579967033	 0.0	 2.1468000000000042E-5	 0.0	 0.0	 1.48680228913272E-4	 1.48680228913272E-4	 321.75948282954784	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
100.6	 8.929736888181997	 8.951006800044937	 2.233851676420348	 2.6858345921565183	 1017.9917660683059	 0.0	 0.0013057402820747198	 0.004109737623252158	 279.3639276113559	 0.0041097376232521205	 0.0013086030700140295	 -0.0020925344353523783	 0.0	 2.3051999999999958E-5	 0.0	 0.0	 1.596504861612043E-4	 1.596504861612043E-4	 321.75948282954784	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
100.79999999999998	 8.90592217957569	 8.925445018896472	 2.2338339821971034	 2.685734431002656	 1017.3130712333067	 0.0	 0.0013085887930172062	 0.00410968109990858	 279.3639276113559	 0.004109681099908525	 0.001311451580956516	 -0.002230708133409284	 0.0	 2.463599999999987E-5	 0.0	 0.0	 1.7062074340913654E-4	 1.7062074340913654E-4	 321.75948282954784	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.0	 8.882208927972693	 8.900042725419938	 2.2338073953559108	 2.685663893525992	 1016.6370494923525	 0.0	 0.0013114324877905455	 0.004109620972602369	 279.3639276113559	 0.004109620972602294	 0.0013142952757298552	 -0.0023681953585529603	 0.0	 2.6219999999999996E-5	 0.0	 0.0	 1.8159100065707025E-4	 1.8159100065707025E-4	 321.75948282954784	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.19999999999999	 8.858523981096313	 8.874798767059227	 2.2337826003106716	 2.6856310796578042	 1015.9636914265221	 0.0	 0.0013142713380895974	 0.004109557259202816	 279.3639276113559	 0.0041095572592027224	 0.0013171341260289071	 -0.002505002260888201	 0.0	 2.7803999999999912E-5	 0.0	 0.0	 1.925612579050025E-4	 1.925612579050025E-4	 321.75948282954784	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.39999999999998	 8.834770293498945	 8.849712001134053	 2.2337613872505515	 2.6856269511283353	 1015.2929876518905	 0.0	 0.00131710531577713	 0.004109489977419131	 279.3639276113559	 0.004109489977419019	 0.00131996810371644	 -0.0026411349348089293	 0.0	 2.9387999999999828E-5	 0.0	 0.0	 2.0353151515293478E-4	 2.0353151515293478E-4	 321.75948282954784	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.6	 8.810872209680698	 8.82478129474721	 2.2337523827199655	 2.685649163061002	 1014.6249288194699	 0.0	 0.0013199343928837594	 0.004109419144801889	 279.3639276113559	 0.0041094191448017596	 0.0013227971808230693	 -0.002776599419561844	 0.0	 3.0971999999999954E-5	 0.0	 0.0	 2.145017724008685E-4	 2.145017724008685E-4	 321.75948282954784	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.79999999999998	 8.78682622164087	 8.800005524692741	 2.233748085771674	 2.685691096480212	 1013.9595056151499	 0.0	 0.0013227585416078814	 0.004109344778744467	 279.3639276113559	 0.004109344778744319	 0.0013256213295471913	 -0.002911401699804127	 0.0	 3.255599999999987E-5	 0.0	 0.0	 2.2547202964880077E-4	 2.2547202964880077E-4	 321.75948282954784	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.99999999999997	 8.762634821932707	 8.775383577365025	 2.233749626834965	 2.6857394769487923	 1013.2967087596355	 0.0	 0.0013255777343155971	 0.004109266896484465	 279.3639276113559	 0.0041092668964842986	 0.0013284405222549068	 -0.0030455477061554176	 0.0	 3.4139999999999785E-5	 0.0	 0.0	 2.3644228689673303E-4	 2.3644228689673303E-4	 321.75948282954784	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
