	p_Zyl_1	p_Ein	p_Aus
[KWnZOT]	[bar]	[bar]	[bar]
-179.6	2.235	2.245	2.7647
-179.5	2.2352	2.2449	2.7646
-179.4	2.2353	2.2448	2.7645
-179.3	2.2354	2.2448	2.7643
-179.2	2.2354	2.2447	2.7642
-179.1	2.2356	2.2446	2.764
-179	2.2357	2.2445	2.7638
-178.9	2.2358	2.2444	2.7636
-178.8	2.2359	2.2443	2.7635
-178.7	2.236	2.2443	2.7633
-178.6	2.2361	2.2442	2.7632
-178.5	2.2362	2.2441	2.763
-178.4	2.2362	2.244	2.7628
-178.3	2.2364	2.2439	2.7627
-178.2	2.2365	2.2438	2.7626
-178.1	2.2366	2.2437	2.7624
-178	2.2366	2.2437	2.7623
-177.9	2.2366	2.2436	2.7622
-177.8	2.2366	2.2436	2.7621
-177.7	2.2367	2.2435	2.762
-177.6	2.2368	2.2435	2.7619
-177.5	2.2368	2.2434	2.7618
-177.4	2.2368	2.2433	2.7617
-177.3	2.237	2.2433	2.7615
-177.2	2.237	2.2432	2.7614
-177.1	2.2371	2.2431	2.7613
-177	2.2372	2.243	2.7611
-176.9	2.2373	2.2429	2.7609
-176.8	2.2372	2.2428	2.7607
-176.7	2.2373	2.2427	2.7605
-176.6	2.2374	2.2426	2.7602
-176.5	2.2375	2.2425	2.76
-176.4	2.2376	2.2424	2.7596
-176.3	2.2377	2.2423	2.7593
-176.2	2.2379	2.2422	2.759
-176.1	2.238	2.242	2.7587
-176	2.2381	2.2419	2.7583
-175.9	2.2383	2.2418	2.7579
-175.8	2.2384	2.2417	2.7575
-175.7	2.2386	2.2416	2.7571
-175.6	2.2387	2.2414	2.7567
-175.5	2.2389	2.2413	2.7563
-175.4	2.2391	2.2411	2.7559
-175.3	2.2392	2.241	2.7554
-175.2	2.2394	2.2408	2.755
-175.1	2.2396	2.2406	2.7546
-175	2.2398	2.2405	2.7542
-174.9	2.24	2.2403	2.7538
-174.8	2.2402	2.2401	2.7535
-174.7	2.2403	2.24	2.7531
-174.6	2.2405	2.2398	2.7528
-174.5	2.2407	2.2396	2.7524
-174.4	2.2409	2.2395	2.7521
-174.3	2.2412	2.2393	2.7517
-174.2	2.2413	2.2391	2.7514
-174.1	2.2415	2.2389	2.7511
-174	2.2417	2.2387	2.7508
-173.9	2.2418	2.2385	2.7505
-173.8	2.242	2.2384	2.7503
-173.7	2.2421	2.2382	2.75
-173.6	2.2423	2.238	2.7497
-173.5	2.2425	2.2378	2.7494
-173.4	2.2427	2.2376	2.7491
-173.3	2.243	2.2374	2.7488
-173.2	2.2432	2.2373	2.7485
-173.1	2.2434	2.2371	2.7482
-173	2.2436	2.2369	2.7479
-172.9	2.2438	2.2367	2.7476
-172.8	2.2439	2.2365	2.7473
-172.7	2.2442	2.2364	2.747
-172.6	2.2444	2.2362	2.7467
-172.5	2.2447	2.236	2.7464
-172.4	2.2449	2.2358	2.7461
-172.3	2.2451	2.2356	2.7458
-172.2	2.2453	2.2354	2.7455
-172.1	2.2456	2.2352	2.7451
-172	2.2459	2.235	2.7449
-171.9	2.2461	2.2348	2.7446
-171.8	2.2465	2.2346	2.7443
-171.7	2.2468	2.2345	2.744
-171.6	2.247	2.2343	2.7437
-171.5	2.2473	2.2341	2.7434
-171.4	2.2476	2.2339	2.7432
-171.3	2.2479	2.2338	2.7429
-171.2	2.2482	2.2336	2.7427
-171.1	2.2485	2.2335	2.7425
-171	2.2488	2.2333	2.7423
-170.9	2.2491	2.2331	2.7421
-170.8	2.2494	2.233	2.7419
-170.7	2.2497	2.2328	2.7417
-170.6	2.2501	2.2327	2.7415
-170.5	2.2505	2.2325	2.7413
-170.4	2.2508	2.2324	2.7411
-170.3	2.251	2.2323	2.7409
-170.2	2.2512	2.2321	2.7407
-170.1	2.2516	2.232	2.7405
-170	2.2518	2.2319	2.7403
-169.9	2.252	2.2318	2.7401
-169.8	2.2523	2.2316	2.7399
-169.7	2.2526	2.2316	2.7397
-169.6	2.253	2.2315	2.7394
-169.5	2.2532	2.2314	2.7392
-169.4	2.2534	2.2313	2.739
-169.3	2.2536	2.2312	2.7387
-169.2	2.2539	2.2311	2.7385
-169.1	2.2542	2.231	2.7382
-169	2.2545	2.231	2.7379
-168.9	2.2548	2.2309	2.7376
-168.8	2.2551	2.2308	2.7374
-168.7	2.2554	2.2307	2.7371
-168.6	2.2556	2.2307	2.7368
-168.5	2.2559	2.2306	2.7365
-168.4	2.2563	2.2306	2.7362
-168.3	2.2566	2.2305	2.736
-168.2	2.2569	2.2305	2.7357
-168.1	2.2573	2.2305	2.7355
-168	2.2577	2.2305	2.7352
-167.9	2.258	2.2305	2.735
-167.8	2.2584	2.2305	2.7348
-167.7	2.2587	2.2305	2.7346
-167.6	2.2591	2.2305	2.7345
-167.5	2.2596	2.2305	2.7344
-167.4	2.26	2.2305	2.7343
-167.3	2.2605	2.2305	2.7343
-167.2	2.261	2.2305	2.7342
-167.1	2.2614	2.2305	2.7341
-167	2.2619	2.2305	2.7341
-166.9	2.2624	2.2305	2.7341
-166.8	2.2629	2.2305	2.7341
-166.7	2.2633	2.2305	2.7341
-166.6	2.2638	2.2305	2.7341
-166.5	2.2642	2.2305	2.7342
-166.4	2.2646	2.2306	2.7342
-166.3	2.265	2.2306	2.7342
-166.2	2.2654	2.2306	2.7342
-166.1	2.2659	2.2306	2.7342
-166	2.2663	2.2306	2.7342
-165.9	2.2667	2.2306	2.7342
-165.8	2.267	2.2307	2.7343
-165.7	2.2675	2.2307	2.7343
-165.6	2.268	2.2307	2.7342
-165.5	2.2685	2.2308	2.7342
-165.4	2.2689	2.2308	2.7342
-165.3	2.2692	2.2308	2.7342
-165.2	2.2696	2.2309	2.7341
-165.1	2.27	2.231	2.7341
-165	2.2703	2.231	2.734
-164.9	2.2707	2.2311	2.734
-164.8	2.271	2.2312	2.7339
-164.7	2.2714	2.2313	2.7339
-164.6	2.2718	2.2314	2.7339
-164.5	2.2722	2.2315	2.7339
-164.4	2.2728	2.2317	2.7339
-164.3	2.2732	2.2318	2.7339
-164.2	2.2732	2.2319	2.7339
-164.1	2.2733	2.2321	2.734
-164	2.2736	2.2322	2.7341
-163.9	2.274	2.2324	2.7342
-163.8	2.2745	2.2325	2.7344
-163.7	2.2751	2.2327	2.7346
-163.6	2.2757	2.2329	2.7349
-163.5	2.2762	2.2331	2.7351
-163.4	2.2765	2.2333	2.7354
-163.3	2.2767	2.2335	2.7357
-163.2	2.2771	2.2338	2.736
-163.1	2.2778	2.234	2.7364
-163	2.2788	2.2342	2.7367
-162.9	2.2798	2.2344	2.7371
-162.8	2.2804	2.2346	2.7374
-162.7	2.281	2.2349	2.7378
-162.6	2.2815	2.2351	2.7382
-162.5	2.282	2.2353	2.7385
-162.4	2.2825	2.2355	2.7388
-162.3	2.2831	2.2358	2.7392
-162.2	2.284	2.236	2.7395
-162.1	2.285	2.2362	2.7398
-162	2.2857	2.2364	2.7401
-161.9	2.2864	2.2366	2.7403
-161.8	2.287	2.2368	2.7406
-161.7	2.2878	2.237	2.7408
-161.6	2.2885	2.2372	2.741
-161.5	2.2893	2.2374	2.7412
-161.4	2.2901	2.2375	2.7413
-161.3	2.2908	2.2377	2.7414
-161.2	2.2915	2.2378	2.7415
-161.1	2.2922	2.238	2.7416
-161	2.293	2.2381	2.7417
-160.9	2.2936	2.2383	2.7418
-160.8	2.2945	2.2384	2.7419
-160.7	2.2952	2.2386	2.742
-160.6	2.2958	2.2387	2.742
-160.5	2.2964	2.2389	2.7422
-160.4	2.2969	2.239	2.7422
-160.3	2.2971	2.2392	2.7424
-160.2	2.2974	2.2393	2.7425
-160.1	2.2982	2.2395	2.7427
-160	2.299	2.2397	2.7429
-159.9	2.2997	2.2398	2.7432
-159.8	2.3003	2.24	2.7434
-159.7	2.3009	2.2402	2.7437
-159.6	2.3013	2.2403	2.744
-159.5	2.3014	2.2404	2.7442
-159.4	2.302	2.2406	2.7446
-159.3	2.303	2.2407	2.7449
-159.2	2.3043	2.2408	2.7452
-159.1	2.3056	2.241	2.7456
-159	2.3063	2.2411	2.7459
-158.9	2.3066	2.2412	2.7463
-158.8	2.3069	2.2413	2.7466
-158.7	2.3076	2.2414	2.747
-158.6	2.3084	2.2415	2.7473
-158.5	2.3083	2.2416	2.7476
-158.4	2.3092	2.2418	2.7479
-158.3	2.3112	2.2419	2.7483
-158.2	2.3136	2.242	2.7486
-158.1	2.3155	2.2422	2.7489
-158	2.317	2.2423	2.7491
-157.9	2.317	2.2423	2.7494
-157.8	2.3144	2.2424	2.7496
-157.7	2.3109	2.2425	2.7498
-157.6	2.3084	2.2426	2.75
-157.5	2.3086	2.2426	2.7501
-157.4	2.3102	2.2427	2.7503
-157.3	2.3113	2.2429	2.7505
-157.2	2.3119	2.243	2.7506
-157.1	2.3118	2.2431	2.7508
-157	2.3112	2.2433	2.751
-156.9	2.3106	2.2434	2.7511
-156.8	2.31	2.2436	2.7512
-156.7	2.3104	2.2437	2.7513
-156.6	2.3112	2.2439	2.7515
-156.5	2.3126	2.244	2.7516
-156.4	2.3143	2.2442	2.7517
-156.3	2.3156	2.2443	2.7519
-156.2	2.3155	2.2445	2.752
-156.1	2.3155	2.2446	2.7522
-156	2.3161	2.2447	2.7523
-155.9	2.3177	2.2449	2.7525
-155.8	2.3193	2.245	2.7527
-155.7	2.3196	2.2451	2.7528
-155.6	2.3206	2.2452	2.753
-155.5	2.3223	2.2453	2.7532
-155.4	2.3245	2.2454	2.7533
-155.3	2.3268	2.2455	2.7535
-155.2	2.3285	2.2457	2.7537
-155.1	2.3298	2.2458	2.7538
-155	2.3308	2.2459	2.754
-154.9	2.3314	2.246	2.7541
-154.8	2.3334	2.2461	2.7542
-154.7	2.3366	2.2462	2.7543
-154.6	2.3394	2.2463	2.7544
-154.5	2.3412	2.2464	2.7544
-154.4	2.3442	2.2465	2.7545
-154.3	2.347	2.2466	2.7545
-154.2	2.3484	2.2467	2.7546
-154.1	2.3481	2.2468	2.7546
-154	2.3468	2.2468	2.7546
-153.9	2.3445	2.2469	2.7546
-153.8	2.343	2.247	2.7546
-153.7	2.3445	2.2472	2.7547
-153.6	2.3482	2.2473	2.7548
-153.5	2.352	2.2474	2.7548
-153.4	2.3539	2.2475	2.7549
-153.3	2.354	2.2477	2.755
-153.2	2.3541	2.2479	2.755
-153.1	2.3548	2.248	2.7551
-153	2.356	2.2482	2.7551
-152.9	2.3573	2.2483	2.7552
-152.8	2.3589	2.2484	2.7552
-152.7	2.3613	2.2486	2.7553
-152.6	2.3631	2.2487	2.7553
-152.5	2.3643	2.2488	2.7554
-152.4	2.3649	2.249	2.7555
-152.3	2.3643	2.2492	2.7555
-152.2	2.3639	2.2493	2.7555
-152.1	2.3652	2.2495	2.7555
-152	2.3668	2.2497	2.7554
-151.9	2.3681	2.2498	2.7554
-151.8	2.3681	2.25	2.7553
-151.7	2.3678	2.2501	2.7552
-151.6	2.3689	2.2503	2.7551
-151.5	2.37	2.2504	2.755
-151.4	2.3708	2.2505	2.7548
-151.3	2.3709	2.2507	2.7547
-151.2	2.3704	2.2508	2.7544
-151.1	2.37	2.2509	2.7542
-151	2.3704	2.251	2.754
-150.9	2.3716	2.2511	2.7537
-150.8	2.3735	2.2513	2.7534
-150.7	2.3748	2.2515	2.7531
-150.6	2.3749	2.2517	2.7528
-150.5	2.3752	2.2519	2.7525
-150.4	2.376	2.252	2.7521
-150.3	2.3769	2.2522	2.7518
-150.2	2.3769	2.2524	2.7515
-150.1	2.3771	2.2526	2.7512
-150	2.3777	2.2528	2.751
-149.9	2.3786	2.253	2.7507
-149.8	2.38	2.2533	2.7505
-149.7	2.3812	2.2536	2.7503
-149.6	2.382	2.2539	2.75
-149.5	2.3829	2.2542	2.7498
-149.4	2.3839	2.2545	2.7496
-149.3	2.385	2.2548	2.7494
-149.2	2.3866	2.2551	2.7493
-149.1	2.3877	2.2554	2.7492
-149	2.3881	2.2557	2.749
-148.9	2.3887	2.256	2.7489
-148.8	2.3897	2.2563	2.7488
-148.7	2.3911	2.2566	2.7487
-148.6	2.3921	2.2569	2.7486
-148.5	2.3927	2.2572	2.7485
-148.4	2.3934	2.2575	2.7484
-148.3	2.3943	2.2577	2.7483
-148.2	2.3957	2.258	2.7482
-148.1	2.3973	2.2582	2.7481
-148	2.3985	2.2584	2.748
-147.9	2.3992	2.2586	2.7479
-147.8	2.4001	2.2588	2.7478
-147.7	2.4011	2.259	2.7478
-147.6	2.4023	2.2593	2.7477
-147.5	2.4039	2.2595	2.7476
-147.4	2.4048	2.2598	2.7474
-147.3	2.4056	2.26	2.7473
-147.2	2.4065	2.2603	2.7471
-147.1	2.408	2.2605	2.747
-147	2.4098	2.2608	2.7469
-146.9	2.4111	2.261	2.7466
-146.8	2.4122	2.2612	2.7464
-146.7	2.4138	2.2614	2.7462
-146.6	2.4156	2.2615	2.746
-146.5	2.4172	2.2616	2.7457
-146.4	2.4188	2.2617	2.7454
-146.3	2.4201	2.2618	2.7451
-146.2	2.4214	2.262	2.7448
-146.1	2.423	2.2622	2.7445
-146	2.4246	2.2625	2.7442
-145.9	2.4264	2.2627	2.7438
-145.8	2.4278	2.263	2.7434
-145.7	2.4291	2.2633	2.7431
-145.6	2.4306	2.2635	2.7427
-145.5	2.432	2.2637	2.7423
-145.4	2.4334	2.2639	2.7419
-145.3	2.4347	2.2641	2.7415
-145.2	2.4358	2.2642	2.7412
-145.1	2.4368	2.2644	2.7408
-145	2.4378	2.2645	2.7404
-144.9	2.4391	2.2646	2.7401
-144.8	2.4404	2.2648	2.7397
-144.7	2.4414	2.2649	2.7394
-144.6	2.4424	2.2651	2.739
-144.5	2.4434	2.2653	2.7387
-144.4	2.445	2.2655	2.7384
-144.3	2.4466	2.2658	2.7381
-144.2	2.448	2.266	2.7378
-144.1	2.4492	2.2663	2.7375
-144	2.4503	2.2666	2.7372
-143.9	2.4514	2.2668	2.7369
-143.8	2.4528	2.2671	2.7367
-143.7	2.4542	2.2673	2.7364
-143.6	2.4556	2.2675	2.7361
-143.5	2.4567	2.2677	2.7358
-143.4	2.4577	2.2679	2.7355
-143.3	2.4591	2.268	2.7352
-143.2	2.4603	2.2681	2.7349
-143.1	2.4617	2.2682	2.7346
-143	2.463	2.2684	2.7343
-142.9	2.4643	2.2685	2.734
-142.8	2.4658	2.2686	2.7337
-142.7	2.4674	2.2688	2.7334
-142.6	2.4688	2.2689	2.7331
-142.5	2.4701	2.269	2.7329
-142.4	2.4713	2.2692	2.7326
-142.3	2.4726	2.2694	2.7324
-142.2	2.474	2.2696	2.7322
-142.1	2.4756	2.2697	2.7319
-142	2.4771	2.2699	2.7318
-141.9	2.4785	2.27	2.7316
-141.8	2.4799	2.2702	2.7315
-141.7	2.4813	2.2703	2.7314
-141.6	2.4828	2.2704	2.7313
-141.5	2.4842	2.2704	2.7313
-141.4	2.4856	2.2705	2.7313
-141.3	2.4868	2.2706	2.7314
-141.2	2.4882	2.2707	2.7314
-141.1	2.4897	2.2708	2.7315
-141	2.4911	2.2709	2.7316
-140.9	2.4925	2.2711	2.7317
-140.8	2.494	2.2712	2.7318
-140.7	2.4958	2.2714	2.7319
-140.6	2.4976	2.2715	2.7321
-140.5	2.4994	2.2716	2.7323
-140.4	2.5011	2.2717	2.7324
-140.3	2.5027	2.2717	2.7325
-140.2	2.5043	2.2717	2.7326
-140.1	2.5059	2.2716	2.7327
-140	2.5078	2.2716	2.7328
-139.9	2.5096	2.2715	2.7328
-139.8	2.5114	2.2715	2.7329
-139.7	2.5129	2.2715	2.7328
-139.6	2.5146	2.2715	2.7328
-139.5	2.5163	2.2715	2.7328
-139.4	2.5182	2.2715	2.7327
-139.3	2.52	2.2716	2.7327
-139.2	2.5217	2.2716	2.7326
-139.1	2.5234	2.2717	2.7325
-139	2.5251	2.2717	2.7324
-138.9	2.5269	2.2717	2.7323
-138.8	2.5287	2.2717	2.7322
-138.7	2.5304	2.2718	2.7321
-138.6	2.532	2.2718	2.732
-138.5	2.5337	2.2718	2.732
-138.4	2.5354	2.2718	2.7319
-138.3	2.5372	2.2718	2.7318
-138.2	2.5388	2.2718	2.7318
-138.1	2.5405	2.2718	2.7318
-138	2.5422	2.2718	2.7318
-137.9	2.5438	2.2719	2.7318
-137.8	2.5456	2.2719	2.7318
-137.7	2.5472	2.272	2.7318
-137.6	2.549	2.272	2.7318
-137.5	2.5505	2.2721	2.7319
-137.4	2.552	2.2721	2.7319
-137.3	2.5536	2.2721	2.7319
-137.2	2.5552	2.272	2.7319
-137.1	2.5568	2.272	2.7319
-137	2.5584	2.272	2.732
-136.9	2.5601	2.272	2.732
-136.8	2.5617	2.2719	2.732
-136.7	2.5634	2.2719	2.732
-136.6	2.565	2.2719	2.732
-136.5	2.5666	2.2718	2.7319
-136.4	2.5682	2.2717	2.7319
-136.3	2.5699	2.2717	2.7318
-136.2	2.5716	2.2716	2.7317
-136.1	2.5734	2.2715	2.7316
-136	2.5752	2.2715	2.7315
-135.9	2.5768	2.2714	2.7314
-135.8	2.5785	2.2714	2.7314
-135.7	2.5802	2.2714	2.7313
-135.6	2.582	2.2713	2.7313
-135.5	2.5838	2.2712	2.7313
-135.4	2.5854	2.2711	2.7313
-135.3	2.587	2.2711	2.7314
-135.2	2.5887	2.271	2.7314
-135.1	2.5905	2.2709	2.7315
-135	2.5923	2.2708	2.7317
-134.9	2.594	2.2707	2.7318
-134.8	2.5959	2.2706	2.732
-134.7	2.5976	2.2705	2.7322
-134.6	2.5994	2.2704	2.7325
-134.5	2.6014	2.2703	2.7328
-134.4	2.6032	2.2702	2.7331
-134.3	2.6049	2.2702	2.7334
-134.2	2.6068	2.2701	2.7338
-134.1	2.6087	2.2701	2.7341
-134	2.6106	2.2701	2.7345
-133.9	2.6126	2.2701	2.7348
-133.8	2.6146	2.27	2.7352
-133.7	2.6165	2.27	2.7356
-133.6	2.6185	2.2699	2.736
-133.5	2.6205	2.2698	2.7364
-133.4	2.6225	2.2698	2.7367
-133.3	2.6245	2.2697	2.7371
-133.2	2.6265	2.2697	2.7374
-133.1	2.6286	2.2697	2.7378
-133	2.6306	2.2696	2.7382
-132.9	2.6326	2.2696	2.7385
-132.8	2.6345	2.2695	2.7388
-132.7	2.6366	2.2695	2.7391
-132.6	2.6386	2.2694	2.7394
-132.5	2.6406	2.2693	2.7396
-132.4	2.6426	2.2692	2.7399
-132.3	2.6446	2.269	2.7401
-132.2	2.6465	2.2689	2.7403
-132.1	2.6485	2.2687	2.7405
-132	2.6504	2.2686	2.7408
-131.9	2.6523	2.2685	2.741
-131.8	2.6542	2.2684	2.7412
-131.7	2.656	2.2683	2.7414
-131.6	2.6579	2.2682	2.7416
-131.5	2.6598	2.2681	2.7418
-131.4	2.6617	2.268	2.7419
-131.3	2.6637	2.2679	2.7421
-131.2	2.6656	2.2678	2.7422
-131.1	2.6675	2.2677	2.7423
-131	2.6694	2.2675	2.7424
-130.9	2.6714	2.2674	2.7425
-130.8	2.6734	2.2673	2.7426
-130.7	2.6752	2.2672	2.7427
-130.6	2.6773	2.2671	2.7428
-130.5	2.6793	2.267	2.7429
-130.4	2.6812	2.2669	2.743
-130.3	2.6831	2.2669	2.743
-130.2	2.6852	2.2669	2.7431
-130.1	2.6872	2.2668	2.7431
-130	2.6892	2.2667	2.7432
-129.9	2.6912	2.2667	2.7432
-129.8	2.6931	2.2666	2.7432
-129.7	2.6951	2.2665	2.7433
-129.6	2.6971	2.2664	2.7434
-129.5	2.6991	2.2663	2.7434
-129.4	2.701	2.2662	2.7434
-129.3	2.703	2.2661	2.7434
-129.2	2.7049	2.2661	2.7435
-129.1	2.707	2.266	2.7436
-129	2.7089	2.2659	2.7436
-128.9	2.7108	2.2658	2.7436
-128.8	2.7128	2.2657	2.7436
-128.7	2.7149	2.2656	2.7437
-128.6	2.7168	2.2655	2.7437
-128.5	2.7187	2.2654	2.7437
-128.4	2.7207	2.2653	2.7437
-128.3	2.7227	2.2652	2.7438
-128.2	2.7247	2.2651	2.7438
-128.1	2.7267	2.265	2.7438
-128	2.7288	2.265	2.7439
-127.9	2.7308	2.265	2.7439
-127.8	2.7329	2.265	2.7439
-127.7	2.7349	2.265	2.7439
-127.6	2.7371	2.265	2.744
-127.5	2.7393	2.265	2.7441
-127.4	2.7415	2.265	2.7441
-127.3	2.7436	2.265	2.7441
-127.2	2.7458	2.265	2.7442
-127.1	2.748	2.2649	2.7442
-127	2.7503	2.2649	2.7443
-126.9	2.7526	2.2649	2.7444
-126.8	2.7549	2.2649	2.7445
-126.7	2.7572	2.2649	2.7446
-126.6	2.7594	2.2649	2.7446
-126.5	2.7617	2.2649	2.7447
-126.4	2.764	2.2649	2.7448
-126.3	2.7662	2.2648	2.7449
-126.2	2.7685	2.2648	2.745
-126.1	2.7708	2.2647	2.7451
-126	2.7732	2.2647	2.7452
-125.9	2.7755	2.2646	2.7453
-125.8	2.7779	2.2645	2.7455
-125.7	2.7803	2.2644	2.7456
-125.6	2.7826	2.2643	2.7457
-125.5	2.785	2.2642	2.7457
-125.4	2.7874	2.2641	2.7458
-125.3	2.7899	2.264	2.7459
-125.2	2.7923	2.2639	2.7459
-125.1	2.7947	2.2638	2.7459
-125	2.797	2.2637	2.7459
-124.9	2.7994	2.2635	2.7459
-124.8	2.8017	2.2634	2.7458
-124.7	2.804	2.2632	2.7457
-124.6	2.8063	2.2631	2.7456
-124.5	2.8086	2.263	2.7455
-124.4	2.8111	2.2629	2.7454
-124.3	2.8135	2.2628	2.7453
-124.2	2.816	2.2627	2.7451
-124.1	2.8183	2.2627	2.745
-124	2.8208	2.2626	2.7448
-123.9	2.8232	2.2626	2.7447
-123.8	2.8257	2.2625	2.7446
-123.7	2.8281	2.2625	2.7444
-123.6	2.8307	2.2624	2.7443
-123.5	2.8331	2.2624	2.7441
-123.4	2.8355	2.2623	2.7439
-123.3	2.838	2.2623	2.7438
-123.2	2.8405	2.2622	2.7436
-123.1	2.843	2.2622	2.7435
-123	2.8454	2.2621	2.7433
-122.9	2.8478	2.2621	2.7431
-122.8	2.8502	2.262	2.743
-122.7	2.8526	2.262	2.7428
-122.6	2.8551	2.2619	2.7426
-122.5	2.8575	2.2618	2.7425
-122.4	2.8599	2.2617	2.7423
-122.3	2.8624	2.2616	2.7422
-122.2	2.8648	2.2615	2.742
-122.1	2.8673	2.2614	2.7418
-122	2.8697	2.2613	2.7416
-121.9	2.8721	2.2611	2.7414
-121.8	2.8745	2.261	2.7412
-121.7	2.877	2.2609	2.741
-121.6	2.8794	2.2607	2.7408
-121.5	2.8818	2.2606	2.7405
-121.4	2.8844	2.2606	2.7402
-121.3	2.8869	2.2605	2.74
-121.2	2.8893	2.2604	2.7397
-121.1	2.8918	2.2603	2.7394
-121	2.8944	2.2603	2.7391
-120.9	2.8968	2.2602	2.7388
-120.8	2.8994	2.2601	2.7385
-120.7	2.9019	2.26	2.7382
-120.6	2.9046	2.2598	2.7379
-120.5	2.9072	2.2597	2.7377
-120.4	2.9099	2.2595	2.7374
-120.3	2.9126	2.2594	2.7371
-120.2	2.9154	2.2593	2.7369
-120.1	2.9181	2.2592	2.7366
-120	2.9209	2.2591	2.7364
-119.9	2.9238	2.2591	2.7362
-119.8	2.9266	2.259	2.736
-119.7	2.9295	2.259	2.7358
-119.6	2.9324	2.259	2.7357
-119.5	2.9352	2.259	2.7355
-119.4	2.9382	2.2589	2.7353
-119.3	2.9411	2.2588	2.7352
-119.2	2.944	2.2588	2.735
-119.1	2.9468	2.2587	2.7349
-119	2.9497	2.2586	2.7348
-118.9	2.9527	2.2585	2.7346
-118.8	2.9556	2.2584	2.7344
-118.7	2.9586	2.2583	2.7343
-118.6	2.9616	2.2582	2.7341
-118.5	2.9645	2.2582	2.7339
-118.4	2.9675	2.2581	2.7337
-118.3	2.9705	2.258	2.7335
-118.2	2.9734	2.258	2.7333
-118.1	2.9763	2.258	2.733
-118	2.9792	2.2579	2.7328
-117.9	2.9821	2.2579	2.7325
-117.8	2.985	2.2579	2.7322
-117.7	2.988	2.2578	2.732
-117.6	2.9909	2.2578	2.7317
-117.5	2.994	2.2577	2.7314
-117.4	2.997	2.2576	2.7311
-117.3	3	2.2576	2.7308
-117.2	3.0029	2.2575	2.7305
-117.1	3.006	2.2574	2.7302
-117	3.0089	2.2573	2.7299
-116.9	3.0119	2.2572	2.7296
-116.8	3.0149	2.2571	2.7294
-116.7	3.0179	2.2571	2.7291
-116.6	3.021	2.257	2.7289
-116.5	3.024	2.257	2.7286
-116.4	3.0271	2.2569	2.7284
-116.3	3.0301	2.2569	2.7282
-116.2	3.0332	2.2569	2.728
-116.1	3.0362	2.2569	2.7278
-116	3.0392	2.2569	2.7276
-115.9	3.0422	2.2569	2.7275
-115.8	3.0453	2.2569	2.7274
-115.7	3.0483	2.257	2.7272
-115.6	3.0513	2.257	2.7272
-115.5	3.0543	2.257	2.7271
-115.4	3.0574	2.2571	2.727
-115.3	3.0604	2.2572	2.727
-115.2	3.0634	2.2572	2.7269
-115.1	3.0666	2.2573	2.7269
-115	3.0697	2.2574	2.7269
-114.9	3.0729	2.2575	2.7268
-114.8	3.076	2.2575	2.7267
-114.7	3.0792	2.2576	2.7267
-114.6	3.0824	2.2577	2.7266
-114.5	3.0856	2.2578	2.7265
-114.4	3.0889	2.2579	2.7265
-114.3	3.0921	2.258	2.7264
-114.2	3.0954	2.2581	2.7264
-114.1	3.0987	2.2581	2.7263
-114	3.1021	2.2582	2.7262
-113.9	3.1054	2.2583	2.7261
-113.8	3.1088	2.2583	2.7261
-113.7	3.1122	2.2584	2.726
-113.6	3.1157	2.2585	2.7259
-113.5	3.1193	2.2586	2.7258
-113.4	3.1228	2.2586	2.7257
-113.3	3.1263	2.2587	2.7256
-113.2	3.1299	2.2589	2.7255
-113.1	3.1335	2.259	2.7254
-113	3.1371	2.2592	2.7253
-112.9	3.141	2.2593	2.7252
-112.8	3.1447	2.2595	2.7251
-112.7	3.1484	2.2596	2.725
-112.6	3.1522	2.2597	2.7249
-112.5	3.1561	2.2598	2.7248
-112.4	3.1598	2.2599	2.7248
-112.3	3.1636	2.26	2.7247
-112.2	3.1674	2.2602	2.7246
-112.1	3.1712	2.2603	2.7246
-112	3.175	2.2604	2.7245
-111.9	3.1788	2.2606	2.7245
-111.8	3.1827	2.2607	2.7244
-111.7	3.1866	2.2609	2.7244
-111.6	3.1905	2.2611	2.7244
-111.5	3.1945	2.2612	2.7244
-111.4	3.1985	2.2614	2.7243
-111.3	3.2025	2.2615	2.7243
-111.2	3.2064	2.2616	2.7243
-111.1	3.2103	2.2617	2.7243
-111	3.2142	2.2618	2.7243
-110.9	3.2181	2.2619	2.7242
-110.8	3.222	2.262	2.7242
-110.7	3.226	2.262	2.7242
-110.6	3.2299	2.2622	2.7241
-110.5	3.2338	2.2623	2.7241
-110.4	3.2377	2.2624	2.7241
-110.3	3.2416	2.2625	2.7241
-110.2	3.2456	2.2626	2.7241
-110.1	3.2496	2.2626	2.7241
-110	3.2536	2.2627	2.7241
-109.9	3.2576	2.2628	2.7241
-109.8	3.2615	2.2629	2.7242
-109.7	3.2656	2.263	2.7242
-109.6	3.2696	2.2631	2.7242
-109.5	3.2736	2.2633	2.7242
-109.4	3.2777	2.2634	2.7243
-109.3	3.2818	2.2636	2.7243
-109.2	3.286	2.2637	2.7243
-109.1	3.2903	2.2639	2.7244
-109	3.2946	2.2641	2.7245
-108.9	3.299	2.2642	2.7246
-108.8	3.3032	2.2644	2.7247
-108.7	3.3077	2.2645	2.7248
-108.6	3.3121	2.2646	2.7249
-108.5	3.3164	2.2648	2.725
-108.4	3.3207	2.2649	2.7252
-108.3	3.3252	2.2651	2.7253
-108.2	3.3297	2.2653	2.7255
-108.1	3.3342	2.2654	2.7256
-108	3.3388	2.2656	2.7258
