	p_Zyl_1	p_Ein	p_Aus
[KWnZOT]	[bar]	[bar]	[bar]
-343.9	2.3694	2.1973	2.8455
-343.8	2.3694	2.1966	2.8468
-343.7	2.3693	2.196	2.8479
-343.6	2.3693	2.1954	2.849
-343.5	2.3693	2.1948	2.8501
-343.4	2.3694	2.1942	2.8512
-343.3	2.3694	2.1936	2.8523
-343.2	2.3694	2.193	2.8534
-343.1	2.3693	2.1925	2.8544
-343	2.3692	2.1919	2.8554
-342.9	2.3692	2.1914	2.8564
-342.8	2.369	2.1909	2.8574
-342.7	2.3689	2.1903	2.8584
-342.6	2.3688	2.1898	2.8594
-342.5	2.3686	2.1893	2.8604
-342.4	2.3683	2.1888	2.8615
-342.3	2.3681	2.1883	2.8624
-342.2	2.3678	2.1877	2.8634
-342.1	2.3675	2.1872	2.8643
-342	2.367	2.1867	2.8652
-341.9	2.3665	2.1861	2.8661
-341.8	2.366	2.1856	2.8669
-341.7	2.3654	2.185	2.8676
-341.6	2.3649	2.1845	2.8684
-341.5	2.3641	2.184	2.869
-341.4	2.3634	2.1834	2.8696
-341.3	2.3626	2.1829	2.8701
-341.2	2.3618	2.1824	2.8705
-341.1	2.3609	2.1819	2.8709
-341	2.3599	2.1813	2.8711
-340.9	2.3589	2.1808	2.8714
-340.8	2.3578	2.1803	2.8715
-340.7	2.3568	2.1798	2.8716
-340.6	2.3558	2.1792	2.8715
-340.5	2.3546	2.1787	2.8714
-340.4	2.3534	2.1781	2.8713
-340.3	2.352	2.1776	2.8711
-340.2	2.3508	2.177	2.8708
-340.1	2.3496	2.1765	2.8704
-340	2.3482	2.1759	2.8701
-339.9	2.3469	2.1754	2.8697
-339.8	2.3456	2.1749	2.8693
-339.7	2.3442	2.1744	2.8689
-339.6	2.3429	2.1739	2.8684
-339.5	2.3414	2.1734	2.8679
-339.4	2.34	2.1729	2.8675
-339.3	2.3385	2.1725	2.867
-339.2	2.3371	2.1721	2.8666
-339.1	2.3357	2.1716	2.8661
-339	2.3342	2.1712	2.8657
-338.9	2.3328	2.1708	2.8652
-338.8	2.3313	2.1704	2.8648
