vKurbelwinkel	p_Zyl_1	p_Ein	p_Aus
[KWnZOT]	[bar]	[bar]	[bar]
-360	3.4305	2.0105	3.318
-359.8	3.4014	2.0172	3.3113
-359.6	3.3724	2.0237	3.3048
-359.4	3.3436	2.03	3.2983
-359.2	3.3149	2.0362	3.2919
-359	3.2864	2.0422	3.2856
-358.8	3.258	2.0481	3.2794
-358.6	3.2297	2.0539	3.2733
-358.4	3.2016	2.0594	3.2673
-358.2	3.1736	2.0649	3.2614
-358	3.1458	2.0702	3.2556
-357.8	3.1181	2.0753	3.2498
-357.6	3.0905	2.0803	3.2442
-357.4	3.0631	2.0851	3.2387
-357.2	3.0358	2.0897	3.2332
-357	3.0087	2.0942	3.2279
-356.8	2.9817	2.0986	3.2226
-356.6	2.9548	2.1028	3.2175
-356.4	2.9281	2.1069	3.2124
-356.2	2.9015	2.1108	3.2074
-356	2.875	2.1145	3.2025
-355.8	2.8478	2.1187	3.1978
-355.6	2.8211	2.1228	3.1933
-355.4	2.7947	2.1268	3.1888
-355.2	2.768	2.1306	3.1844
-355	2.7423	2.1342	3.18
-354.8	2.7166	2.1376	3.1758
-354.6	2.6898	2.1406	3.1714
-354.4	2.6632	2.1432	3.1671
-354.2	2.6377	2.1455	3.163
-354	2.6133	2.1473	3.1588
-353.8	2.5881	2.1489	3.1547
-353.6	2.5632	2.15	3.1507
-353.4	2.5395	2.151	3.1469
-353.2	2.5159	2.1516	3.1431
-353	2.4916	2.1519	3.1394
-352.8	2.4675	2.1519	3.1357
-352.6	2.4443	2.1516	3.1322
-352.4	2.4206	2.1511	3.1288
-352.2	2.3966	2.1503	3.1252
-352	2.3733	2.1493	3.1217
-351.8	2.3507	2.1482	3.1181
-351.6	2.3287	2.147	3.1145
-351.4	2.3074	2.1456	3.1107
-351.2	2.2855	2.1442	3.1069
-351	2.2653	2.1426	3.1032
-350.8	2.247	2.1407	3.0994
-350.6	2.2286	2.1385	3.0956
-350.4	2.2104	2.1359	3.0918
-350.2	2.1938	2.1331	3.088
-350	2.1778	2.1302	3.0842
-349.8	2.1625	2.127	3.0805
-349.6	2.1487	2.1237	3.077
-349.4	2.1352	2.1203	3.0735
-349.2	2.1216	2.1166	3.0702
-349	2.1089	2.1126	3.0669
-348.8	2.098	2.1083	3.0637
-348.6	2.0883	2.1038	3.0606
-348.4	2.0799	2.0991	3.0575
-348.2	2.0728	2.0943	3.0545
-348	2.0661	2.0894	3.0514
-347.8	2.0587	2.0844	3.0482
-347.6	2.0525	2.0793	3.045
-347.4	2.0469	2.074	3.0419
-347.2	2.042	2.0686	3.0387
-347	2.0372	2.0629	3.0357
-346.8	2.0324	2.057	3.0329
-346.6	2.0277	2.0509	3.0303
-346.4	2.0246	2.0447	3.028
-346.2	2.0221	2.0385	3.026
-346	2.0189	2.0323	3.0241
-345.8	2.0144	2.0262	3.0224
-345.6	2.0117	2.0201	3.021
-345.4	2.0105	2.0142	3.0198
-345.2	2.0077	2.0081	3.0186
-345	2.0039	2.0022	3.0174
-344.8	2.0011	1.9965	3.0164
-344.6	1.9984	1.991	3.0154
-344.4	1.9949	1.9857	3.0144
-344.2	1.9923	1.9808	3.0135
-344	1.9921	1.9763	3.0127
-343.8	1.9911	1.9721	3.0121
-343.6	1.9899	1.968	3.0114
-343.4	1.9892	1.9642	3.011
-343.2	1.9893	1.9607	3.0108
-343	1.9885	1.9574	3.0107
-342.8	1.9875	1.9542	3.0107
-342.6	1.988	1.9513	3.0109
-342.4	1.9883	1.9487	3.0112
-342.2	1.9885	1.9464	3.0117
-342	1.9876	1.9442	3.0122
-341.8	1.9877	1.9423	3.0129
-341.6	1.9874	1.9406	3.0136
-341.4	1.986	1.9387	3.0144
-341.2	1.9845	1.9369	3.0151
-341	1.9853	1.9353	3.0161
-340.8	1.9859	1.9337	3.0171
-340.6	1.9865	1.9321	3.0182
-340.4	1.9862	1.9306	3.0195
-340.2	1.9851	1.9292	3.0209
-340	1.9827	1.9278	3.0224
-339.8	1.9811	1.9264	3.024
-339.6	1.9818	1.9252	3.0258
-339.4	1.9819	1.9239	3.0277
-339.2	1.9812	1.9225	3.0298
-339	1.9809	1.9212	3.0319
-338.8	1.9803	1.92	3.0341
-338.6	1.9789	1.9189	3.0362
-338.4	1.9772	1.9179	3.0382
-338.2	1.9738	1.9169	3.0401
-338	1.9704	1.9159	3.0417
-337.8	1.9664	1.9147	3.043
