vKurbelwinkel	p_Zyl_1	p_Ein	p_Aus
[KWnZOT]	[bar]	[bar]	[bar]
-343.9	2.3789	2.1877	2.8432
-343.8	2.3789	2.1871	2.8441
-343.7	2.3788	2.1866	2.8451
-343.6	2.3787	2.186	2.8461
-343.5	2.3786	2.1855	2.847
-343.4	2.3785	2.1849	2.848
-343.3	2.3784	2.1844	2.849
-343.2	2.3783	2.1839	2.85
-343.1	2.3782	2.1833	2.851
-343	2.3781	2.1828	2.852
-342.9	2.3779	2.1823	2.853
-342.8	2.3776	2.1818	2.8539
-342.7	2.3773	2.1813	2.8548
-342.6	2.377	2.1808	2.8557
-342.5	2.3766	2.1803	2.8566
-342.4	2.3761	2.1798	2.8574
-342.3	2.3756	2.1793	2.8582
-342.2	2.3751	2.1788	2.8589
-342.1	2.3746	2.1783	2.8596
-342	2.3739	2.1777	2.8603
-341.9	2.3732	2.1772	2.861
-341.8	2.3726	2.1767	2.8616
-341.7	2.3717	2.1762	2.8623
-341.6	2.371	2.1756	2.8629
-341.5	2.3701	2.1751	2.8634
-341.4	2.3693	2.1746	2.8639
-341.3	2.3683	2.1741	2.8644
-341.2	2.3673	2.1736	2.8649
-341.1	2.3663	2.1731	2.8653
-341	2.3653	2.1726	2.8657
-340.9	2.3643	2.1721	2.8661
-340.8	2.3632	2.1716	2.8664
-340.7	2.3621	2.1711	2.8666
-340.6	2.361	2.1706	2.8669
-340.5	2.3598	2.1701	2.8671
-340.4	2.3586	2.1696	2.8673
-340.3	2.3574	2.1692	2.8675
-340.2	2.3562	2.1687	2.8676
-340.1	2.3549	2.1683	2.8677
-340	2.3536	2.1678	2.8678
-339.9	2.3522	2.1674	2.8679
-339.8	2.3509	2.167	2.8679
-339.7	2.3495	2.1666	2.8679
-339.6	2.3481	2.1662	2.8679
-339.5	2.3467	2.1658	2.8678
-339.4	2.3454	2.1654	2.8677
-339.3	2.344	2.165	2.8675
-339.2	2.3426	2.1647	2.8674
-339.1	2.341	2.1643	2.8672
-339	2.3395	2.1639	2.8669
-338.9	2.338	2.1635	2.8666
-338.8	2.3366	2.1632	2.8663
-338.7	2.3353	2.1628	2.8659
-338.6	2.3338	2.1624	2.8655
-338.5	2.3325	2.1621	2.8651
-338.4	2.3311	2.1617	2.8646
-338.3	2.3296	2.1614	2.8641
-338.2	2.3283	2.161	2.8635
-338.1	2.3269	2.1607	2.863
-338	2.3255	2.1603	2.8624
-337.9	2.3242	2.16	2.8617
-337.8	2.3228	2.1597	2.861
-337.7	2.3215	2.1594	2.8603
-337.6	2.3203	2.1591	2.8596
-337.5	2.319	2.1588	2.8587
-337.4	2.3178	2.1585	2.8579
-337.3	2.3165	2.1581	2.857
-337.2	2.3152	2.1578	2.8561
-337.1	2.314	2.1575	2.8551
-337	2.3128	2.1572	2.8541
-336.9	2.3116	2.1568	2.8531
-336.8	2.3104	2.1565	2.852
-336.7	2.3091	2.1562	2.851
-336.6	2.308	2.1558	2.8499
-336.5	2.3068	2.1555	2.8488
-336.4	2.3056	2.1551	2.8477
-336.3	2.3045	2.1548	2.8466
-336.2	2.3033	2.1545	2.8454
-336.1	2.302	2.1542	2.8443
-336	2.3009	2.1538	2.8431
-335.9	2.2997	2.1535	2.8419
-335.8	2.2985	2.1532	2.8407
-335.7	2.2974	2.1528	2.8395
-335.6	2.2962	2.1525	2.8383
-335.5	2.2952	2.1522	2.8371
-335.4	2.2941	2.1519	2.8359
-335.3	2.293	2.1516	2.8347
-335.2	2.2919	2.1514	2.8335
-335.1	2.2909	2.1511	2.8323
-335	2.2898	2.1508	2.8311
-334.9	2.2889	2.1506	2.8299
-334.8	2.2879	2.1504	2.8286
-334.7	2.2871	2.1501	2.8273
-334.6	2.2861	2.15	2.826
-334.5	2.2852	2.1498	2.8247
-334.4	2.2842	2.1496	2.8233
-334.3	2.2833	2.1494	2.8219
-334.2	2.2824	2.1493	2.8204
-334.1	2.2815	2.1491	2.819
-334	2.2806	2.149	2.8175
-333.9	2.2797	2.1489	2.816
-333.8	2.2789	2.1487	2.8145
-333.7	2.2782	2.1487	2.813
-333.6	2.2774	2.1486	2.8114
-333.5	2.2765	2.1485	2.8099
-333.4	2.2757	2.1484	2.8084
-333.3	2.2749	2.1483	2.8069
-333.2	2.2742	2.1483	2.8053
-333.1	2.2735	2.1483	2.8039
-333	2.2728	2.1483	2.8024
-332.9	2.2722	2.1483	2.801
-332.8	2.2716	2.1483	2.7996
-332.7	2.271	2.1484	2.7983
-332.6	2.2704	2.1484	2.7969
-332.5	2.2698	2.1485	2.7957
-332.4	2.2693	2.1487	2.7945
-332.3	2.2688	2.1488	2.7933
-332.2	2.2683	2.149	2.7921
-332.1	2.2679	2.1492	2.791
-332	2.2675	2.1494	2.7899
-331.9	2.2672	2.1496	2.789
-331.8	2.2669	2.1499	2.788
-331.7	2.2665	2.1503	2.7871
-331.6	2.2661	2.1506	2.7862
-331.5	2.2658	2.151	2.7854
-331.4	2.2655	2.1513	2.7845
-331.3	2.2652	2.1517	2.7837
-331.2	2.2649	2.1521	2.7828
-331.1	2.2647	2.1526	2.782
-331	2.2646	2.1531	2.7811
-330.9	2.2644	2.1536	2.7803
-330.8	2.2644	2.1541	2.7794
-330.7	2.2642	2.1547	2.7785
-330.6	2.2642	2.1552	2.7776
-330.5	2.264	2.1558	2.7767
-330.4	2.264	2.1565	2.7758
-330.3	2.264	2.1571	2.7749
-330.2	2.2639	2.1578	2.774
-330.1	2.2639	2.1585	2.7731
-330	2.264	2.1592	2.7722
-329.9	2.2641	2.1599	2.7714
-329.8	2.2642	2.1606	2.7705
-329.7	2.2643	2.1614	2.7698
-329.6	2.2645	2.1621	2.769
-329.5	2.2647	2.1629	2.7682
-329.4	2.265	2.1637	2.7674
-329.3	2.2652	2.1645	2.7668
-329.2	2.2655	2.1652	2.7661
-329.1	2.2659	2.1661	2.7655
-329	2.2663	2.1669	2.7649
-328.9	2.2667	2.1677	2.7644
-328.8	2.2671	2.1686	2.7638
-328.7	2.2676	2.1694	2.7634
-328.6	2.2681	2.1703	2.7629
-328.5	2.2687	2.1711	2.7625
-328.4	2.2693	2.172	2.762
-328.3	2.2699	2.1728	2.7616
-328.2	2.2706	2.1737	2.7612
-328.1	2.2712	2.1745	2.7609
-328	2.2719	2.1754	2.7605
-327.9	2.2727	2.1763	2.7601
-327.8	2.2733	2.1771	2.7598
-327.7	2.2741	2.178	2.7594
-327.6	2.2749	2.1789	2.7591
-327.5	2.2757	2.1797	2.7587
-327.4	2.2764	2.1806	2.7582
-327.3	2.2772	2.1814	2.7578
-327.2	2.2781	2.1823	2.7574
-327.1	2.2791	2.1832	2.7569
-327	2.2804	2.1841	2.7565
-326.9	2.2816	2.185	2.756
-326.8	2.2818	2.1859	2.7556
-326.7	2.2816	2.1869	2.7552
-326.6	2.2823	2.1878	2.7547
-326.5	2.2844	2.1887	2.7544
-326.4	2.2862	2.1896	2.754
-326.3	2.2868	2.1905	2.7537
-326.2	2.2875	2.1914	2.7534
-326.1	2.2885	2.1923	2.7531
-326	2.2896	2.1932	2.7529
-325.9	2.2906	2.1942	2.7527
-325.8	2.2913	2.1951	2.7526
-325.7	2.2916	2.196	2.7525
-325.6	2.2917	2.1969	2.7524
-325.5	2.292	2.1978	2.7524
-325.4	2.292	2.1987	2.7524
-325.3	2.2921	2.1997	2.7525
-325.2	2.2925	2.2006	2.7526
-325.1	2.2928	2.2015	2.7527
-325	2.2931	2.2025	2.7529
-324.9	2.2932	2.2034	2.7532
-324.8	2.2933	2.2043	2.7534
-324.7	2.2934	2.2053	2.7537
-324.6	2.2933	2.2062	2.754
-324.5	2.2936	2.2071	2.7544
-324.4	2.2938	2.208	2.7548
-324.3	2.2936	2.209	2.7552
-324.2	2.2934	2.2099	2.7558
-324.1	2.2938	2.2108	2.7562
-324	2.2944	2.2117	2.7567
-323.9	2.2944	2.2126	2.7572
-323.8	2.2939	2.2135	2.7578
-323.7	2.294	2.2144	2.7584
-323.6	2.2948	2.2153	2.759
-323.5	2.2957	2.2162	2.7596
-323.4	2.2963	2.2171	2.7604
-323.3	2.2966	2.218	2.7611
-323.2	2.2971	2.2188	2.7618
-323.1	2.2979	2.2196	2.7626
-323	2.2983	2.2205	2.7634
-322.9	2.2984	2.2213	2.7643
-322.8	2.2987	2.222	2.7651
-322.7	2.3001	2.2228	2.766
-322.6	2.3023	2.2235	2.7668
-322.5	2.3042	2.2243	2.7677
-322.4	2.3048	2.225	2.7685
-322.3	2.3051	2.2256	2.7693
-322.2	2.3058	2.2263	2.7701
-322.1	2.3065	2.2269	2.7709
-322	2.3077	2.2276	2.7718
-321.9	2.3088	2.2281	2.7726
-321.8	2.3096	2.2287	2.7734
-321.7	2.3101	2.2293	2.7742
-321.6	2.3109	2.2299	2.775
-321.5	2.312	2.2304	2.7757
-321.4	2.313	2.2309	2.7766
-321.3	2.3142	2.2314	2.7774
-321.2	2.3157	2.2319	2.7782
-321.1	2.3169	2.2324	2.779
-321	2.3179	2.2329	2.7798
-320.9	2.3187	2.2333	2.7807
-320.8	2.3198	2.2337	2.7815
-320.7	2.3209	2.2341	2.7824
-320.6	2.3217	2.2345	2.7835
-320.5	2.3227	2.2349	2.7845
-320.4	2.3235	2.2352	2.7857
-320.3	2.3242	2.2355	2.7868
-320.2	2.3253	2.2359	2.7879
-320.1	2.3267	2.2362	2.7891
-320	2.3272	2.2365	2.7903
-319.9	2.3275	2.2368	2.7915
-319.8	2.3286	2.2371	2.7928
-319.7	2.3304	2.2374	2.7941
-319.6	2.3322	2.2376	2.7954
-319.5	2.3328	2.2379	2.7967
-319.4	2.3332	2.2382	2.7979
-319.3	2.3339	2.2384	2.7991
-319.2	2.3348	2.2387	2.8002
-319.1	2.3358	2.2389	2.8013
-319	2.3366	2.2392	2.8024
-318.9	2.3378	2.2395	2.8034
-318.8	2.3389	2.2398	2.8043
-318.7	2.3397	2.2401	2.8051
-318.6	2.3407	2.2405	2.8057
-318.5	2.3416	2.2408	2.8063
-318.4	2.3424	2.2412	2.8067
-318.3	2.3427	2.2415	2.8072
-318.2	2.3434	2.2419	2.8075
-318.1	2.3445	2.2422	2.8078
-318	2.3458	2.2426	2.808
-317.9	2.3466	2.2429	2.8082
-317.8	2.347	2.2433	2.8084
-317.7	2.3474	2.2436	2.8085
-317.6	2.3479	2.2439	2.8086
-317.5	2.3488	2.2442	2.8088
-317.4	2.3497	2.2445	2.8089
-317.3	2.3505	2.2449	2.8091
-317.2	2.3512	2.2451	2.8094
-317.1	2.3517	2.2455	2.8097
-317	2.3521	2.2458	2.8101
-316.9	2.3525	2.2461	2.8105
-316.8	2.3529	2.2464	2.8111
-316.7	2.3533	2.2468	2.8117
-316.6	2.3535	2.2471	2.8124
-316.5	2.3539	2.2474	2.8132
-316.4	2.3544	2.2478	2.814
-316.3	2.3548	2.2481	2.8148
-316.2	2.3551	2.2485	2.8157
-316.1	2.3553	2.2489	2.8166
-316	2.3556	2.2492	2.8176
-315.9	2.3562	2.2496	2.8186
-315.8	2.3569	2.25	2.8196
-315.7	2.3573	2.2504	2.8206
-315.6	2.3574	2.2508	2.8216
-315.5	2.3576	2.2511	2.8225
-315.4	2.3581	2.2516	2.8234
-315.3	2.3584	2.252	2.8242
-315.2	2.3588	2.2524	2.825
-315.1	2.3593	2.2528	2.8257
-315	2.3596	2.2533	2.8263
-314.9	2.3598	2.2537	2.8269
-314.8	2.3601	2.2542	2.8273
-314.7	2.3604	2.2546	2.8277
-314.6	2.3607	2.2551	2.828
-314.5	2.3608	2.2555	2.8283
-314.4	2.3608	2.2559	2.8286
-314.3	2.3608	2.2564	2.8288
-314.2	2.3609	2.2568	2.829
-314.1	2.3609	2.2572	2.8292
-314	2.361	2.2576	2.8293
-313.9	2.3609	2.2581	2.8295
-313.8	2.3608	2.2585	2.8297
-313.7	2.3608	2.2589	2.8298
-313.6	2.3608	2.2593	2.8299
-313.5	2.3611	2.2597	2.8301
-313.4	2.3611	2.2602	2.8302
-313.3	2.3609	2.2606	2.8303
-313.2	2.3608	2.2611	2.8303
-313.1	2.3608	2.2616	2.8304
-313	2.3607	2.262	2.8303
-312.9	2.3607	2.2625	2.8303
-312.8	2.3606	2.2629	2.8302
-312.7	2.3606	2.2634	2.8301
-312.6	2.3604	2.2639	2.8299
-312.5	2.3603	2.2644	2.8297
-312.4	2.3603	2.2649	2.8295
-312.3	2.3602	2.2654	2.8293
-312.2	2.3601	2.2658	2.829
-312.1	2.3598	2.2663	2.8286
-312	2.3598	2.2668	2.8282
-311.9	2.3596	2.2673	2.8278
-311.8	2.3595	2.2678	2.8272
-311.7	2.3592	2.2683	2.8266
-311.6	2.359	2.2687	2.826
-311.5	2.3589	2.2692	2.8253
-311.4	2.3588	2.2696	2.8246
-311.3	2.3586	2.27	2.8239
-311.2	2.3585	2.2704	2.8232
-311.1	2.3583	2.2708	2.8225
-311	2.358	2.2712	2.8219
-310.9	2.3578	2.2715	2.8213
-310.8	2.3576	2.2719	2.8207
-310.7	2.3574	2.2723	2.8201
-310.6	2.3571	2.2727	2.8196
-310.5	2.3569	2.2731	2.8192
-310.4	2.3566	2.2734	2.8187
-310.3	2.3563	2.2738	2.8184
-310.2	2.3559	2.2742	2.818
-310.1	2.3555	2.2746	2.8176
-310	2.3552	2.2749	2.8173
-309.9	2.3549	2.2752	2.817
-309.8	2.3547	2.2756	2.8168
-309.7	2.3544	2.2759	2.8164
-309.6	2.3541	2.2762	2.8161
-309.5	2.3539	2.2765	2.8157
-309.4	2.3534	2.2768	2.8154
-309.3	2.3531	2.2771	2.8149
-309.2	2.3528	2.2774	2.8145
-309.1	2.3527	2.2776	2.814
-309	2.3524	2.2779	2.8135
-308.9	2.3522	2.2781	2.8129
-308.8	2.3519	2.2784	2.8123
-308.7	2.3515	2.2787	2.8116
-308.6	2.3512	2.2789	2.8108
-308.5	2.3509	2.2792	2.8101
-308.4	2.3506	2.2794	2.8092
-308.3	2.3503	2.2796	2.8082
-308.2	2.35	2.2798	2.8073
-308.1	2.3496	2.2799	2.8062
-308	2.3494	2.28	2.8052
-307.9	2.3492	2.2801	2.8042
-307.8	2.349	2.2802	2.8031
-307.7	2.3487	2.2802	2.8021
-307.6	2.3486	2.2802	2.8011
-307.5	2.3484	2.2802	2.8001
-307.4	2.3482	2.2801	2.7992
-307.3	2.348	2.28	2.7983
-307.2	2.3479	2.2799	2.7974
-307.1	2.3477	2.2797	2.7966
