[KWnZOT]	[bar]	[bar]	[bar]
-340.9	1	2.1778	2.8579
-340.8	1	2.1776	2.8599
-340.7	1	2.1771	2.8593
-340.6	1	2.1773	2.8602
-340.5	1	2.1757	2.8594
-340.4	1	2.1763	2.8606
-340.3	1	2.1758	2.8607
-340.2	1	2.1752	2.8602
-340.1	1	2.1749	2.8604
-340	1	2.1745	2.8615
-339.9	1	2.1743	2.8609
-339.8	1	2.1735	2.8615
-339.7	1	2.1729	2.8608
-339.6	1	2.1726	2.8611
-339.5	1	2.1715	2.86
-339.4	1	2.1715	2.8608
-339.3	1	2.1714	2.8609
-339.2	1	2.1709	2.8601
-339.1	1	2.1704	2.86
-339	1	2.1706	2.8605
-338.9	1	2.1699	2.8592
-338.8	1	2.1702	2.8601
-338.7	1	2.1699	2.8603
-338.6	1	2.1694	2.8594
-338.5	1	2.1688	2.8584
-338.4	1	2.1682	2.8581
-338.3	1	2.1681	2.8578
-338.2	1	2.1677	2.8572
-338.1	1	2.1672	2.8564
-338	1	2.167	2.856
-337.9	1	2.1667	2.8548
-337.8	1	2.1661	2.853
-337.7	1	2.1661	2.8532
-337.6	1	2.1664	2.8528
-337.5	1	2.1659	2.8516
-337.4	1	2.1654	2.85
-337.3	1	2.1655	2.8497
-337.2	1	2.1651	2.8488
-337.1	1	2.165	2.8475
-337	1	2.165	2.8479
-336.9	1	2.1643	2.8469
-336.8	1	2.1637	2.8449
-336.7	1	2.1637	2.8454
-336.6	1	2.1631	2.8436
-336.5	1	2.1629	2.843
-336.4	1	2.162	2.8418
-336.3	1	2.1624	2.8416
-336.2	1	2.1615	2.84
-336.1	1	2.1611	2.8386
-336	1	2.1607	2.8373
-335.9	1	2.1609	2.8369
-335.8	1	2.1605	2.8352
-335.7	1	2.16	2.8348
-335.6	1	2.1596	2.833
-335.5	1	2.1592	2.8314
-335.4	1	2.1585	2.8298
-335.3	1	2.1586	2.8293
-335.2	1	2.1586	2.8281
-335.1	1	2.1576	2.8259
-335	1	2.1578	2.8259
-334.9	1	2.1576	2.8246
-334.8	1	2.157	2.8223
-334.7	1	2.1575	2.8219
-334.6	1	2.1574	2.8208
-334.5	1	2.1566	2.8172
-334.4	1	2.1562	2.816
-334.3	1	2.1561	2.8145
-334.2	1	2.1565	2.8143
-334.1	1	2.1561	2.8117
