CA	pMess	dummy	dummy	
[KWnZOT]	[bar]	[bar]	[bar]	
-315.8	0.934614525	5	5	
-315.55	0.934274506	5	5	
-315.3	0.934755102	5	5	
-315.05	0.936007116	5	5	
-314.8	0.937859025	5	5	
-314.55	0.940031171	5	5	
-314.3	0.942173288	5	5	
-314.05	0.943924907	5	5	
-313.8	0.94499039	5	5	
-313.55	0.945212299	5	5	
-313.3	0.94462178	5	5	
-313.05	0.943445527	5	5	
-312.8	0.942057427	5	5	
-312.55	0.940880041	5	5	
-312.3	0.940262884	5	5	
-312.05	0.940381442	5	5	
-311.8	0.941200028	5	5	
-311.55	0.942516915	5	5	
-311.3	0.944070069	5	5	
-311.05	0.945648784	5	5	
-310.8	0.947152749	5	5	
-310.55	0.948571361	5	5	
-310.3	0.949904739	5	5	
-310.05	0.951083466	5	5	
-309.8	0.951943503	5	5	
-309.55	0.952276227	5	5	
-309.3	0.951925215	5	5	
-309.05	0.950872291	5	5	
-308.8	0.949263538	5	5	
-308.55	0.947364094	5	5	
-308.3	0.945472126	5	5	
-308.05	0.94383999	5	5	
-307.8	0.942635424	5	5	
-307.55	0.941942323	5	5	
-307.3	0.941775745	5	5	
-307.05	0.942086719	5	5	
-306.8	0.942754711	5	5	
-306.55	0.943587641	5	5	
-306.3	0.944351367	5	5	
-306.05	0.944830327	5	5	
-305.8	0.94489539	5	5	
-305.55	0.944544115	5	5	
-305.3	0.943890776	5	5	
-305.05	0.943109732	5	5	
-304.8	0.94235946	5	5	
-304.55	0.941723229	5	5	
-304.3	0.941193418	5	5	
-304.05	0.940704675	5	5	
-303.8	0.94019559	5	5	
-303.55	0.939660853	5	5	
-303.3	0.939157705	5	5	
-303.05	0.93875635	5	5	
-302.8	0.938462904	5	5	
-302.55	0.938170489	5	5	
-302.3	0.937686091	5	5	
-302.05	0.936836011	5	5	
-301.8	0.935597623	5	5	
-301.55	0.934177761	5	5	
-301.3	0.932980315	5	5	
-301.05	0.932465743	5	5	
-300.8	0.932965621	5	5	
-300.55	0.934538703	5	5	
-300.3	0.936929656	5	5	
-300.05	0.939636995	5	5	
-299.8	0.942047811	5	5	
-299.55	0.943579876	5	5	
-299.3	0.94378926	5	5	
-299.05	0.942433952	5	5	
-298.8	0.93950636	5	5	
-298.55	0.935247027	5	5	
-298.3	0.930135471	5	5	
-298.05	0.924840482	5	5	
-297.8	0.920117087	5	5	
-297.55	0.916660925	5	5	
-297.3	0.914958025	5	5	
-297.05	0.915180012	5	5	
-296.8	0.917161791	5	5	
-296.55	0.920466623	5	5	
-296.3	0.924509281	5	5	
-296.05	0.928689378	5	5	
-295.8	0.932491936	5	5	
-295.55	0.935535644	5	5	
-295.3	0.937576537	5	5	
-295.05	0.93849117	5	5	
-294.8	0.938262154	5	5	
-294.55	0.936974603	5	5	
-294.3	0.934816119	5	5	
-294.05	0.932065929	5	5	
-293.8	0.929063396	5	5	
-293.55	0.926157634	5	5	
-293.3	0.923650472	5	5	
-293.05	0.921749045	5	5	
-292.8	0.92054101	5	5	
-292.55	0.919997051	5	5	
-292.3	0.919995823	5	5	
-292.05	0.920359709	5	5	
-291.8	0.920888752	5	5	
-291.55	0.921385467	5	5	
-291.3	0.921671873	5	5	
-291.05	0.921606335	5	5	
-290.8	0.921106828	5	5	
-290.55	0.920178754	5	5	
-290.3	0.918934786	5	5	
-290.05	0.917589678	5	5	
-289.8	0.91641965	5	5	
-289.55	0.915692332	5	5	
-289.3	0.915590192	5	5	
-289.05	0.916157445	5	5	
-288.8	0.91729176	5	5	
-288.55	0.918781705	5	5	
-288.3	0.920370146	5	5	
-288.05	0.921814828	5	5	
-287.8	0.922924979	5	5	
-287.55	0.923571119	5	5	
-287.3	0.923681703	5	5	
-287.05	0.923243826	5	5	
-286.8	0.922314488	5	5	
-286.55	0.921032653	5	5	
-286.3	0.919613518	5	5	
-286.05	0.918312257	5	5	
-285.8	0.917361947	5	5	
-285.55	0.916907898	5	5	
-285.3	0.916966697	5	5	
-285.05	0.917428667	5	5	
-284.8	0.918102521	5	5	
-284.55	0.918781935	5	5	
-284.3	0.919305834	5	5	
-284.05	0.919591011	5	5	
-283.8	0.919632338	5	5	
-283.55	0.919481804	5	5	
-283.3	0.91922342	5	5	
-283.05	0.918954467	5	5	
-282.8	0.918771381	5	5	
-282.55	0.91875155	5	5	
-282.3	0.918927015	5	5	
-282.05	0.919258831	5	5	
-281.8	0.919630862	5	5	
-281.55	0.919878987	5	5	
-281.3	0.919855316	5	5	
-281.05	0.919505856	5	5	
-280.8	0.918926919	5	5	
-280.55	0.918368614	5	5	
-280.3	0.918172952	5	5	
-280.05	0.918661277	5	5	
-279.8	0.920009174	5	5	
-279.55	0.922155966	5	5	
-279.3	0.924785631	5	5	
-279.05	0.927390243	5	5	
-278.8	0.929397055	5	5	
-278.55	0.930318941	5	5	
-278.3	0.929882542	5	5	
-278.05	0.928098498	5	5	
-277.8	0.925257054	5	5	
-277.55	0.921853124	5	5	
-277.3	0.918463153	5	5	
-277.05	0.915608813	5	5	
-276.8	0.913646236	5	5	
-276.55	0.912711409	5	5	
-276.3	0.912733057	5	5	
-276.05	0.913500486	5	5	
-275.8	0.914755464	5	5	
-275.55	0.916272481	5	5	
-275.3	0.917901921	5	5	
-275.05	0.91956998	5	5	
-274.8	0.921247661	5	5	
-274.55	0.922911111	5	5	
-274.3	0.924513917	5	5	
-274.05	0.925981831	5	5	
-273.8	0.92722785	5	5	
-273.55	0.928176767	5	5	
-273.3	0.928786666	5	5	
-273.05	0.929059481	5	5	
-272.8	0.929039937	5	5	
-272.55	0.928807365	5	5	
-272.3	0.928465724	5	5	
-272.05	0.928134492	5	5	
-271.8	0.927939478	5	5	
-271.55	0.928000424	5	5	
-271.3	0.928412506	5	5	
-271.05	0.929221475	5	5	
-270.8	0.93039735	5	5	
-270.55	0.931817635	5	5	
-270.3	0.933274142	5	5	
-270.05	0.934512522	5	5	
-269.8	0.93529927	5	5	
-269.55	0.935493582	5	5	
-269.3	0.935092477	5	5	
-269.05	0.934225892	5	5	
-268.8	0.933101691	5	5	
-268.55	0.931926064	5	5	
-268.3	0.930837162	5	5	
-268.05	0.929881778	5	5	
-267.8	0.929041205	5	5	
-267.55	0.928286458	5	5	
-267.3	0.927628515	5	5	
-267.05	0.92713314	5	5	
-266.8	0.926890095	5	5	
