CrankAngle [°KW]	Time [s n. Rechenbeginn]	Volume [m3]	V-sum_Vk [%]	T_m [K]	p_exp [bar]	p_0 [bar]	dQb [J/s]	dQbU [J/KW]	Qb [J]	Qb/QbMax [-]	dQw [J/CA]	Qw [J]	sum_mk [kg]	mTot [kg]	nbrOfPacketsAlive [-]	T_fuelVapor [K]	m_fuelLiq [kg]	m_a [kg]	sumdma [kg]	s00 [kg]	dm_a [kg/s]	V_4 [-]	m_4 [kg]	V_0 [-]	V_1 [-]	V_2 [-]	V_3 [-]	T_0 [K]	T_1 [K]	T_2 [K]	T_3 [K]	T_4 [K]	dQb_0[J/KW]	dQb_1[J/KW]	dQb_2[J/KW]	dQb_3[J/KW]	dQb_4[J/KW]	mAx_0[kg]	mAx_1[kg]	m_0 [kg]	m_1 [kg]	m_2 [kg]	m_3 [kg]	lamTotMix [-]	DOH [-]	Lambda_0	Lambda_1	Lambda_2	Lambda_3	Lambda_4	Lam_1.9	Lam_2.6999999999999997	Lam_3.5	Lam_4.300000000000001	Lam_5.1000000000000005	nc7h16_0	nc7h16_1	nc7h16_2	nc7h16_3	nc7h16_4	mD_0	mD_1	mD_2	mD_3	mD_4	mD_Tot	TKE_M [m^2/s^2]	EPS_M [m^2/s^3]	TI_M [m/s]	L_M [m]	Hu_0 [J/kg]	Hu_1 [J/kg]	Hu_2 [J/kg]	Hu_3 [J/kg]	Hu_4 [J/kg]
-132.0	 0.0	 4.495833146709407E-4	 -2.4115711973854156E-14	 355.0090377046718	 1.2308545522	 1.2294595840000002	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 5.45389584019332E-4	 5.483380472123145E-4	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 0.9985331571716054	 5.44589583219332E-4	 3.66710707098709E-4	 3.66710707098709E-4	 3.66710707098709E-4	 3.66710707098709E-4	 355.00903770467187	 355.00903770467187	 355.00903770467187	 355.00903770467187	 355.0090377046718	 0.0	 0.0	 0.0	 0.0	 0.0	 4.000003999999999E-7	 4.000003999999999E-7	 2.0000019999999995E-7	 2.0000019999999995E-7	 2.0000019999999995E-7	 2.0000019999999995E-7	 4.513573424577486	 9.850222357529196E-16	 4.513573424577493	 4.513573424577493	 4.513573424577493	 4.513573424577493	 4.513573424577491	 0.0	 0.0	 0.0	 5.45389584019332E-4	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 16.38972088888889	 3964.1411063523237	 3.3055227412003374	 0.009111111111111111	 576276.7469489238	 576276.7469489238	 576276.7469489238	 576276.7469489238	 576276.7469489238	 
-131.5	 4.3859649122807014E-5	 4.483596052276739E-4	 -1.753161002657324E-12	 355.4069755125947	 1.2378739252000002	 1.2341970432571037	 0.0	 0.0	 0.0	 0.0	 -0.02186044296196401	 -0.010930221480982005	 5.453895840193321E-4	 5.483380472123145E-4	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 0.9985331571716226	 5.445895832193321E-4	 3.6671070709871537E-4	 3.6671070709871537E-4	 3.6671070709871537E-4	 3.6671070709871537E-4	 355.40697551259467	 355.40697551259467	 355.40697551259467	 355.40697551259467	 355.4069755125947	 0.0	 0.0	 0.0	 0.0	 0.0	 4.000004E-7	 4.000004E-7	 2.000002E-7	 2.000002E-7	 2.000002E-7	 2.000002E-7	 4.513573424577486	 9.85512249059662E-16	 4.513573424577494	 4.513573424577494	 4.513573424577494	 4.513573424577494	 4.513573424577491	 0.0	 0.0	 0.0	 5.453895840193321E-4	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 16.352451667237005	 3950.6274747436073	 3.3017623240967344	 0.009111111111111111	 576276.7469489237	 576276.7469489237	 576276.7469489237	 576276.7469489237	 576276.7469489239	 
-131.0	 8.771929824561403E-5	 4.471232889828601E-4	 -3.54026553935444E-12	 355.81000370739577	 1.2427379242000003	 1.2390130920588835	 0.0	 0.0	 0.0	 0.0	 -0.02174366120689934	 -0.021802052084431672	 5.453895840193322E-4	 5.483380472123145E-4	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 0.9985331571716405	 5.445895832193323E-4	 3.667107070987219E-4	 3.667107070987219E-4	 3.667107070987219E-4	 3.667107070987219E-4	 355.81000370739577	 355.81000370739577	 355.81000370739577	 355.81000370739577	 355.8100037073958	 0.0	 0.0	 0.0	 0.0	 0.0	 4.000004000000001E-7	 4.000004000000001E-7	 2.0000020000000005E-7	 2.0000020000000005E-7	 2.0000020000000005E-7	 2.0000020000000005E-7	 4.513573424577482	 6.006396229246939E-16	 4.513573424577495	 4.513573424577495	 4.513573424577495	 4.513573424577495	 4.513573424577484	 0.0	 0.0	 0.0	 5.453895840193322E-4	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 16.315520685776036	 3937.251669222484	 3.2980318055648516	 0.009111111111111111	 576276.7469489237	 576276.7469489237	 576276.7469489237	 576276.7469489237	 576276.7469489237	 
-130.5	 1.3157894736842105E-4	 4.4587438392876635E-4	 -5.288798392896042E-12	 356.21816725052577	 1.2477427720000003	 1.243908899463726	 0.0	 0.0	 0.0	 0.0	 -0.021625323888567125	 -0.032614714028715235	 5.453895840193321E-4	 5.483380472123145E-4	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 0.9985331571716579	 5.445895832193321E-4	 3.667107070987283E-4	 3.667107070987283E-4	 3.667107070987283E-4	 3.667107070987283E-4	 356.2181672505255	 356.2181672505255	 356.2181672505255	 356.2181672505255	 356.21816725052577	 0.0	 0.0	 0.0	 0.0	 0.0	 4.0000040000000016E-7	 4.0000040000000016E-7	 2.0000020000000008E-7	 2.0000020000000008E-7	 2.0000020000000008E-7	 2.0000020000000008E-7	 4.513573424577482	 5.929783041120725E-16	 4.513573424577489	 4.513573424577489	 4.513573424577489	 4.513573424577489	 4.513573424577484	 0.0	 0.0	 0.0	 5.453895840193321E-4	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 16.278926838788085	 3924.0128916130284	 3.2943311752957367	 0.009111111111111111	 576276.7469489234	 576276.7469489234	 576276.7469489234	 576276.7469489234	 576276.7469489237	 
-130.0	 1.7543859649122806E-4	 4.4461290903525564E-4	 -7.083931318828716E-12	 356.6315117808938	 1.2537084474000002	 1.2488856599892502	 0.0	 0.0	 0.0	 0.0	 -0.021505413784643747	 -0.043367420921037104	 5.453895840193321E-4	 5.483380472123145E-4	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 0.9985331571716759	 5.445895832193321E-4	 3.6671070709873483E-4	 3.6671070709873483E-4	 3.6671070709873483E-4	 3.6671070709873483E-4	 356.6315117808937	 356.6315117808937	 356.6315117808937	 356.6315117808937	 356.6315117808938	 0.0	 0.0	 0.0	 0.0	 0.0	 4.0000040000000006E-7	 4.0000040000000006E-7	 2.0000020000000003E-7	 2.0000020000000003E-7	 2.0000020000000003E-7	 2.0000020000000003E-7	 4.5135734245774835	 1.979306436514741E-16	 4.513573424577486	 4.513573424577486	 4.513573424577486	 4.513573424577486	 4.513573424577484	 0.0	 0.0	 0.0	 5.453895840193321E-4	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 16.24266904812057	 3910.9103584089785	 3.29066042491175	 0.009111111111111111	 576276.7469489234	 576276.7469489234	 576276.7469489234	 576276.7469489234	 576276.7469489237	 
-129.5	 2.1929824561403506E-4	 4.433388842723317E-4	 -8.877303628762708E-12	 357.05008362226744	 1.2601797366	 1.2539445941836784	 0.0	 0.0	 0.0	 0.0	 -0.02138391333604395	 -0.05405937758905908	 5.453895840193321E-4	 5.483380472123145E-4	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 0.9985331571716938	 5.445895832193321E-4	 3.667107070987414E-4	 3.667107070987414E-4	 3.667107070987414E-4	 3.667107070987414E-4	 357.0500836222673	 357.0500836222673	 357.0500836222673	 357.0500836222673	 357.05008362226744	 0.0	 0.0	 0.0	 0.0	 0.0	 4.0000039999999995E-7	 4.0000039999999995E-7	 2.0000019999999998E-7	 2.0000019999999998E-7	 2.0000019999999998E-7	 2.0000019999999998E-7	 4.5135734245774835	 1.989324880558495E-16	 4.513573424577487	 4.513573424577487	 4.513573424577487	 4.513573424577487	 4.513573424577484	 0.0	 0.0	 0.0	 5.453895840193321E-4	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 16.206746263035726	 3897.9433006444197	 3.287019547962939	 0.009111111111111111	 576276.7469489233	 576276.7469489233	 576276.7469489233	 576276.7469489233	 576276.7469489237	 
-129.0	 2.631578947368421E-4	 4.420523306327479E-4	 -1.0681315613506193E-11	 357.4739297908044	 1.2671216582000002	 1.2590869492130097	 0.0	 0.0	 0.0	 0.0	 -0.0212608046400425	 -0.06468977990908033	 5.453895840193321E-4	 5.483380472123145E-4	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 0.9985331571717119	 5.445895832193321E-4	 3.66710707098748E-4	 3.66710707098748E-4	 3.66710707098748E-4	 3.66710707098748E-4	 357.4739297908044	 357.4739297908044	 357.4739297908044	 357.4739297908044	 357.4739297908044	 0.0	 0.0	 0.0	 0.0	 0.0	 4.0000039999999984E-7	 4.0000039999999984E-7	 2.0000019999999992E-7	 2.0000019999999992E-7	 2.0000019999999992E-7	 2.0000019999999992E-7	 4.5135734245774835	 1.989324880558495E-16	 4.513573424577487	 4.513573424577487	 4.513573424577487	 4.513573424577487	 4.513573424577484	 0.0	 0.0	 0.0	 5.453895840193321E-4	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 16.171157460065405	 3885.110963767969	 3.2834085399236574	 0.009111111111111111	 576276.7469489233	 576276.7469489233	 576276.7469489233	 576276.7469489233	 576276.7469489237	 
-128.5	 3.070175438596491E-4	 4.4075327015467424E-4	 -1.2508513085232574E-11	 357.9030980027204	 1.2747463462000002	 1.2643139994644494	 0.0	 0.0	 0.0	 0.0	 -0.021136069443198978	 -0.07525781463067982	 5.453895840193321E-4	 5.483380472123145E-4	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 0.9985331571717301	 5.445895832193321E-4	 3.667107070987547E-4	 3.667107070987547E-4	 3.667107070987547E-4	 3.667107070987547E-4	 357.9030980027205	 357.9030980027205	 357.9030980027205	 357.9030980027205	 357.90309800272036	 0.0	 0.0	 0.0	 0.0	 0.0	 4.0000039999999974E-7	 4.0000039999999974E-7	 2.0000019999999987E-7	 2.0000019999999987E-7	 2.0000019999999987E-7	 2.0000019999999987E-7	 4.5135734245774835	 1.989324880558495E-16	 4.513573424577487	 4.513573424577487	 4.513573424577487	 4.513573424577487	 4.513573424577484	 0.0	 0.0	 0.0	 5.453895840193321E-4	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 16.135901642871204	 3872.4126075204167	 3.2798273981894437	 0.009111111111111111	 576276.7469489233	 576276.7469489233	 576276.7469489233	 576276.7469489233	 576276.7469489237	 
-128.0	 3.508771929824561E-4	 4.3944172594441184E-4	 -1.4334584656482106E-11	 358.3376366820959	 1.2822582200000003	 1.2696270471666002	 0.0	 0.0	 0.0	 0.0	 -0.02100968913407853	 -0.08576265919771908	 5.453895840193321E-4	 5.483380472123145E-4	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 0.9985331571717483	 5.445895832193321E-4	 3.6671070709876134E-4	 3.6671070709876134E-4	 3.6671070709876134E-4	 3.6671070709876134E-4	 358.33763668209633	 358.33763668209633	 358.33763668209633	 358.33763668209633	 358.3376366820959	 0.0	 0.0	 0.0	 0.0	 0.0	 4.0000039999999963E-7	 4.0000039999999963E-7	 2.0000019999999982E-7	 2.0000019999999982E-7	 2.0000019999999982E-7	 2.0000019999999982E-7	 4.513573424577482	 5.922594698532956E-16	 4.513573424577488	 4.513573424577488	 4.513573424577488	 4.513573424577488	 4.513573424577484	 0.0	 0.0	 0.0	 5.453895840193321E-4	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 16.10097784210984	 3859.847505815812	 3.276276122074149	 0.009111111111111111	 576276.7469489233	 576276.7469489233	 576276.7469489233	 576276.7469489233	 576276.7469489237	 
-127.5	 3.9473684210526315E-4	 4.3811772219914404E-4	 -1.6196795654141858E-11	 358.7775949688242	 1.2880328810000001	 1.2750274230268999	 0.0	 0.0	 0.0	 0.0	 -0.02088164473576386	 -0.09620348156560102	 5.453895840193321E-4	 5.483380472123145E-4	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 0.9985331571717669	 5.445895832193321E-4	 3.6671070709876823E-4	 3.6671070709876823E-4	 3.6671070709876823E-4	 3.6671070709876823E-4	 358.7775949688248	 358.7775949688248	 358.7775949688248	 358.7775949688248	 358.77759496882413	 0.0	 0.0	 0.0	 0.0	 0.0	 4.0000039999999953E-7	 4.0000039999999953E-7	 2.0000019999999976E-7	 2.0000019999999976E-7	 2.0000019999999976E-7	 2.0000019999999976E-7	 4.513573424577482	 5.922594698532956E-16	 4.513573424577488	 4.513573424577488	 4.513573424577488	 4.513573424577488	 4.513573424577484	 0.0	 0.0	 0.0	 5.453895840193321E-4	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 16.06638511530385	 3847.4149466259614	 3.2727547128073264	 0.009111111111111111	 576276.7469489233	 576276.7469489233	 576276.7469489233	 576276.7469489233	 576276.7469489237	 
