CAD	TKE	EPS	INT		Crank	TKE	EPS	Intensty
				 	[CADaTDCF]	[m^2/s^2]	[m^2/s^3]	[m/s]
-115.609006	13.87605885	2964.203171	2.997344925	 	-50.4658	16.1409	4351.09	3.18943
-115.509061	13.86986343	2958.188931	2.996495489	 	-49.9813	16.19	4448.78	3.19613
-115.4091159	13.86383147	2952.365409	2.995665125	 	-49.4559	16.2399	4521.44	3.20092
-115.3091708	13.85786984	2946.623924	2.994842964	 	-48.9999	16.2838	4588.47	3.20506
-115.2092257	13.8519082	2940.882439	2.994020804	 	-48.4869	16.3307	4663.1	3.20946
-115.1092806	13.84594656	2935.140955	2.993198644	 	-47.9739	16.3776	4737.09	3.21382
-115.0093355	13.83998493	2929.39947	2.992376483	 	-47.4609	16.4247	4811.02	3.21817
-114.9093904	13.83423295	2923.822407	2.991579703	 	-46.9479	16.4699	4884.88	3.22233
-114.8094454	13.82864149	2918.371211	2.990802353	 	-46.4919	16.5086	4951.01	3.2259
-114.7095003	13.82305002	2912.920015	2.990025002	 	-45.9789	16.5539	5027.15	3.23003
-114.6095552	13.81745855	2907.468819	2.989247651	 	-45.4659	16.5961	5104.19	3.2339
-114.5096101	13.81186708	2902.017623	2.988470301	 	-44.9529	16.6401	5183.71	3.2379
-114.409665	13.8064002	2896.678672	2.987708789	 	-44.4969	16.6764	5255.37	3.24123
-114.3097199	13.8010961	2891.486349	2.986967968	 	-43.9839	16.7175	5338.28	3.24497
-114.2097748	13.795792	2886.294027	2.986227147	 	-43.4994	16.7553	5475.24	3.25081
-114.1098298	13.7904879	2881.101704	2.985486326	 	-42.943	16.7946	5583.36	3.25446
-114.0098847	13.78518379	2875.909382	2.984745505	 	-42.487	16.8247	5675.71	3.2572
-113.9099396	13.78003667	2870.912436	2.984023776	 	-41.974	16.8569	5778.76	3.26011
-113.8099945	13.77491278	2865.944405	2.983304873	 	-41.461	17.0586	6127.99	3.27475
-113.7100494	13.76978889	2860.976375	2.98258597	 	-40.948	19.2476	18622	3.3702
-113.6101043	13.764665	2856.008344	2.981867066	 	-40.492	23.8419	66882.7	3.52413
-113.5101593	13.75954111	2851.040314	2.981148163	 	-39.979	27.1292	96664.7	3.65669
-113.4102142	13.75450352	2846.226183	2.980443643	 	-39.466	28.0406	85008.6	3.7373
-113.3102691	13.74949652	2841.466615	2.979744222	 	-38.953	27.7741	66666.4	3.77836
-113.210324	13.74448953	2836.707047	2.979044801	 	-38.4767	27.2705	53696.7	3.7967
-113.1103789	13.73948253	2831.947479	2.978345381	 	-37.9981	26.928	45633.3	3.8104
-113.0104338	13.73447553	2827.187911	2.97764596	 	-37.4851	26.5918	39454.6	3.8197
-112.9104887	13.72959829	2822.565172	2.976964233	 	-36.9721	26.2395	33645.9	3.83028
-112.8105437	13.7248056	2818.0316	2.976294035	 	-36.4591	25.8944	30457.8	3.82864
-112.7105986	13.72001291	2813.498029	2.975623838	 	-35.9461	25.5784	28015.6	3.82495
-112.6106535	13.71522023	2808.964457	2.974953641	 	-35.4901	25.321	26292	3.82055
-112.5107084	13.71042754	2804.430886	2.974283444	 	-34.9771	25.0413	24708.6	3.81393
-112.4107633	13.70593871	2800.027146	2.973642713	 	-34.4641	24.7722	23422.1	3.80584
-112.3108182	13.70178894	2795.768278	2.973034859	 	-33.9511	24.5121	22367.9	3.79659
-112.2108731	13.69763918	2791.509409	2.972427006	 	-33.4951	24.2848	21586.4	3.78738
-112.1109281	13.69348941	2787.250541	2.971819153	 	-32.9821	24.0321	20848.3	3.77603
