Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	T_mittel [K]	 kappa [-]	dQw [J/s]	dQw [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Alpha [W/(m^2K)]
-122.5	 0.0013737979268140378	 3.9475153328404804E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-122.0	 0.0014154281670205238	 3.933571208835126E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-121.5	 0.0014570584072270097	 3.9195150990783376E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-121.0	 0.001498688647433496	 3.9053474560197984E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-120.5	 0.0015403188876399819	 3.8910687450211033E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-120.0	 0.0015819491278464678	 3.876679444533306E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-119.5	 0.0016235793680529538	 3.862180046272887E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-119.0	 0.0016652096082594397	 3.8475710553959887E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-118.5	 0.0017068398484659257	 3.832852990670876E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-118.0	 0.0017484700886724119	 3.818026384648433E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-117.5	 0.0017901003288788978	 3.803091783830646E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-117.0	 0.0018317305690853838	 3.788049748836924E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-116.5	 0.0018733608092918698	 3.772900854568157E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-116.0	 0.0019149910494983557	 3.757645690368394E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-115.5	 0.0019566212897048417	 3.7422848601840293E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-115.0	 0.001998251529911328	 3.726818982720386E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-114.5	 0.0020398817701178136	 3.7112486915955614E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-114.0	 0.0020815120103242998	 3.6955746354914537E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-113.5	 0.0021231422505307855	 3.679797478301823E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-113.0	 0.0021647724907372717	 3.6639178992772873E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-112.5	 0.002206402730943758	 3.647936593167135E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-112.0	 0.0022480329711502436	 3.631854270357848E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-111.5	 0.00228966321135673	 3.6156716570082E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-111.0	 0.0023312934515632155	 3.599389495180834E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-110.5	 0.0023729236917697017	 3.583008542970213E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-110.0	 0.002414553931976188	 3.566529574626798E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-109.5	 0.0024561841721826736	 3.5499533806773796E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-109.0	 0.00249781441238916	 3.5332807680414326E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-108.5	 0.0025394446525956456	 3.5165125601433796E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-108.0	 0.0025810748928021317	 3.499649597020669E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-107.5	 0.0026227051330086175	 3.4826927354275497E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-107.0	 0.0026643353732151037	 3.4656428489344466E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-106.5	 0.00270596561342159	 3.448500828022812E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-106.0	 0.0027475958536280756	 3.431267580175368E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-105.5	 0.0027892260938345618	 3.41394402996165E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-105.0	 0.0028308563340410475	 3.396531119118697E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-104.5	 0.0028724865742475337	 3.3790298066268745E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-104.0	 0.0029141168144540194	 3.361441068780643E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-103.5	 0.0029557470546605056	 3.343765899254255E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
-103.0	 0.002997377294866992	 3.3260053091622446E-4	 NaN	 0.0	 0.0	 0.0	 NaN	 NaN	 NaN	 NaN	 NaN	 0.0	 0.0	 NaN	 
