Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	T_mittel [K]	 kappa [-]	dQw [J/s]	dQw [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Alpha [W/(m^2K)]
-142.9	 5.915178112094758E-4	 6.718881076058187E-4	 1.0973182697162283	 0.0	 0.0	 0.0	 376.91907826360995	 1.3690205271326363	 -74.98776788659751	 -0.006247408496868222	 -0.04664327760226333	 0.0	 0.0	 76.33660109082679	 
-142.8	 5.99849047987074E-4	 6.716219319449652E-4	 1.0979171063529547	 0.0	 0.0	 0.0	 376.97537131594385	 1.3690142353563923	 -74.86367066276433	 -0.006237069663316254	 -0.04726698456859496	 0.0	 0.0	 76.39773399934437	 
-142.7	 6.081802847646723E-4	 6.713550460714985E-4	 1.098518087900726	 0.0	 0.0	 0.0	 377.0318387116372	 1.3690079236688661	 -74.73896558929468	 -0.006226680188371819	 -0.04788965258743214	 0.0	 0.0	 76.45903906847781	 
-142.6	 6.165115215422706E-4	 6.710874501067755E-4	 1.0991212192847701	 0.0	 0.0	 0.0	 377.08848067605743	 1.3690015920410596	 -74.6136504256842	 -0.006216239885373196	 -0.04851127657596946	 0.0	 0.0	 76.52051642533333	 
-142.5	 6.248427583198688E-4	 6.708191441734183E-4	 1.0997265054514334	 0.0	 0.0	 0.0	 377.1452974353006	 1.3689952404438754	 -74.48772292521976	 -0.006205748567141392	 -0.049131851432683595	 0.0	 0.0	 76.58216619796046	 
-142.4	 6.331739950974671E-4	 6.705501283953219E-4	 1.1003339513682555	 0.0	 0.0	 0.0	 377.2022892161929	 1.3689888688481189	 -74.36118083496793	 -0.00619520604597919	 -0.04975137203728151	 0.0	 0.0	 76.64398851535387	 
-142.3	 6.415052318750653E-4	 6.702804028976605E-4	 1.1009435620240464	 0.0	 0.0	 0.0	 377.2594562462911	 1.3689824772244965	 -74.23402189576089	 -0.006184612133669969	 -0.05036983325064851	 0.0	 0.0	 76.70598350745487	 
-142.2	 6.498364686526635E-4	 6.700099678068954E-4	 1.1015553424289628	 0.0	 0.0	 0.0	 377.3167987538838	 1.368976065543617	 -74.10624384218593	 -0.006173966641476834	 -0.05098722991479619	 0.0	 0.0	 76.7681513051537	 
-142.1	 6.581677054302618E-4	 6.69738823250783E-4	 1.1021692976145856	 0.0	 0.0	 0.0	 377.3743169679926	 1.3689696337759898	 -73.97784440257217	 -0.0061632693801415015	 -0.051603556852810345	 0.0	 0.0	 76.83049204029096	 
-142.0	 6.664989422078601E-4	 6.694669693583807E-4	 1.102785432633997	 0.0	 0.0	 0.0	 377.4320111183732	 1.368963181892026	 -73.8488212989776	 -0.0061525201598832315	 -0.05221880886879867	 0.0	 0.0	 76.89300584565952	 
-141.9	 6.748301789854584E-4	 6.691944062600549E-4	 1.1034037525618587	 0.0	 0.0	 0.0	 377.4898814355161	 1.3689567098620379	 -73.71917224717647	 -0.006141718790397769	 -0.052832980747838446	 0.0	 0.0	 76.95569285500632	 
-141.8	 6.831614157630565E-4	 6.689211340874898E-4	 1.1040242624944898	 0.0	 0.0	 0.0	 377.54792815064803	 1.368950217656238	 -73.58889495664702	 -0.006130865080856321	 -0.05344606725592408	 0.0	 0.0	 77.01855320303412	 
-141.7	 6.914926525406548E-4	 6.686471529736914E-4	 1.104646967549946	 0.0	 0.0	 0.0	 377.60615149573266	 1.3689437052447402	 -73.45798713055784	 -0.006119958839904425	 -0.05405806313991452	 0.0	 0.0	 77.08158702540335	 
-141.6	 6.998238893182531E-4	 6.683724630529989E-4	 1.1052718728680981	 0.0	 0.0	 0.0	 377.6645517034721	 1.3689371725975583	 -73.32644646575572	 -0.006108999875660934	 -0.05466896312748062	 0.0	 0.0	 77.14479445873367	 
-141.5	 7.081551260958513E-4	 6.680970644610893E-4	 1.1058989836107127	 0.0	 0.0	 0.0	 377.72312900730753	 1.368930619684607	 -73.19427065275117	 -0.0060979879957168085	 -0.0552787619270523	 0.0	 0.0	 77.20817564060604	 
-141.4	 7.164863628734496E-4	 6.678209573349857E-4	 1.10652830496153	 0.0	 0.0	 0.0	 377.7818836414205	 1.3689240464757007	 -73.06145737570701	 -0.006086923007134172	 -0.05588745422776572	 0.0	 0.0	 77.27173070956424	 
-141.3	 7.248175996510478E-4	 6.675441418130649E-4	 1.1071598421263462	 0.0	 0.0	 0.0	 377.840815840734	 1.368917452940554	 -72.92800431242361	 -0.006075804716445074	 -0.056495034699410224	 0.0	 0.0	 77.33545980511664	 
-141.2	 7.33148836428646E-4	 6.672666180350644E-4	 1.1077936003330926	 0.0	 0.0	 0.0	 377.8999258409135	 1.3689108390487812	 -72.79390913432617	 -0.006064632929650434	 -0.057101497992375266	 0.0	 0.0	 77.39936306773804	 
-141.1	 7.414800732062443E-4	 6.669883861420908E-4	 1.1084295848319183	 0.0	 0.0	 0.0	 377.9592138783679	 1.3689042047698963	 -72.6591695064512	 -0.006053407452218916	 -0.05770683873759716	 0.0	 0.0	 77.46344063887146	 
-141.0	 7.498113099838426E-4	 6.667094462766264E-4	 1.1090678008952704	 0.0	 0.0	 0.0	 378.01868019025085	 1.368897550073313	 -72.52378308743299	 -0.006042128089085798	 -0.05831105154650574	 0.0	 0.0	 77.5276926609296	 
-140.9	 7.581425467614409E-4	 6.664297985825366E-4	 1.109708253817976	 0.0	 0.0	 0.0	 378.0783250144617	 1.368890874928344	 -72.38774752948973	 -0.006030794644651817	 -0.05891413101097092	 0.0	 0.0	 77.59211927729694	 
-140.8	 7.66473783539039E-4	 6.661494432050781E-4	 1.1103509489173258	 0.0	 0.0	 0.0	 378.13814858964633	 1.3688841793042008	 -72.25106047840976	 -0.0060194069227820285	 -0.05951607170324912	 0.0	 0.0	 77.65672063233127	 
-140.7	 7.748050203166373E-4	 6.658683802909058E-4	 1.1109958915331557	 0.0	 0.0	 0.0	 378.1981511551991	 1.3688774631699947	 -72.11371957353907	 -0.0060079647268047555	 -0.0601168681759296	 0.0	 0.0	 77.7214968713653	 
-140.6	 7.831362570942356E-4	 6.655866099880808E-4	 1.11164308702793	 0.0	 0.0	 0.0	 378.25833295126296	 1.3688707264947348	 -71.9757224477639	 -0.005996467859510146	 -0.060716514961880616	 0.0	 0.0	 77.78644814070866	 
-140.5	 7.914674938718339E-4	 6.653041324460778E-4	 1.112292540786826	 0.0	 0.0	 0.0	 378.31869421873097	 1.368863969247329	 -71.83706672750064	 -0.005984916123149329	 -0.06131500657419555	 0.0	 0.0	 77.85157458764938	 
-140.4	 7.99798730649432E-4	 6.650209478157925E-4	 1.1129442582178168	 0.0	 0.0	 0.0	 378.37923519924726	 1.3688571913965841	 -71.69775003267962	 -0.005973309319433066	 -0.06191233750613886	 0.0	 0.0	 77.91687636045573	 
-140.3	 8.081299674270303E-4	 6.647370562495497E-4	 1.1135982447517572	 0.0	 0.0	 0.0	 378.4399561352089	 1.3688503929112044	 -71.55776997673189	 -0.005961647249530647	 -0.06250850223109192	 0.0	 0.0	 77.98235360837789	 
-140.2	 8.164612042046286E-4	 6.644524579011093E-4	 1.1142545058424667	 0.0	 0.0	 0.0	 378.50085726976556	 1.3688435737597924	 -71.41712416657239	 -0.005949929714068487	 -0.06310349520249876	 0.0	 0.0	 78.04800648164965	 
-140.1	 8.247924409822268E-4	 6.64167152925676E-4	 1.114913046966817	 0.0	 0.0	 0.0	 378.56193884682193	 1.3688367339108485	 -71.2758102025899	 -0.005938156513129296	 -0.0636973108538117	 0.0	 0.0	 78.11383513149009	 
-140.0	 8.331236777598251E-4	 6.63881141479906E-4	 1.1155738736248155	 0.0	 0.0	 0.0	 378.6232011110383	 1.3688298733327706	 -71.1338256786287	 -0.005926327446250542	 -0.06428994359843675	 0.0	 0.0	 78.17983971010534	 
-139.9	 8.414549145374233E-4	 6.635944237219142E-4	 1.116236991339694	 0.0	 0.0	 0.0	 378.6846443078317	 1.3688229919938546	 -70.99116818197535	 -0.005914442312423358	 -0.06488138782967909	 0.0	 0.0	 78.24602037069023	 
-139.8	 8.497861513150215E-4	 6.633069998112826E-4	 1.1169024056579928	 0.0	 0.0	 0.0	 378.74626868337685	 1.368816089862293	 -70.84783529334459	 -0.005902500910091358	 -0.06547163792068822	 0.0	 0.0	 78.31237726743001	 
-139.7	 8.581173880926198E-4	 6.630188699090668E-4	 1.1175701221496497	 0.0	 0.0	 0.0	 378.80807448460786	 1.3688091669061753	 -70.70382458686436	 -0.005890503037149397	 -0.06606068822440316	 0.0	 0.0	 78.37891055550199	 
-139.6	 8.664486248702181E-4	 6.627300341778053E-4	 1.1182401464080864	 0.0	 0.0	 0.0	 378.87006195921856	 1.3688022230934884	 -70.55913363005939	 -0.005878448490942204	 -0.06664853307349737	 0.0	 0.0	 78.44562039107733	 
-139.5	 8.747798616478164E-4	 6.624404927815256E-4	 1.118912484050297	 0.0	 0.0	 0.0	 378.93223135566444	 1.3687952583921161	 -70.41375998383903	 -0.005866337068263357	 -0.06723516678032371	 0.0	 0.0	 78.51250693132253	 
-139.4	 8.831110984254145E-4	 6.62150245885753E-4	 1.1195871407169367	 0.0	 0.0	 0.0	 378.99458292316336	 1.3687882727698375	 -70.26770120247943	 -0.005854168565353815	 -0.06782058363685908	 0.0	 0.0	 78.57957033440137	 
