h	alpha_vor	alpha_rueck
[m]	[]	[]
0.00000	0.00000	0.00000
0.00050	0.08000	0.08000
0.00100	0.16500	0.18100
0.00150	0.26200	0.26400
0.00200	0.35600	0.36900
0.00250	0.46700	0.46800
0.00300	0.57300	0.60800
0.00350	0.68400	0.69300
0.00400	0.77600	0.79600
0.00450	0.86000	0.88100
0.00500	0.91400	0.94200
0.00600	1.00400	1.04000
0.00700	1.09000	1.11100
0.00800	1.16600	1.16100
0.00900	1.22000	1.20300
0.01000	1.25200	1.24800
0.01050	1.26300	1.27600
