Zeit	dQIters	relaxationsFaktor	pSoll	pIst	dQ
82.6	 88.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 89.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 90.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 91.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 92.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 93.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 94.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 95.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 96.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 97.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 98.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 99.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
82.6	 100.0	 0.7	 1198242.3167373133	 NaN	 NaN	 
