Zeit	dQIters	relaxationsFaktor	pSoll	pIst	dQ
84.4	 77.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 78.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 79.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 80.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 81.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 82.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 83.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 84.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 85.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 86.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 87.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 88.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 89.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 90.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 91.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 92.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 93.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 94.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 95.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 96.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 97.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 98.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 99.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 100.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 101.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 102.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 103.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 104.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 105.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 106.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 107.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 108.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 109.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 110.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 111.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 112.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 113.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 114.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 115.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 116.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 117.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 118.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 119.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 120.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 121.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
