vKurbelwinkel	p_Zyl_1	p_Ein	p_Aus
[KWnZOT]	[bar]	[bar]	[bar]
-327.4	1.8799	1.7877	2.8697
-327.2	1.8778	1.7843	2.8669
-327	1.8761	1.7809	2.8641
-326.8	1.8731	1.7775	2.8613
-326.6	1.8683	1.774	2.8585
-326.4	1.8639	1.7705	2.8558
-326.2	1.8593	1.7669	2.8529
-326	1.8553	1.7634	2.85
-325.8	1.8513	1.7599	2.8469
-325.6	1.8474	1.7565	2.8438
-325.4	1.8433	1.7534	2.8407
-325.2	1.839	1.7505	2.8378
-325	1.8347	1.7478	2.8348
-324.8	1.83	1.7454	2.8319
-324.6	1.8256	1.7432	2.829
-324.4	1.8225	1.7414	2.8262
-324.2	1.8191	1.7399	2.8235
-324	1.8142	1.7388	2.8207
-323.8	1.8098	1.738	2.818
-323.6	1.8056	1.7377	2.8152
-323.4	1.8023	1.7377	2.8124
-323.2	1.7994	1.738	2.8095
-323	1.797	1.7389	2.8065
-322.8	1.7945	1.7401	2.8034
-322.6	1.7899	1.7417	2.8001
-322.4	1.7856	1.7437	2.7967
-322.2	1.782	1.7461	2.7933
-322	1.7784	1.7488	2.79
-321.8	1.7742	1.7519	2.7867
-321.6	1.7708	1.7554	2.7834
-321.4	1.7693	1.7594	2.7804
-321.2	1.7669	1.7636	2.7775
-321	1.7638	1.768	2.7747
-320.8	1.7612	1.7726	2.7721
-320.6	1.7589	1.7773	2.7696
-320.4	1.7563	1.7822	2.7672
-320.2	1.7543	1.7873	2.7648
-320	1.7533	1.7924	2.7624
-319.8	1.7516	1.7976	2.7598
-319.6	1.7509	1.8026	2.7571
-319.4	1.7506	1.8076	2.7543
-319.2	1.7492	1.8124	2.7514
-319	1.7474	1.817	2.7484
-318.8	1.7465	1.8215	2.7453
-318.6	1.745	1.8258	2.7421
-318.4	1.7425	1.8298	2.7389
-318.2	1.7417	1.8336	2.7357
-318	1.7421	1.8372	2.7325
-317.8	1.7411	1.8405	2.7294
-317.6	1.7401	1.8436	2.7264
-317.4	1.7397	1.8465	2.7235
-317.2	1.7391	1.8491	2.7207
