Kurbelwinkel [°KW]	pZyl_mess [bar]	pZyl_berech [bar]	pSaug [bar]	pAbg [bar]	T [K]	dQw [J/s]	V [m3]	m [kg]	R [J/kg/K]	mK [kg]	V_motor [m^3]	dm [kg/s]	Hub_E [m]	Hub_A [m]	alpha_E_vor	alpha_E_rück	alpha_A_vor	alpha_A_rück	T_Saug [K]	O2_Massenbruch	CO2_Massenbruch	H2O_Massenbruch	H_Massenbruch	O_Massenbruch	N_Massenbruch	H2_Massenbruch	OH_Massenbruch	CO_Massenbruch	NO_Massenbruch	N2_Massenbruch	Diesel_Massenbruch	RON_95_Massenbruch	AGR_intern_LWA_Massenbruch	AGR_extern_LWA_Massenbruch	feuchteLuft_LWA_Massenbruch
100.20000000000002	 8.527795490961617	 8.55026689453449	 2.2563302090985125	 2.75235877966068	 996.2940140581427	 -0.0	 0.0013000289257426947	 0.003995636334990681	 279.2281584114491	 0.003995636334990681	 0.0013028917136820044	 -1.8409721714847838E-4	 6.109999999999805E-6	 0.0	 4.2315828147012355E-5	 4.2315828147012355E-5	 0.0	 0.0	 331.0030178580002	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
100.4	 8.50494658032185	 8.525661395775973	 2.2303721978299325	 2.6919786250542157	 995.622738963417	 0.0	 0.0013028869834361835	 0.003995588979578875	 279.2281584114491	 0.003995588979578857	 0.001305749771375493	 -0.0018779389149091814	 0.0	 2.1468000000000083E-5	 0.0	 0.0	 1.486802289132723E-4	 1.486802289132723E-4	 331.0030178580002	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
100.6	 8.481773022642487	 8.501209885255406	 2.230457978650269	 2.6917119612079	 994.9541087439466	 0.0	 0.0013057402820747196	 0.00399553812485475	 279.2281584114491	 0.003995538124854713	 0.0013086030700140295	 -0.0020114205787391914	 0.0	 2.3051999999999914E-5	 0.0	 0.0	 1.59650486161204E-4	 1.59650486161204E-4	 331.0030178580002	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
100.80000000000001	 8.45848153792045	 8.476911246451278	 2.2305349157500527	 2.6914689979173203	 994.2881141063281	 0.0	 0.0013085887930172062	 0.003995483788314395	 279.2281584114491	 0.00399548378831434	 0.0013114515809565163	 -0.0021442361831388802	 0.0	 2.4635999999999955E-5	 0.0	 0.0	 1.706207434091371E-4	 1.706207434091371E-4	 331.0030178580002	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.0	 8.435103294357578	 8.452764372428328	 2.2306295583668247	 2.6912467076648348	 993.6247457907244	 0.0	 0.0013114324877905453	 0.003995425987297031	 279.2281584114491	 0.003995425987296958	 0.0013142952757298552	 -0.002276391699706947	 0.0	 2.6219999999999996E-5	 0.0	 0.0	 1.8159100065707025E-4	 1.8159100065707025E-4	 331.0030178580002	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.20000000000002	 8.411619830711249	 8.428768165747462	 2.2307422449425993	 2.691034190310067	 992.9639945708293	 0.0	 0.0013142713380895974	 0.00399536473898643	 279.2281584114491	 0.0039953647389863395	 0.0013171341260289073	 -0.00240789304590052	 0.0	 2.780400000000004E-5	 0.0	 0.0	 1.925612579050034E-4	 1.925612579050034E-4	 331.0030178580002	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.4	 8.388198725774995	 8.404921538376566	 2.2308603950493233	 2.6908263153797747	 992.3058512538312	 0.0	 0.0013171053157771298	 0.003995300060412324	 279.2281584114491	 0.003995300060412215	 0.0013199681037164403	 -0.002538746085582685	 0.0	 2.938799999999987E-5	 0.0	 0.0	 2.0353151515293505E-4	 2.0353151515293505E-4	 331.0030178580002	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.6	 8.365062971683885	 8.381223411602202	 2.2309671688892942	 2.6906488171585186	 991.650306680375	 0.0	 0.001319934392883759	 0.003995231968451801	 279.2281584114491	 0.003995231968451674	 0.0013227971808230693	 -0.002668956629564324	 0.0	 3.097199999999991E-5	 0.0	 0.0	 2.1450177240086823E-4	 2.1450177240086823E-4	 331.0030178580002	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.80000000000001	 8.34222588882328	 8.357672715942208	 2.2310444455848697	 2.6904744476029157	 990.9973517245238	 0.0	 0.0013227585416078812	 0.003995160479830683	 279.2281584114491	 0.003995160479830539	 0.0013256213295471913	 -0.002798530436140074	 0.0	 3.255599999999995E-5	 0.0	 0.0	 2.2547202964880134E-4	 2.2547202964880134E-4	 331.0030178580002	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
102.0	 8.31961080123218	 8.334268391059139	 2.2310600600686494	 2.6902883679536647	 990.3469772937177	 0.0	 0.0013255777343155971	 0.003995085611124897	 279.2281584114491	 0.003995085611124735	 0.001328440522254907	 -0.002927473211618817	 0.0	 3.4139999999999995E-5	 0.0	 0.0	 2.364422868967345E-4	 2.364422868967345E-4	 331.0030178580002	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
