Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	V0 [m3]	V1 [m3]	V2 [m3]	T_Zone_0 [K]	T_Zone_1 [K]	T_Zone_2 [K]	T_mittel [K]	T_BurnAdiabat_0 [K]	T_BurnAdiabat_1 [K]	Lambda z1 [-]	Lambda z0 [-]	Lambda z2 [-]	p_soll [bar]	p_soll_roh [bar]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	dmb [kg/s]	dmb [kg/KW]	mb [kg]	dQw [J/s]	dQw [J/KW]	dQKrst [J/s]	dQKrst [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Qmax [J]	Alpha [W/(m^2K)]	Wandwärmestromdichte [MW/m^2]	PQw [W]	Brennraumfläche [m^2]	Gesamtmasse [kg]	m_0[kg]	m_1[kg]	m_2[kg]	Z0_O2 [kg]	Z0_CO2 [kg]	Z0_H2O [kg]	Z0_H [kg]	Z0_O [kg]	Z0_N [kg]	Z0_H2 [kg]	Z0_OH [kg]	Z0_CO [kg]	Z0_NO [kg]	Z0_N2 [kg]	Z0_Diesel [kg]	Z0_RON_95 [kg]	Z0_AGR_intern_LWA [kg]	Z0_AGR_extern_LWA [kg]	Z0_feuchteLuft_LWA [kg]	Z1_O2 [kg]	Z1_CO2 [kg]	Z1_H2O [kg]	Z1_H [kg]	Z1_O [kg]	Z1_N [kg]	Z1_H2 [kg]	Z1_OH [kg]	Z1_CO [kg]	Z1_NO [kg]	Z1_N2 [kg]	Z1_Diesel [kg]	Z1_RON_95 [kg]	Z1_AGR_intern_LWA [kg]	Z1_AGR_extern_LWA [kg]	Z1_feuchteLuft_LWA [kg]	Z2_O2 [kg]	Z2_CO2 [kg]	Z2_H2O [kg]	Z2_H [kg]	Z2_O [kg]	Z2_N [kg]	Z2_H2 [kg]	Z2_OH [kg]	Z2_CO [kg]	Z2_NO [kg]	Z2_N2 [kg]	Z2_Diesel [kg]	Z2_RON_95 [kg]	Z2_AGR_intern_LWA [kg]	Z2_AGR_extern_LWA [kg]	Z2_feuchteLuft_LWA [kg]	 mDieseldampf [kg]	m_Diesel_Z0 [kg]	TKrstVap [K]	mkrstFl [kg]	m_a [kg]	sumdma [kg]	s00 [kg]	dm_a [kg]
-0.4000000000000057	 0.016943834326953247	 1.5250373018603022E-4	 0.7845923539655585	 0.16687842377477366	 0.04852922225963368	 814.7266421379109	 803.3464175611555	 1855.065687145948	 839.2754600821828	 1613.4882173099832	 1819.2685774748684	 1.7646612480875272	 2.1319277521364137	 1.7430827675552203	 62.44953449171979	 62.449596018939395	 62.44991247167547	 194913.8326140604	 25.48292969015537	 -58.589984046741634	 0.15040211236290238	 1.9663491314049572E-5	 8.66532013216943E-5	 16767.941526615614	 2.1922316607331362	 0.0	 0.0	 53.93757392983256	 0.021514247829778115	 -0.013779399385755378	 4251.998393145476	 1610.2153411499876	 0.5875910976776056	 16778.562348277846	 0.028554827352887776	 0.0040257035935235995	 0.0032370252318558194	 7.020251603460858E-4	 8.66532013216943E-5	 0.19706771272900422	 0.026796586375240614	 0.009656691906080208	 6.246389097815795E-10	 7.250784279946772E-7	 8.760210800225596E-14	 2.4788658908245277E-8	 2.1517745147144594E-5	 1.1750541198410805E-6	 3.644042294699152E-4	 0.7428851026102213	 0.0	 0.023206058858903436	 0.0	 0.0	 0.0	 0.19579474295282395	 0.026623492345335262	 0.009594313971287648	 6.206040202394675E-10	 7.203947438364966E-7	 8.703623734656954E-14	 2.4628535196728778E-8	 2.1378750083749606E-5	 1.167463792845248E-6	 3.620503402203588E-4	 0.7380863952537412	 0.006459555238918199	 0.02305615803982669	 0.0	 0.0	 0.0	 0.09346920958446929	 0.1219342459925772	 0.0447974372024465	 4.12019749252807E-9	 4.105658776395119E-6	 5.059982815722582E-12	 1.9338615369382704E-7	 1.5364863821231832E-4	 1.2087114816044423E-5	 0.0032210302673424	 0.7364080380299487	 0.0	 0.0	 0.0	 0.0	 0.0	 5.094763094042809E-6	 4.534770302365947E-6	 -5.55	 0.0	 7.847795317018471E-4	 7.765162190773876E-4	 0.04224709025683141	 0.06639843674698964	 
-0.20000000000001705	 0.016969982219433112	 1.5248331994488425E-4	 0.7831443975996569	 0.1660812648393076	 0.050774337560997605	 814.9831021369424	 803.6237249954268	 1854.1389746423847	 840.7876765985296	 1613.714487319591	 1818.9857775885855	 1.7654178786642933	 2.1319277521364137	 1.7440865997594297	 62.55949954758193	 62.55959601893938	 62.55991030366672	 208189.2154134373	 27.218546100491228	 -53.14627482664339	 0.16073835539307416	 2.101484617104306E-5	 9.085496099645072E-5	 16841.392224415238	 2.201834565476315	 0.0	 0.0	 54.37794084292782	 0.022557460285695143	 -0.012499128624394347	 4251.998393145476	 1610.970080684597	 0.5900979386049215	 16849.74987156091	 0.02855415816465348	 0.0040257035935235995	 0.003235290843695758	 6.99557788831391E-4	 9.085496099645072E-5	 0.19706771272900422	 0.02679658637524061	 0.009656691906080208	 6.246389097815795E-10	 7.250784279946772E-7	 8.760210800225594E-14	 2.4788658908245277E-8	 2.1517745147144594E-5	 1.1750541198410805E-6	 3.644042294699151E-4	 0.7428851026102213	 0.0	 0.023206058858903436	 0.0	 0.0	 0.0	 0.19579788952829058	 0.02662392020579049	 0.00959446815945688	 6.206139938340347E-10	 7.204063211464544E-7	 8.703763608733764E-14	 2.4628930996654057E-8	 2.1379093657072904E-5	 1.16748255490634E-6	 3.620561586539952E-4	 0.7380982568824479	 0.006443588262780256	 0.02305652857041475	 0.0	 0.0	 0.0	 0.09354975261620296	 0.12186793075469457	 0.04477246093165432	 4.066101642524324E-9	 4.070041898991144E-6	 4.977637111550335E-12	 1.9146096598002903E-7	 1.5277327994605745E-4	 1.1956265563353906E-5	 0.003212921506978871	 0.7364279390710154	 0.0	 0.0	 0.0	 0.0	 0.0	 5.094763094042809E-6	 4.50766235725046E-6	 -5.55	 0.0	 7.865137409625155E-4	 7.782488199051825E-4	 0.04233183876779646	 0.0662615860581894	 
0.0	 0.01699613011191298	 1.5247651648705592E-4	 0.7816312084338531	 0.1652016026615618	 0.05316718890454866	 815.2388993288225	 803.9003996468065	 1853.2127927034958	 842.3846059333073	 1613.940181218415	 1818.7028273695266	 1.7661745297219078	 2.1319277521364137	 1.7450979392857857	 62.66950224742622	 62.66959601893942	 62.66994842871952	 222463.53345355214	 29.084762767172908	 -47.32932227320881	 0.17185813195218075	 2.2468639780381334E-5	 9.53473958953599E-5	 16918.031668124586	 2.211854365145459	 0.0	 0.0	 54.82031171595691	 0.023672841556093505	 -0.011131077177617715	 4251.998393145476	 1611.6593050003091	 0.5926907219675088	 16923.652409706447	 0.02855393510046239	 0.0040257035935235995	 0.0032335600228530484	 6.967961747751914E-4	 9.53473958953599E-5	 0.19706771272900422	 0.026796586375240603	 0.009656691906080208	 6.246389097815794E-10	 7.250784279946772E-7	 8.760210800225594E-14	 2.4788658908245277E-8	 2.151774514714459E-5	 1.1750541198410803E-6	 3.64404229469915E-4	 0.7428851026102213	 0.0	 0.023206058858903433	 0.0	 0.0	 0.0	 0.19580103359384168	 0.026624347724956067	 0.009594622224635488	 6.206239594730068E-10	 7.204178892215882E-7	 8.703903371237808E-14	 2.4629326480863274E-8	 2.1379436956339523E-5	 1.167501302001578E-6	 3.6206197244646624E-4	 0.7381101090495391	 0.006427634022953064	 0.023056898805443232	 0.0	 0.0	 0.0	 0.09363076404468607	 0.12180119042292138	 0.04474732016740755	 4.012692218622591E-9	 4.034733575085561E-6	 4.8966057643494034E-12	 1.895533693438972E-7	 1.5190252145911846E-4	 1.1826729949536869E-5	 0.003204836121186803	 0.7364479316878563	 0.0	 0.0	 0.0	 0.0	 0.0	 5.094763094042809E-6	 4.47875080004857E-6	 -5.55	 0.0	 7.882443840077255E-4	 7.799778644175272E-4	 0.04241641795055981	 0.06612557833010967	 
0.19999999999998863	 0.017022278004392846	 1.5248331994488425E-4	 0.7800489893105309	 0.16423457377226724	 0.05571643691716394	 815.4954191666575	 804.1778017941281	 1852.2919334977746	 844.0730996808247	 1614.1665193211893	 1818.4206580160483	 1.7669315451896888	 2.131927752136414	 1.7461152417199455	 62.7799848080477	 62.779596018939394	 62.780468835954125	 237661.90127730186	 31.07178920579723	 -41.11496443204936	 0.1837049430632628	 2.4017485496190617E-5	 1.0014951038390096E-4	 16998.231687253232	 2.222339672530754	 0.0	 0.0	 55.26477965046306	 0.024865110042861748	 -0.009669562551653266	 4251.998393145476	 1612.285786664549	 0.5953790703431175	 17000.54814250173	 0.02855415816465348	 0.0040257035935235995	 0.0032318327473990294	 6.937213357406694E-4	 1.0014951038390096E-4	 0.19706771272900425	 0.02679658637524061	 0.00965669190608021	 6.246389097815795E-10	 7.250784279946772E-7	 8.760210800225595E-14	 2.478865890824528E-8	 2.1517745147144594E-5	 1.1750541198410807E-6	 3.644042294699151E-4	 0.7428851026102214	 0.0	 0.023206058858903436	 0.0	 0.0	 0.0	 0.1958041765798169	 0.02662477509732465	 0.00959477623691283	 6.206339216900835E-10	 7.20429453324599E-7	 8.704043085751687E-14	 2.4629721829275315E-8	 2.137978013772768E-5	 1.167520042659637E-6	 3.620677842426589E-4	 0.7381219571469587	 0.0064116852613234545	 0.023057268913344333	 0.0	 0.0	 0.0	 0.09371209936030919	 0.12173412778681729	 0.04472205247745027	 3.9601771807980714E-9	 3.999885290651658E-6	 4.8172392086844005E-12	 1.8767077741560148E-7	 1.5104015875122085E-4	 1.1699021352617775E-5	 0.0031968205872594403	 0.7364679690869975	 0.0	 0.0	 0.0	 0.0	 0.0	 5.094763094042809E-6	 4.447922863834071E-6	 -5.55	 0.0	 7.899714827548688E-4	 7.817033744306395E-4	 0.04250082881604109	 0.06599040494146625	 
0.39999999999997726	 0.01704842589687271	 1.5250373018603022E-4	 0.7783963820309886	 0.16317819062098038	 0.05842542734799691	 815.7532537985612	 804.4565210087693	 1851.3822691579896	 845.8563091670281	 1614.394024272755	 1818.1395265173496	 1.7676892885945876	 2.1319277521364133	 1.7471349969055456	 62.891454207889986	 62.891596018939374	 62.891664057030546	 253304.62505666562	 33.11691050317248	 -34.49158233141487	 0.1959090901872033	 2.5613049130216934E-5	 1.0527064459941582E-4	 17082.322074569176	 2.233333604561392	 0.0	 0.0	 55.71144637137534	 0.02613658471432965	 -0.008111852155687018	 4251.998393145476	 1612.8508200484825	 0.5981752031150817	 17080.789651729734	 0.028554827352887776	 0.0040257035935235995	 0.0032301089956288547	 6.90323953295329E-4	 1.0527064459941582E-4	 0.1970677127290042	 0.026796586375240614	 0.00965669190608021	 6.246389097815795E-10	 7.250784279946771E-7	 8.760210800225594E-14	 2.4788658908245283E-8	 2.15177451471446E-5	 1.17505411984108E-6	 3.6440422946991505E-4	 0.7428851026102213	 0.0	 0.023206058858903436	 0.0	 0.0	 0.0	 0.19580731999310902	 0.026625202527798316	 0.009594930270129512	 6.206438852616121E-10	 7.204410189998527E-7	 8.704182819260998E-14	 2.4630117231438502E-8	 2.1380123365774395E-5	 1.1675387858656552E-6	 3.620735968290169E-4	 0.7381338068552327	 0.006395734331317771	 0.023057639071564894	 0.0	 0.0	 0.0	 0.09379346184308951	 0.12166697470666797	 0.044696744354117655	 3.908821798810508E-9	 3.96568698697385E-6	 4.739961244058164E-12	 1.858228310671217E-7	 1.5019100495191264E-4	 1.1573799891268577E-5	 0.0031889295146284363	 0.7364879693532737	 0.0	 0.0	 0.0	 0.0	 0.0	 5.094763094042809E-6	 4.415128607821942E-6	 -5.55	 0.0	 7.916950588976841E-4	 7.834253715385245E-4	 0.04258507236514088	 0.06585605739395209	 
0.6000000000000227	 0.01707457378935258	 1.5253774681348503E-4	 0.7766630801724524	 0.16201976215253636	 0.061317157674978244	 816.01602280865	 804.7400937420185	 1850.4855153925616	 847.7516277183631	 1614.6258920089203	 1817.8621905701536	 1.768448159890744	 2.1319277521364133	 1.7481608506797222	 63.00446398424909	 63.00459601893942	 63.004691936057064	 271253.0657215731	 35.46347998660876	 -27.398886334093117	 0.20991168215135933	 2.7443740475807882E-5	 1.1075780961325984E-4	 17168.457156165452	 2.2445948588230116	 0.0	 0.0	 56.160365343139944	 0.027498937474413686	 -0.006443766859898646	 4251.998393145476	 1613.3616085980618	 0.6010840395709754	 17164.521363110587	 0.02855594265214859	 0.004025703593523599	 0.003228388746058308	 6.865570378520312E-4	 1.1075780961325984E-4	 0.19706771272900422	 0.02679658637524061	 0.009656691906080211	 6.246389097815795E-10	 7.250784279946771E-7	 8.760210800225594E-14	 2.4788658908245283E-8	 2.1517745147144597E-5	 1.1750541198410803E-6	 3.6440422946991505E-4	 0.7428851026102213	 0.0	 0.023206058858903436	 0.0	 0.0	 0.0	 0.19581046548656356	 0.026625630241125266	 0.0095950844052781	 6.206538554265617E-10	 7.204525923287239E-7	 8.704322645239344E-14	 2.463051289526016E-8	 2.1380466820953223E-5	 1.1675575414750418E-6	 3.620794132618699E-4	 0.7381456644050838	 0.006379772845740162	 0.02305800947473868	 0.0	 0.0	 0.0	 0.09387511336093358	 0.12159949121470315	 0.04467130366134742	 3.85862228803575E-9	 3.932158093978119E-6	 4.664807103536328E-12	 1.8400938583292097E-7	 1.493556315104598E-4	 1.1451067472789628E-5	 0.0031811844847450315	 0.7365079805485206	 0.0	 0.0	 0.0	 0.0	 0.0	 5.094763094042809E-6	 4.3800779471401886E-6	 -5.55	 0.0	 7.934151339094375E-4	 7.851438771161312E-4	 0.04266914958887911	 0.06572252730999088	 
0.8000000000000114	 0.017100721681832444	 1.525853691655769E-4	 0.7748491226133153	 0.1607588901606786	 0.06439198722596921	 816.2839106048837	 805.028716338989	 1849.608337816728	 849.7603570009918	 1614.862283300186	 1817.5885254498485	 1.7692085948626095	 2.1319277521364137	 1.7491879272648654	 63.119375085531686	 63.1195960189394	 63.11962129573772	 289412.2955472132	 37.83760793159883	 -19.83136474777335	 0.22409380609952023	 2.929790373647111E-5	 1.1661569721299794E-4	 17256.779359322314	 2.2561420561816643	 0.0	 0.0	 56.61159375437628	 0.028953333199643487	 -0.004664010405023416	 4251.998393145476	 1613.8187751393289	 0.604124371130215	 17252.284169661692	 0.028557504040741765	 0.004025703593523599	 0.003226671977420675	 6.824159188899258E-4	 1.1661569721299794E-4	 0.19706771272900422	 0.026796586375240603	 0.009656691906080211	 6.246389097815795E-10	 7.250784279946771E-7	 8.760210800225594E-14	 2.4788658908245283E-8	 2.1517745147144597E-5	 1.1750541198410803E-6	 3.64404229469915E-4	 0.7428851026102213	 0.0	 0.023206058858903433	 0.0	 0.0	 0.0	 0.19581361485588406	 0.026626058481479076	 0.009595238730351473	 6.206638378767135E-10	 7.204641799182099E-7	 8.704462643510764E-14	 2.4630909046617376E-8	 2.1380810699336308E-5	 1.1675763201950242E-6	 3.6208523686171107E-4	 0.7381575365657659	 0.006363791692476422	 0.023058380334321945	 0.0	 0.0	 0.0	 0.0939566518211258	 0.12153199849187873	 0.044645850771968906	 3.809873452138617E-9	 3.899510627066911E-6	 4.59223121137781E-12	 1.8224136069945626E-7	 1.4853949383984992E-4	 1.1331566133938791E-5	 0.0031736459111274856	 0.7365278963774718	 0.0	 0.0	 0.0	 0.0	 0.0	 5.094763094042809E-6	 4.342752755445373E-6	 -5.55	 0.0	 7.951317290460485E-4	 7.868589123224522E-4	 0.0427530614685311	 0.06558980643053984	 
1.0	 0.01712686957431231	 1.5264659631598622E-4	 0.7729519638082188	 0.15939207386345783	 0.06765596232829066	 816.5579875429016	 805.3234479979485	 1848.755453939719	 851.8880014623293	 1615.1041433737305	 1817.3191291488747	 1.7699710501023085	 2.1319277521364137	 1.7502139364695002	 63.236540414455014	 63.236596018939395	 63.236805637409795	 308334.5058399876	 40.311487532683245	 -11.769067241236701	 0.23888369526061065	 3.123152589433776E-5	 1.228601931167815E-4	 17349.210338397676	 2.268226432695021	 0.0	 0.0	 57.06523904091529	 0.03050371599447278	 -0.002767890801701448	 4251.998393145476	 1614.2247129165833	 0.6072968721107386	 17344.101995852972	 0.02855951148829617	 0.004025703593523599	 0.0032249586686636713	 6.778847317431462E-4	 1.228601931167815E-4	 0.19706771272900422	 0.026796586375240603	 0.00965669190608021	 6.246389097815795E-10	 7.250784279946771E-7	 8.760210800225595E-14	 2.4788658908245287E-8	 2.1517745147144597E-5	 1.1750541198410805E-6	 3.6440422946991494E-4	 0.7428851026102214	 0.0	 0.023206058858903436	 0.0	 0.0	 0.0	 0.1958167699768706	 0.026626487503924566	 0.009595393337267399	 6.206738385577281E-10	 7.204757886700112E-7	 8.704602897459828E-14	 2.4631305921462413E-8	 2.1381155205741536E-5	 1.1675951332104217E-6	 3.6209107109714254E-4	 0.7381694304084732	 0.006347781352969847	 0.023058751871202893	 0.0	 0.0	 0.0	 0.09403788037869416	 0.12146464664067816	 0.044620441464243675	 3.762747708958128E-9	 3.867878348199119E-6	 4.5225016544236116E-12	 1.805253178737137E-7	 1.4774613020034286E-4	 1.1215741709168827E-5	 0.003166357631455687	 0.7365476598420826	 0.0	 0.0	 0.0	 0.0	 0.0	 5.094763094042809E-6	 4.303064059622111E-6	 -5.55	 0.0	 7.968448653491581E-4	 7.885704981035666E-4	 0.0428368089757612	 0.0654578866129418	 
1.200000000000017	 0.017153017466792177	 1.5272142707377595E-4	 0.7709687614883347	 0.1579154295809386	 0.0711158089306893	 816.8394520154641	 805.6254738798342	 1847.93100764702	 854.1407040434823	 1615.3525305775738	 1817.054688267497	 1.7707360124971467	 2.1319277521364137	 1.751237114256327	 63.3563566289042	 63.35659601893941	 63.35664170595856	 328107.16294271155	 42.89655409249968	 -3.1897564227367656	 0.25435034645990345	 3.325362755725126E-5	 1.2950898633457957E-4	 17445.912790844442	 2.280869259340608	 0.0	 0.0	 57.52141289278341	 0.03215447768446061	 -7.501781816001812E-4	 4251.998393145476	 1614.5821189957458	 0.6106064610757781	 17440.12034300987	 0.028561964955764685	 0.0040257035935235995	 0.003223248798946426	 6.729458082425937E-4	 1.2950898633457957E-4	 0.19706771272900422	 0.026796586375240603	 0.009656691906080208	 6.246389097815795E-10	 7.250784279946772E-7	 8.760210800225594E-14	 2.4788658908245283E-8	 2.1517745147144597E-5	 1.1750541198410805E-6	 3.64404229469915E-4	 0.7428851026102213	 0.0	 0.023206058858903436	 0.0	 0.0	 0.0	 0.1958199328442575	 0.026626917579698785	 0.00959554832377164	 6.206838637922476E-10	 7.204874259234255E-7	 8.704743495758039E-14	 2.4631703770707926E-8	 2.138150055797313E-5	 1.1676139924152198E-6	 3.620969196566913E-4	 0.7381813534527439	 0.006331731705145368	 0.023059124320274963	 0.0	 0.0	 0.0	 0.09411864543733754	 0.12139755064910078	 0.04459511833565708	 3.717380139661078E-9	 3.837371202676563E-6	 4.455825786540174E-12	 1.788665367551911E-7	 1.4697851425781618E-4	 1.1103951459843565E-5	 0.003159358202212471	 0.7365672249503991	 0.0	 0.0	 0.0	 0.0	 0.0	 5.094763094042809E-6	 4.260912309894305E-6	 -5.55	 0.0	 7.985545636491439E-4	 7.902786551956287E-4	 0.042920393072754026	 0.06532675982882373	 
1.4000000000000057	 0.017179165359272042	 1.5280985998341175E-4	 0.7688939603099484	 0.15632177750125448	 0.07478426218876434	 817.1304538383421	 805.9369068225823	 1847.1383871458017	 856.5291537210622	 1615.6093430792587	 1816.7966624692913	 1.7715040099974673	 2.1319277521364133	 1.7522575584783597	 63.47952766903649	 63.4795960189394	 63.47983408886567	 349330.16966848046	 45.67123858232409	 5.944491293728051	 0.270960424907386	 3.542522028388583E-5	 1.3659196427394537E-4	 17547.085436127192	 2.2940965165943927	 0.0	 0.0	 57.980232196102286	 0.03391303871205205	 0.0013980464581809329	 4251.998393145476	 1614.895606837479	 0.6140592347345828	 17540.51877095173	 0.028564864395424876	 0.004025703593523601	 0.0032215423476365246	 6.675692816131312E-4	 1.3659196427394537E-4	 0.19706771272900422	 0.026796586375240593	 0.009656691906080206	 6.246389097815794E-10	 7.250784279946772E-7	 8.760210800225594E-14	 2.478865890824528E-8	 2.1517745147144597E-5	 1.1750541198410803E-6	 3.6440422946991494E-4	 0.7428851026102213	 0.0	 0.023206058858903436	 0.0	 0.0	 0.0	 0.1958231056156299	 0.026627349002182717	 0.009595703795589968	 6.206939204190973E-10	 7.204990996169354E-7	 8.704884534316096E-14	 2.4632102865751225E-8	 2.1381846991616953E-5	 1.1676329106744354E-6	 3.621027865300173E-4	 0.7381933138320163	 0.006315631800556857	 0.02305949793560846	 0.0	 0.0	 0.0	 0.09419893657110903	 0.12133070299756733	 0.04456987749478512	 3.6738487523711878E-9	 3.808064196854735E-6	 4.392332500688235E-12	 1.77268194874428E-7	 1.4623875141012675E-4	 1.099641243328023E-5	 0.0031526808134508364	 0.7365865779486114	 0.0	 0.0	 0.0	 0.0	 0.0	 5.094763094042809E-6	 4.2161217840307875E-6	 -5.55	 0.0	 8.00260844568074E-4	 7.919834041278022E-4	 0.043003814712343456	 0.06519641816204276	 
1.5999999999999943	 0.017205313251751907	 1.5291189332480954E-4	 0.766724128231088	 0.15460644263331214	 0.07866942913556367	 817.4324618372746	 806.2591991731764	 1846.3813383347822	 859.0608918892077	 1615.875877593015	 1816.5459113757652	 1.7722756175017258	 2.131927752136414	 1.7532740380584242	 63.606544787279674	 63.6065960189394	 63.606873578516165	 371598.1516924405	 48.58254258085458	 15.660999809898966	 0.28840152461908575	 3.7705460283846586E-5	 1.441308474739088E-4	 17653.03503218043	 2.307948309823819	 0.0	 0.0	 58.44182185806705	 0.03578479185042292	 0.0036832092493603976	 4251.998393145476	 1615.168531457501	 0.6176651681937196	 17645.588080771093	 0.028568209750880542	 0.004025703593523601	 0.003219839294307092	 6.617334517426001E-4	 1.441308474739088E-4	 0.19706771272900425	 0.026796586375240593	 0.00965669190608021	 6.246389097815795E-10	 7.250784279946773E-7	 8.760210800225595E-14	 2.4788658908245283E-8	 2.1517745147144597E-5	 1.1750541198410805E-6	 3.64404229469915E-4	 0.7428851026102213	 0.0	 0.02320605885890344	 0.0	 0.0	 0.0	 0.1958262906349569	 0.026627782090101186	 0.009595859867581316	 6.207040158678773E-10	 7.205108183747918E-7	 8.70502611732998E-14	 2.463250350143436E-8	 2.1382194762610065E-5	 1.1676519019644349E-6	 3.621086760514292E-4	 0.7382053203823375	 0.006299469744972593	 0.023059872993221632	 0.0	 0.0	 0.0	 0.09427864283256979	 0.12126418322887585	 0.04454474818207945	 3.6322561830773555E-9	 3.7800473382257896E-6	 4.332177552903541E-12	 1.7573446264126287E-7	 1.4552935537364873E-4	 1.0893405506376615E-5	 0.003146360447884333	 0.7366056831293213	 0.0	 0.0	 0.0	 0.0	 0.0	 5.094763094042809E-6	 4.168569858488791E-6	 -5.55	 0.0	 8.01963728522617E-4	 7.936847652251423E-4	 0.04308707483813939	 0.06506685380667582	 
1.8000000000000114	 0.017231461144231776	 1.5302752511336864E-4	 0.7644516054411598	 0.15275960166881355	 0.08278879288999465	 817.748426193639	 806.5952475292022	 1845.6632006942227	 861.7505644360292	 1616.1547394358806	 1816.3044974254271	 1.7730514676552414	 2.131927752136414	 1.754287721223473	 63.738378354573854	 63.7385960189394	 63.73873155636122	 395849.39977112954	 51.75313771717518	 26.011627353334003	 0.3074040044649445	 4.0189834283148266E-5	 1.5216644768045138E-4	 17764.031104500205	 2.322459876647344	 0.0	 0.0	 58.90631383339652	 0.03777986983562935	 0.006117506393056638	 4251.998393145476	 1615.4072209650985	 0.6214327980078687	 17755.57849943104	 0.028572000957062808	 0.004025703593523602	 0.0032181396187339487	 6.553975271092023E-4	 1.5216644768045138E-4	 0.19706771272900425	 0.026796586375240593	 0.009656691906080208	 6.246389097815795E-10	 7.250784279946773E-7	 8.760210800225595E-14	 2.4788658908245277E-8	 2.15177451471446E-5	 1.1750541198410805E-6	 3.64404229469915E-4	 0.7428851026102214	 0.0	 0.02320605885890344	 0.0	 0.0	 0.0	 0.19582949047623951	 0.026628217193457943	 0.009596016665876617	 6.207141582973123E-10	 7.205225916676104E-7	 8.705168359221232E-14	 2.463290600153454E-8	 2.1382544152006623E-5	 1.167670981633194E-6	 3.6211459298059466E-4	 0.7382173828069055	 0.006283232476887121	 0.023060249796220535	 0.0	 0.0	 0.0	 0.09435783373726735	 0.12119791358053472	 0.04451969973553274	 3.592658745305944E-9	 3.7533846033412133E-6	 4.275464228558947E-12	 1.7426771553576934E-7	 1.4485217548769228E-4	 1.0795095275762063E-5	 0.0031404309608653426	 0.7366245434657834	 0.0	 0.0	 0.0	 0.0	 0.0	 5.094763094042809E-6	 4.118015027604047E-6	 -5.55	 0.0	 8.036632357268947E-4	 7.953827586114265E-4	 0.043170174384652205	 0.06493805906505438	 
2.0	 0.01725760903671164	 1.5315675310003114E-4	 0.7620733353162519	 0.150776924306524	 0.08714974037719118	 818.0797765039079	 806.9464715256598	 1844.9877295771062	 864.6057101186224	 1616.4471896402902	 1816.073173430053	 1.7738322565782927	 2.1319277521364133	 1.7552971482024777	 63.87551795805826	 63.8755960189394	 63.875896581215045	 421161.3576891193	 55.06240948764764	 37.02410925086353	 0.3272540877219967	 4.278502349675723E-5	 1.6072091762597672E-4	 17880.41968582803	 2.3376764571995645	 0.0	 0.0	 59.37384912483643	 0.03990377274577312	 0.008707460781393762	 4251.998393145476	 1615.615106451969	 0.6253733168907434	 17870.816704942037	 0.02857623794023207	 0.004025703593523604	 0.0032164433008927944	 6.485393750048328E-4	 1.6072091762597672E-4	 0.19706771272900422	 0.026796586375240586	 0.009656691906080208	 6.246389097815794E-10	 7.250784279946772E-7	 8.760210800225594E-14	 2.4788658908245273E-8	 2.1517745147144597E-5	 1.1750541198410803E-6	 3.64404229469915E-4	 0.7428851026102213	 0.0	 0.023206058858903436	 0.0	 0.0	 0.0	 0.1958327079660221	 0.02662865469659672	 0.009596174328981907	 6.207243566666048E-10	 7.205344298951988E-7	 8.705311385637649E-14	 2.4633310721595768E-8	 2.1382895468435865E-5	 1.1676901665345267E-6	 3.621205425441676E-4	 0.7382295117609294	 0.006266905653288692	 0.023060628677449933	 0.0	 0.0	 0.0	 0.0944363816853577	 0.1211319883858984	 0.04449476706899456	 3.55515455087577E-9	 3.728163421539397E-6	 4.222338215537657E-12	 1.7287201978721554E-7	 1.442096930104743E-4	 1.0701754097764177E-5	 0.003134926982825859	 0.7366431198349969	 0.0	 0.0	 0.0	 0.0	 0.0	 5.094763094042809E-6	 4.0643350755981015E-6	 -5.55	 0.0	 8.053593861952824E-4	 7.970774042119349E-4	 0.04325311427741519	 0.06481002634584089	 
