Kurbelwinkel [°KW]	pZyl_mess [bar]	pZyl_berech [bar]	pSaug [bar]	pAbg [bar]	T [K]	dQw [J/s]	V [m3]	m [kg]	R [J/kg/K]	mK [kg]	V_motor [m^3]	dm [kg/s]	Hub_E [m]	Hub_A [m]	alpha_E_vor	alpha_E_rück	alpha_A_vor	alpha_A_rück	T_Saug [K]	O2_Massenbruch	CO2_Massenbruch	H2O_Massenbruch	H_Massenbruch	O_Massenbruch	N_Massenbruch	H2_Massenbruch	OH_Massenbruch	CO_Massenbruch	NO_Massenbruch	N2_Massenbruch	Diesel_Massenbruch	RON_95_Massenbruch	AGR_intern_LWA_Massenbruch	AGR_extern_LWA_Massenbruch	feuchteLuft_LWA_Massenbruch
100.20000000000002	 8.682630668626993	 8.706505323550749	 2.2388943276117073	 2.7530143013666932	 1016.4189024477162	 -0.0	 0.0013000289257426947	 0.00398114085142089	 279.7155492647574	 0.00398114085142089	 0.0013028917136820044	 -1.831053281767962E-4	 6.109999999999805E-6	 0.0	 4.2315828147012355E-5	 4.2315828147012355E-5	 0.0	 0.0	 327.21657548600564	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
100.4	 8.659143818637572	 8.681445327922773	 2.213979230790371	 2.683963880814033	 1015.7336286988016	 0.0	 0.0013028869834361835	 0.00398109314978862	 279.7155492647574	 0.003981093149788602	 0.001305749771375493	 -0.001891668240808055	 0.0	 2.1468000000000083E-5	 0.0	 0.0	 1.486802289132723E-4	 1.486802289132723E-4	 327.21657548600564	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
100.6	 8.636033514232057	 8.656542077218761	 2.2140115593098795	 2.6839239788852978	 1015.0510536143065	 0.0	 0.0013057402820747196	 0.003981041923286885	 279.7155492647574	 0.003981041923286849	 0.0013086030700140295	 -0.0020261247077676386	 0.0	 2.3051999999999914E-5	 0.0	 0.0	 1.59650486161204E-4	 1.59650486161204E-4	 327.21657548600564	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
100.80000000000001	 8.613111726258289	 8.631794435045672	 2.214015957517675	 2.683908832451439	 1014.3711676684676	 0.0	 0.0013085887930172062	 0.003980987189543595	 279.7155492647574	 0.003980987189543541	 0.0013114515809565163	 -0.002159910095916931	 0.0	 2.4635999999999955E-5	 0.0	 0.0	 1.706207434091371E-4	 1.706207434091371E-4	 327.21657548600564	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.0	 8.590184494752412	 8.607201274768702	 2.2140046381707146	 2.6839127368415703	 1013.6939613708512	 0.0	 0.0013114324877905453	 0.0039809289660286675	 279.7155492647574	 0.0039809289660285956	 0.0013142952757298552	 -0.0022930304196358974	 0.0	 2.6219999999999996E-5	 0.0	 0.0	 1.8159100065707025E-4	 1.8159100065707025E-4	 327.21657548600564	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.20000000000002	 8.567074179578285	 8.582761479419473	 2.2139895440415294	 2.6839357162850632	 1013.0194252662949	 0.0	 0.0013142713380895974	 0.003980867270055457	 279.7155492647574	 0.003980867270055367	 0.0013171341260289073	 -0.0024254916387501596	 0.0	 2.780400000000004E-5	 0.0	 0.0	 1.925612579050034E-4	 1.925612579050034E-4	 327.21657548600564	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.4	 8.543697138253748	 8.55847394160514	 2.21395876504801	 2.6839435989072205	 1012.3475499348485	 0.0	 0.0013171053157771298	 0.003980802118782175	 279.7155492647574	 0.003980802118782067	 0.0013199681037164403	 -0.0025572996590833784	 0.0	 2.938799999999987E-5	 0.0	 0.0	 2.0353151515293505E-4	 2.0353151515293505E-4	 327.21657548600564	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.6	 8.52000481934907	 8.534337563418413	 2.213920648785486	 2.683938888794342	 1011.6783259917135	 0.0	 0.001319934392883759	 0.003980733529213299	 279.7155492647574	 0.0039807335292131735	 0.0013227971808230693	 -0.0026884603330038924	 0.0	 3.097199999999991E-5	 0.0	 0.0	 2.1450177240086823E-4	 2.1450177240086823E-4	 327.21657548600564	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.80000000000001	 8.496014579555212	 8.510351256348477	 2.2139162194256414	 2.6839442934825333	 1011.0117440871816	 0.0	 0.0013227585416078812	 0.003980661518200959	 279.7155492647574	 0.003980661518200814	 0.0013256213295471913	 -0.002818979459965386	 0.0	 3.255599999999995E-5	 0.0	 0.0	 2.2547202964880134E-4	 2.2547202964880134E-4	 327.21657548600564	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
102.0	 8.471828658358358	 8.486513941192804	 2.213926424221519	 2.6839844646265063	 1010.3477949065731	 0.0	 0.0013255777343155971	 0.003980586102446315	 279.7155492647574	 0.0039805861024461535	 0.001328440522254907	 -0.0029488627870420266	 0.0	 3.4139999999999995E-5	 0.0	 0.0	 2.364422868967345E-4	 2.364422868967345E-4	 327.21657548600564	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
