Zeit	dQIters	relaxationsFaktor	pSoll	pIst	dQ
83.4	 47.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 48.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 49.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 50.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 51.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 52.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 53.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 54.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 55.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 56.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 57.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 58.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 59.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 60.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 61.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 62.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 63.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 64.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 65.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 66.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 67.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 68.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 69.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 70.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 71.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 72.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 73.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 74.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 75.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 76.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 77.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 78.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 79.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 80.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 81.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 82.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 83.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 84.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 85.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 86.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 87.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 88.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 89.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 90.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 91.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 92.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 93.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 94.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 95.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 96.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 97.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 98.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 99.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
83.4	 100.0	 0.7	 1180107.1699188603	 NaN	 NaN	 
