vKurbelwinkel	p_Zyl_1	p_Ein	p_Aus
[KWnZOT]	[bar]	[bar]	[bar]
-343.9	2.3768	2.1866	2.8606
-343.8	2.3766	2.1861	2.8618
-343.7	2.3765	2.1856	2.8631
-343.6	2.3763	2.1851	2.8642
-343.5	2.376	2.1846	2.8654
-343.4	2.3758	2.1841	2.8664
-343.3	2.3757	2.1836	2.8675
-343.2	2.3755	2.1831	2.8685
-343.1	2.3753	2.1827	2.8695
-343	2.3749	2.1822	2.8704
-342.9	2.3745	2.1817	2.8713
-342.8	2.3741	2.1812	2.8722
-342.7	2.3736	2.1808	2.873
-342.6	2.3732	2.1803	2.8738
-342.5	2.3728	2.1798	2.8745
-342.4	2.3722	2.1794	2.8752
-342.3	2.3718	2.1789	2.8758
-342.2	2.3712	2.1784	2.8765
-342.1	2.3705	2.178	2.8771
-342	2.3697	2.1775	2.8776
-341.9	2.369	2.177	2.8781
-341.8	2.3682	2.1765	2.8786
-341.7	2.3673	2.176	2.879
-341.6	2.3664	2.1755	2.8794
-341.5	2.3653	2.175	2.8798
-341.4	2.3642	2.1745	2.88
-341.3	2.3631	2.174	2.8802
-341.2	2.3619	2.1735	2.8804
-341.1	2.3607	2.1729	2.8805
-341	2.3595	2.1724	2.8805
-340.9	2.3581	2.1719	2.8804
-340.8	2.3568	2.1714	2.8802
-340.7	2.3555	2.1709	2.8799
-340.6	2.354	2.1704	2.8797
-340.5	2.3526	2.1699	2.8793
-340.4	2.3511	2.1695	2.8789
-340.3	2.3496	2.169	2.8784
-340.2	2.3482	2.1685	2.8779
-340.1	2.3467	2.1681	2.8773
-340	2.3451	2.1676	2.8767
-339.9	2.3435	2.1672	2.876
-339.8	2.342	2.1667	2.8753
-339.7	2.3403	2.1663	2.8746
-339.6	2.3386	2.1659	2.8738
-339.5	2.3371	2.1654	2.873
-339.4	2.3356	2.165	2.8722
-339.3	2.334	2.1646	2.8714
-339.2	2.3324	2.1642	2.8705
-339.1	2.3307	2.1638	2.8697
-339	2.3291	2.1635	2.8688
-338.9	2.3275	2.1631	2.8679
-338.8	2.326	2.1628	2.867
-338.7	2.3245	2.1624	2.8661
-338.6	2.323	2.1621	2.8652
-338.5	2.3214	2.1617	2.8642
-338.4	2.32	2.1614	2.8633
-338.3	2.3185	2.1611	2.8623
-338.2	2.317	2.1608	2.8614
-338.1	2.3155	2.1604	2.8604
-338	2.314	2.1601	2.8594
-337.9	2.3125	2.1598	2.8584
-337.8	2.311	2.1594	2.8574
-337.7	2.3095	2.1591	2.8563
-337.6	2.3081	2.1588	2.8552
-337.5	2.3066	2.1584	2.8541
-337.4	2.3053	2.1581	2.8529
-337.3	2.304	2.1578	2.8517
-337.2	2.3026	2.1575	2.8505
-337.1	2.3013	2.1572	2.8493
-337	2.3	2.1569	2.8479
-336.9	2.2987	2.1566	2.8466
-336.8	2.2975	2.1563	2.8453
-336.7	2.2963	2.1559	2.8439
-336.6	2.2951	2.1556	2.8425
-336.5	2.2939	2.1552	2.8411
-336.4	2.2927	2.1549	2.8397
-336.3	2.2916	2.1545	2.8383
-336.2	2.2904	2.1541	2.8369
-336.1	2.2892	2.1538	2.8354
-336	2.2881	2.1534	2.8339
-335.9	2.287	2.153	2.8324
-335.8	2.2859	2.1527	2.831
-335.7	2.2847	2.1523	2.8295
-335.6	2.2836	2.152	2.8281
-335.5	2.2827	2.1517	2.8266
-335.4	2.2816	2.1514	2.8252
-335.3	2.2805	2.1511	2.8238
-335.2	2.2795	2.1509	2.8224
-335.1	2.2785	2.1506	2.821
-335	2.2775	2.1503	2.8196
-334.9	2.2766	2.1501	2.8182
-334.8	2.2757	2.1499	2.8168
-334.7	2.2748	2.1496	2.8154
-334.6	2.2738	2.1494	2.8141
-334.5	2.273	2.1492	2.8127
-334.4	2.2721	2.149	2.8112
-334.3	2.2713	2.1488	2.8098
-334.2	2.2705	2.1486	2.8083
-334.1	2.2696	2.1484	2.8068
-334	2.2688	2.1483	2.8053
-333.9	2.268	2.1482	2.8037
-333.8	2.2673	2.1481	2.8022
-333.7	2.2666	2.148	2.8006
-333.6	2.2659	2.148	2.799
-333.5	2.2652	2.1479	2.7973
-333.4	2.2646	2.1479	2.7956
-333.3	2.264	2.1478	2.7939
-333.2	2.2633	2.1478	2.7922
-333.1	2.2627	2.1478	2.7904
-333	2.2622	2.1478	2.7886
-332.9	2.2617	2.1478	2.787
-332.8	2.2612	2.1478	2.7852
-332.7	2.2606	2.1478	2.7834
-332.6	2.2602	2.1479	2.7817
-332.5	2.2598	2.148	2.78
-332.4	2.2594	2.1481	2.7783
-332.3	2.259	2.1483	2.7767
-332.2	2.2586	2.1485	2.7752
-332.1	2.2582	2.1487	2.7736
-332	2.2578	2.1489	2.7721
-331.9	2.2575	2.1492	2.7707
-331.8	2.2571	2.1495	2.7693
-331.7	2.2568	2.1498	2.768
-331.6	2.2566	2.1502	2.7667
-331.5	2.2563	2.1505	2.7655
-331.4	2.2561	2.1509	2.7644
-331.3	2.2559	2.1513	2.7633
-331.2	2.2558	2.1517	2.7623
-331.1	2.2557	2.1522	2.7613
-331	2.2556	2.1527	2.7603
-330.9	2.2555	2.1532	2.7594
-330.8	2.2555	2.1537	2.7585
-330.7	2.2554	2.1543	2.7577
-330.6	2.2554	2.1549	2.7568
-330.5	2.2555	2.1554	2.756
-330.4	2.2555	2.1561	2.7552
-330.3	2.2557	2.1567	2.7544
-330.2	2.2557	2.1573	2.7536
-330.1	2.2558	2.158	2.7528
-330	2.256	2.1587	2.7521
-329.9	2.2562	2.1594	2.7513
-329.8	2.2564	2.1601	2.7506
-329.7	2.2566	2.1608	2.7498
-329.6	2.2568	2.1615	2.749
-329.5	2.257	2.1622	2.7482
-329.4	2.2573	2.1629	2.7475
-329.3	2.2576	2.1637	2.7468
-329.2	2.2578	2.1644	2.746
-329.1	2.2581	2.1652	2.7453
-329	2.2586	2.166	2.7446
-328.9	2.2589	2.1668	2.7439
-328.8	2.2594	2.1676	2.7432
-328.7	2.2598	2.1685	2.7427
-328.6	2.2603	2.1693	2.7422
-328.5	2.2608	2.1702	2.7417
-328.4	2.2613	2.171	2.7412
-328.3	2.2618	2.1719	2.7408
-328.2	2.2623	2.1728	2.7405
-328.1	2.2629	2.1736	2.7402
-328	2.2635	2.1745	2.7399
-327.9	2.2642	2.1754	2.7397
-327.8	2.2649	2.1763	2.7396
-327.7	2.2656	2.1772	2.7395
-327.6	2.2663	2.1781	2.7394
-327.5	2.2669	2.179	2.7394
-327.4	2.2678	2.18	2.7395
-327.3	2.2687	2.1809	2.7396
-327.2	2.2694	2.1818	2.7397
-327.1	2.2701	2.1827	2.7399
-327	2.2709	2.1836	2.7401
-326.9	2.2718	2.1845	2.7404
-326.8	2.2729	2.1854	2.7407
-326.7	2.2738	2.1863	2.741
-326.6	2.2746	2.1872	2.7413
-326.5	2.2755	2.1881	2.7417
-326.4	2.2764	2.1889	2.742
-326.3	2.2772	2.1898	2.7424
-326.2	2.2779	2.1907	2.7429
-326.1	2.279	2.1916	2.7433
-326	2.2803	2.1925	2.7438
-325.9	2.282	2.1933	2.7442
-325.8	2.2833	2.1942	2.7447
-325.7	2.2832	2.1951	2.7452
-325.6	2.2836	2.196	2.7457
-325.5	2.2855	2.1969	2.7463
-325.4	2.2878	2.1978	2.7468
-325.3	2.2893	2.1986	2.7474
-325.2	2.29	2.1995	2.7481
-325.1	2.2902	2.2004	2.7488
-325	2.2905	2.2013	2.7495
-324.9	2.2916	2.2021	2.7502
-324.8	2.2932	2.203	2.7511
-324.7	2.2945	2.2039	2.7519
-324.6	2.2948	2.2048	2.7528
-324.5	2.2943	2.2057	2.7537
-324.4	2.2943	2.2066	2.7546
-324.3	2.2945	2.2075	2.7555
-324.2	2.2942	2.2084	2.7565
-324.1	2.2938	2.2093	2.7575
-324	2.2937	2.2102	2.7585
-323.9	2.2937	2.2111	2.7596
-323.8	2.2932	2.212	2.7606
-323.7	2.2927	2.2129	2.7617
-323.6	2.2917	2.2137	2.7628
-323.5	2.2906	2.2145	2.7638
-323.4	2.2903	2.2153	2.765
-323.3	2.2893	2.2161	2.7662
-323.2	2.2879	2.2169	2.7673
-323.1	2.2873	2.2177	2.7685
-323	2.2876	2.2185	2.7697
-322.9	2.2876	2.2192	2.7708
-322.8	2.2865	2.22	2.772
-322.7	2.2849	2.2207	2.7731
-322.6	2.284	2.2214	2.7743
-322.5	2.2846	2.2221	2.7754
-322.4	2.2852	2.2228	2.7766
-322.3	2.2853	2.2235	2.7778
-322.2	2.2857	2.2242	2.779
-322.1	2.2863	2.2248	2.7802
-322	2.2872	2.2254	2.7813
-321.9	2.2877	2.226	2.7826
-321.8	2.2877	2.2265	2.7837
-321.7	2.288	2.227	2.7849
-321.6	2.2901	2.2276	2.786
-321.5	2.2924	2.2281	2.7871
-321.4	2.2934	2.2285	2.7881
-321.3	2.2936	2.229	2.7892
-321.2	2.2939	2.2295	2.7902
-321.1	2.2944	2.2299	2.7912
-321	2.2955	2.2303	2.7921
-320.9	2.2978	2.2307	2.793
-320.8	2.2997	2.2311	2.794
-320.7	2.3002	2.2315	2.7949
-320.6	2.3001	2.2318	2.7957
-320.5	2.3006	2.2322	2.7965
-320.4	2.3021	2.2325	2.7973
-320.3	2.3032	2.2328	2.7981
-320.2	2.3042	2.2331	2.7989
-320.1	2.3057	2.2334	2.7997
-320	2.3073	2.2338	2.8006
-319.9	2.3081	2.234	2.8013
-319.8	2.3085	2.2343	2.8021
-319.7	2.3092	2.2346	2.8029
-319.6	2.3101	2.2348	2.8037
-319.5	2.311	2.235	2.8046
-319.4	2.3122	2.2353	2.8056
-319.3	2.3127	2.2356	2.8067
-319.2	2.3137	2.2358	2.8077
-319.1	2.3154	2.2361	2.8088
-319	2.3163	2.2364	2.8099
-318.9	2.3161	2.2367	2.8109
-318.8	2.316	2.2369	2.8121
-318.7	2.3173	2.2371	2.8132
-318.6	2.3196	2.2374	2.8144
-318.5	2.3215	2.2376	2.8157
-318.4	2.322	2.2379	2.8169
-318.3	2.3223	2.2381	2.8182
-318.2	2.3233	2.2384	2.8194
-318.1	2.3242	2.2386	2.8205
-318	2.3255	2.2389	2.8218
-317.9	2.3263	2.2391	2.8229
-317.8	2.3271	2.2394	2.824
-317.7	2.3279	2.2397	2.825
-317.6	2.3287	2.24	2.8259
-317.5	2.3294	2.2403	2.8268
-317.4	2.3299	2.2407	2.8276
-317.3	2.3303	2.241	2.8283
-317.2	2.3305	2.2414	2.829
-317.1	2.3309	2.2417	2.8296
-317	2.3318	2.2421	2.8301
-316.9	2.3329	2.2425	2.8306
-316.8	2.3334	2.2428	2.8311
-316.7	2.3331	2.2432	2.8315
-316.6	2.3333	2.2435	2.8318
-316.5	2.334	2.2439	2.8321
-316.4	2.3348	2.2442	2.8324
-316.3	2.3356	2.2446	2.8327
-316.2	2.3363	2.2449	2.833
-316.1	2.3367	2.2453	2.8333
