Kurbelwinkel [°KW]	pZyl_mess [bar]	pZyl_berech [bar]	pSaug [bar]	pAbg [bar]	T [K]	dQw [J/s]	V [m3]	m [kg]	R [J/kg/K]	mK [kg]	V_motor [m^3]	dm [kg/s]	Hub_E [m]	Hub_A [m]	alpha_E_vor	alpha_E_rück	alpha_A_vor	alpha_A_rück	T_Saug [K]	O2_Massenbruch	CO2_Massenbruch	H2O_Massenbruch	H_Massenbruch	O_Massenbruch	N_Massenbruch	H2_Massenbruch	OH_Massenbruch	CO_Massenbruch	NO_Massenbruch	N2_Massenbruch	Ar_Massenbruch	Diesel_Massenbruch	RON_95_Massenbruch	AGR_intern_LWA_Massenbruch	AGR_extern_LWA_Massenbruch	feuchteLuft_LWA_Massenbruch
100.19999999999999	 8.978035199087772	 9.002613485524387	 2.2593403798188842	 2.751600479274	 1019.35721287145	 -0.0	 0.0013000289257426947	 0.004109839785765048	 279.36392761135596	 0.004109839785765049	 0.0013028917136820044	 -1.857578881711002E-4	 6.110000000000001E-6	 0.0	 4.231582814701371E-5	 4.231582814701371E-5	 0.0	 0.0	 321.75948282954533	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
100.4	 8.953752367097481	 8.976729231390973	 2.233854884994527	 2.685970936451604	 1018.6731434513215	 0.0	 0.0013028869834361835	 0.0041097905246022795	 279.36392761135596	 0.004109790524602262	 0.001305749771375493	 -0.0019536680579967072	 0.0	 2.1468000000000042E-5	 0.0	 0.0	 1.48680228913272E-4	 1.48680228913272E-4	 321.75948282954533	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
100.6	 8.929736888181997	 8.951006800044937	 2.233851676420348	 2.6858345921565183	 1017.9917660683014	 0.0	 0.0013057402820747198	 0.004109737623252174	 279.36392761135596	 0.004109737623252139	 0.0013086030700140295	 -0.002092534435352383	 0.0	 2.3051999999999958E-5	 0.0	 0.0	 1.596504861612043E-4	 1.596504861612043E-4	 321.75948282954533	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
100.79999999999998	 8.90592217957569	 8.925445018896472	 2.2338339821971034	 2.685734431002656	 1017.3130712333023	 0.0	 0.0013085887930172062	 0.004109681099908597	 279.36392761135596	 0.004109681099908541	 0.001311451580956516	 -0.0022307081334092885	 0.0	 2.463599999999987E-5	 0.0	 0.0	 1.7062074340913654E-4	 1.7062074340913654E-4	 321.75948282954533	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.0	 8.882208927972693	 8.900042725419938	 2.2338073953559108	 2.685663893525992	 1016.6370494923481	 0.0	 0.0013114324877905455	 0.004109620972602385	 279.36392761135596	 0.004109620972602311	 0.0013142952757298552	 -0.0023681953585529634	 0.0	 2.6219999999999996E-5	 0.0	 0.0	 1.8159100065707025E-4	 1.8159100065707025E-4	 321.75948282954533	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.19999999999999	 8.858523981096313	 8.874798767059227	 2.2337826003106716	 2.6856310796578042	 1015.9636914265177	 0.0	 0.0013142713380895974	 0.004109557259202833	 279.36392761135596	 0.00410955725920274	 0.0013171341260289071	 -0.0025050022608882096	 0.0	 2.7803999999999912E-5	 0.0	 0.0	 1.925612579050025E-4	 1.925612579050025E-4	 321.75948282954533	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.39999999999998	 8.834770293498945	 8.849712001134053	 2.2337613872505515	 2.6856269511283353	 1015.292987651886	 0.0	 0.00131710531577713	 0.004109489977419147	 279.36392761135596	 0.004109489977419036	 0.00131996810371644	 -0.002641134934808936	 0.0	 2.9387999999999828E-5	 0.0	 0.0	 2.0353151515293478E-4	 2.0353151515293478E-4	 321.75948282954533	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.6	 8.810872209680698	 8.82478129474721	 2.2337523827199655	 2.685649163061002	 1014.6249288194655	 0.0	 0.0013199343928837594	 0.004109419144801905	 279.36392761135596	 0.004109419144801777	 0.0013227971808230693	 -0.0027765994195618465	 0.0	 3.0971999999999954E-5	 0.0	 0.0	 2.145017724008685E-4	 2.145017724008685E-4	 321.75948282954533	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.79999999999998	 8.78682622164087	 8.800005524692741	 2.233748085771674	 2.685691096480212	 1013.9595056151454	 0.0	 0.0013227585416078814	 0.004109344778744484	 279.36392761135596	 0.004109344778744336	 0.0013256213295471913	 -0.002911401699804134	 0.0	 3.255599999999987E-5	 0.0	 0.0	 2.2547202964880077E-4	 2.2547202964880077E-4	 321.75948282954533	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.99999999999997	 8.762634821932707	 8.775383577365025	 2.233749626834965	 2.6857394769487923	 1013.2967087596311	 0.0	 0.0013255777343155971	 0.004109266896484482	 279.36392761135596	 0.004109266896484316	 0.0013284405222549068	 -0.003045547706155422	 0.0	 3.4139999999999785E-5	 0.0	 0.0	 2.3644228689673303E-4	 2.3644228689673303E-4	 321.75948282954533	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
