vKurbelwinkel	p_Zyl_1 	p_Ein 	p_Aus 
[KWnZOT]	[bar]	[bar]	[bar]
-344	2.2739	2.1764	0.98964
-343.9	2.274	2.1757	0.98967
-343.8	2.2741	2.175	0.98967
-343.7	2.2742	2.1744	0.98964
-343.6	2.2743	2.1737	0.98963
-343.5	2.2743	2.1731	0.98966
-343.4	2.2743	2.1725	0.98962
-343.3	2.2744	2.1719	0.98963
-343.2	2.2745	2.1713	0.98962
-343.1	2.2745	2.1707	0.98964
-343	2.2744	2.1702	0.98967
-342.9	2.2743	2.1697	0.98967
-342.8	2.2742	2.1691	0.98967
-342.7	2.274	2.1686	0.9897
-342.6	2.2739	2.1681	0.98966
-342.5	2.2737	2.1676	0.98969
-342.4	2.2735	2.1671	0.9897
-342.3	2.2732	2.1666	0.98967
-342.2	2.2729	2.1661	0.98968
-342.1	2.2724	2.1656	0.98967
-342	2.272	2.1651	0.9897
-341.9	2.2714	2.1646	0.9897
-341.8	2.271	2.1642	0.98971
-341.7	2.2704	2.1637	0.9897
-341.6	2.2697	2.1633	0.98975
-341.5	2.2689	2.1628	0.98969
-341.4	2.2682	2.1623	0.98968
-341.3	2.2674	2.1619	0.98969
-341.2	2.2666	2.1614	0.98967
-341.1	2.2657	2.161	0.98963
-341	2.2648	2.1605	0.98966
-340.9	2.2638	2.16	0.98965
-340.8	2.2628	2.1596	0.98965
-340.7	2.2618	2.1591	0.98963
-340.6	2.2607	2.1586	0.98965
-340.5	2.2596	2.1581	0.98964
-340.4	2.2586	2.1576	0.98959
-340.3	2.2574	2.1571	0.98957
-340.2	2.2562	2.1567	0.98961
-340.1	2.255	2.1562	0.98957
-340	2.2538	2.1557	0.98952
-339.9	2.2526	2.1553	0.98956
-339.8	2.2513	2.1548	0.98955
-339.7	2.2502	2.1544	0.98951
-339.6	2.2489	2.154	0.98955
-339.5	2.2475	2.1536	0.98955
-339.4	2.2462	2.1532	0.98953
-339.3	2.2449	2.1528	0.98954
-339.2	2.2436	2.1524	0.98957
-339.1	2.2422	2.152	0.98959
-339	2.2408	2.1516	0.98958
-338.9	2.2395	2.1512	0.98958
-338.8	2.238	2.1509	0.98962
-338.7	2.2365	2.1505	0.98958
-338.6	2.2351	2.1502	0.98957
-338.5	2.2337	2.1499	0.9896
-338.4	2.2322	2.1495	0.98959
-338.3	2.2309	2.1492	0.98957
-338.2	2.2294	2.1489	0.98958
-338.1	2.2279	2.1486	0.98955
-338	2.2265	2.1484	0.98958
-337.9	2.2252	2.1481	0.98956
-337.8	2.2239	2.1478	0.98957
-337.7	2.2225	2.1475	0.98959
-337.6	2.221	2.1472	0.98955
-337.5	2.2197	2.1469	0.9895
-337.4	2.2184	2.1466	0.98954
-337.3	2.2171	2.1463	0.98949
-337.2	2.2156	2.146	0.98944
-337.1	2.2144	2.1457	0.98946
-337	2.2131	2.1454	0.98945
-336.9	2.2119	2.1451	0.98941
-336.8	2.2106	2.1448	0.98939
-336.7	2.2095	2.1445	0.98936
-336.6	2.2083	2.1442	0.98934
-336.5	2.2072	2.1439	0.98933
-336.4	2.2061	2.1436	0.98932
-336.3	2.205	2.1433	0.98933
-336.2	2.2039	2.1429	0.98935
-336.1	2.2027	2.1426	0.98929
-336	2.2017	2.1422	0.98932
-335.9	2.2006	2.1419	0.98935
-335.8	2.1995	2.1416	0.98934
-335.7	2.1984	2.1412	0.98936
-335.6	2.1974	2.1409	0.98939
-335.5	2.1964	2.1405	0.98938
-335.4	2.1953	2.1402	0.9894
-335.3	2.1943	2.1399	0.98941
-335.2	2.1932	2.1395	0.98942
-335.1	2.1922	2.1392	0.98946
-335	2.1911	2.1389	0.98947
-334.9	2.19	2.1387	0.9895
-334.8	2.1889	2.1384	0.98948
-334.7	2.1879	2.1381	0.9895
-334.6	2.187	2.1378	0.98953
-334.5	2.186	2.1376	0.98956
-334.4	2.1851	2.1373	0.98956
-334.3	2.1843	2.1371	0.9896
-334.2	2.1832	2.1369	0.98961
-334.1	2.1824	2.1367	0.98964
-334	2.1817	2.1365	0.98967
-333.9	2.1809	2.1363	0.98969
-333.8	2.1801	2.1362	0.98971
-333.7	2.1792	2.136	0.98974
-333.6	2.1783	2.1359	0.98974
-333.5	2.1776	2.1358	0.98978
-333.4	2.1768	2.1357	0.98977
-333.3	2.1762	2.1357	0.98976
-333.2	2.1755	2.1356	0.98977
-333.1	2.1749	2.1356	0.9898
-333	2.1742	2.1355	0.98975
-332.9	2.1736	2.1355	0.98974
-332.8	2.1729	2.1355	0.98975
-332.7	2.1723	2.1355	0.98974
-332.6	2.1717	2.1356	0.98972
-332.5	2.1713	2.1356	0.98974
-332.4	2.1707	2.1356	0.98971
-332.3	2.1702	2.1357	0.98969
-332.2	2.1695	2.1358	0.98965
-332.1	2.1689	2.1359	0.98964
-332	2.1684	2.1361	0.98967
-331.9	2.1679	2.1363	0.98963
-331.8	2.1675	2.1364	0.98961
-331.7	2.167	2.1367	0.98962
-331.6	2.1666	2.1369	0.98959
-331.5	2.1663	2.1372	0.98958
-331.4	2.1658	2.1375	0.98962
-331.3	2.1655	2.1378	0.98959
-331.2	2.1652	2.1381	0.98961
-331.1	2.165	2.1385	0.98962
-331	2.1648	2.1388	0.98957
-330.9	2.1647	2.1392	0.98956
-330.8	2.1647	2.1396	0.98953
-330.7	2.1647	2.1401	0.98953
-330.6	2.1647	2.1405	0.98952
-330.5	2.1648	2.141	0.9895
-330.4	2.1649	2.1415	0.98948
-330.3	2.165	2.142	0.98948
-330.2	2.165	2.1425	0.98947
-330.1	2.1651	2.1431	0.98947
-330	2.1653	2.1437	0.98947
-329.9	2.1655	2.1443	0.98947
-329.8	2.1657	2.1449	0.98946
-329.7	2.166	2.1455	0.98945
-329.6	2.1664	2.1461	0.98946
-329.5	2.1668	2.1468	0.98944
-329.4	2.167	2.1474	0.98941
-329.3	2.1674	2.1481	0.98943
-329.2	2.1678	2.1488	0.98943
-329.1	2.1682	2.1495	0.98944
-329	2.1688	2.1502	0.9894
-328.9	2.1695	2.151	0.98945
-328.8	2.17	2.1517	0.98944
-328.7	2.1707	2.1525	0.98946
-328.6	2.1713	2.1533	0.98946
-328.5	2.1719	2.1541	0.98949
-328.4	2.1726	2.155	0.98949
-328.3	2.1731	2.1558	0.98952
-328.2	2.1738	2.1566	0.98954
-328.1	2.1747	2.1575	0.9896
-328	2.1755	2.1584	0.98962
-327.9	2.1762	2.1593	0.98962
-327.8	2.1769	2.1602	0.98966
-327.7	2.1778	2.1611	0.98971
-327.6	2.1787	2.162	0.98976
-327.5	2.1796	2.163	0.98977
-327.4	2.1807	2.1639	0.98976
-327.3	2.1818	2.1648	0.98977
-327.2	2.1826	2.1658	0.98981
-327.1	2.1838	2.1667	0.98978
-327	2.1852	2.1676	0.98975
-326.9	2.1853	2.1686	0.98977
-326.8	2.1835	2.1695	0.98978
-326.7	2.1823	2.1704	0.98979
-326.6	2.183	2.1714	0.9898
-326.5	2.1846	2.1723	0.98976
-326.4	2.187	2.1732	0.98977
-326.3	2.1892	2.1741	0.98979
-326.2	2.191	2.175	0.98975
-326.1	2.192	2.1758	0.98971
-326	2.1923	2.1767	0.9897
-325.9	2.1918	2.1776	0.98973
-325.8	2.1916	2.1785	0.98974
-325.7	2.1919	2.1793	0.98971
-325.6	2.1927	2.1802	0.98973
-325.5	2.1937	2.1811	0.98973
-325.4	2.1943	2.182	0.98974
-325.3	2.1948	2.183	0.98973
