Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	 kappa [-]	dQw [J/s]	dQw [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Alpha [W/(m^2K)]
-165.0	 0.0	 4.854192605044447E-4	 0.4610746369280974	 0.0	 0.0	 21.101497240447035	 1.3189239550491327	 0.0	 0.0	 0.0	 0.0	 0.05115549591835188	 68.3389018271082	 
-164.9	 8.387080470791317E-6	 4.853498809231423E-4	 0.4606548219186073	 -18273.80473	 -1.5326387077803698	 20.79496949889096	 1.3190126768961572	 55.73327327148002	 0.0046743944782850575	 4.6743944782850577E-4	 0.0	 0.050412393262964136	 68.32566189712155	 
-164.8	 1.6774160941582634E-5	 4.8528001145786015E-4	 0.4597314821599126	 -18273.80473	 -1.5326387077803698	 20.488441757334886	 1.3191935564434034	 52.96292223442467	 0.004442042907483823	 9.116437385768882E-4	 0.0	 0.04966929060757639	 68.29065343606462	 
-164.7	 2.516124141237395E-5	 4.852096520815284E-4	 0.45880803674101206	 -18273.80473	 -1.5326387077803698	 20.485892145904568	 1.3193746711575776	 50.19505711516732	 0.004209899832608745	 0.001332633721837763	 0.0	 0.04966310968896048	 68.2556190662577	 
-164.6	 3.354832188316527E-5	 4.851388027670699E-4	 0.45820378007357593	 -6712.942413000654	 -0.5630198821362452	 20.58030441703866	 1.3194975443468273	 48.32092804165501	 0.004052715119086772	 0.0017379052337464403	 0.0	 0.04989198949287245	 68.23441589360993	 
-164.5	 4.193540235395659E-5	 4.85067463487401E-4	 0.4579191722890464	 -6712.942413	 -0.5630198821361904	 20.57833193568712	 1.3195619998425494	 47.3392996090972	 0.003970385152523981	 0.0021349437489988385	 0.0	 0.049887207687080284	 68.22710173201057	 
-164.4	 5.03224828247479E-5	 4.8499563421543397E-4	 0.4576350607863892	 -6712.942413	 -0.5630198821361904	 20.57635945433558	 1.3196264561519122	 46.35838738984433	 0.0038881152553474183	 0.0025237552745335803	 0.0	 0.04988242588128812	 68.21983805976252	 
-164.3	 5.870956329553922E-5	 4.849233149240796E-4	 0.4573514448333535	 -6712.942413	 -0.5630198821361904	 20.57438697298404	 1.319690913212731	 45.378206620826965	 0.0038059067054907105	 0.0029043459450826515	 0.0	 0.04987764407549595	 68.21262487379789	 
-164.2	 6.709664376633054E-5	 4.848505055862489E-4	 0.4570683237006182	 -6712.942413	 -0.5630198821361904	 20.5724144916325	 1.3197553709627465	 44.398756573783366	 0.0037237594418739603	 0.0032767218892700476	 0.0	 0.049872862269703784	 68.20546217132637	 
-164.1	 7.548372423712185E-5	 4.8477720617485663E-4	 0.45705888137266204	 3148.6585209994437	 0.26408052390665104	 20.653152050885243	 1.3197700927203357	 44.179618110917175	 0.003705380122650918	 0.0036472599015351394	 6.960505190627982E-5	 0.05006859102940974	 68.21025230093012	 
