Kurbelwinkel	p_Zyl_1	p_ein_1	p_aus_1	ZZP_1	ti_1	Inj_1	Optiktrigger_1
[KWnZOT]	[bar]	[bar]	[bar]	[V]	[V]	[V]	[V]
-20,000000	6,907177	0,406885	0,936184	0,020753	9,991454	10,809985	-0,011353
-19,900000	6,931592	0,406885	0,936336	0,020753	9,990233	10,797778	-0,011353
-19,800000	6,962113	0,406885	0,936489	0,020753	9,990233	10,797778	-0,011353
-19,700000	6,986528	0,406885	0,936489	0,020753	9,990233	10,773363	-0,011353
-19,600000	7,017048	0,407007	0,936642	0,018312	9,990233	10,761155	-0,011353
-19,500000	7,041463	0,407007	0,936642	0,020753	9,990233	10,773363	-0,011353
-19,400000	7,065878	0,407007	0,936642	0,020753	9,990233	10,761155	-0,011353
-19,300000	7,090293	0,407007	0,936947	0,020753	9,990233	10,748947	-0,011353
-19,200000	7,120814	0,407007	0,936947	0,018312	9,990233	10,748947	-0,011353
-19,100000	7,145229	0,407007	0,936947	0,020753	9,991454	10,736740	-0,011353
-19,000000	7,169644	0,407129	0,937099	0,018312	9,991454	10,736740	-0,011353
-18,900000	7,194061	0,407129	0,937252	0,020753	9,991454	10,724531	-0,011353
-18,800000	7,218476	0,407251	0,937252	0,018312	9,991454	10,712323	-0,011353
-18,700000	7,242891	0,407373	0,937252	0,020753	9,991454	10,724531	-0,011353
-18,600000	7,267306	0,407496	0,937252	0,018312	9,991454	10,712323	-0,011353
-18,500000	7,291723	0,407618	0,937252	0,020753	9,991454	10,700116	-0,011353
-18,400000	7,316138	0,407740	0,937252	0,018312	9,991454	10,724531	-0,011353
-18,300000	7,346658	0,407862	0,937405	0,018312	9,991454	10,712323	-0,011353
-18,200000	7,371073	0,407984	0,937557	0,018312	9,991454	10,712323	-0,011353
-18,100000	7,395488	0,407984	0,937557	0,020753	9,991454	10,712323	-0,011353
-18,000000	7,426009	0,407984	0,937557	0,018312	9,991454	10,700116	-0,011353
-17,900000	7,450424	0,408106	0,937710	0,020753	9,991454	10,712323	-0,011353
-17,800000	7,474839	0,408106	0,937710	0,020753	9,991454	10,700116	-0,011353
-17,700000	7,499255	0,408106	0,937710	0,018312	9,991454	10,675701	-0,011353
-17,600000	7,523671	0,408106	0,937862	0,018312	9,991454	10,687908	-0,011353
-17,500000	7,554189	0,408106	0,937862	0,020753	9,991454	10,675701	-0,011353
-17,400000	7,578604	0,408228	0,937862	0,020753	9,991454	10,663492	-0,011353
-17,300000	7,603021	0,408228	0,938015	0,018312	9,991454	10,675701	-0,011353
-17,200000	7,627436	0,408228	0,938015	0,018312	9,991454	10,675701	-0,011353
-17,100000	7,657956	0,408228	0,938015	0,020753	9,991454	10,663492	-0,011353
-17,000000	7,682372	0,408228	0,938168	0,020753	9,991454	10,675701	-0,011353
-16,900000	7,706787	0,408228	0,938168	0,018312	9,991454	10,663492	-0,011353
-16,800000	7,737307	0,408350	0,938168	0,018312	9,991454	10,663492	-0,011353
-16,700000	7,761722	0,408350	0,938168	0,018312	9,991454	10,651284	-0,011353
-16,600000	7,786137	0,408472	0,938320	0,020753	9,991454	10,639077	-0,011353
-16,500000	7,816658	0,408472	0,938320	0,018312	9,991454	10,651284	-0,011353
-16,400000	7,841073	0,408594	0,938320	0,018312	9,991454	10,639077	-0,011353
-16,300000	7,871591	0,408716	0,938320	0,018312	9,991454	10,626869	-0,011353
-16,200000	7,896008	0,408716	0,938320	0,018312	9,991454	10,639077	-0,011353
-16,100000	7,920423	0,408716	0,938473	0,018312	9,991454	10,626869	-0,011353
-16,000000	7,950942	0,408838	0,938625	0,018312	9,991454	10,626869	-0,011353
-15,900000	7,975358	0,408838	0,938778	0,020753	9,991454	10,626869	-0,011353
-15,800000	7,999774	0,408838	0,938778	0,018312	9,991454	10,626869	-0,011353
-15,700000	8,030293	0,408838	0,938931	0,018312	9,991454	10,639077	-0,011353
-15,600000	8,054709	0,408838	0,938931	0,020753	9,991454	10,626869	-0,011353
-15,500000	8,079124	0,408838	0,938931	0,020753	9,991454	10,626869	-0,011353
-15,400000	8,109645	0,408716	0,939083	0,018312	9,991454	10,639077	-0,011353
-15,300000	8,134060	0,408716	0,939236	0,018312	9,991454	10,626869	-0,011353
-15,200000	8,158475	0,408716	0,939236	0,018312	9,991454	10,626869	-0,011353
-15,100000	8,182890	0,408594	0,939388	0,020753	9,991454	10,639077	-0,011353
-15,000000	8,207307	0,408594	0,939388	0,018312	9,991454	10,639077	-0,011353
-14,900000	8,237825	0,408594	0,939541	0,018312	9,991454	10,651284	-0,011353
-14,800000	8,262240	0,408594	0,939694	0,018312	9,991454	10,639077	-0,011353
