Crank	TKE	EPS	Intensty
[CADaTDCF]	[m^2/s^2]	[m^2/s^3]	[m/s]
-55.9948	15.5918	3771.91	3.13744
-55.4818	15.6434	3823.75	3.14239
-54.9688	15.6929	3874.88	3.14714
-54.4558	15.7433	3925.95	3.15194
-53.9998	15.7884	3971.55	3.15621
-53.4868	15.8408	4023.69	3.16114
-52.9738	15.8918	4076.22	3.16596
-52.4608	15.9423	4129.65	3.17072
-51.9478	15.9929	4184.35	3.1755
-51.4918	16.038	4234.18	3.17976
-50.9788	16.0893	4291.77	3.18458
-50.4658	16.1409	4351.09	3.18943
-49.9813	16.19	4448.78	3.19613
-49.4559	16.2399	4521.44	3.20092
-48.9999	16.2838	4588.47	3.20506
-48.4869	16.3307	4663.1	3.20946
-47.9739	16.3776	4737.09	3.21382
-47.4609	16.4247	4811.02	3.21817
-46.9479	16.4699	4884.88	3.22233
-46.4919	16.5086	4951.01	3.2259
-45.9789	16.5539	5027.15	3.23003
-45.4659	16.5961	5104.19	3.2339
-44.9529	16.6401	5183.71	3.2379
-44.4969	16.6764	5255.37	3.24123
-43.9839	16.7175	5338.28	3.24497
-43.4994	16.7553	5475.24	3.25081
-42.943	16.7946	5583.36	3.25446
-42.487	16.8247	5675.71	3.2572
-41.974	16.8569	5778.76	3.26011
-41.461	17.0586	6127.99	3.27475
-40.948	19.2476	18622	3.3702
-40.492	23.8419	66882.7	3.52413
-39.979	27.1292	96664.7	3.65669
-39.466	28.0406	85008.6	3.7373
-38.953	27.7741	66666.4	3.77836
-38.4767	27.2705	53696.7	3.7967
-37.9981	26.928	45633.3	3.8104
-37.4851	26.5918	39454.6	3.8197
-36.9721	26.2395	33645.9	3.83028
-36.4591	25.8944	30457.8	3.82864
-35.9461	25.5784	28015.6	3.82495
-35.4901	25.321	26292	3.82055
-34.9771	25.0413	24708.6	3.81393
-34.4641	24.7722	23422.1	3.80584
-33.9511	24.5121	22367.9	3.79659
-33.4951	24.2848	21586.4	3.78738
-32.9821	24.0321	20848.3	3.77603
-32.4691	23.7787	20227.1	3.76353
-31.9561	23.5242	19697.5	3.74998
-31.4431	23.2669	19238.3	3.73541
-30.9871	23.0362	18909.9	3.72559
-30.4741	22.7711	18606	3.70896
-29.9611	22.4989	18328.8	3.69115
-29.4481	22.2221	18050.2	3.67234
-28.9921	21.9739	17801	3.65495
-28.4791	21.6935	17521.4	3.63477
-27.9661	21.4129	17245	3.61407
-27.4531	21.1339	16975.5	3.59299
-26.9971	20.8883	16742.7	3.57405
-26.4841	20.6146	16488.7	3.55252
-25.9711	20.3439	16243.2	3.5308
-25.4581	20.076	16005.6	3.50889
-24.9451	19.8119	15776.5	3.48736
-24.4891	19.5778	15676.7	3.47035
-23.9761	19.3155	15497.1	3.44771
-23.4631	19.0551	15314.1	3.42474
-22.9501	18.7976	15124.2	3.40156
-22.4941	18.572	14952	3.38088
-21.9811	18.3219	14755.6	3.35757
-21.4681	18.0764	14559.2	3.3343
-20.9551	17.8355	14363.4	3.31109
-20.4991	17.6254	14190.6	3.29054
-19.9861	17.3933	13997.6	3.2675
-19.4731	17.1657	13806.5	3.24458
-18.9601	16.9429	13617.3	3.22178
-18.4471	16.7225	13514.2	3.20224
-17.9911	16.526	13360.2	3.18169
-17.4781	16.3065	13192.5	3.15841
-16.9651	16.0889	13018.4	3.13495
-16.4521	15.8733	12835.8	3.11136
-15.9961	15.6838	12667	3.09035
-15.4831	15.4732	12470	3.06667
-14.9701	15.265	12265.9	3.04293
-14.4571	15.0588	12056	3.01913
-13.9441	14.8534	11840.5	2.99517
-13.4881	14.6704	11645.4	2.97367
-12.9751	14.4652	11424.5	2.94935
-12.4621	14.2619	11202	2.92497
-11.9491	14.0604	10976.3	2.9005
-11.4931	13.8816	10812.7	2.88189
-10.9801	13.6807	10586	2.85689
-10.4671	13.4839	10356	2.83204
-9.95408	13.2913	10127	2.80743
-9.49808	13.1221	9923.51	2.78563
-8.98508	12.9323	9693.42	2.76104
-8.47208	12.7426	9461.79	2.73633
-7.95908	12.5527	9228.88	2.71148
-7.44608	12.3626	8995.23	2.68648
-6.99008	12.1929	8787.24	2.6641
-6.47708	12.0008	8553.56	2.63872
-5.96408	11.8078	8321	2.61314
-5.45108	11.6135	8090.32	2.58733
-4.99508	11.4395	7887.42	2.5642
-4.48208	11.2428	7662.4	2.538
-3.96908	11.0501	7445.4	2.51214
-3.45608	10.8584	7239.17	2.48641
-2.9836	10.6992	7073.96	2.46471
-2.49871	10.5495	6928.3	2.44425
-1.99302	10.422	6828.52	2.42672
-1.48145	10.2669	6723.39	2.40678
-0.98944	10.1267	6644.72	2.38856
-0.471185	9.98064	6596.9	2.37035
0.0481982	9.82423	6588.23	2.35237
0.553101	9.66863	6585.81	2.33415
1.03966	9.50981	6581.53	2.31528
1.55087	9.34234	6601.57	2.29559
2.00612	9.19042	6620.6	2.27757
2.51912	8.99986	6587.37	2.25408
3.03212	8.79464	6498.22	2.22775
3.53051	8.5909	6381.96	2.20106
4.04204	8.38196	6241.67	2.17322
4.55504	8.1722	6075.9	2.14464
5.01104	7.98757	5911.64	2.11895
5.52404	7.78787	5729.38	2.09076
6.03704	7.59222	5543.37	2.06277
6.55004	7.40129	5355.67	2.03504
7.00604	7.23793	5197.2	2.01104
7.51904	7.06178	5030.01	1.98486
8.03204	6.89437	4879.11	1.95971
8.54504	6.73275	4737.63	1.93521
9.03368	9.36201	51981	2.00828
9.50292	11.486	125464	2.08527
10.0312	12.2904	129409	2.13036
10.5358	12.7924	126398	2.16215
11.0301	13.1602	122467	2.18705
11.5431	13.4511	118150	2.20943
12.0561	13.7527	115784	2.23096
12.5121	14.0655	115518	2.24988
13.0251	14.4421	116314	2.27065
13.5381	14.8303	117741	2.29081
14.0511	15.2244	119533	2.31049
14.5071	15.5805	121212	2.3279
15.0225	16.5593	162884	2.35797
15.5199	17.8555	182610	2.40245
16.0193	18.9424	193416	2.44824
16.5009	19.7596	196448	2.49038
17.0017	20.5678	201929	2.53511
17.5043	21.2066	202829	2.5772
18.0089	21.7653	202510	2.61815
18.516	22.2928	202055	2.65854
19.0259	22.8282	202085	2.69933
19.5385	23.3896	202711	2.74097
20.0204	23.7865	196681	2.77759
20.5231	24.5038	230738	2.8214
21.0377	25.6795	246083	2.87275
21.5022	26.5813	253018	2.92064
22.02	27.5232	258758	2.97565
22.5401	28.4177	262851	3.03193
23.0107	29.2048	265887	3.08341
23.5364	30.0899	269313	3.14172
24.0123	30.9172	272861	3.19558
24.5442	31.8866	277532	3.25715
25.0259	32.8094	282456	3.31386
25.5104	33.7844	288102	3.37148
26.036	34.5214	301358	3.43445
26.5201	36.0263	326921	3.49052
27.0096	37.2059	335387	3.54636
27.5002	38.4031	344269	3.60433
28.0487	39.7854	355444	3.67074
28.5457	41.0619	366000	3.73139
29.0462	42.3669	376860	3.79271
29.5501	43.6983	387878	3.85496
30.0007	44.9012	397915	3.91072
30.5108	46.2733	409168	3.97402
31.0235	47.6568	420051	4.03772
31.51	48.0645	398962	4.10741
32.035	50.4868	461834	4.16914
32.547	51.8739	469452	4.22546
33.0024	53.0952	476718	4.27825
33.5152	54.4854	485619	4.33916
34.0282	55.8372	494166	4.3997
34.5412	57.1139	501731	4.45894
35.0542	58.2811	507766	4.51549
35.5102	59.2268	511870	4.56357
36.0232	60.193	515552	4.61477
36.5362	61.0647	518475	4.66297
37.0238	60.6211	461662	4.72819
37.5069	62.5508	539193	4.76377
38.0199	63.3726	543349	4.79548
38.5329	63.9635	542921	4.82781
39.0459	64.5978	543923	4.86278
39.5019	65.2085	545667	4.89551
40.0149	65.9532	548730	4.93335
40.5279	66.7375	552787	4.97149
41.0409	67.5519	557577	5.00916
41.5539	68.3806	563009	5.04579
42.0099	69.1306	568348	5.07756
42.5229	69.9713	574752	5.11171
43.0201	70.14	553455	5.16441
43.5281	72.2007	611030	5.19806
44.0411	73.0829	618613	5.2208
44.5541	73.8415	625087	5.24344
45.0101	74.4836	630538	5.26378
45.5231	75.1717	635974	5.28679
46.0361	75.8132	640539	5.30925
46.5491	76.4069	643679	5.33117
47.0051	76.8996	646279	5.34985
47.5181	77.4102	648644	5.37
48.0311	77.8617	650227	5.38857
48.5441	78.2675	651264	5.40606
49.0014	78.3848	634967	5.44077
49.5144	79.9121	675659	5.46319
50.0274	80.2567	675305	5.47353
50.5404	80.4239	673655	5.48189
51.0534	80.5193	671367	5.48955
51.5094	80.5713	668725	5.49607
52.0224	80.5743	664944	5.50269
52.5354	80.5438	660452	5.50912
53.0484	80.4591	655180	5.51471
53.5044	80.3555	650024	5.51927
54.0174	80.1976	643742	5.52369
54.5304	80.0145	637042	5.5277
55.0069	78.7256	573501	5.54191
55.5543	80.3765	639405	5.56107
56.0103	80.3238	635394	5.56249
56.5233	80.0604	628271	5.56182
57.0363	79.7491	621334	5.56049
57.5493	79.422	614577	5.55882
58.0053	79.1197	608522	5.55718
58.5183	78.7724	601990	5.55493
59.0313	78.44	595813	5.55297
59.5443	78.1113	590111	5.55075
60.0003	77.8518	585535	5.54946
