Kurbelwinkel [°KW]	pZyl_mess [bar]	pZyl_berech [bar]	pSaug [bar]	pAbg [bar]	T [K]	dQw [J/s]	V [m3]	m [kg]	R [J/kg/K]	mK [kg]	V_motor [m^3]	dm [kg/s]	Hub_E [m]	Hub_A [m]	alpha_E_vor [-]	alpha_E_rück [-]	alpha_A_vor [-]	alpha_A_rück [-]	T_Saug [K]	H_Massenbruch	O_Massenbruch	N_Massenbruch	H2_Massenbruch	OH_Massenbruch	CO_Massenbruch	NO_Massenbruch	O2_Massenbruch	H2O_Massenbruch	CO2_Massenbruch	N2_Massenbruch	RON_95_Massenbruch	AGR_intern_LWA_Massenbruch	AGR_extern_LWA_Massenbruch	feuchteLuft_LWA_Massenbruch
124.0	 2.399496818862345	 2.4204679039882024	 0.9787703349860148	 0.937435707931286	 761.7445811472722	 0.0	 4.0890570410624617E-4	 4.597164000712796E-4	 282.63316793474644	 4.5971640007127964E-4	 4.1165452615151793E-4	 -2.591882411474102E-4	 7.49715E-6	 0.0	 3.0646818914685E-4	 4.0377334937134995E-4	 2.85331E-4	 4.67723E-5	 344.0404068060979	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
125.0	 2.3782909396861434	 2.3986157734439133	 0.9425092182812096	 1.0130620017527965	 759.9996628282406	 0.0	 4.116094534232491E-4	 4.596311987166232E-4	 282.63316793474644	 4.5963119871662324E-4	 4.143582754687238E-4	 -0.0011753110956012048	 0.0	 1.877442E-5	 1.77561E-4	 2.57597E-4	 6.2260863027406E-4	 3.7357115108851394E-4	 344.0404068060979	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
126.0	 2.35800537584175	 2.377266746677679	 0.9429695926519188	 1.0128164392814005	 758.2826919564448	 0.0	 4.142678149657326E-4	 4.5952044581141235E-4	 282.63316793474644	 4.5952044581141235E-4	 4.170166370114122E-4	 -0.0014824236041167554	 0.0	 2.8171019999999614E-5	 1.77561E-4	 2.57597E-4	 7.914161343478531E-4	 5.371340246227273E-4	 344.0404068060979	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
127.0	 2.338344547466464	 2.3564061733124633	 0.9433432599288067	 1.0135331033546269	 756.593145821502	 0.0	 4.1688049222865135E-4	 4.593843499410564E-4	 282.63316793474644	 4.593843499410564E-4	 4.1962931427453714E-4	 -0.0017836738198863324	 0.0	 3.753046E-5	 1.77561E-4	 2.57597E-4	 9.595560685717801E-4	 7.000500688377821E-4	 344.0404068060979	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
128.0	 2.3190188719515894	 2.336023254372012	 0.9438267372743441	 1.0138708694873502	 754.930785919364	 0.0	 4.194472066586842E-4	 4.592236072506989E-4	 282.63316793474644	 4.5922360725069887E-4	 4.2219602870477695E-4	 -0.002074088388235504	 0.0	 4.6697200000000004E-5	 1.77561E-4	 2.57597E-4	 0.0011242341968196001	 8.596118609052401E-4	 344.0404068060979	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
129.0	 2.300077645406967	 2.3161098449125337	 0.9442797661072962	 1.0140633294415835	 753.2955700638171	 0.0	 4.2196769706075984E-4	 4.5903924687876223E-4	 282.63316793474644	 4.5903924687876223E-4	 4.2471651910706E-4	 -0.002350642157738931	 0.0	 5.5570380000000004E-5	 1.77561E-4	 2.57597E-4	 0.0012836385951123402	 0.001014063770977646	 344.0404068060979	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
130.0	 2.282706123667836	 2.296658422273755	 0.9446065917365869	 1.0142781028969607	 751.6874910852197	 0.0	 4.2444171900198806E-4	 4.5883234275109785E-4	 282.63316793474644	 4.5883234275109785E-4	 4.27190541048496E-4	 -0.002615272407862179	 0.0	 6.41984E-5	 1.77561E-4	 2.57597E-4	 0.0014386387570112001	 0.0011642482785772798	 344.0404068060979	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
131.0	 2.2648216756129167	 2.277659693586573	 0.9449829290363583	 1.0131410250937574	 750.1063785634583	 0.0	 4.2686904421416046E-4	 4.5860365659051674E-4	 282.63316793474644	 4.5860365659051674E-4	 4.296178662608758E-4	 -0.0028735270793880377	 0.0	 7.274286000000001E-5	 1.77561E-4	 2.57597E-4	 0.0015921377849849802	 0.001312978290538862	 344.0404068060979	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
132.0	 2.247934775384083	 2.2591060080043084	 0.9452403963132461	 1.0135572676566864	 748.5521805662406	 0.0	 4.292494599959376E-4	 4.583541436337594E-4	 282.63316793474644	 4.583541436337594E-4	 4.319982820428598E-4	 -0.0031152524060222017	 0.0	 8.088253E-5	 1.77561E-4	 2.57597E-4	 0.0017383648646397902	 0.001454662284198301	 344.0404068060979	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
133.0	 2.2295730843085697	 2.240990214305605	 0.9452039029494013	 1.0134752758946728	 747.0248713357092	 0.0	 4.315827686158022E-4	 4.5808478693650835E-4	 282.63316793474644	 4.5808478693650835E-4	 4.3433159066293007E-4	 -0.0033498856625721186	 0.0	 8.890011999999966E-5	 1.77561E-4	 2.57597E-4	 0.001882398808469154	 0.001594221279922198	 344.0404068060979	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
