Hub	alpha_vor	alpha_rueck
[m]	[]	[]
0	0.000285331	4.67723E-05
0.001	0.018250074	0.017453374
0.002	0.03800144	0.03416891
0.003	0.047994678	0.049010776
0.004	0.063471359	0.064657804
0.005	0.077672005	0.080391145
0.006	0.087160626	0.094642437
0.007	0.096195864	0.106297692
0.008	0.103511888	0.111869447
0.009	0.109256651	0.119117
