Crank	TKE	EPS	Intensty
[CADaTDCF]	[m^2/s^2]	[m^2/s^3]	[m/s]
-6.40E+01	14.1615	3076.88	2.98512
-6.35E+01	14.1998	3279.97	2.99315
-6.30E+01	14.2274	3291.76	2.99559
-6.24E+01	14.2565	3305.07	2.99817
-6.20E+01	14.2838	3318.1	3.0006
-6.15E+01	14.3154	3334	3.00343
-6.10E+01	14.3479	3351.18	3.00635
-6.04E+01	14.3822	3369.95	3.00945
-6.00E+01	14.4132	3387.75	3.01226
-5.95E+01	14.4499	3409.41	3.01561
-5.90E+01	14.4864	3432.37	3.01897
-5.85E+01	14.5258	3457.29	3.02261
-5.80E+01	14.5596	3480.28	3.02576
-5.75E+01	14.5987	3507.84	3.02943
-5.70E+01	14.6402	3537.52	3.03333
-5.65E+01	14.6824	3568.89	3.0373
-5.60E+01	14.7125	3839.52	3.04517
-5.54E+01	14.7409	3860.01	3.04767
-5.50E+01	14.7683	3880.16	3.05007
-5.45E+01	14.8008	3904.94	3.05292
-5.40E+01	14.8357	3932.14	3.05598
-5.35E+01	14.8724	3961.8	3.05922
-5.30E+01	14.9048	3989.77	3.0621
-5.25E+01	14.9412	4023.16	3.06537
-5.20E+01	14.9774	4058.65	3.06865
-5.15E+01	15.0168	4097.21	3.07222
-5.09E+01	15.0563	4138.06	3.07583
-5.05E+01	15.0934	4176.86	3.07922
-5.00E+01	15.1355	4222.89	3.08309
-4.95E+01	15.1731	4610.06	3.09259
-4.90E+01	15.1953	4637.41	3.09436
-4.85E+01	15.2178	4668.36	3.09616
-4.80E+01	15.2382	4698.23	3.0978
-4.75E+01	15.2624	4734.92	3.09975
-4.70E+01	15.2898	4775.45	3.10197
-4.65E+01	15.3192	4819.58	3.10436
-4.59E+01	15.348	4866.72	3.10674
-4.55E+01	15.3744	4911.57	3.10894
-4.50E+01	15.4027	4964.68	3.11134
-4.45E+01	15.4308	5021.07	3.11375
-4.40E+01	15.4607	5081.41	3.11632
-4.35E+01	15.4873	5137.85	3.11863
-4.29E+01	15.5175	5667.86	3.12819
-4.24E+01	15.5198	5701.63	3.1279
-4.20E+01	15.523	5736.57	3.12774
-4.15E+01	15.6864	5987.13	3.13901
-4.10E+01	17.6737	16430.8	3.22731
-4.05E+01	22.6666	68081.3	3.3961
-4.00E+01	25.6163	94367.2	3.51359
-3.95E+01	26.6265	84475.6	3.59552
-3.90E+01	26.3801	66627	3.63629
-3.85E+01	25.8752	53786.9	3.65441
-3.80E+01	25.4922	45122.8	3.66863
-3.75E+01	25.1295	38962.6	3.67665
-3.70E+01	24.7955	34439.1	3.68065
-3.64E+01	24.4671	30947.9	3.69497
-3.60E+01	24.1126	28546.1	3.68606
-3.55E+01	23.7554	26397.7	3.67586
-3.50E+01	23.4249	24671.3	3.66498
-3.44E+01	23.1187	23268.5	3.6537
-3.40E+01	22.8584	22226	3.6431
-3.35E+01	22.5766	21237.2	3.63063
-3.30E+01	22.3048	20405.9	3.61766
-3.25E+01	22.0375	19695.3	3.60396
-3.20E+01	21.8027	19144.6	3.5912
-3.15E+01	21.5414	18598.7	3.57628
-3.10E+01	21.2835	18116.6	3.56083
-3.05E+01	21.0282	17683.8	3.54488
-2.99E+01	20.7548	18329.7	3.53668
-2.95E+01	20.4797	17880.1	3.51654
-2.90E+01	20.1793	17410	3.49394
-2.85E+01	19.8886	16974.2	3.47149
-2.80E+01	19.6072	16569.9	3.4492
-2.75E+01	19.3651	16235.3	3.4296
-2.70E+01	19.1015	15883.9	3.4078
-2.65E+01	18.8465	15556.6	3.38625
-2.60E+01	18.6005	15251.8	3.36501
-2.55E+01	18.3875	14996.6	3.3463
-2.50E+01	18.1558	14727.2	3.32555
-2.45E+01	17.9328	14475.6	3.30519
-2.40E+01	17.7179	14240	3.2852
-2.34E+01	17.4921	14744.5	3.27189
-2.30E+01	17.2776	14486.4	3.25047
-2.25E+01	17.0462	14208.8	3.22689
-2.20E+01	16.8251	13944.7	3.20391
-2.15E+01	16.6141	13694.1	3.18154
-2.10E+01	16.4351	13483.1	3.16221
-2.05E+01	16.243	13258.7	3.14109
-2.00E+01	16.0607	13047.8	3.12065
-1.95E+01	15.8878	12849.8	3.10089
-1.89E+01	15.7238	12664.5	3.0818
-1.85E+01	15.585	12509.9	3.06538
-1.80E+01	15.4362	12346.8	3.04748
-1.75E+01	15.2943	12194.6	3.03016
-1.69E+01	15.1582	11932.8	3.01662
-1.65E+01	15.0115	12262.1	3.0009
-1.60E+01	14.8816	12110.7	2.98401
-1.55E+01	14.7423	11945.1	2.96553
-1.50E+01	14.6097	11784.9	2.94756
-1.45E+01	14.4827	11629.9	2.93005
-1.39E+01	14.3592	11479	2.91286
-1.35E+01	14.251	11347.7	2.89773
-1.30E+01	14.131	11203.4	2.88088
-1.25E+01	14.0138	11062.9	2.86428
-1.19E+01	13.8993	10924.4	2.84788
-1.15E+01	13.7998	10801.3	2.83345
-1.10E+01	13.6901	10662.3	2.81741
-1.05E+01	13.5845	10527.1	2.80183
-9.95E+00	13.4842	10401.4	2.78691
-9.50E+00	13.398	10296.3	2.77407
-8.99E+00	13.3016	10180.8	2.75978
-8.47E+00	13.2093	9942.14	2.74903
-7.96E+00	13.1152	9857.6	2.7358
-7.45E+00	13.0179	9766.37	2.72226
-6.99E+00	12.9276	9678.54	2.70984
-6.48E+00	12.8207	9571.49	2.69535
-5.96E+00	12.7079	9455.8	2.68026
-5.45E+00	12.5889	9330.91	2.66451
-5.00E+00	12.4773	9210.97	2.64989
-4.49E+00	12.3508	9068.27	2.63328
-3.97E+00	12.2191	8918.83	2.61625
-3.50E+00	12.1208	8811.46	2.60326
-2.99E+00	12.0277	8732.73	2.59109
-2.49E+00	11.925	8667.05	2.5786
-2.00E+00	11.8035	8587.43	2.56414
-1.49E+00	11.6883	8536.41	2.55003
-9.94E-01	11.5656	8527.8	2.53643
-4.95E-01	11.4251	8541.76	2.52197
2.15E-02	11.2648	8540.61	2.50516
5.32E-01	11.1075	8579.28	2.48901
1.04E+00	10.9387	8660.5	2.47255
1.50E+00	10.7784	8708.83	2.45627
2.01E+00	10.6016	8765.93	2.43771
2.53E+00	10.4281	8874.22	2.41954
3.04E+00	10.2393	8922.78	2.39856
3.55E+00	10.0432	8906.84	2.37569
4.01E+00	9.8826	8927.51	2.357
4.52E+00	9.70283	8918.41	2.33555
5.03E+00	9.52038	8853.72	2.31287
5.55E+00	9.34093	8764.15	2.29038
6.00E+00	9.18337	8656.21	2.27024
6.52E+00	9.00779	8504.74	2.24749
7.03E+00	8.83934	8347.63	2.22557
7.54E+00	8.67422	8172.79	2.20395
8.06E+00	8.51039	7976.87	2.18236
8.51E+00	8.36825	7796.12	2.16358
9.02E+00	8.19605	8674.87	2.14314
9.54E+00	7.96428	8021.85	2.11197
1.01E+01	7.7585	7532.14	2.08343
1.05E+01	7.59147	7189.17	2.05974
1.10E+01	7.42116	6887.77	2.03513
1.15E+01	7.26559	6650.46	2.01226
1.20E+01	7.1197	6451.64	1.99054
1.25E+01	6.99724	6298.35	1.97211
1.30E+01	6.86537	6142.42	1.95213
1.35E+01	6.73778	5994.53	1.93269
1.40E+01	6.61465	5853.08	1.91384
1.46E+01	6.49539	5714.67	1.8955
1.50E+01	6.39151	5591.2	1.87949
1.55E+01	6.2769	5451.38	1.8618
1.60E+01	6.1643	5310.05	1.84439
1.65E+01	6.05315	5165.85	1.82719
1.70E+01	5.95565	5035.82	1.81211
1.75E+01	5.84742	4888.09	1.79535
1.80E+01	5.74066	4739.04	1.7788
1.85E+01	5.63537	4589.59	1.76248
1.91E+01	5.5318	4440.14	1.74641
1.95E+01	5.44106	4308.03	1.73232
2.00E+01	5.34058	4160.77	1.7167
