Kurbelwinkel [°KW]	pZyl_mess [bar]	pZyl_berech [bar]	pSaug [bar]	pAbg [bar]	T [K]	dQw [J/s]	V [m3]	m [kg]	R [J/kg/K]	mK [kg]	V_motor [m^3]	dm [kg/s]	Hub_E [m]	Hub_A [m]	alpha_E_vor	alpha_E_rück	alpha_A_vor	alpha_A_rück	T_Saug [K]	O2_Massenbruch	CO2_Massenbruch	H2O_Massenbruch	H_Massenbruch	O_Massenbruch	N_Massenbruch	H2_Massenbruch	OH_Massenbruch	CO_Massenbruch	NO_Massenbruch	N2_Massenbruch	RON_95_Massenbruch	AGR_intern_LWA_Massenbruch	AGR_extern_LWA_Massenbruch	feuchteLuft_LWA_Massenbruch
142.10000000000002	 1.6179809249643087	 1.6188853205646998	 0.415458626561628	 0.9842779795101846	 1794.785654097679	 -0.0	 4.535931691755988E-4	 1.490497635306998E-4	 274.4977000360235	 1.490497635306998E-4	 4.5378189185927003E-4	 -7.732995381539195E-5	 1.635426209999886E-5	 0.0	 2.8354581334753744E-4	 3.075570755457073E-4	 0.0	 0.0	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
142.2	 1.6167910711833735	 1.6179902675514242	 0.4174011093074363	 1.0052396941303565	 1794.5858149875548	 0.0	 4.5378140916880837E-4	 1.4904577301886595E-4	 274.4977000360235	 1.4904577301886595E-4	 4.5397013185247956E-4	 -4.963258117180264E-4	 0.0	 3.523003080000049E-5	 0.0	 0.0	 6.108088323621541E-4	 6.625334226625915E-4	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
142.3	 1.6154151256806446	 1.6170935293482962	 0.41735979356668806	 1.005338766242059	 1794.385508271421	 0.0	 4.5396916639359126E-4	 1.4904143823073044E-4	 274.4977000360235	 1.4904143823073042E-4	 4.541578890772625E-4	 -5.373475856486166E-4	 0.0	 3.816586670000073E-5	 0.0	 0.0	 6.617095683923372E-4	 7.177445412178113E-4	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
142.39999999999998	 1.6136280078162362	 1.6161951123245435	 0.41731825051687066	 1.0054376897771091	 1794.1847347646242	 0.0	 4.541564407728447E-4	 1.49036759612873E-4	 274.4977000360235	 1.4903675961287297E-4	 4.54345163456516E-4	 -5.783160938947039E-4	 0.0	 4.110170259999976E-5	 0.0	 0.0	 7.126103044224991E-4	 7.729556597730081E-4	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
142.5	 1.6118202103961843	 1.6152950228817704	 0.4172748733786206	 1.0055424323904936	 1793.9834952902038	 0.0	 4.5434323223032314E-4	 1.4903173761618776E-4	 274.4977000360235	 1.4903173761618774E-4	 4.5453195491399433E-4	 -6.192303282213474E-4	 0.0	 4.40375385E-5	 0.0	 0.0	 7.635110404526821E-4	 8.281667783282279E-4	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
142.60000000000002	 1.609790950916079	 1.614393267464636	 0.41722461019104934	 1.0056513027815244	 1793.7817906813077	 0.0	 4.5452954069063274E-4	 1.4902637269667102E-4	 274.4977000360235	 1.4902637269667102E-4	 4.5471826337430403E-4	 -6.600901033712528E-4	 0.0	 4.6973374400000246E-5	 0.0	 0.0	 8.144117764828652E-4	 8.833778968834477E-4	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
142.7	 1.607513417923595	 1.6134898524755759	 0.41717772963714184	 1.0057584568073255	 1793.5796217621382	 0.0	 4.547153660792265E-4	 1.4902066530913375E-4	 274.4977000360235	 1.4902066530913375E-4	 4.5490408876289765E-4	 -7.008959006141028E-4	 0.0	 4.990921030000049E-5	 0.0	 0.0	 8.653125125130482E-4	 9.385890154386675E-4	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
142.8	 1.6052688646935522	 1.6125847843625587	 0.41712925837179904	 1.0058740579717576	 1793.3769893675926	 0.0	 4.549007083223989E-4	 1.490146159136642E-4	 274.4977000360235	 1.4901461591366414E-4	 4.5508943100607013E-4	 -7.416459297345528E-4	 0.0	 5.2845046200000734E-5	 0.0	 0.0	 9.162132485432313E-4	 9.938001339938874E-4	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
142.90000000000003	 1.6028821659851638	 1.6116780696713497	 0.41707774684723753	 1.0059972108650304	 1793.1738943550072	 0.0	 4.5508556734728074E-4	 1.4900822497949012E-4	 274.4977000360235	 1.4900822497949012E-4	 4.55274290030952E-4	 -7.823398359888722E-4	 0.0	 5.578088210000098E-5	 0.0	 0.0	 9.671139845734142E-4	 0.0010490112525491071	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
143.0	 1.600662085687931	 1.6107697148512232	 0.4170182310291882	 1.0061158498024199	 1792.9703375606707	 0.0	 4.552699430818341E-4	 1.4900149297063865E-4	 274.4977000360235	 1.4900149297063865E-4	 4.554586657655053E-4	 -8.22979251127495E-4	 0.0	 5.871671800000158E-5	 0.0	 0.0	 0.0010180147206036035	 0.0011042223711043337	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
143.09999999999997	 1.5984620593968861	 1.6098590252324123	 0.41696104902559583	 1.0062373759944303	 1792.766162595206	 0.0	 4.554538354548469E-4	 1.4899436853050524E-4	 274.4977000360235	 1.4899436853050527E-4	 4.5564255813851807E-4	 -8.759168867860795E-4	 0.0	 6.253459160000016E-5	 0.0	 0.0	 0.001084207989890254	 0.0011760210271390076	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
143.2	 1.5963104822656715	 1.608945308960619	 0.41689765769796877	 1.006361815833794	 1792.5612134075773	 0.0	 4.5563724439592825E-4	 1.4898680040618752E-4	 274.4977000360235	 1.4898680040618755E-4	 4.558259670795995E-4	 -9.287809744500583E-4	 0.0	 6.635246520000031E-5	 0.0	 0.0	 0.001150401259176932	 0.0012478196831737112	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
143.3	 1.59406004870678	 1.6080285766203566	 0.41683831469123594	 1.0064860647857234	 1792.3554913216499	 0.0	 4.558201698355028E-4	 1.4897878921437692E-4	 274.4977000360235	 1.4897878921437695E-4	 4.560088925191741E-4	 -9.815715655752215E-4	 0.0	 7.017033880000048E-5	 0.0	 0.0	 0.00121659452846361	 0.0013196183392084153	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
143.39999999999998	 1.5920180402446222	 1.607108838692701	 0.4167779914666431	 1.006603087926895	 1792.1489976372413	 0.0	 4.5600261170480595E-4	 1.4897033556700656E-4	 274.4977000360235	 1.4897033556700656E-4	 4.5619133438847703E-4	 -0.0010342897610407442	 0.0	 7.398821240000063E-5	 0.0	 0.0	 0.001282787797750288	 0.001391416995243119	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
143.5	 1.5901820058234684	 1.6061861056282107	 0.4167116434849775	 1.0067173991809029	 1791.9417336464746	 0.0	 4.5618456993587854E-4	 1.489614400766255E-4	 274.4977000360235	 1.489614400766255E-4	 4.5637329261954973E-4	 -0.0010869342633518704	 0.0	 7.780608600000079E-5	 0.0	 0.0	 0.0013489810670369658	 0.0014632156512778226	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
143.60000000000002	 1.5883739790331457	 1.605260387893021	 0.41664948038979144	 1.0068259883072799	 1791.7337006441498	 0.0	 4.5636604446156197E-4	 1.4895210335980175E-4	 274.4977000360235	 1.4895210335980175E-4	 4.565547671452333E-4	 -0.001139505444420048	 0.0	 8.162395960000096E-5	 0.0	 0.0	 0.001415174336323644	 0.0015350143073125267	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
143.70000000000005	 1.5868706424114627	 1.604331695982437	 0.4165864033556859	 1.0069338762014182	 1791.5248999308349	 0.0	 4.565470352154928E-4	 1.4894232603812607E-4	 274.4977000360235	 1.4894232603812607E-4	 4.567357578991642E-4	 -0.0011920016989089377	 0.0	 8.544183320000111E-5	 0.0	 0.0	 0.0014813676056103218	 0.0016068129633472303	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
143.8	 1.5854639864687978	 1.6034000403063717	 0.416526968936555	 1.0070304581576852	 1791.3153327871305	 0.0	 4.5672754213209804E-4	 1.4893210872971238E-4	 274.4977000360235	 1.489321087297124E-4	 4.569162648157694E-4	 -0.001244425531584973	 0.0	 8.925970679999969E-5	 0.0	 0.0	 0.0015475608748969725	 0.0016786116193819045	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
143.89999999999998	 1.5844014537833024	 1.602465431180226	 0.4164665898426454	 1.007121007792553	 1791.105000471598	 0.0	 4.569075651465899E-4	 1.48921452048498E-4	 274.4977000360235	 1.4892145204849805E-4	 4.570962878302612E-4	 -0.0012967753623414626	 0.0	 9.307758039999985E-5	 0.0	 0.0	 0.0016137541441836505	 0.0017504102754166081	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
144.0	 1.5836213722075172	 1.601527879003809	 0.41640680759317367	 1.0072065869791855	 1790.8939042610273	 0.0	 4.570871041949606E-4	 1.489103566175043E-4	 274.4977000360235	 1.4891035661750436E-4	 4.572758268786319E-4	 -0.0013490506237749198	 0.0	 9.6895454E-5	 0.0	 0.0	 0.0016799474134703283	 0.0018222089314513118	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
144.10000000000002	 1.582886924992742	 1.600587393992101	 0.416345614882127	 1.0072763057092309	 1790.682045389844	 0.0	 4.5726615921397757E-4	 1.488988230488438E-4	 274.4977000360235	 1.4889882304884382E-4	 4.5745488189764886E-4	 -0.0014012545405008817	 0.0	 1.0071332750000016E-4	 0.0	 0.0	 0.001746140681023233	 0.001894007585605423	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
144.2	 1.582416067990125	 1.599643986351614	 0.4162873840506537	 1.0073421611364277	 1790.4694250897903	 0.0	 4.574447301411783E-4	 1.488868519567871E-4	 274.4977000360235	 1.488868519567872E-4	 4.576334528248495E-4	 -0.001453383266725636	 0.0	 1.0453120100000031E-4	 0.0	 0.0	 0.0018123339485761377	 0.001965806239759534	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
144.3	 1.5819419415739224	 1.5986976664046004	 0.41623646386933344	 1.007399808033324	 1790.2560446179589	 0.0	 4.5762281691486527E-4	 1.4887444396699165E-4	 274.4977000360235	 1.488744439669917E-4	 4.5781153959853656E-4	 -0.0015054380090400612	 0.0	 1.0834907450000048E-4	 0.0	 0.0	 0.0018785272161290425	 0.0020376048939136446	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
144.40000000000003	 1.5816527676353784	 1.5977484443644672	 0.4161880739802586	 1.007448789466122	 1790.0419052062036	 0.0	 4.5780041947410103E-4	 1.4886159969980633E-4	 274.4977000360235	 1.488615996998064E-4	 4.579891421577723E-4	 -0.0015574188086759173	 0.0	 1.1216694800000063E-4	 0.0	 0.0	 0.0019447204836819472	 0.0021094035480677554	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
144.5	 1.5814270356880034	 1.5967963305519048	 0.41614087520946164	 1.0074958020868263	 1789.8270081098976	 0.0	 4.5797753775870316E-4	 1.4884831978633322E-4	 274.4977000360235	 1.488483197863333E-4	 4.581662604423745E-4	 -0.0016093230255145557	 0.0	 1.1598482149999922E-4	 0.0	 0.0	 0.002010913751234825	 0.002181202202221837	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
144.59999999999997	 1.5814522269667635	 1.595841335479384	 0.4160899337727504	 1.0075434374030163	 1789.6113546271026	 0.0	 4.581541717092394E-4	 1.4883460487473415E-4	 274.4977000360235	 1.4883460487473424E-4	 4.5834289439291063E-4	 -0.0016611492506086935	 0.0	 1.1980269499999937E-4	 0.0	 0.0	 0.0020771070187877295	 0.002253000856375948	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
144.7	 1.5814600005333554	 1.594883469619619	 0.41604548959074206	 1.007586838267015	 1789.3949460463778	 0.0	 4.5833032126702233E-4	 1.4882045561300628E-4	 274.4977000360235	 1.488204556130064E-4	 4.5851904395069357E-4	 -0.001712898968657471	 0.0	 1.2362056849999953E-4	 0.0	 0.0	 0.0021433002863406343	 0.002324799510530059	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
144.8	 1.581355986926628	 1.59392274360443	 0.4160023961065398	 1.007637261574355	 1789.1777836917456	 0.0	 4.585059863741048E-4	 1.4880587266379372E-4	 274.4977000360235	 1.488058726637938E-4	 4.5869470905777603E-4	 -0.001764567122368281	 0.0	 1.2743844199999968E-4	 0.0	 0.0	 0.002209493553893539	 0.0023965981646841697	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
144.90000000000003	 1.5810435313928286	 1.5929591680716515	 0.4159650866033728	 1.0076828902534458	 1788.9598688881758	 0.0	 4.5868116697327473E-4	 1.4879085669299092E-4	 274.4977000360235	 1.48790856692991E-4	 4.588698896569461E-4	 -0.0018161581087102491	 0.0	 1.3125631549999986E-4	 0.0	 0.0	 0.0022756868214464437	 0.002468396818838281	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
145.0	 1.5807323873886994	 1.5919927536879592	 0.41592525313566214	 1.0077356916971063	 1788.7412029667823	 0.0	 4.5885586300805026E-4	 1.4877540837144048E-4	 274.4977000360235	 1.4877540837144058E-4	 4.590445856917216E-4	 -0.001867666231267812	 0.0	 1.35074189E-4	 0.0	 0.0	 0.0023418800889993484	 0.0025401954729923916	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
145.10000000000002	 1.5803490490243697	 1.5910230718009426	 0.4158871374924556	 1.00778881209886	 1788.52168778096	 0.0	 4.590300744226748E-4	 1.4875949557075234E-4	 274.4977000360235	 1.4875949557075245E-4	 4.5921879710634616E-4	 -0.0019269165932715247	 0.0	 1.3945826420000036E-4	 0.0	 0.0	 0.002417890009884801	 0.002622642075550184	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
145.2	 1.5796706685709438	 1.590049695568244	 0.4158513117095531	 1.007847939583013	 1788.3012253933177	 0.0	 4.5920380116211206E-4	 1.4874308623522242E-4	 274.4977000360235	 1.4874308623522253E-4	 4.593925238457834E-4	 -0.0019860707772299227	 0.0	 1.4384233939999892E-4	 0.0	 0.0	 0.0024938999307702226	 0.0027050886781079427	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
145.3	 1.5789550007907043	 1.5890726385689824	 0.4158182405458007	 1.0079075843175027	 1788.0798174919714	 0.0	 4.593770431720413E-4	 1.4872618116409603E-4	 274.4977000360235	 1.4872618116409616E-4	 4.595657658557126E-4	 -0.0020451305811916296	 0.0	 1.4822641459999927E-4	 0.0	 0.0	 0.002569909851655675	 0.002787535280665735	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
145.39999999999998	 1.5778659597507634	 1.5880919143764487	 0.41578559515348085	 1.0079712810220378	 1787.8574657621155	 0.0	 4.595498003988522E-4	 1.4870878115957515E-4	 274.4977000360235	 1.487087811595753E-4	 4.597385230825236E-4	 -0.0021040934489931894	 0.0	 1.5261048979999965E-4	 0.0	 0.0	 0.002645919772541128	 0.0028699818832235275	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
145.5	 1.576681191242959	 1.5871075367133096	 0.41575710893153317	 1.0080390329568545	 1787.634171921275	 0.0	 4.5972207278964007E-4	 1.486908870384212E-4	 274.4977000360235	 1.4869088703842135E-4	 4.5991079547331136E-4	 -0.0021629584855725487	 0.0	 1.56994565E-4	 0.0	 0.0	 0.0027219296934265806	 0.0029524284857813197	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
145.60000000000002	 1.5752177748025975	 1.5861195192477795	 0.4157272764141826	 1.0081073222378818	 1787.4099376731622	 0.0	 4.598938602922011E-4	 1.4867249961671795E-4	 274.4977000360235	 1.4867249961671817E-4	 4.6008258297587244E-4	 -0.002221726769200411	 0.0	 1.6137864020000035E-4	 0.0	 0.0	 0.002797939614312033	 0.003034875088339112	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
145.7	 1.5734624081414392	 1.5851278754996334	 0.4156904303701048	 1.0081736190013078	 1787.184764686338	 0.0	 4.6006516285502727E-4	 1.4865361970281546E-4	 274.4977000360235	 1.486536197028157E-4	 4.602538855386985E-4	 -0.0022803990604822943	 0.0	 1.6576271540000073E-4	 0.0	 0.0	 0.002873949535197486	 0.0031173216908969045	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
145.8	 1.5715308788241338	 1.5841326191022873	 0.4156525212417806	 1.0082430443264763	 1786.9586546537237	 0.0	 4.6023598042730166E-4	 1.4863424811693095E-4	 274.4977000360235	 1.486342481169312E-4	 4.6042470311097284E-4	 -0.002338971721493303	 0.0	 1.7014679060000108E-4	 0.0	 0.0	 0.0029499594560829386	 0.0031997682934546967	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
145.89999999999998	 1.5695350207940484	 1.583133763524624	 0.41561317419408955	 1.0083047092961173	 1786.7316092294604	 0.0	 4.604063129588935E-4	 1.4861438567030975E-4	 274.4977000360235	 1.4861438567030996E-4	 4.605950356425647E-4	 -0.0023974506299077212	 0.0	 1.7453086579999962E-4	 0.0	 0.0	 0.0030259693769683596	 0.0032822148960124546	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
146.0	 1.5674496708991328	 1.582131322188105	 0.4155753987899095	 1.008367569968126	 1786.5036300554943	 0.0	 4.605761604003536E-4	 1.485940331739705E-4	 274.4977000360235	 1.4859403317397075E-4	 4.6076488308402486E-4	 -0.002455829837572245	 0.0	 1.78914941E-4	 0.0	 0.0	 0.0031019792978538123	 0.0033646614985702477	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
146.10000000000002	 1.5655571129915065	 1.5811253087465449	 0.41553923902483936	 1.008428851216394	 1786.2747188252647	 0.0	 4.6074552270290915E-4	 1.4857319145968173E-4	 274.4977000360235	 1.48573191459682E-4	 4.609342453865805E-4	 -0.0025141104183812536	 0.0	 1.8329901610000018E-4	 0.0	 0.0	 0.0031779892170054887	 0.003447108099247444	 463.6911824111591	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
