Kurbelwinkel	Hub_AV
[KWnAO]	[mm]
 28.8	 1.109000
 28.9	 1.112000
 29.0	 1.114000
 29.1	 1.116000
 29.2	 1.119000
 29.3	 1.121000
 29.4	 1.124000
 29.5	 1.126000
 29.6	 1.128000
 29.7	 1.131000
 29.8	 1.133000
 29.9	 1.135000
 30.0	 1.137000
 30.1	 1.140000
 30.2	 1.142000
 30.3	 1.144000
 30.4	 1.146000
 30.5	 1.149000
 30.6	 1.151000
 30.7	 1.153000
 30.8	 1.155000
 30.9	 1.157000
 31.0	 1.160000
 31.1	 1.162000
 31.2	 1.164000
 31.3	 1.166000
 31.4	 1.168000
 31.5	 1.170000
 31.6	 1.172000
 31.7	 1.174000
 31.8	 1.176000
 31.9	 1.179000
 32.0	 1.181000
 32.1	 1.183000
 32.2	 1.185000
 32.3	 1.187000
 32.4	 1.189000
 32.5	 1.191000
 32.6	 1.193000
 32.7	 1.195000
 32.8	 1.197000
 32.9	 1.199000
 33.0	 1.201000
 33.1	 1.202000
 33.2	 1.204000
 33.3	 1.206000
 33.4	 1.208000
 33.5	 1.210000
 33.6	 1.212000
 33.7	 1.214000
 33.8	 1.216000
 33.9	 1.217000
 34.0	 1.219000
 34.1	 1.221000
 34.2	 1.223000
 34.3	 1.225000
 34.4	 1.227000
 34.5	 1.228000
 34.6	 1.230000
 34.7	 1.232000
 34.8	 1.234000
 34.9	 1.235000
 35.0	 1.237000
 35.1	 1.239000
 35.2	 1.240000
 35.3	 1.242000
 35.4	 1.244000
 35.5	 1.245000
 35.6	 1.247000
 35.7	 1.249000
 35.8	 1.250000
 35.9	 1.252000
 36.0	 1.254000
 36.1	 1.255000
 36.2	 1.257000
 36.3	 1.258000
 36.4	 1.260000
 36.5	 1.261000
 36.6	 1.263000
 36.7	 1.265000
 36.8	 1.266000
 36.9	 1.268000
 37.0	 1.269000
 37.1	 1.271000
 37.2	 1.272000
 37.3	 1.274000
 37.4	 1.275000
 37.5	 1.276000
 37.6	 1.278000
 37.7	 1.279000
 37.8	 1.281000
 37.9	 1.282000
 38.0	 1.284000
 38.1	 1.285000
 38.2	 1.286000
 38.3	 1.288000
 38.4	 1.289000
 38.5	 1.290000
 38.6	 1.292000
 38.7	 1.293000
 38.8	 1.294000
 38.9	 1.295000
 39.0	 1.297000
 39.1	 1.298000
 39.2	 1.299000
 39.3	 1.301000
 39.4	 1.302000
 39.5	 1.303000
 39.6	 1.304000
 39.7	 1.305000
 39.8	 1.307000
 39.9	 1.308000
 40.0	 1.309000
 40.1	 1.310000
 40.2	 1.311000
 40.3	 1.312000
 40.4	 1.314000
 40.5	 1.315000
 40.6	 1.316000
 40.7	 1.317000
 40.8	 1.318000
 40.9	 1.319000
 41.0	 1.320000
 41.1	 1.321000
 41.2	 1.322000
 41.3	 1.323000
 41.4	 1.324000
 41.5	 1.325000
 41.6	 1.326000
 41.7	 1.327000
 41.8	 1.328000
 41.9	 1.329000
 42.0	 1.330000
 42.1	 1.331000
 42.2	 1.332000
 42.3	 1.333000
 42.4	 1.334000
 42.5	 1.335000
 42.6	 1.336000
 42.7	 1.336000
 42.8	 1.337000
 42.9	 1.338000
 43.0	 1.339000
 43.1	 1.340000
 43.2	 1.341000
 43.3	 1.341000
 43.4	 1.342000
 43.5	 1.343000
 43.6	 1.344000
 43.7	 1.345000
 43.8	 1.345000
 43.9	 1.346000
 44.0	 1.347000
 44.1	 1.348000
 44.2	 1.348000
 44.3	 1.349000
 44.4	 1.350000
 44.5	 1.350000
 44.6	 1.351000
 44.7	 1.352000
 44.8	 1.352000
 44.9	 1.353000
 45.0	 1.354000
 45.1	 1.354000
 45.2	 1.355000
 45.3	 1.355000
 45.4	 1.356000
 45.5	 1.357000
 45.6	 1.357000
 45.7	 1.358000
 45.8	 1.358000
 45.9	 1.359000
 46.0	 1.359000
 46.1	 1.360000
 46.2	 1.360000
 46.3	 1.361000
 46.4	 1.361000
 46.5	 1.362000
 46.6	 1.362000
 46.7	 1.363000
 46.8	 1.363000
 46.9	 1.364000
 47.0	 1.364000
 47.1	 1.364000
 47.2	 1.365000
 47.3	 1.365000
 47.4	 1.366000
 47.5	 1.366000
 47.6	 1.366000
 47.7	 1.367000
 47.8	 1.367000
 47.9	 1.367000
 48.0	 1.368000
 48.1	 1.368000
 48.2	 1.368000
 48.3	 1.369000
 48.4	 1.369000
 48.5	 1.369000
 48.6	 1.369000
 48.7	 1.370000
 48.8	 1.370000
 48.9	 1.370000
 49.0	 1.370000
 49.1	 1.370000
 49.2	 1.371000
 49.3	 1.371000
 49.4	 1.371000
 49.5	 1.371000
 49.6	 1.371000
 49.7	 1.371000
 49.8	 1.372000
 49.9	 1.372000
 50.0	 1.372000
 50.1	 1.372000
 50.2	 1.372000
 50.3	 1.372000
 50.4	 1.372000
 50.5	 1.372000
 50.6	 1.372000
 50.7	 1.372000
 50.8	 1.372000
 50.9	 1.372000
 51.0	 1.372000
 51.1	 1.372000
 51.2	 1.372000
 51.3	 1.372000
 51.4	 1.372000
 51.5	 1.372000
 51.6	 1.372000
 51.7	 1.372000
 51.8	 1.372000
 51.9	 1.372000
 52.0	 1.372000
 52.1	 1.372000
 52.2	 1.372000
 52.3	 1.372000
 52.4	 1.372000
 52.5	 1.371000
 52.6	 1.371000
 52.7	 1.371000
 52.8	 1.371000
 52.9	 1.371000
 53.0	 1.371000
 53.1	 1.371000
 53.2	 1.370000
 53.3	 1.370000
 53.4	 1.370000
 53.5	 1.370000
 53.6	 1.369000
 53.7	 1.369000
 53.8	 1.369000
 53.9	 1.369000
 54.0	 1.368000
 54.1	 1.368000
 54.2	 1.368000
 54.3	 1.367000
 54.4	 1.367000
 54.5	 1.367000
 54.6	 1.367000
 54.7	 1.366000
 54.8	 1.366000
 54.9	 1.365000
 55.0	 1.365000
 55.1	 1.365000
 55.2	 1.364000
 55.3	 1.364000
 55.4	 1.364000
 55.5	 1.363000
 55.6	 1.363000
 55.7	 1.362000
 55.8	 1.362000
 55.9	 1.361000
 56.0	 1.361000
 56.1	 1.361000
 56.2	 1.360000
 56.3	 1.360000
 56.4	 1.359000
 56.5	 1.359000
 56.6	 1.358000
 56.7	 1.358000
 56.8	 1.357000
 56.9	 1.357000
 57.0	 1.356000
 57.1	 1.355000
 57.2	 1.355000
 57.3	 1.354000
 57.4	 1.354000
 57.5	 1.353000
 57.6	 1.353000
 57.7	 1.352000
 57.8	 1.351000
 57.9	 1.351000
 58.0	 1.350000
 58.1	 1.349000
 58.2	 1.349000
 58.3	 1.348000
 58.4	 1.347000
 58.5	 1.347000
 58.6	 1.346000
 58.7	 1.345000
 58.8	 1.345000
 58.9	 1.344000
 59.0	 1.343000
 59.1	 1.342000
 59.2	 1.341000
 59.3	 1.341000
 59.4	 1.340000
 59.5	 1.339000
 59.6	 1.338000
 59.7	 1.337000
 59.8	 1.337000
 59.9	 1.336000
