CA	pMess	dummy	dummy	
[KWnZOT]	[bar]	[bar]	[bar]	
-313.4	1.205912666	5	5	186
-313.15	1.205779626	5	5	187
-312.9	1.205379429	5	5	188
-312.65	1.204834216	5	5	189
-312.4	1.20421343	5	5	190
-312.15	1.203634388	5	5	191
-311.9	1.203253595	5	5	192
-311.65	1.203170039	5	5	193
-311.4	1.203350568	5	5	194
-311.15	1.203653562	5	5	195
-310.9	1.203925237	5	5	196
-310.65	1.204075664	5	5	197
-310.4	1.204064879	5	5	198
-310.15	1.203818647	5	5	199
-309.9	1.203170956	5	5	200
-309.65	1.201923414	5	5	201
-309.4	1.200012531	5	5	202
-309.15	1.197662089	5	5	203
-308.9	1.195377984	5	5	204
-308.65	1.193751132	5	5	205
-308.4	1.193182372	5	5	206
-308.15	1.193701177	5	5	207
-307.9	1.194976292	5	5	208
-307.65	1.196489588	5	5	209
-307.4	1.197763808	5	5	210
-307.15	1.198528535	5	5	211
-306.9	1.198753592	5	5	212
-306.65	1.198555804	5	5	213
-306.4	1.198067071	5	5	214
-306.15	1.197376188	5	5	215
-305.9	1.196580966	5	5	216
-305.65	1.195868765	5	5	217
-305.4	1.195504228	5	5	218
-305.15	1.195692227	5	5	219
-304.9	1.196416754	5	5	220
-304.65	1.197400691	5	5	221
-304.4	1.198239858	5	5	222
-304.15	1.198618521	5	5	223
-303.9	1.19844719	5	5	224
-303.65	1.197839705	5	5	225
-303.4	1.196990112	5	5	226
-303.15	1.196078214	5	5	227
-302.9	1.195265126	5	5	228
-302.65	1.19472204	5	5	229
-302.4	1.194598988	5	5	230
-302.15	1.194919185	5	5	231
-301.9	1.195489032	5	5	232
-301.65	1.195936264	5	5	233
-301.4	1.195902904	5	5	234
-301.15	1.195288835	5	5	235
-300.9	1.194367957	5	5	236
-300.65	1.193659339	5	5	237
-300.4	1.193611101	5	5	238
-300.15	1.194308391	5	5	239
-299.9	1.195402874	5	5	240
-299.65	1.196288052	5	5	241
-299.4	1.196383275	5	5	242
-299.15	1.195376887	5	5	243
-298.9	1.193365477	5	5	244
-298.65	1.190869458	5	5	245
-298.4	1.188681203	5	5	246
-298.15	1.187530265	5	5	247
-297.9	1.187694571	5	5	248
-297.65	1.18881468	5	5	249
-297.4	1.190087774	5	5	250
-297.15	1.19073699	5	5	251
-296.9	1.190423272	5	5	252
-296.65	1.189325702	5	5	253
-296.4	1.187907649	5	5	254
-296.15	1.186620589	5	5	255
-295.9	1.185768046	5	5	256
-295.65	1.185536972	5	5	257
-295.4	1.186043625	5	5	258
-295.15	1.187274219	5	5	259
-294.9	1.188958375	5	5	260
-294.65	1.190527361	5	5	261
-294.4	1.191271427	5	5	262
-294.15	1.19065165	5	5	263
-293.9	1.18857802	5	5	264
-293.65	1.185466099	5	5	265
-293.4	1.182033808	5	5	266
-293.15	1.178969628	5	5	267
-292.9	1.176660813	5	5	268
-292.65	1.175100244	5	5	269
-292.4	1.17397983	5	5	270
-292.15	1.172904362	5	5	271
-291.9	1.171633374	5	5	272
-291.65	1.170257731	5	5	273
-291.4	1.169230894	5	5	274
-291.15	1.169210381	5	5	275
-290.9	1.170737519	5	5	276
-290.65	1.173887772	5	5	277
-290.4	1.178098655	5	5	278
-290.15	1.182329874	5	5	279
-289.9	1.185507397	5	5	280
-289.65	1.186987593	5	5	281
-289.4	1.186754651	5	5	282
-289.15	1.185278919	5	5	283
-288.9	1.183214408	5	5	284
-288.65	1.181161919	5	5	285
-288.4	1.179566416	5	5	286
-288.15	1.178671652	5	5	287
-287.9	1.178478771	5	5	288
-287.65	1.178763006	5	5	289
-287.4	1.179209968	5	5	290
-287.15	1.179611246	5	5	291
-286.9	1.179963792	5	5	292
-286.65	1.1803838	5	5	293
-286.4	1.180920173	5	5	294
-286.15	1.181454266	5	5	295
-285.9	1.181792569	5	5	296
-285.65	1.181873878	5	5	297
-285.4	1.181898943	5	5	298
-285.15	1.182248054	5	5	299
-284.9	1.183220073	5	5	300
-284.65	1.184764954	5	5	301
-284.4	1.186398416	5	5	302
-284.15	1.187384823	5	5	303
-283.9	1.187117627	5	5	304
-283.65	1.185501022	5	5	305
-283.4	1.183113211	5	5	306
-283.15	1.181031587	5	5	307
-282.9	1.180373781	5	5	308
-282.65	1.181765472	5	5	309
-282.4	1.185004082	5	5	310
-282.15	1.189107889	5	5	311
-281.9	1.192745443	5	5	312
-281.65	1.194826766	5	5	313
-281.4	1.194942417	5	5	314
-281.15	1.193438162	5	5	315
-280.9	1.191145212	5	5	316
-280.65	1.188973947	5	5	317
-280.4	1.187594437	5	5	318
-280.15	1.187300998	5	5	319
-279.9	1.188026509	5	5	320
-279.65	1.189428333	5	5	321
-279.4	1.190995501	5	5	322
-279.15	1.192163299	5	5	323
-278.9	1.192434305	5	5	324
-278.65	1.191500154	5	5	325
-278.4	1.189345986	5	5	326
-278.15	1.18630352	5	5	327
-277.9	1.183009016	5	5	328
-277.65	1.180238574	5	5	329
-277.4	1.17864685	5	5	330
-277.15	1.178506828	5	5	331
-276.9	1.179585635	5	5	332
-276.65	1.181245976	5	5	333
-276.4	1.182742623	5	5	334
-276.15	1.18356358	5	5	335
-275.9	1.183631739	5	5	336
-275.65	1.183261628	5	5	337
-275.4	1.182908624	5	5	338
-275.15	1.182869881	5	5	339
-274.9	1.183124257	5	5	340
-274.65	1.183409054	5	5	341
-274.4	1.183472592	5	5	342
-274.15	1.183318474	5	5	343
-273.9	1.18326257	5	5	344
-273.65	1.183760395	5	5	345
-273.4	1.185130993	5	5	346
-273.15	1.187373352	5	5	347
-272.9	1.190186291	5	5	348
-272.65	1.193135295	5	5	349
-272.4	1.195810477	5	5	350
-272.15	1.197879296	5	5	351
-271.9	1.199084296	5	5	352
-271.65	1.199296231	5	5	353
-271.4	1.19862536	5	5	354
-271.15	1.197447391	5	5	355
-270.9	1.196223672	5	5	356
-270.65	1.195209981	5	5	357
-270.4	1.194319694	5	5	358
-270.15	1.193303447	5	5	359
-269.9	1.192100233	5	5	360
-269.65	1.19102736	5	5	361
-269.4	1.190616325	5	5	362
-269.15	1.191225937	5	5	363
-268.9	1.192754283	5	5	364
-268.65	1.194672605	5	5	365
-268.4	1.196338815	5	5	366
-268.15	1.197347585	5	5	367
-267.9	1.197675719	5	5	368
-267.65	1.197560572	5	5	369
-267.4	1.197258719	5	5	370
-267.15	1.196905522	5	5	371
-266.9	1.196574503	5	5	372
-266.65	1.196428909	5	5	373
-266.4	1.196757563	5	5	374
-266.15	1.197792457	5	5	375
-265.9	1.199430782	5	5	376
-265.65	1.201126697	5	5	377
-265.4	1.202127088	5	5	378
-265.15	1.201944655	5	5	379
-264.9	1.200724674	5	5	380
-264.65	1.19919953	5	5	381
-264.4	1.198233988	5	5	382
-264.15	1.198283523	5	5	383
-263.9	1.199143878	5	5	384
-263.65	1.200134351	5	5	385
