vKurbelwinkel	p_Zyl_1 	p_Ein 	p_Aus 
[KWnZOT]	[bar]	[bar]	[bar]
-360	2.7435	2.2849	2.8206
-359.9	2.7385	2.285	2.8194
-359.8	2.7335	2.2851	2.8181
-359.7	2.7284	2.2852	2.817
-359.6	2.7233	2.2854	2.8158
-359.5	2.7182	2.2855	2.8146
-359.4	2.7131	2.2856	2.8135
-359.3	2.7079	2.2857	2.8123
-359.2	2.7027	2.2858	2.8112
-359.1	2.6974	2.2859	2.8101
-359	2.6921	2.286	2.809
-358.9	2.6868	2.2861	2.808
-358.8	2.6815	2.2862	2.8069
-358.7	2.6761	2.2862	2.8058
-358.6	2.6707	2.2863	2.8048
-358.5	2.6652	2.2864	2.8038
-358.4	2.6598	2.2865	2.8028
-358.3	2.6543	2.2866	2.8018
-358.2	2.6487	2.2867	2.8008
-358.1	2.6431	2.2868	2.7999
-358	2.6375	2.2869	2.7989
-357.9	2.632	2.287	2.7979
-357.8	2.6264	2.2871	2.7969
-357.7	2.6207	2.2872	2.796
-357.6	2.615	2.2873	2.7951
-357.5	2.6093	2.2874	2.7942
-357.4	2.6034	2.2874	2.7934
-357.3	2.5975	2.2875	2.7925
-357.2	2.5916	2.2876	2.7917
-357.1	2.5856	2.2877	2.7909
-357	2.5796	2.2877	2.7902
-356.9	2.5735	2.2878	2.7894
-356.8	2.5675	2.2878	2.7886
-356.7	2.5614	2.2879	2.7879
-356.6	2.5553	2.2879	2.7871
-356.5	2.5491	2.2879	2.7863
-356.4	2.5429	2.288	2.7856
-356.3	2.5367	2.2879	2.7848
-356.2	2.5304	2.2879	2.784
-356.1	2.5242	2.2879	2.7832
-356	2.5178	2.2878	2.7824
-355.9	2.5115	2.2877	2.7816
-355.8	2.5051	2.2876	2.7808
-355.7	2.4988	2.2874	2.78
-355.6	2.4925	2.2872	2.7791
-355.5	2.4861	2.287	2.7783
-355.4	2.4798	2.2868	2.7776
-355.3	2.4735	2.2866	2.7768
-355.2	2.4672	2.2863	2.776
-355.1	2.4609	2.286	2.7753
-355	2.4548	2.2857	2.7745
-354.9	2.4486	2.2854	2.7738
-354.8	2.4426	2.2851	2.7732
-354.7	2.4367	2.2847	2.7726
-354.6	2.4307	2.2844	2.772
-354.5	2.4249	2.284	2.7715
-354.4	2.4192	2.2836	2.771
-354.3	2.4135	2.2832	2.7706
-354.2	2.4078	2.2827	2.7702
-354.1	2.4023	2.2822	2.7699
-354	2.3968	2.2818	2.7696
-353.9	2.3914	2.2813	2.7693
-353.8	2.3861	2.2807	2.7691
-353.7	2.3809	2.2802	2.769
-353.6	2.3758	2.2797	2.7688
-353.5	2.3708	2.2791	2.7687
-353.4	2.3659	2.2786	2.7686
-353.3	2.3611	2.278	2.7684
-353.2	2.3566	2.2775	2.7683
-353.1	2.3522	2.2769	2.7683
-353	2.3478	2.2763	2.7682
-352.9	2.3436	2.2757	2.7681
-352.8	2.3396	2.2751	2.7679
-352.7	2.3356	2.2745	2.7678
-352.6	2.3317	2.2738	2.7677
-352.5	2.3279	2.2731	2.7676
-352.4	2.3243	2.2724	2.7674
-352.3	2.3208	2.2716	2.7672
-352.2	2.3175	2.2708	2.7671
-352.1	2.3143	2.27	2.767
-352	2.311	2.2692	2.7668
-351.9	2.308	2.2684	2.7666
-351.8	2.3051	2.2675	2.7665
-351.7	2.3024	2.2667	2.7663
-351.6	2.2997	2.2658	2.7662
-351.5	2.2971	2.2649	2.7661
-351.4	2.2948	2.2641	2.766
-351.3	2.2926	2.2632	2.7659
-351.2	2.2905	2.2623	2.7659
-351.1	2.2885	2.2615	2.7659
-351	2.2866	2.2606	2.7659
-350.9	2.285	2.2596	2.766
-350.8	2.2834	2.2587	2.7662
-350.7	2.2819	2.2578	2.7663
-350.6	2.2805	2.2568	2.7665
-350.5	2.2791	2.2559	2.7668
-350.4	2.278	2.2549	2.7671
-350.3	2.277	2.2539	2.7674
-350.2	2.2761	2.2529	2.7678
-350.1	2.2752	2.252	2.7682
-350	2.2744	2.251	2.7686
-349.9	2.2739	2.25	2.7691
-349.8	2.2735	2.2491	2.7696
-349.7	2.273	2.2481	2.7701
-349.6	2.2727	2.2471	2.7706
-349.5	2.2724	2.2462	2.7712
-349.4	2.2723	2.2453	2.7718
-349.3	2.2722	2.2443	2.7723
-349.2	2.2723	2.2434	2.773
-349.1	2.2724	2.2424	2.7736
-349	2.2726	2.2414	2.7742
-348.9	2.2728	2.2404	2.7749
-348.8	2.273	2.2394	2.7756
-348.7	2.2733	2.2384	2.7762
-348.6	2.2735	2.2373	2.777
-348.5	2.2738	2.2363	2.7777
-348.4	2.2742	2.2353	2.7784
-348.3	2.2745	2.2342	2.7792
-348.2	2.275	2.2332	2.78
-348.1	2.2754	2.2322	2.7807
-348	2.2756	2.2311	2.7815
-347.9	2.276	2.2301	2.7823
-347.8	2.2764	2.2291	2.7832
-347.7	2.2767	2.2281	2.7839
-347.6	2.2771	2.2271	2.7848
-347.5	2.2775	2.2261	2.7857
-347.4	2.2778	2.2251	2.7866
-347.3	2.2782	2.224	2.7874
-347.2	2.2785	2.223	2.7884
-347.1	2.2788	2.222	2.7893
-347	2.2791	2.221	2.7901
-346.9	2.2794	2.2199	2.7911
-346.8	2.2797	2.2189	2.7921
-346.7	2.2799	2.2179	2.7931
-346.6	2.2802	2.2169	2.7941
-346.5	2.2805	2.2159	2.7951
-346.4	2.2808	2.215	2.7961
-346.3	2.2809	2.214	2.7972
-346.2	2.2812	2.2131	2.7983
-346.1	2.2814	2.2122	2.7994
-346	2.2817	2.2113	2.8004
-345.9	2.2819	2.2104	2.8016
-345.8	2.282	2.2096	2.8027
-345.7	2.2822	2.2088	2.8038
-345.6	2.2825	2.208	2.8049
-345.5	2.2826	2.2071	2.8061
-345.4	2.2827	2.2063	2.8071
-345.3	2.2829	2.2055	2.8082
-345.2	2.2831	2.2048	2.8093
-345.1	2.2832	2.204	2.8103
-345	2.2833	2.2032	2.8113
-344.9	2.2834	2.2025	2.8123
-344.8	2.2835	2.2017	2.8132
-344.7	2.2835	2.201	2.8141
-344.6	2.2835	2.2003	2.8151
-344.5	2.2836	2.1996	2.8159
-344.4	2.2836	2.1989	2.8167
-344.3	2.2836	2.1982	2.8175
-344.2	2.2838	2.1975	2.8183
-344.1	2.2837	2.1969	2.819
-344	2.2838	2.1962	2.8197
-343.9	2.2839	2.1956	2.8204
-343.8	2.284	2.1949	2.821
-343.7	2.2839	2.1943	2.8216
-343.6	2.284	2.1937	2.8223
-343.5	2.284	2.1931	2.8229
-343.4	2.2839	2.1925	2.8234
-343.3	2.284	2.1919	2.824
-343.2	2.284	2.1913	2.8246
-343.1	2.2841	2.1907	2.8251
-343	2.2841	2.1901	2.8258
-342.9	2.2841	2.1896	2.8264
-342.8	2.2841	2.1891	2.827
-342.7	2.2841	2.1885	2.8276
-342.6	2.2841	2.188	2.8282
-342.5	2.2841	2.1875	2.8289
-342.4	2.284	2.187	2.8295
-342.3	2.2838	2.1866	2.8301
-342.2	2.2837	2.1861	2.8307
-342.1	2.2834	2.1856	2.8313
-342	2.2831	2.1852	2.8319
-341.9	2.2827	2.1847	2.8324
-341.8	2.2822	2.1843	2.8329
-341.7	2.2818	2.1838	2.8334
-341.6	2.2812	2.1834	2.8339
-341.5	2.2805	2.1829	2.8343
-341.4	2.2799	2.1824	2.8346
-341.3	2.2793	2.182	2.835
-341.2	2.2786	2.1815	2.8354
-341.1	2.2779	2.181	2.8357
-341	2.277	2.1805	2.8359
-340.9	2.2763	2.1801	2.8362
-340.8	2.2753	2.1796	2.8365
-340.7	2.2744	2.1792	2.8368
-340.6	2.2734	2.1787	2.837
-340.5	2.2724	2.1782	2.8373
-340.4	2.2712	2.1777	2.8375
-340.3	2.2702	2.1773	2.8378
-340.2	2.2691	2.1768	2.8381
-340.1	2.2679	2.1763	2.8385
-340	2.2667	2.1759	2.8388
-339.9	2.2654	2.1754	2.8392
-339.8	2.2642	2.1749	2.8396
-339.7	2.2629	2.1745	2.8399
-339.6	2.2616	2.174	2.8404
-339.5	2.2603	2.1736	2.8408
-339.4	2.259	2.1732	2.8413
-339.3	2.2578	2.1728	2.8418
-339.2	2.2566	2.1723	2.8423
-339.1	2.2552	2.1719	2.8427
-339	2.254	2.1715	2.8432
-338.9	2.2527	2.1711	2.8436
-338.8	2.2514	2.1708	2.844
-338.7	2.2501	2.1704	2.8444
-338.6	2.2487	2.1701	2.8448
-338.5	2.2473	2.1697	2.8451
-338.4	2.2459	2.1694	2.8453
-338.3	2.2445	2.1691	2.8455
-338.2	2.2432	2.1688	2.8457
-338.1	2.2418	2.1685	2.8458
-338	2.2404	2.1682	2.8458
-337.9	2.2391	2.1679	2.8458
-337.8	2.2378	2.1676	2.8457
-337.7	2.2365	2.1673	2.8456
-337.6	2.2353	2.1671	2.8454
-337.5	2.234	2.1668	2.8452
-337.4	2.2328	2.1665	2.8449
-337.3	2.2316	2.1662	2.8446
-337.2	2.2304	2.166	2.8442
-337.1	2.2292	2.1657	2.8439
-337	2.2281	2.1654	2.8435
-336.9	2.2269	2.1651	2.8431
-336.8	2.2257	2.1649	2.8427
-336.7	2.2246	2.1646	2.8423
-336.6	2.2234	2.1643	2.842
-336.5	2.2222	2.164	2.8416
-336.4	2.2211	2.1637	2.8412
-336.3	2.22	2.1633	2.8409
-336.2	2.2188	2.163	2.8406
-336.1	2.2177	2.1626	2.8401
-336	2.2166	2.1623	2.8398
-335.9	2.2155	2.1619	2.8395
-335.8	2.2144	2.1616	2.8391
-335.7	2.2132	2.1612	2.8387
-335.6	2.2121	2.1609	2.8384
-335.5	2.2111	2.1605	2.838
-335.4	2.21	2.1602	2.8375
-335.3	2.209	2.1598	2.8371
-335.2	2.208	2.1595	2.8366
-335.1	2.207	2.1591	2.8361
-335	2.206	2.1588	2.8355
-334.9	2.2049	2.1585	2.8349
-334.8	2.2039	2.1582	2.8342
-334.7	2.2028	2.1579	2.8335
-334.6	2.2018	2.1576	2.8327
-334.5	2.2009	2.1573	2.8319
-334.4	2.2	2.157	2.831
-334.3	2.199	2.1568	2.8301
-334.2	2.1982	2.1566	2.8291
-334.1	2.1973	2.1564	2.8281
-334	2.1965	2.1562	2.827
-333.9	2.1957	2.156	2.8259
-333.8	2.1949	2.1558	2.8248
-333.7	2.1941	2.1557	2.8236
-333.6	2.1934	2.1555	2.8225
-333.5	2.1927	2.1554	2.8213
-333.4	2.192	2.1553	2.8201
-333.3	2.1914	2.1552	2.819
-333.2	2.1908	2.1552	2.8178
-333.1	2.1901	2.1551	2.8167
-333	2.1895	2.1551	2.8156
-332.9	2.1888	2.1551	2.8145
-332.8	2.1882	2.1551	2.8135
-332.7	2.1876	2.1551	2.8124
-332.6	2.187	2.1551	2.8114
-332.5	2.1865	2.1551	2.8104
-332.4	2.186	2.1552	2.8095
-332.3	2.1855	2.1552	2.8085
-332.2	2.185	2.1553	2.8077
-332.1	2.1846	2.1554	2.8068
-332	2.184	2.1556	2.806
-331.9	2.1836	2.1557	2.8051
-331.8	2.183	2.1559	2.8044
-331.7	2.1826	2.1561	2.8036
-331.6	2.1822	2.1563	2.8028
-331.5	2.1819	2.1566	2.8021
-331.4	2.1816	2.1569	2.8013
-331.3	2.1814	2.1572	2.8007
-331.2	2.1811	2.1575	2.8
-331.1	2.1808	2.1578	2.7993
-331	2.1804	2.1582	2.7987
-330.9	2.18	2.1585	2.798
-330.8	2.1797	2.1589	2.7974
-330.7	2.1795	2.1593	2.7968
-330.6	2.1794	2.1598	2.7962
-330.5	2.1793	2.1602	2.7956
-330.4	2.1793	2.1607	2.795
-330.3	2.1794	2.1612	2.7944
-330.2	2.1795	2.1617	2.7939
-330.1	2.1795	2.1623	2.7933
-330	2.1795	2.1628	2.7927
-329.9	2.1795	2.1634	2.7922
-329.8	2.1797	2.164	2.7917
-329.7	2.18	2.1646	2.7911
-329.6	2.1803	2.1652	2.7906
-329.5	2.1806	2.1659	2.7901
-329.4	2.1808	2.1665	2.7896
-329.3	2.1809	2.1672	2.7891
-329.2	2.1811	2.1679	2.7886
-329.1	2.1813	2.1686	2.7882
-329	2.1817	2.1693	2.7877
-328.9	2.1822	2.17	2.7872
-328.8	2.1827	2.1708	2.7868
-328.7	2.1831	2.1715	2.7863
-328.6	2.1836	2.1723	2.7859
-328.5	2.1839	2.1731	2.7854
-328.4	2.1844	2.1739	2.785
-328.3	2.185	2.1747	2.7846
-328.2	2.1855	2.1755	2.7841
-328.1	2.186	2.1763	2.7836
-328	2.1866	2.1772	2.7833
-327.9	2.1871	2.1781	2.7828
-327.8	2.1875	2.179	2.7823
-327.7	2.1878	2.1799	2.7819
-327.6	2.1885	2.1808	2.7814
-327.5	2.1892	2.1817	2.781
-327.4	2.1898	2.1826	2.7805
-327.3	2.1904	2.1835	2.7801
-327.2	2.1917	2.1844	2.7797
-327.1	2.1929	2.1854	2.7793
-327	2.1939	2.1863	2.7788
-326.9	2.1951	2.1872	2.7783
-326.8	2.1959	2.1881	2.7779
-326.7	2.1969	2.189	2.7774
-326.6	2.1976	2.1899	2.7768
-326.5	2.198	2.1908	2.7763
-326.4	2.1988	2.1918	2.7758
-326.3	2.2001	2.1927	2.7752
-326.2	2.2017	2.1936	2.7747
-326.1	2.2031	2.1946	2.7741
-326	2.2042	2.1955	2.7736
-325.9	2.2053	2.1964	2.7729
-325.8	2.2061	2.1973	2.7724
-325.7	2.207	2.1982	2.7719
-325.6	2.2079	2.1991	2.7713
-325.5	2.2089	2.2001	2.7707
-325.4	2.2101	2.201	2.7702
-325.3	2.2112	2.2019	2.7697
-325.2	2.2123	2.2028	2.7692
-325.1	2.2132	2.2037	2.7688
-325	2.2141	2.2046	2.7684
-324.9	2.2149	2.2055	2.768
-324.8	2.2153	2.2065	2.7676
-324.7	2.216	2.2074	2.7673
-324.6	2.217	2.2084	2.7671
-324.5	2.2184	2.2093	2.7668
-324.4	2.2198	2.2103	2.7666
-324.3	2.221	2.2113	2.7664
-324.2	2.2217	2.2123	2.7663
-324.1	2.2222	2.2133	2.7662
-324	2.2225	2.2142	2.7661
-323.9	2.223	2.2152	2.7659
-323.8	2.2239	2.2162	2.7659
-323.7	2.2252	2.2171	2.7658
-323.6	2.2266	2.218	2.7657
-323.5	2.2277	2.219	2.7656
-323.4	2.2291	2.2199	2.7655
-323.3	2.2305	2.2208	2.7654
-323.2	2.232	2.2217	2.7653
-323.1	2.2325	2.2225	2.7652
-323	2.2333	2.2234	2.765
-322.9	2.2342	2.2242	2.7649
-322.8	2.2348	2.225	2.7647
-322.7	2.2361	2.2259	2.7646
-322.6	2.237	2.2267	2.7645
-322.5	2.2382	2.2275	2.7644
-322.4	2.2398	2.2282	2.7643
-322.3	2.2415	2.229	2.7643
-322.2	2.2428	2.2297	2.7643
-322.1	2.2436	2.2304	2.7643
-322	2.2445	2.2311	2.7644
-321.9	2.2454	2.2318	2.7646
-321.8	2.2465	2.2324	2.7648
-321.7	2.2476	2.233	2.7651
-321.6	2.2488	2.2337	2.7654
-321.5	2.2499	2.2343	2.7659
-321.4	2.2509	2.2348	2.7664
-321.3	2.2518	2.2354	2.767
-321.2	2.2527	2.236	2.7677
-321.1	2.2536	2.2366	2.7684
-321	2.2547	2.2371	2.7691
-320.9	2.2559	2.2377	2.7699
-320.8	2.257	2.2382	2.7708
-320.7	2.2585	2.2387	2.7717
-320.6	2.26	2.2392	2.7726
-320.5	2.2612	2.2397	2.7734
-320.4	2.2621	2.2401	2.7743
-320.3	2.2628	2.2405	2.7751
-320.2	2.2635	2.2409	2.7758
-320.1	2.2644	2.2413	2.7766
-320	2.2657	2.2417	2.7772
-319.9	2.2671	2.2421	2.7777
-319.8	2.2685	2.2424	2.7782
-319.7	2.2699	2.2428	2.7786
-319.6	2.2708	2.2431	2.7789
-319.5	2.2719	2.2435	2.7792
-319.4	2.273	2.2438	2.7794
-319.3	2.274	2.2442	2.7795
-319.2	2.2749	2.2445	2.7796
-319.1	2.2759	2.2448	2.7796
-319	2.2772	2.2451	2.7796
-318.9	2.2784	2.2454	2.7796
-318.8	2.2793	2.2457	2.7796
-318.7	2.2803	2.246	2.7795
-318.6	2.2813	2.2463	2.7795
-318.5	2.2823	2.2466	2.7795
-318.4	2.2833	2.2469	2.7795
-318.3	2.2845	2.2472	2.7797
-318.2	2.2855	2.2474	2.7798
-318.1	2.2863	2.2477	2.7801
-318	2.2871	2.248	2.7804
-317.9	2.2878	2.2482	2.7808
-317.8	2.2885	2.2485	2.7813
-317.7	2.2892	2.2488	2.7818
-317.6	2.29	2.2491	2.7825
-317.5	2.2909	2.2494	2.7832
-317.4	2.2917	2.2497	2.7839
-317.3	2.2926	2.25	2.7847
-317.2	2.2934	2.2503	2.7856
-317.1	2.2941	2.2506	2.7865
-317	2.2948	2.2509	2.7873
-316.9	2.2955	2.2512	2.7881
-316.8	2.2961	2.2515	2.7891
-316.7	2.2968	2.2518	2.7899
-316.6	2.2975	2.2521	2.7907
-316.5	2.2981	2.2524	2.7915
-316.4	2.2988	2.2527	2.7923
-316.3	2.2993	2.253	2.793
-316.2	2.2999	2.2533	2.7936
-316.1	2.3005	2.2536	2.7942
-316	2.3011	2.2539	2.7947
-315.9	2.3017	2.2542	2.7952
-315.8	2.3023	2.2545	2.7956
-315.7	2.3029	2.2549	2.796
-315.6	2.3033	2.2552	2.7963
-315.5	2.3039	2.2555	2.7966
-315.4	2.3043	2.2559	2.7969
-315.3	2.3047	2.2562	2.7972
-315.2	2.3051	2.2566	2.7975
-315.1	2.3055	2.2569	2.7977
-315	2.3059	2.2573	2.798
-314.9	2.3062	2.2577	2.7984
-314.8	2.3065	2.258	2.7987
-314.7	2.3068	2.2584	2.7991
-314.6	2.3071	2.2588	2.7995
-314.5	2.3074	2.2591	2.8
-314.4	2.3075	2.2595	2.8005
-314.3	2.3077	2.2599	2.8011
-314.2	2.3079	2.2603	2.8017
-314.1	2.308	2.2607	2.8023
-314	2.3081	2.2611	2.8028
-313.9	2.3083	2.2615	2.8035
-313.8	2.3084	2.2619	2.804
-313.7	2.3085	2.2623	2.8046
-313.6	2.3086	2.2628	2.8051
-313.5	2.3086	2.2632	2.8056
-313.4	2.3087	2.2636	2.8061
-313.3	2.3088	2.2641	2.8065
-313.2	2.3089	2.2645	2.807
-313.1	2.309	2.265	2.8074
-313	2.309	2.2654	2.8076
-312.9	2.3088	2.2658	2.8079
-312.8	2.3088	2.2662	2.8082
-312.7	2.3087	2.2666	2.8083
-312.6	2.3086	2.267	2.8084
-312.5	2.3086	2.2674	2.8085
