 	 1kHz	 0.5kHz 	 0.25kHz 	 roh
[KWnZOT]	[bar]	[bar]	[bar]	[bar]
-221.8	1.2718	1.2704	1.2703	1.2735
-221.7	1.2716	1.2707	1.2707	1.2731
-221.6	1.2713	1.271	1.271	1.2725
-221.5	1.2708	1.2713	1.2714	1.2717
-221.4	1.2704	1.2716	1.2717	1.2702
-221.3	1.27	1.2719	1.2721	1.2689
-221.2	1.2699	1.2722	1.2724	1.2679
-221.1	1.27	1.2726	1.2728	1.2676
-221	1.2704	1.273	1.2731	1.2679
-220.9	1.2711	1.2735	1.2735	1.2686
-220.8	1.2721	1.274	1.2739	1.2701
-220.7	1.2733	1.2745	1.2742	1.2721
-220.6	1.2747	1.275	1.2746	1.2745
-220.5	1.2762	1.2755	1.275	1.277
-220.4	1.2775	1.276	1.2753	1.2788
-220.3	1.2788	1.2765	1.2757	1.2804
-220.2	1.2797	1.2769	1.276	1.2816
-220.1	1.2804	1.2773	1.2764	1.2825
-220	1.2807	1.2776	1.2768	1.2829
-219.9	1.2807	1.2779	1.2771	1.2825
-219.8	1.2804	1.2781	1.2774	1.2817
-219.7	1.2799	1.2782	1.2778	1.2807
-219.6	1.2792	1.2784	1.2781	1.2796
-219.5	1.2784	1.2785	1.2785	1.2784
-219.4	1.2776	1.2786	1.2788	1.2768
-219.3	1.277	1.2788	1.2791	1.2754
-219.2	1.2766	1.2789	1.2795	1.2746
-219.1	1.2764	1.2791	1.2798	1.2743
-219	1.2765	1.2794	1.2802	1.2747
-218.9	1.277	1.2797	1.2805	1.2753
-218.8	1.2777	1.2801	1.2809	1.2764
-218.7	1.2786	1.2805	1.2813	1.278
-218.6	1.2797	1.2809	1.2816	1.2799
-218.5	1.2809	1.2814	1.282	1.2818
-218.4	1.2821	1.2819	1.2824	1.283
-218.3	1.2833	1.2824	1.2828	1.2841
-218.2	1.2843	1.2829	1.2832	1.2851
-218.1	1.2852	1.2833	1.2835	1.286
-218	1.2859	1.2838	1.2839	1.2868
-217.9	1.2864	1.2842	1.2843	1.2871
-217.8	1.2867	1.2846	1.2847	1.2874
-217.7	1.2868	1.285	1.2851	1.2875
-217.6	1.2867	1.2854	1.2854	1.2876
-217.5	1.2865	1.2857	1.2858	1.2875
-217.4	1.2863	1.286	1.2862	1.2867
-217.3	1.286	1.2863	1.2866	1.2858
-217.2	1.2857	1.2867	1.287	1.2851
-217.1	1.2855	1.287	1.2873	1.2846
-217	1.2855	1.2874	1.2877	1.2845
-216.9	1.2856	1.2878	1.2881	1.2843
-216.8	1.286	1.2883	1.2885	1.2846
-216.7	1.2866	1.2887	1.2889	1.2853
-216.6	1.2874	1.2893	1.2892	1.2865
-216.5	1.2883	1.2898	1.2896	1.288
-216.4	1.2894	1.2904	1.29	1.2892
-216.3	1.2905	1.2909	1.2904	1.2905
-216.2	1.2917	1.2915	1.2908	1.2919
-216.1	1.2928	1.292	1.2911	1.2934
-216	1.2938	1.2925	1.2915	1.2948
-215.9	1.2947	1.293	1.2919	1.2956
-215.8	1.2954	1.2934	1.2922	1.2962
-215.7	1.296	1.2938	1.2925	1.2967
-215.6	1.2963	1.2942	1.2929	1.2971
-215.5	1.2965	1.2944	1.2932	1.2973
-215.4	1.2965	1.2946	1.2935	1.2969
-215.3	1.2964	1.2948	1.2938	1.2964
-215.2	1.2962	1.2949	1.2942	1.296
-215.1	1.2959	1.295	1.2945	1.2956
-215	1.2957	1.2951	1.2948	1.2954
-214.9	1.2954	1.2951	1.2951	1.2948
-214.8	1.2951	1.2951	1.2954	1.2944
-214.7	1.2949	1.2952	1.2956	1.2942
-214.6	1.2947	1.2952	1.2959	1.2944
-214.5	1.2945	1.2953	1.2962	1.2947
-214.4	1.2944	1.2954	1.2965	1.2948
-214.3	1.2943	1.2955	1.2968	1.295
-214.2	1.2943	1.2957	1.2971	1.2952
-214.1	1.2942	1.2959	1.2974	1.2953
-214	1.2942	1.2962	1.2978	1.2953
-213.9	1.2943	1.2965	1.2981	1.2944
-213.8	1.2945	1.2969	1.2984	1.2937
-213.7	1.2949	1.2973	1.2987	1.2933
-213.6	1.2956	1.2978	1.299	1.2935
-213.5	1.2964	1.2984	1.2994	1.2943
-213.4	1.2975	1.2989	1.2997	1.2957
-213.3	1.2988	1.2996	1.3	1.2976
-213.2	1.3001	1.3002	1.3004	1.2999
-213.1	1.3015	1.3009	1.3007	1.3024
-213	1.3029	1.3015	1.301	1.3047
-212.9	1.3041	1.3021	1.3014	1.3058
-212.8	1.3051	1.3027	1.3017	1.3064
-212.7	1.3058	1.3032	1.302	1.3068
-212.6	1.3064	1.3036	1.3023	1.307
-212.5	1.3066	1.304	1.3026	1.3071
-212.4	1.3067	1.3043	1.3029	1.307
-212.3	1.3066	1.3046	1.3032	1.3068
-212.2	1.3063	1.3048	1.3034	1.3067
-212.1	1.3059	1.3049	1.3037	1.3066
-212	1.3054	1.305	1.3039	1.3063
-211.9	1.3049	1.3051	1.3042	1.3052
-211.8	1.3043	1.3052	1.3044	1.3041
-211.7	1.3038	1.3052	1.3047	1.3032
-211.6	1.3035	1.3053	1.3049	1.3025
-211.5	1.3033	1.3054	1.3051	1.3021
-211.4	1.3034	1.3055	1.3054	1.3017
-211.3	1.3037	1.3057	1.3056	1.3018
-211.2	1.3042	1.3058	1.3058	1.3025
-211.1	1.3049	1.306	1.306	1.3037
-211	1.3057	1.3062	1.3063	1.3053
-210.9	1.3066	1.3064	1.3065	1.3067
-210.8	1.3074	1.3066	1.3067	1.3083
-210.7	1.3081	1.3068	1.3069	1.3097
-210.6	1.3086	1.307	1.3071	1.3108
-210.5	1.3089	1.3072	1.3074	1.3115
-210.4	1.309	1.3073	1.3076	1.311
-210.3	1.3089	1.3075	1.3078	1.3101
-210.2	1.3085	1.3076	1.308	1.309
-210.1	1.3081	1.3077	1.3082	1.3079
-210	1.3077	1.3078	1.3084	1.3069
-209.9	1.3074	1.3079	1.3086	1.3059
-209.8	1.3071	1.308	1.3088	1.3053
-209.7	1.307	1.3082	1.3091	1.3052
-209.6	1.3071	1.3084	1.3093	1.3057
-209.5	1.3074	1.3086	1.3095	1.3067
-209.4	1.3078	1.3089	1.3098	1.3075
-209.3	1.3082	1.3092	1.31	1.3085
-209.2	1.3087	1.3095	1.3102	1.3096
-209.1	1.3093	1.3099	1.3105	1.3106
-209	1.3097	1.3102	1.3107	1.3114
-208.9	1.3102	1.3106	1.311	1.3113
-208.8	1.3106	1.311	1.3112	1.3111
-208.7	1.3109	1.3114	1.3115	1.3108
-208.6	1.3114	1.3118	1.3117	1.3107
-208.5	1.3118	1.3122	1.312	1.3109
-208.4	1.3124	1.3126	1.3122	1.311
-208.3	1.313	1.313	1.3125	1.3116
-208.2	1.3137	1.3134	1.3127	1.3125
-208.1	1.3145	1.3138	1.313	1.3138
-208	1.3152	1.3141	1.3132	1.3153
-207.9	1.3159	1.3144	1.3135	1.3162
-207.8	1.3166	1.3147	1.3137	1.3172
-207.7	1.317	1.3149	1.3139	1.318
-207.6	1.3173	1.3151	1.3142	1.3186
-207.5	1.3174	1.3152	1.3144	1.319
-207.4	1.3173	1.3153	1.3146	1.3186
-207.3	1.3169	1.3154	1.3148	1.3179
-207.2	1.3164	1.3154	1.3151	1.3171
-207.1	1.3158	1.3154	1.3153	1.3162
-207	1.3151	1.3153	1.3155	1.3153
-206.9	1.3144	1.3153	1.3157	1.314
-206.8	1.3138	1.3154	1.3159	1.3129
-206.7	1.3134	1.3154	1.3162	1.3122
-206.6	1.3131	1.3155	1.3164	1.3119
-206.5	1.3131	1.3156	1.3166	1.312
-206.4	1.3133	1.3158	1.3169	1.312
-206.3	1.3138	1.3161	1.3171	1.3125
-206.2	1.3144	1.3164	1.3173	1.3134
-206.1	1.3152	1.3168	1.3176	1.3147
-206	1.3162	1.3171	1.3179	1.3163
-205.9	1.3172	1.3176	1.3181	1.3176
-205.8	1.3181	1.318	1.3184	1.3188
-205.7	1.3191	1.3185	1.3186	1.3201
-205.6	1.3199	1.3189	1.3189	1.3212
-205.5	1.3205	1.3193	1.3192	1.3221
-205.4	1.3211	1.3198	1.3194	1.3221
-205.3	1.3215	1.3201	1.3197	1.3219
-205.2	1.3217	1.3205	1.32	1.3217
-205.1	1.3219	1.3208	1.3202	1.3216
-205	1.322	1.3212	1.3205	1.3216
-204.9	1.3221	1.3214	1.3207	1.3214
-204.8	1.3223	1.3217	1.321	1.3215
-204.7	1.3224	1.3219	1.3212	1.3218
-204.6	1.3225	1.3221	1.3215	1.3223
-204.5	1.3227	1.3223	1.3217	1.3229
-204.4	1.3229	1.3225	1.322	1.3228
-204.3	1.323	1.3227	1.3222	1.3228
-204.2	1.3232	1.3228	1.3225	1.3229
-204.1	1.3234	1.3229	1.3227	1.3232
-204	1.3235	1.323	1.323	1.3236
-203.9	1.3236	1.3231	1.3232	1.3238
-203.8	1.3236	1.3233	1.3234	1.3241
-203.7	1.3235	1.3234	1.3237	1.3244
-203.6	1.3233	1.3235	1.3239	1.3246
-203.5	1.3231	1.3236	1.3242	1.3246
-203.4	1.3229	1.3237	1.3244	1.3237
-203.3	1.3227	1.3239	1.3247	1.3226
-203.2	1.3225	1.3241	1.3249	1.3218
-203.1	1.3225	1.3243	1.3252	1.3212
-203	1.3226	1.3246	1.3255	1.3211
-202.9	1.323	1.3249	1.3257	1.3212
-202.8	1.3236	1.3253	1.326	1.3218
-202.7	1.3244	1.3257	1.3263	1.3231
-202.6	1.3254	1.3261	1.3266	1.3247
-202.5	1.3264	1.3266	1.3268	1.3266
-202.4	1.3275	1.327	1.3271	1.328
-202.3	1.3285	1.3275	1.3274	1.3293
-202.2	1.3295	1.3279	1.3277	1.3306
-202.1	1.3302	1.3283	1.3279	1.3316
-202	1.3308	1.3287	1.3282	1.3324
-201.9	1.3311	1.329	1.3285	1.3323
-201.8	1.3313	1.3293	1.3288	1.332
-201.7	1.3312	1.3295	1.329	1.3316
-201.6	1.331	1.3297	1.3293	1.3312
-201.5	1.3307	1.3299	1.3295	1.3308
-201.4	1.3304	1.3301	1.3298	1.3301
-201.3	1.33	1.3302	1.33	1.3296
-201.2	1.3297	1.3304	1.3303	1.3293
-201.1	1.3294	1.3306	1.3305	1.3292
-201	1.3292	1.3307	1.3308	1.3292
-200.9	1.3291	1.331	1.331	1.3287
-200.8	1.3292	1.3312	1.3313	1.3284
-200.7	1.3295	1.3314	1.3315	1.3284
-200.6	1.33	1.3317	1.3317	1.3288
-200.5	1.3306	1.332	1.332	1.3296
-200.4	1.3314	1.3324	1.3322	1.3304
-200.3	1.3323	1.3327	1.3325	1.3315
-200.2	1.3332	1.333	1.3327	1.333
-200.1	1.3341	1.3334	1.3329	1.3345
-200	1.335	1.3337	1.3332	1.3361
-199.9	1.3357	1.334	1.3334	1.3369
-199.8	1.3362	1.3343	1.3336	1.3376
-199.7	1.3365	1.3345	1.3338	1.3379
-199.6	1.3366	1.3347	1.334	1.338
-199.5	1.3365	1.3348	1.3342	1.3379
-199.4	1.3362	1.3349	1.3344	1.337
-199.3	1.3357	1.335	1.3346	1.336
-199.2	1.3352	1.3351	1.3348	1.335
-199.1	1.3347	1.3351	1.335	1.3341
-199	1.3343	1.3352	1.3352	1.3335
-198.9	1.334	1.3352	1.3354	1.3326
-198.8	1.3338	1.3353	1.3356	1.3322
-198.7	1.3339	1.3354	1.3358	1.3322
-198.6	1.3341	1.3356	1.336	1.3328
-198.5	1.3345	1.3357	1.3362	1.3338
-198.4	1.335	1.3359	1.3364	1.3348
-198.3	1.3356	1.3361	1.3366	1.336
-198.2	1.3362	1.3363	1.3368	1.3372
-198.1	1.3367	1.3366	1.337	1.3383
-198	1.3372	1.3368	1.3372	1.3391
-197.9	1.3376	1.337	1.3374	1.3387
-197.8	1.3378	1.3372	1.3376	1.3381
-197.7	1.338	1.3374	1.3378	1.3376
-197.6	1.3382	1.3377	1.338	1.3373
-197.5	1.3383	1.3379	1.3382	1.3373
-197.4	1.3384	1.3381	1.3384	1.3377
-197.3	1.3386	1.3383	1.3386	1.3384
-197.2	1.3387	1.3385	1.3388	1.3393
-197.1	1.3388	1.3387	1.339	1.3401
-197	1.3388	1.3389	1.3393	1.3406
-196.9	1.3389	1.3392	1.3395	1.3397
-196.8	1.3389	1.3394	1.3397	1.3386
-196.7	1.3391	1.3396	1.3399	1.3377
-196.6	1.3393	1.3398	1.3401	1.3372
-196.5	1.3397	1.3401	1.3404	1.3374
-196.4	1.3401	1.3404	1.3406	1.3383
-196.3	1.3407	1.3406	1.3408	1.3398
-196.2	1.3413	1.3409	1.341	1.3417
-196.1	1.3418	1.3412	1.3413	1.3435
-196	1.3422	1.3414	1.3415	1.345
-195.9	1.3425	1.3417	1.3417	1.3449
-195.8	1.3425	1.3419	1.3419	1.3443
-195.7	1.3425	1.3422	1.3421	1.3434
-195.6	1.3423	1.3424	1.3424	1.3424
-195.5	1.3421	1.3426	1.3426	1.3415
-195.4	1.342	1.3429	1.3428	1.3407
-195.3	1.3419	1.3431	1.343	1.3404
-195.2	1.342	1.3434	1.3432	1.3405
-195.1	1.3423	1.3437	1.3434	1.3411
-195	1.3427	1.344	1.3436	1.3421
-194.9	1.3433	1.3443	1.3438	1.3426
-194.8	1.3439	1.3446	1.344	1.3433
-194.7	1.3447	1.345	1.3442	1.3443
-194.6	1.3455	1.3453	1.3444	1.3455
-194.5	1.3463	1.3456	1.3446	1.3467
-194.4	1.347	1.3458	1.3448	1.3475
-194.3	1.3476	1.3461	1.345	1.3483
-194.2	1.3481	1.3463	1.3452	1.349
-194.1	1.3484	1.3464	1.3453	1.3496
-194	1.3485	1.3465	1.3455	1.3499
-193.9	1.3484	1.3466	1.3456	1.3493
-193.8	1.3481	1.3466	1.3458	1.3486
-193.7	1.3477	1.3466	1.3459	1.3478
-193.6	1.3472	1.3465	1.3461	1.3471
-193.5	1.3467	1.3465	1.3462	1.3465
-193.4	1.3462	1.3464	1.3464	1.3456
-193.3	1.3457	1.3463	1.3465	1.345
-193.2	1.3453	1.3463	1.3466	1.3447
-193.1	1.345	1.3462	1.3468	1.3446
-193	1.3449	1.3462	1.3469	1.3447
-192.9	1.3448	1.3463	1.3471	1.3443
-192.8	1.3449	1.3463	1.3473	1.3442
-192.7	1.3452	1.3464	1.3474	1.3444
-192.6	1.3455	1.3466	1.3476	1.3449
-192.5	1.3459	1.3467	1.3478	1.3457
-192.4	1.3463	1.3469	1.3479	1.3464
-192.3	1.3468	1.3472	1.3481	1.3473
-192.2	1.3472	1.3474	1.3483	1.3482
-192.1	1.3476	1.3477	1.3485	1.349
-192	1.3479	1.348	1.3487	1.3496
-191.9	1.3482	1.3483	1.3489	1.3492
-191.8	1.3484	1.3487	1.3491	1.3486
-191.7	1.3486	1.349	1.3493	1.3481
-191.6	1.3489	1.3494	1.3495	1.3479
-191.5	1.3493	1.3497	1.3498	1.348
-191.4	1.3497	1.3501	1.35	1.3482
-191.3	1.3503	1.3504	1.3502	1.3489
-191.2	1.3509	1.3508	1.3505	1.35
-191.1	1.3517	1.3512	1.3507	1.3514
-191	1.3524	1.3515	1.3509	1.3529
-190.9	1.3531	1.3518	1.3512	1.3537
-190.8	1.3537	1.3521	1.3514	1.3543
-190.7	1.3542	1.3523	1.3516	1.3549
-190.6	1.3545	1.3525	1.3519	1.3554
-190.5	1.3547	1.3526	1.3521	1.3557
-190.4	1.3546	1.3528	1.3523	1.3554
-190.3	1.3544	1.3528	1.3526	1.3551
-190.2	1.3541	1.3529	1.3528	1.3546
-190.1	1.3536	1.3529	1.353	1.3542
-190	1.3531	1.353	1.3533	1.3537
-189.9	1.3525	1.353	1.3535	1.3527
-189.8	1.3519	1.353	1.3538	1.3517
-189.7	1.3514	1.3531	1.354	1.351
-189.6	1.351	1.3533	1.3543	1.3504
-189.5	1.3508	1.3534	1.3546	1.3502
-189.4	1.3509	1.3537	1.3548	1.3497
-189.3	1.3511	1.354	1.3551	1.3496
-189.2	1.3517	1.3543	1.3554	1.35
-189.1	1.3525	1.3547	1.3557	1.351
-189	1.3535	1.3552	1.356	1.3525
-188.9	1.3547	1.3557	1.3563	1.354
-188.8	1.356	1.3563	1.3566	1.3557
-188.7	1.3574	1.3568	1.3569	1.3577
-188.6	1.3586	1.3573	1.3572	1.3597
-188.5	1.3597	1.3579	1.3575	1.3615
-188.4	1.3606	1.3584	1.3578	1.3624
-188.3	1.3613	1.3588	1.3581	1.3629
-188.2	1.3617	1.3592	1.3584	1.3631
-188.1	1.3618	1.3596	1.3587	1.3631
-188	1.3617	1.3599	1.359	1.3628
-187.9	1.3614	1.3601	1.3593	1.3619
-187.8	1.361	1.3604	1.3595	1.361
-187.7	1.3606	1.3606	1.3598	1.3602
-187.6	1.3602	1.3608	1.3601	1.3595
-187.5	1.3599	1.361	1.3603	1.3591
-187.4	1.3598	1.3612	1.3606	1.3584
-187.3	1.3598	1.3613	1.3609	1.358
-187.2	1.3601	1.3615	1.3611	1.3582
-187.1	1.3605	1.3618	1.3614	1.3589
-187	1.3612	1.362	1.3616	1.3601
-186.9	1.3619	1.3622	1.3619	1.3612
-186.8	1.3627	1.3624	1.3621	1.3626
-186.7	1.3635	1.3626	1.3624	1.3642
-186.6	1.3642	1.3628	1.3626	1.3657
-186.5	1.3646	1.363	1.3629	1.3669
-186.4	1.3648	1.3632	1.3631	1.3672
-186.3	1.3648	1.3633	1.3633	1.3671
-186.2	1.3645	1.3634	1.3636	1.3666
-186.1	1.364	1.3635	1.3638	1.3656
-186	1.3635	1.3636	1.364	1.3644
-185.9	1.3629	1.3637	1.3642	1.3623
-185.8	1.3624	1.3639	1.3645	1.3603
-185.7	1.3621	1.364	1.3647	1.359
-185.6	1.3621	1.3642	1.3649	1.3586
-185.5	1.3624	1.3645	1.3652	1.3591
-185.4	1.363	1.3647	1.3654	1.3606
-185.3	1.3638	1.3651	1.3656	1.3628
-185.2	1.3648	1.3654	1.3659	1.3653
-185.1	1.3658	1.3658	1.3661	1.3679
-185	1.3667	1.3661	1.3663	1.37
-184.9	1.3674	1.3665	1.3666	1.3703
-184.8	1.368	1.3669	1.3668	1.3699
-184.7	1.3683	1.3672	1.367	1.3692
-184.6	1.3686	1.3675	1.3673	1.3684
-184.5	1.3687	1.3678	1.3675	1.3678
-184.4	1.3687	1.3681	1.3677	1.3677
-184.3	1.3687	1.3684	1.3679	1.3679
-184.2	1.3687	1.3687	1.3682	1.3685
-184.1	1.3688	1.3689	1.3684	1.3692
-184	1.3688	1.3692	1.3686	1.3698
-183.9	1.3689	1.3694	1.3688	1.3692
-183.8	1.369	1.3696	1.369	1.3686
-183.7	1.3692	1.3699	1.3692	1.3682
-183.6	1.3695	1.3701	1.3694	1.3681
-183.5	1.3699	1.3703	1.3696	1.3684
-183.4	1.3705	1.3705	1.3698	1.3691
-183.3	1.371	1.3707	1.37	1.3703
-183.2	1.3716	1.3709	1.3702	1.3717
-183.1	1.3721	1.3711	1.3704	1.3732
-183	1.3726	1.3712	1.3706	1.3745
-182.9	1.3728	1.3713	1.3708	1.3746
-182.8	1.3729	1.3714	1.371	1.3743
-182.7	1.3728	1.3714	1.3712	1.3738
-182.6	1.3726	1.3714	1.3714	1.3731
-182.5	1.3722	1.3714	1.3716	1.3724
-182.4	1.3718	1.3714	1.3717	1.3714
-182.3	1.3713	1.3714	1.3719	1.3706
-182.2	1.3709	1.3714	1.3721	1.37
-182.1	1.3706	1.3714	1.3723	1.3699
-182	1.3704	1.3715	1.3725	1.37
-181.9	1.3702	1.3716	1.3727	1.3699
-181.8	1.3702	1.3717	1.373	1.3699
-181.7	1.3703	1.3719	1.3732	1.3702
-181.6	1.3705	1.3721	1.3734	1.3707
-181.5	1.3708	1.3723	1.3736	1.3712
-181.4	1.3712	1.3726	1.3739	1.3711
-181.3	1.3717	1.373	1.3741	1.3711
-181.2	1.3724	1.3734	1.3744	1.3714
-181.1	1.3731	1.3738	1.3747	1.3721
-181	1.3739	1.3742	1.3749	1.3732
-180.9	1.3748	1.3747	1.3752	1.3745
-180.8	1.3756	1.3751	1.3755	1.3759
-180.7	1.3764	1.3756	1.3758	1.3774
-180.6	1.3771	1.376	1.3761	1.3788
-180.5	1.3777	1.3765	1.3763	1.3798
-180.4	1.3782	1.3769	1.3766	1.3793
-180.3	1.3785	1.3773	1.3769	1.3786
-180.2	1.3787	1.3776	1.3772	1.378
-180.1	1.3789	1.378	1.3775	1.3776
-180	1.3791	1.3783	1.3777	1.3776
-179.9	1.3793	1.3786	1.378	1.3782
-179.8	1.3794	1.3788	1.3783	1.3793
-179.7	1.3795	1.3791	1.3786	1.3804
-179.6	1.3795	1.3793	1.3788	1.3814
-179.5	1.3795	1.3796	1.3791	1.382
-179.4	1.3794	1.3798	1.3793	1.3808
-179.3	1.3793	1.38	1.3796	1.3793
-179.2	1.3793	1.3802	1.3799	1.3779
-179.1	1.3794	1.3804	1.3801	1.377
-179	1.3796	1.3807	1.3804	1.3768
-178.9	1.38	1.3809	1.3806	1.3776
-178.8	1.3805	1.3812	1.3809	1.3792
-178.7	1.3811	1.3814	1.3811	1.3812
-178.6	1.3818	1.3817	1.3813	1.3833
-178.5	1.3823	1.3819	1.3816	1.3851
-178.4	1.3827	1.3822	1.3818	1.3852
-178.3	1.383	1.3824	1.3821	1.3847
-178.2	1.3832	1.3827	1.3823	1.384
-178.1	1.3833	1.3829	1.3825	1.3831
-178	1.3833	1.3831	1.3827	1.3824
-177.9	1.3834	1.3833	1.3829	1.3818
-177.8	1.3835	1.3835	1.3832	1.3817
-177.7	1.3836	1.3837	1.3834	1.3822
-177.6	1.3839	1.3839	1.3836	1.383
-177.5	1.3842	1.3841	1.3838	1.3842
-177.4	1.3844	1.3842	1.384	1.3849
-177.3	1.3847	1.3844	1.3842	1.3856
-177.2	1.3848	1.3846	1.3844	1.3862
-177.1	1.3849	1.3848	1.3846	1.3865
-177	1.3849	1.3849	1.3848	1.3866
-176.9	1.3848	1.3851	1.385	1.3857
-176.8	1.3847	1.3853	1.3852	1.3847
-176.7	1.3846	1.3854	1.3854	1.3838
-176.6	1.3846	1.3856	1.3856	1.3832
-176.5	1.3848	1.3858	1.3858	1.3831
-176.4	1.3851	1.386	1.386	1.3833
-176.3	1.3856	1.3863	1.3862	1.384
-176.2	1.3862	1.3865	1.3864	1.3852
-176.1	1.3869	1.3867	1.3866	1.3867
-176	1.3876	1.3869	1.3868	1.3883
-175.9	1.3883	1.3871	1.3871	1.389
-175.8	1.3889	1.3873	1.3873	1.3897
-175.7	1.3894	1.3875	1.3875	1.3902
-175.6	1.3897	1.3876	1.3877	1.3906
-175.5	1.3898	1.3877	1.3879	1.3909
-175.4	1.3896	1.3878	1.3881	1.3908
-175.3	1.3893	1.3878	1.3883	1.3905
-175.2	1.3888	1.3879	1.3886	1.39
-175.1	1.3882	1.3879	1.3888	1.3894
-175	1.3874	1.388	1.389	1.3886
-174.9	1.3867	1.388	1.3893	1.3869
-174.8	1.3861	1.3882	1.3895	1.3852
-174.7	1.3857	1.3883	1.3898	1.3839
-174.6	1.3855	1.3886	1.39	1.3832
-174.5	1.3857	1.3889	1.3903	1.3832
-174.4	1.3862	1.3892	1.3906	1.3836
-174.3	1.387	1.3897	1.3909	1.3848
-174.2	1.3882	1.3902	1.3912	1.3867
-174.1	1.3895	1.3908	1.3915	1.3891
-174	1.3909	1.3913	1.3918	1.3917
-173.9	1.3923	1.3919	1.3921	1.3938
-173.8	1.3936	1.3925	1.3924	1.3956
-173.7	1.3947	1.3931	1.3927	1.3971
-173.6	1.3956	1.3937	1.393	1.3981
-173.5	1.3962	1.3942	1.3933	1.3986
-173.4	1.3966	1.3947	1.3936	1.3978
-173.3	1.3968	1.3951	1.3939	1.3967
-173.2	1.3968	1.3955	1.3942	1.3957
-173.1	1.3969	1.3958	1.3945	1.3951
-173	1.3969	1.3961	1.3948	1.3949
-172.9	1.397	1.3964	1.3951	1.3953
-172.8	1.3972	1.3966	1.3954	1.3961
-172.7	1.3974	1.3968	1.3956	1.3973
-172.6	1.3976	1.3969	1.3959	1.3985
-172.5	1.3977	1.3971	1.3962	1.3995
-172.4	1.3978	1.3972	1.3964	1.399
-172.3	1.3978	1.3973	1.3967	1.3983
-172.2	1.3977	1.3973	1.3969	1.3975
-172.1	1.3976	1.3974	1.3972	1.3969
-172	1.3975	1.3975	1.3974	1.3966
-171.9	1.3974	1.3975	1.3977	1.3968
-171.8	1.3972	1.3976	1.3979	1.3973
-171.7	1.3971	1.3976	1.3982	1.398
-171.6	1.3969	1.3977	1.3984	1.3985
-171.5	1.3967	1.3979	1.3987	1.3988
-171.4	1.3965	1.398	1.3989	1.3975
-171.3	1.3964	1.3982	1.3992	1.396
-171.2	1.3964	1.3984	1.3994	1.3947
-171.1	1.3967	1.3987	1.3997	1.3941
-171	1.3972	1.3991	1.3999	1.3942
-170.9	1.3979	1.3994	1.4002	1.3954
-170.8	1.3988	1.3998	1.4004	1.3973
-170.7	1.3999	1.4003	1.4007	1.3997
-170.6	1.401	1.4007	1.401	1.4023
-170.5	1.402	1.4012	1.4012	1.4046
-170.4	1.4029	1.4016	1.4015	1.4052
-170.3	1.4037	1.402	1.4018	1.4053
-170.2	1.4042	1.4024	1.402	1.4051
-170.1	1.4046	1.4028	1.4023	1.4048
-170	1.4048	1.4031	1.4025	1.4045
-169.9	1.4048	1.4034	1.4028	1.4044
-169.8	1.4048	1.4036	1.403	1.4045
-169.7	1.4047	1.4038	1.4032	1.4048
-169.6	1.4045	1.404	1.4035	1.4052
-169.5	1.4043	1.4042	1.4037	1.4054
-169.4	1.4041	1.4044	1.4039	1.4045
-169.3	1.4039	1.4045	1.4041	1.4035
-169.2	1.4037	1.4047	1.4044	1.4027
-169.1	1.4037	1.4048	1.4046	1.4023
-169	1.4039	1.405	1.4048	1.4023
-168.9	1.4042	1.4052	1.405	1.4026
-168.8	1.4046	1.4054	1.4052	1.4033
-168.7	1.4051	1.4056	1.4054	1.4045
-168.6	1.4057	1.4058	1.4056	1.406
-168.5	1.4063	1.406	1.4059	1.4075
-168.4	1.4067	1.4062	1.4061	1.4082
-168.3	1.4071	1.4064	1.4063	1.4086
-168.2	1.4073	1.4066	1.4065	1.4088
-168.1	1.4074	1.4067	1.4067	1.4088
-168	1.4074	1.4069	1.4069	1.4085
-167.9	1.4073	1.407	1.4071	1.4074
-167.8	1.4072	1.4072	1.4073	1.4064
-167.7	1.4071	1.4073	1.4075	1.4056
-167.6	1.4071	1.4075	1.4077	1.4053
-167.5	1.4072	1.4076	1.4079	1.4056
-167.4	1.4075	1.4078	1.4081	1.4061
-167.3	1.4078	1.408	1.4083	1.407
-167.2	1.4081	1.4082	1.4085	1.4083
-167.1	1.4085	1.4084	1.4087	1.4096
-167	1.4088	1.4086	1.4089	1.4107
-166.9	1.409	1.4088	1.4091	1.4106
-166.8	1.4092	1.4091	1.4093	1.4103
-166.7	1.4092	1.4093	1.4095	1.4098
-166.6	1.4092	1.4095	1.4097	1.4093
-166.5	1.4092	1.4098	1.41	1.409
-166.4	1.4092	1.41	1.4102	1.4086
-166.3	1.4093	1.4103	1.4104	1.4086
-166.2	1.4094	1.4106	1.4106	1.4088
-166.1	1.4097	1.4109	1.4108	1.4093
-166	1.4101	1.4112	1.4111	1.41
-165.9	1.4106	1.4115	1.4113	1.41
-165.8	1.4112	1.4118	1.4115	1.4102
-165.7	1.412	1.4122	1.4117	1.4107
-165.6	1.4129	1.4125	1.412	1.4116
-165.5	1.4138	1.4128	1.4122	1.4129
-165.4	1.4147	1.4131	1.4124	1.4142
-165.3	1.4155	1.4133	1.4127	1.4157
-165.2	1.4162	1.4135	1.4129	1.4172
-165.1	1.4166	1.4137	1.4131	1.4186
-165	1.4167	1.4138	1.4133	1.4195
-164.9	1.4165	1.4138	1.4136	1.4192
