 	 1kHz	 0.5kHz 	 0.25kHz 	 roh
[KWnZOT]	[bar]	[bar]	[bar]	[bar]
-347.2	1.2322	1.226	1.2261	1.2373
-347.1	1.2308	1.2258	1.2259	1.2364
-347	1.2289	1.2255	1.2257	1.2341
-346.9	1.2265	1.2252	1.2256	1.2292
-346.8	1.224	1.2249	1.2254	1.2237
-346.7	1.2216	1.2247	1.2253	1.2183
-346.6	1.2197	1.2245	1.2252	1.2139
-346.5	1.2183	1.2243	1.2251	1.211
-346.4	1.2178	1.2243	1.225	1.2105
-346.3	1.2181	1.2244	1.225	1.2119
-346.2	1.2193	1.2246	1.225	1.2149
-346.1	1.2211	1.2249	1.2249	1.219
-346	1.2233	1.2252	1.2249	1.2237
-345.9	1.2258	1.2255	1.2249	1.227
-345.8	1.2283	1.2259	1.2249	1.23
-345.7	1.2305	1.2262	1.2249	1.2326
-345.6	1.2322	1.2264	1.2249	1.2349
-345.5	1.2334	1.2265	1.2249	1.2366
-345.4	1.2337	1.2265	1.2249	1.2382
-345.3	1.2333	1.2264	1.2249	1.2389
-345.2	1.2321	1.2262	1.2249	1.2383
-345.1	1.2301	1.2258	1.2249	1.2363
-345	1.2275	1.2255	1.2249	1.2328
-344.9	1.2246	1.225	1.2249	1.2264
-344.8	1.2217	1.2246	1.2248	1.2196
-344.7	1.2192	1.2242	1.2248	1.2134
-344.6	1.2173	1.2239	1.2248	1.2087
-344.5	1.2164	1.2237	1.2248	1.2062
-344.4	1.2164	1.2237	1.2248	1.207
-344.3	1.2174	1.2238	1.2248	1.2103
-344.2	1.2192	1.2239	1.2249	1.2154
-344.1	1.2215	1.2242	1.2249	1.2215
-344	1.2241	1.2246	1.2249	1.2277
-343.9	1.2265	1.2249	1.2249	1.2317
-343.8	1.2286	1.2252	1.2249	1.2345
-343.7	1.2301	1.2255	1.2249	1.2361
-343.6	1.2308	1.2257	1.2249	1.2363
-343.5	1.2309	1.2259	1.2249	1.2354
-343.4	1.2302	1.2259	1.2249	1.2337
-343.3	1.229	1.2259	1.2249	1.2314
-343.2	1.2274	1.2259	1.2248	1.2285
-343.1	1.2256	1.2258	1.2248	1.2256
-343	1.2238	1.2256	1.2247	1.2226
