Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	p_mitWandwärmeverlust	p_Reale Ladung	p_Verbrennungslage	p_HC_CO	p_adiabat	Kurbelwinkel-LW [°KW]	Brennraumvolumen-LW [m3]	LWAideal	LWA
-160.7	 3.606444602440266E-4	 4.8199324037941343E-4	 46938.89846546227	 46528.72163830772	 46528.72163830772	 46528.72163830772	 46951.96359314523	 146.3	 4.612715143832408E-4	 158015.79188133404	 158011.5737830359	 
-160.6	 3.6903154071481794E-4	 4.8190277152451076E-4	 46937.66835320825	 46540.17641543986	 46540.17641543986	 46540.17641543986	 46951.13008499801	 146.40000000000003	 4.6143942098313953E-4	 157914.03886492306	 157910.26213534642	 
-160.5	 3.7741862118560927E-4	 4.8181181164290275E-4	 46962.034322296575	 46551.6986563851	 46551.6986563851	 46551.6986563851	 46975.89202421691	 146.5	 4.616068422557124E-4	 157811.9198193988	 157808.59737058284	 
-160.4	 3.858057016564006E-4	 4.817203607093155E-4	 46945.4544973693	 46563.28844838188	 46563.28844838188	 46563.28844838188	 46959.71183809556	 146.59999999999997	 4.617737781554974E-4	 157709.43599509427	 157706.5808294327	 
-160.3	 3.941927821271919E-4	 4.8162841869857354E-4	 46888.010949369906	 46574.945879204344	 46574.945879204344	 46574.945879204344	 46902.66344754189	 146.7	 4.6194022863768093E-4	 157606.58864460106	 157604.2138472746	 
-160.2	 4.025798625979832E-4	 4.815359855856038E-4	 46830.59040721718	 46586.6710371636	 46586.6710371636	 46586.6710371636	 46845.62826123074	 146.8	 4.621061936580919E-4	 157503.37902278054	 157501.4978167299	 
-160.1	 4.109669430687745E-4	 4.8144306134543705E-4	 46773.192666606396	 46598.46401110889	 46598.46401110889	 46598.46401110889	 46788.60606626503	 146.89999999999998	 4.6227167317319806E-4	 157399.8083867754	 157398.43409143214	 
-160.0	 4.1935402353956584E-4	 4.813496459532118E-4	 46715.81752322592	 46610.3248904288	 46610.3248904288	 46610.3248904288	 46731.59664965715	 147.0	 4.6243666714010134E-4	 157295.8779960207	 157295.02406885775	 
-159.9	 4.2774110401035717E-4	 4.812557393841766E-4	 46632.45561428988	 46622.25376505251	 46622.25376505251	 46622.25376505251	 46648.591675986616	 147.10000000000002	 4.626011755165316E-4	 157191.58911225531	 157191.26922946694	 
-159.8	 4.361281844811485E-4	 4.8116134161369325E-4	 46523.05379935848	 46634.250725451035	 46634.250725451035	 46634.250725451035	 46539.53278198625	 147.20000000000005	 4.62765198260844E-4	 157086.8968148379	 157087.12558525053	 
-159.7	 4.445152649519398E-4	 4.8106645261723936E-4	 46413.603639105546	 46646.31586263843	 46646.31586263843	 46646.31586263843	 46430.40783415356	 147.3	 4.629287353320128E-4	 156981.7563740347	 156982.54935626374	 
-159.6	 4.5290234542273114E-4	 4.8097107237041143E-4	 46333.41981368924	 46658.44926817307	 46658.44926817307	 46658.44926817307	 46350.53014804042	 147.39999999999998	 4.630917866896276E-4	 156876.1693425901	 156877.5423847487	 
-159.5	 4.612894258935224E-4	 4.8087520084892795E-4	 46282.5602845966	 46670.65103415888	 46670.65103415888	 46670.65103415888	 46299.96354576646	 147.5	 4.632543522938886E-4	 156770.13727713592	 156772.10652835225	 
-159.4	 4.6967650636431374E-4	 4.80778838028632E-4	 46188.249655090745	 46682.92125324664	 46682.92125324664	 46682.92125324664	 46205.939051290945	 147.60000000000002	 4.6341643210560094E-4	 156663.66173820302	 156666.24364690142	 
-159.3	 4.7806358683510507E-4	 4.8068198388549445E-4	 46088.56606392729	 46695.26001863523	 46695.26001863523	 46695.26001863523	 46106.52412717059	 147.7	 4.6357802608617166E-4	 156556.74429023245	 156559.95568940984	 
-159.2	 4.864506673058964E-4	 4.8058463839561664E-4	 46027.0454185648	 46707.667424072904	 46707.667424072904	 46707.667424072904	 46045.25579267428	 147.8	 4.6373913419760367E-4	 156449.38650158685	 156453.24459819676	 
-159.1	 4.948377477766877E-4	 4.80486801535234E-4	 45965.54049745196	 46720.143563858604	 46720.143563858604	 46720.143563858604	 45983.99260713702	 147.90000000000003	 4.638997564024924E-4	 156341.58994456218	 156346.11226527454	 
-159.0	 5.03224828247479E-4	 4.8038847328071816E-4	 45904.05107288972	 46732.68853284325	 46732.68853284325	 46732.68853284325	 45922.73433189291	 148.0	 4.6405989266401986E-4	 156233.3561953993	 156238.56063476	 
-158.9	 5.116119087182704E-4	 4.802896536085805E-4	 45842.57691709902	 46745.30242643104	 46745.30242643104	 46745.30242643104	 45861.48072810595	 148.09999999999997	 4.642195429459513E-4	 156124.6868342959	 156130.59174974167	 
-158.8	 5.199989891890616E-4	 4.801903424954753E-4	 45781.11780221807	 46757.98534058076	 46757.98534058076	 46757.98534058076	 45800.2315567673	 148.2	 4.6437870721263E-4	 156015.58344542573	 156022.20767097696	 
-158.7	 5.28386069659853E-4	 4.8009053991820245E-4	 45747.257006207175	 46770.737371807125	 46770.737371807125	 46770.737371807125	 45766.568474482636	 148.3	 4.645373854289727E-4	 155906.04761694334	 155913.41041346686	 
-158.6	 5.367731501306443E-4	 4.799902458537105E-4	 45741.02867017397	 46783.55861718209	 46783.55861718209	 46783.55861718209	 45760.53117828259	 148.40000000000003	 4.646955775604654E-4	 155796.08094098838	 155804.20204579033	 
-158.5	 5.451602306014356E-4	 4.7988946027910015E-4	 45734.8601884473	 46796.44917433621	 46796.44917433621	 46796.44917433621	 45754.551470334234	 148.5	 4.648532835731586E-4	 155685.68501370552	 155694.58462085074	 
-158.4	 5.535473110722269E-4	 4.7978818317162656E-4	 45728.75158388166	 46809.40914145997	 46809.40914145997	 46809.40914145997	 45748.62937473869	 148.60000000000002	 4.650105034336627E-4	 155574.86143525678	 155584.56009941758	 
-158.3	 5.619343915430182E-4	 4.796864145087035E-4	 45755.734956354136	 46822.43861730514	 46822.43861730514	 46822.43861730514	 45775.795036382624	 148.7	 4.6516723710914373E-4	 155463.61180983402	 155474.13044890575	 
-158.2	 5.703214720138096E-4	 4.795841542679054E-4	 45815.98211900355	 46835.53770118615	 46835.53770118615	 46835.53770118615	 45836.22698535768	 148.8	 4.6532348456731863E-4	 155351.93774567146	 155363.29764222258	 
-158.1	 5.787085524846009E-4	 4.7948140242697133E-4	 45876.30046395913	 46848.706492981466	 46848.706492981466	 46848.706492981466	 45896.73784777259	 148.89999999999998	 4.6547924577645136E-4	 155239.8408550582	 155252.0636296866	 
-158.0	 5.870956329553922E-4	 4.793781589638077E-4	 45936.690266610756	 46861.94509313496	 46861.94509313496	 46861.94509313496	 45957.327903981844	 149.0	 4.656345207053473E-4	 155127.32275435128	 155140.4303707725	 
-157.9	 5.954827134261835E-4	 4.7927442385649127E-4	 46044.07774310104	 46875.25360265729	 46875.25360265729	 46875.25360265729	 46064.9205552394	 149.10000000000002	 4.6578930932334996E-4	 155014.38506398827	 155028.3998083904	 
-157.8	 6.038697938969748E-4	 4.7917019708327294E-4	 46198.419912076635	 46888.63212312734	 46888.63212312734	 46888.63212312734	 46219.48222769433	 149.2	 4.6594361160033577E-4	 154900.9862024756	 154915.93153442643	 
-157.7	 6.122568743677662E-4	 4.7906547862258024E-4	 46352.77627417784	 46902.08075669357	 46902.08075669357	 46902.08075669357	 46374.07996070987	 149.3	 4.6609742750671043E-4	 154787.08478336813	 154802.98541048766	 
-157.6	 6.206439548385574E-4	 4.7896026845302116E-4	 46464.439079233656	 46915.59960607547	 46915.59960607547	 46915.59960607547	 46486.0087046276	 149.39999999999998	 4.662507570134031E-4	 154672.68272721494	 154689.56378494055	 
-157.5	 6.290310353093488E-4	 4.788545665533869E-4	 46533.45038190305	 46929.18877456498	 46929.18877456498	 46929.18877456498	 46555.30196482063	 149.5	 4.66403600091864E-4	 154557.78196053577	 154575.66899810714	 
-157.4	 6.374181157801401E-4	 4.7874837290265513E-4	 46662.843740949436	 46942.848366027916	 46942.848366027916	 46942.848366027916	 46684.982297567614	 149.60000000000002	 4.665559567140583E-4	 154442.38441583383	 154461.30345414745	 
-157.3	 6.458051962509314E-4	 4.7864168747999375E-4	 46852.546042434675	 46956.578484905396	 46956.578484905396	 46956.578484905396	 46874.988653210006	 149.7	 4.667078268524623E-4	 154326.49203160912	 154346.46967233234	 
-157.2	 6.541922767217227E-4	 4.7853451026476346E-4	 46988.931245939304	 46970.37923621532	 46970.37923621532	 46970.37923621532	 47011.708733861095	 149.8	 4.6685921048005935E-4	 154210.10675237133	 154231.17013646706	 
-157.1	 6.62579357192514E-4	 4.7842684123652147E-4	 47072.0700730655	 46984.25072555381	 46984.25072555381	 46984.25072555381	 47095.20260325335	 149.90000000000003	 4.670101075703357E-4	 154093.23052865334	 154115.40732521773	 
-157.0	 6.709664376633054E-4	 4.7831868037502475E-4	 47181.95972036248	 46998.19305909668	 46998.19305909668	 46998.19305909668	 47205.45646447841	 150.0	 4.67160518097275E-4	 153975.86531702476	 153999.18384473247	 
-156.9	 6.793535181340967E-4	 4.7821002766023317E-4	 47288.5637292978	 47012.20634360092	 47012.20634360092	 47012.20634360092	 47312.44142430523	 150.09999999999997	 4.673104420353552E-4	 153858.01308010545	 153882.50240061712	 
-156.8	 6.87740598604888E-4	 4.7810088307231305E-4	 47365.218564137605	 47026.29068640616	 47026.29068640616	 47026.29068640616	 47389.492591308786	 150.2	 4.6745987935954404E-4	 153739.67578658697	 153765.3657245094	 
-156.7	 6.961276790756793E-4	 4.7799124659164027E-4	 47412.57852315544	 47040.44619543619	 47040.44619543619	 47040.44619543619	 47437.2613194631	 150.3	 4.676088300452937E-4	 153620.85541123882	 153647.7765973537	 
-156.6	 7.045147595464706E-4	 4.7788111819880365E-4	 47430.64285390879	 47054.67297920045	 47054.67297920045	 47054.67297920045	 47455.7410202811	 150.39999999999998	 4.6775729406853814E-4	 153501.55393491546	 153529.7379251885	 
-156.5	 7.12901840017262E-4	 4.7777049787460886E-4	 47448.779777325166	 47068.971146795535	 47068.971146795535	 47068.971146795535	 47474.29465734699	 150.5	 4.6790527140568754E-4	 153381.7733445779	 153411.25257974968	 
-156.4	 7.212889204880532E-4	 4.776593856000804E-4	 47428.623370784764	 47083.34080790674	 47083.34080790674	 47083.34080790674	 47454.559872423895	 150.60000000000002	 4.680527620336246E-4	 153261.5156333081	 153292.32349878206	 
-156.3	 7.296760009588446E-4	 4.7754778135646704E-4	 47370.16823819666	 47097.782072809554	 47097.782072809554	 47097.782072809554	 47396.52361991079	 150.70000000000005	 4.681997659297005E-4	 153140.7828003236	 153172.9537240392	 
-156.2	 7.380630814296359E-4	 4.774356851252433E-4	 47311.72955141653	 47112.295052371235	 47112.295052371235	 47112.295052371235	 47338.49360363153	 150.8	 4.683462830717298E-4	 153019.57685099222	 153053.14628505777	 
-156.1	 7.464501619004273E-4	 4.7732309688811383E-4	 47227.26293722132	 47126.87985805233	 47126.87985805233	 47126.87985805233	 47254.42805823808	 150.89999999999998	 4.6849231343798746E-4	 152897.89979684705	 152932.9041835921	 
-156.0	 7.548372423712185E-4	 4.7721001662701736E-4	 47116.71061056346	 47141.53660190825	 47141.53660190825	 47141.53660190825	 47144.263975205926	 151.0	 4.686378570072035E-4	 152775.75365560126	 152812.2304238527	 
-155.9	 7.632243228420098E-4	 4.770964443241286E-4	 47006.09748284726	 47156.26539659082	 47156.26539659082	 47156.26539659082	 47034.0209827068	 151.10000000000002	 4.687829137585593E-4	 152653.14045116352	 152691.1280086233	 
-155.8	 7.716114033128012E-4	 4.7698237996186317E-4	 46895.422970584965	 47171.06635534987	 47171.06635534987	 47171.06635534987	 46923.69846484886	 151.2	 4.689274836716837E-4	 152530.02075661358	 152569.5594568643	 
-155.7	 7.799984837835925E-4	 4.7686782352288044E-4	 46759.26161257563	 47185.9395920348	 47185.9395920348	 47185.9395920348	 46787.87369993982	 151.3	 4.690715667266488E-4	 152406.3553516679	 152447.48755497995	 
-155.6	 7.883855642543838E-4	 4.767527749900869E-4	 46597.53392448732	 47200.885221096214	 47200.885221096214	 47200.885221096214	 46626.46207390297	 151.40000000000003	 4.692151629039643E-4	 152282.14658114506	 152324.91552303993	 
-155.5	 7.967726447251751E-4	 4.7663723434664053E-4	 46460.99277396637	 47215.90335758746	 47215.90335758746	 47215.90335758746	 46490.20819473735	 151.5	 4.693582721845761E-4	 152157.39679827474	 152201.84656177583	 
-155.4	 8.051597251959664E-4	 4.7652120157595286E-4	 46349.71616033941	 47230.994117166294	 47230.994117166294	 47230.994117166294	 46379.19509301741	 151.59999999999997	 4.695008945498597E-4	 152032.10836471347	 152078.28379734186	 
-155.3	 8.135468056667578E-4	 4.7640467666169395E-4	 46207.09368601747	 47246.15761609649	 47246.15761609649	 47246.15761609649	 46236.821377375454	 151.7	 4.6964302998161794E-4	 151906.28365056013	 151954.23022627723	 
-155.2	 8.21933886137549E-4	 4.762876595877948E-4	 46059.237258555426	 47261.39397124946	 47261.39397124946	 47261.39397124946	 46089.18955926978	 151.8	 4.697846784620751E-4	 151779.92503437225	 151829.68892978277	 
-155.1	 8.303209666083404E-4	 4.7617015033845245E-4	 45937.48052280193	 47276.703300105895	 47276.703300105895	 47276.703300105895	 45967.63170858173	 151.90000000000003	 4.6992583997387436E-4	 151653.03490318198	 151704.6628732133	 
-155.0	 8.387080470791317E-4	 4.760521488981313E-4	 45854.320414425296	 47292.08572075742	 47292.08572075742	 47292.08572075742	 45884.64582526067	 152.0	 4.700665145000726E-4	 151525.61565251256	 151579.15491543332	 
-154.9	 8.470951275499231E-4	 4.759336552515692E-4	 45809.84297372151	 47307.54135190827	 47307.54135190827	 47307.54135190827	 45840.32572306278	 152.10000000000002	 4.7020670202413775E-4	 151397.66968639492	 151453.16787153255	 
-154.8	 8.554822080207143E-4	 4.7581466938377895E-4	 45765.39351714132	 47323.07031287692	 47323.07031287692	 47323.07031287692	 45796.02524779597	 152.2	 4.70346402529943E-4	 151269.19941738443	 151326.70439147475	 
-154.7	 8.638692884915056E-4	 4.756951912800533E-4	 45720.97190116249	 47338.67272359778	 47338.67272359778	 47338.67272359778	 45751.744247567876	 152.3	 4.7048561600176417E-4	 151140.20726657799	 151199.76717777876	 
-154.6	 8.72256368962297E-4	 4.755752209259682E-4	 45727.72135644263	 47354.34870462291	 47354.34870462291	 47354.34870462291	 45758.619744942866	 152.39999999999998	 4.7062434242427475E-4	 151010.695663631	 151072.35905548924	 
-154.5	 8.806434494330883E-4	 4.7545475830738617E-4	 45786.049751426865	 47370.09837712369	 47370.09837712369	 47370.09837712369	 45817.07019787847	 152.5	 4.7076258178254255E-4	 150880.66704677508	 150944.4828738487	 
-154.4	 8.890305299038796E-4	 4.753338034104601E-4	 45844.45693531777	 47385.92186289253	 47385.92186289253	 47385.92186289253	 45875.60662404586	 152.60000000000002	 4.7090033406202555E-4	 150750.12386283543	 150816.14140250473	 
-154.3	 8.974176103746709E-4	 4.7521235622163767E-4	 45935.0180187029	 47401.81928434458	 47401.81928434458	 47401.81928434458	 45966.30047027161	 152.70000000000005	 4.7103759924856765E-4	 150619.0685672487	 150687.33740849167	 
-154.2	 9.058046908454623E-4	 4.750904167276635E-4	 46057.7171994911	 47417.79076451947	 47417.79076451947	 47417.79076451947	 46089.14239413525	 152.8	 4.7117437732839464E-4	 150487.5036240809	 150558.07379860457	 
-154.1	 9.141917713162536E-4	 4.7496798491558466E-4	 46180.47433125749	 47433.83642708306	 47433.83642708306	 47433.83642708306	 46212.05915762644	 152.89999999999998	 4.7131066828811106E-4	 150355.43150604572	 150428.35358349048	 
-154.0	 9.225788517870448E-4	 4.7484506077275315E-4	 46303.29001286803	 47449.956396329144	 47449.956396329144	 47449.956396329144	 46335.051361310194	 153.0	 4.714464721146954E-4	 150222.8546945227	 150298.17978499804	 
-153.9	 9.309659322578362E-4	 4.747216442868299E-4	 46426.16484452241	 47466.15079718125	 47466.15079718125	 47466.15079718125	 46458.11960721464	 153.10000000000002	 4.715817887954966E-4	 150089.77567957586	 150167.55548102004	 
-153.8	 9.393530127286275E-4	 4.745977354457887E-4	 46549.09942775546	 47482.41975519439	 47482.41975519439	 47482.41975519439	 46581.26449883413	 153.2	 4.717166183182295E-4	 149956.15460132653	 150036.44277148996	 
-153.7	 9.477400931994189E-4	 4.744733342379205E-4	 46672.094365438585	 47498.76339655681	 47498.76339655681	 47498.76339655681	 46704.486641132346	 153.3	 4.718509606709725E-4	 149821.95183464044	 149904.80385348323	 
-153.6	 9.561271736702101E-4	 4.7434844065183575E-4	 46767.148607066025	 47515.18184809182	 47515.18184809182	 47515.18184809182	 46799.78835289619	 153.40000000000003	 4.7198481584216157E-4	 149687.1702367543	 149772.64218647193	 
-153.5	 9.645142541410015E-4	 4.7422305467646997E-4	 46863.05274869604	 47531.67523725957	 47531.67523725957	 47531.67523725957	 46895.95112086532	 153.5	 4.72118183820588E-4	 149551.81267629538	 149639.96146182777	 
-153.4	 9.729013346117928E-4	 4.740971763010858E-4	 46987.7988290695	 47548.24369215885	 47548.24369215885	 47548.24369215885	 47020.96656810396	 153.59999999999997	 4.7225106459539395E-4	 149415.88203330108	 149506.76519088304	 
-153.3	 9.81288415082584E-4	 4.73970805515279E-4	 47112.60659090209	 47564.88734152892	 47564.88734152892	 47564.88734152892	 47146.06083902952	 153.7	 4.723834581560685E-4	 149279.38119923868	 149373.0570276726	 
-153.2	 9.896754955533754E-4	 4.738439423089793E-4	 47237.47665321021	 47581.60631475131	 47581.60631475131	 47581.60631475131	 47271.23455517472	 153.8	 4.725153644924444E-4	 149142.31307702512	 149238.84072899606	 
-153.1	 9.980625760241668E-4	 4.737165866724578E-4	 47334.789569967594	 47598.40074185169	 47598.40074185169	 47598.40074185169	 47368.87177713518	 153.90000000000003	 4.726467835946933E-4	 149004.6805810476	 149104.1197923157	 
