h	alpha_vor	alpha_rueck
[m]	[]	[]
0	0	0
0.001	0.015029765	0.015029765
0.002	0.030919035	0.030919035
0.003	0.044250143	0.044250143
0.004	0.061256624	0.061256624
0.005	0.076430334	0.076430334
0.006	0.090503434	0.090503434
0.007	0.099181514	0.099181514
0.008	0.102474183	0.102474183
0.009	0.104857873	0.104857873
