Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	T_Zone_1 [K]	T_mittel [K]	T_BurnAdiabat [K]	p_soll [bar]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	dmb [kg/s]	dmb [kg/KW]	mb [kg]	dQw [J/s]	dQw [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Qmax [J]	Hu Zone [J/kg]	Hu frischGemsich [J/kg]	Phi_Delay [°KW]	Alpha [W/(m^2K)]	pSchlepp [bar]	Brennraumfläche [m^2]	Zonenmasse [kg]	ZonenKontrollmasse [kg]	 cv[J/kg]	 cp [J/kg]	 kappa [-]	 U [J]	H_Massenbruch [kg]	O_Massenbruch [kg]	N_Massenbruch [kg]	H2_Massenbruch [kg]	OH_Massenbruch [kg]	CO_Massenbruch [kg]	NO_Massenbruch [kg]	O2_Massenbruch [kg]	H2O_Massenbruch [kg]	CO2_Massenbruch [kg]	N2_Massenbruch [kg]	RON_95_Massenbruch [kg]	AGR_intern_LWA_Massenbruch [kg]	AGR_extern_LWA_Massenbruch [kg]	feuchteLuft_LWA_Massenbruch [kg]
-142.0	 0.0	 4.565197873139147E-4	 538.0643500527759	 538.0643500527759	 2329.624334638801	 0.4756990832338316	 0.4756990832338316	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 412.4707304356263	 2821654.5470226617	 2821654.547022661	 0.0	 31.679988817720936	 0.5013579594746516	 0.03271001201537137	 1.4672302481230867E-4	 1.4672302481230867E-4	 859.137871984348	 1134.2181347647745	 1.3201817446890969	 -13.810569249338377	 6.6637225462917164E-9	 4.916456440191926E-11	 1.2598001220866806E-14	 1.894073920487318E-5	 1.0422550379139173E-7	 8.07767206166853E-4	 2.5856003277814205E-8	 0.2066663322066384	 0.003437055342298115	 0.00857315778121297	 0.7149881852515172	 0.0655084246785548	 0.0	 0.0	 0.0	 
-141.0	 8.387080470791316E-5	 4.5467314367898657E-4	 578.3782291258883	 578.3782291258883	 2349.928883487845	 0.5136222229011959	 0.5134171092796317	 60355.17361611739	 5.062036979469575	 5.062036979469575	 0.0	 0.0	 0.0	 298.2114325413419	 0.025011232820341903	 0.025011232820341903	 0.0	 0.012272475610871495	 412.4707304356263	 2821654.547022663	 2821654.547022661	 0.0	 32.653543430346176	 0.5039883281208672	 0.03262101714139893	 1.4672302481230867E-4	 1.4672302481230867E-4	 875.6116449010229	 1150.6919076814495	 1.3141578397024642	 -8.680096160975499	 6.6637225462917164E-9	 4.916456440191926E-11	 1.2598001220866806E-14	 1.8940739204873187E-5	 1.0422550379139174E-7	 8.077672061668533E-4	 2.5856003277814208E-8	 0.20666633220663844	 0.0034370553422981153	 0.00857315778121297	 0.7149881852515172	 0.06550842467855483	 0.0	 0.0	 0.0	 
-140.0	 1.6774160941582632E-4	 4.527775271555529E-4	 560.1995682214471	 560.1995682214471	 2341.0108247281546	 0.49964361166154453	 0.4993621357657537	 -28585.23614034933	 -2.39746675785682	 2.6645702216127547	 0.0	 0.0	 0.0	 275.61294803208864	 0.023115879739371525	 0.04812711255971343	 0.0	 0.006460022554324277	 412.4707304356263	 2821654.547022664	 2821654.547022661	 0.0	 32.365289783121845	 0.5067140334564122	 0.03252966212822141	 1.4672302481230867E-4	 1.4672302481230867E-4	 868.176748403775	 1143.2570111842017	 1.3168482262237358	 -11.00563565194547	 6.663722546291716E-9	 4.916456440191926E-11	 1.2598001220866806E-14	 1.8940739204873194E-5	 1.0422550379139174E-7	 8.077672061668534E-4	 2.5856003277814208E-8	 0.20666633220663844	 0.0034370553422981153	 0.00857315778121297	 0.7149881852515172	 0.06550842467855485	 0.0	 0.0	 0.0	 
-139.0	 2.516124141237395E-4	 4.5083300788265984E-4	 549.7986284409126	 549.7986284409126	 2335.956239416255	 0.4924266186575972	 0.4922045780832446	 -16638.27211461554	 -1.3954652712020374	 1.2691049504107172	 0.0	 0.0	 0.0	 262.9102939035461	 0.022050497915684367	 0.07017761047539779	 0.0	 0.0030768363832031583	 412.4707304356263	 2821654.547022665	 2821654.547022661	 0.0	 32.2438914730941	 0.509537354443671	 0.032435950356033784	 1.4672302481230867E-4	 1.4672302481230867E-4	 863.9267475765178	 1139.0070103569444	 1.3184069292357021	 -12.327279767547157	 6.663722546291716E-9	 4.916456440191926E-11	 1.2598001220866806E-14	 1.89407392048732E-5	 1.0422550379139174E-7	 8.077672061668535E-4	 2.5856003277814208E-8	 0.20666633220663844	 0.0034370553422981153	 0.00857315778121297	 0.7149881852515172	 0.06550842467855487	 0.0	 0.0	 0.0	 
-138.0	 3.3548321883165264E-4	 4.488396657275892E-4	 562.5332516130162	 562.5332516130162	 2342.491734215225	 0.506062946346773	 0.5058417495915488	 18389.15311418342	 1.5423130695835907	 2.811418019994308	 0.0	 0.0	 0.0	 278.74264629469246	 0.023378370051149067	 0.09355598052654686	 0.0	 0.006816042479002233	 412.4707304356263	 2821654.547022666	 2821654.547022661	 0.0	 32.633981126416884	 0.5124606685957005	 0.0323398856738617	 1.4672302481230867E-4	 1.4672302481230867E-4	 869.1308337961849	 1144.2110965766115	 1.3165004071699222	 -10.708204180136873	 6.663722546291716E-9	 4.916456440191926E-11	 1.2598001220866806E-14	 1.8940739204873207E-5	 1.0422550379139174E-7	 8.077672061668536E-4	 2.5856003277814208E-8	 0.20666633220663844	 0.0034370553422981153	 0.00857315778121297	 0.7149881852515172	 0.0655084246785549	 0.0	 0.0	 0.0	 
-137.0	 4.193540235395658E-4	 4.4679759084563324E-4	 572.0857917783537	 572.0857917783537	 2347.429395041191	 0.5169997066572596	 0.5167827889848823	 13596.620456371746	 1.1403594989839718	 3.95177751897828	 0.0	 0.0	 0.0	 290.80665664517534	 0.024390188307248657	 0.11794616883379552	 0.0	 0.009580746529104392	 412.4707304356263	 2821654.5470226663	 2821654.547022661	 0.0	 32.95826607723928	 0.5154864557307657	 0.03224147242653853	 1.4672302481230867E-4	 1.4672302481230867E-4	 873.0375266132406	 1148.1177893936672	 1.315084122268536	 -9.487312324349915	 6.663722546291716E-9	 4.916456440191925E-11	 1.2598001220866806E-14	 1.8940739204873214E-5	 1.0422550379139173E-7	 8.077672061668537E-4	 2.5856003277814208E-8	 0.2066663322066384	 0.0034370553422981153	 0.00857315778121297	 0.7149881852515171	 0.06550842467855492	 0.0	 0.0	 0.0	 
-136.0	 5.03224828247479E-4	 4.447068842490692E-4	 571.6096823463711	 571.6096823463711	 2347.361891350709	 0.518988591008378	 0.5187802406878547	 -1727.2007404089622	 -0.1448617159902031	 3.8069158029880765	 0.0	 0.0	 0.0	 290.3459001279816	 0.024351544287377205	 0.14229771312117273	 0.0	 0.009229541691279392	 412.4707304356263	 2821654.5470226672	 2821654.547022661	 0.0	 33.066717574905965	 0.5186173019234513	 0.032140715482125805	 1.4672302481230865E-4	 1.4672302481230865E-4	 872.8427749123637	 1147.9230376927903	 1.3151544249284135	 -9.548292620061499	 6.663722546291716E-9	 4.9164564401919246E-11	 1.259800122086681E-14	 1.8940739204873217E-5	 1.0422550379139173E-7	 8.077672061668539E-4	 2.5856003277814208E-8	 0.2066663322066384	 0.003437055342298116	 0.00857315778121297	 0.7149881852515171	 0.06550842467855493	 0.0	 0.0	 0.0	 
-135.0	 5.870956329553921E-4	 4.425676583846631E-4	 561.9520615850093	 561.9520615850093	 2342.7063812531514	 0.5127123612482387	 0.512480443769921	 -15744.075059895371	 -1.320468244655211	 2.4864475583328653	 0.0	 0.0	 0.0	 278.40705195496946	 0.023350223483821077	 0.1656479366049938	 0.0	 0.006028179395194495	 412.4707304356263	 2821654.5470226672	 2821654.547022661	 0.0	 32.97475619533313	 0.5218559036626446	 0.032037620259744784	 1.4672302481230865E-4	 1.4672302481230865E-4	 868.8932102679502	 1143.9734730483767	 1.3165869631960836	 -10.782308275522585	 6.663722546291716E-9	 4.9164564401919246E-11	 1.259800122086681E-14	 1.8940739204873217E-5	 1.0422550379139173E-7	 8.077672061668539E-4	 2.5856003277814208E-8	 0.2066663322066384	 0.003437055342298117	 0.00857315778121297	 0.7149881852515171	 0.06550842467855493	 0.0	 0.0	 0.0	 
-134.0	 6.709664376633053E-4	 4.4038003771898357E-4	 565.2263011798381	 565.2263011798381	 2344.523616364864	 0.5182311437079637	 0.5180270526425211	 3917.364616990336	 0.3285525227612855	 2.815000081094151	 0.0	 0.0	 0.0	 282.6302453124284	 0.023704426109148274	 0.18935236271414208	 0.0	 0.006824726879701549	 412.4707304356263	 2821654.5470226672	 2821654.547022661	 0.0	 33.17332147026904	 0.5252050722273252	 0.031932192757784326	 1.4672302481230865E-4	 1.4672302481230865E-4	 870.2320178377015	 1145.312280618128	 1.3160999103020008	 -10.364564895748693	 6.663722546291716E-9	 4.9164564401919246E-11	 1.259800122086681E-14	 1.8940739204873217E-5	 1.0422550379139173E-7	 8.077672061668539E-4	 2.5856003277814208E-8	 0.2066663322066384	 0.0034370553422981174	 0.00857315778121297	 0.7149881852515171	 0.06550842467855493	 0.0	 0.0	 0.0	 
-133.0	 7.548372423712184E-4	 4.381441593307603E-4	 578.6969476148265	 578.6969476148265	 2351.4414281601275	 0.5333201316757578	 0.5330793594767825	 19462.417856306758	 1.632328647170106	 4.447328728264257	 0.0	 0.0	 0.0	 299.74244589521817	 0.02513964014235007	 0.21449200285649214	 0.0	 0.010782168042729384	 412.4707304356263	 2821654.5470226672	 2821654.547022661	 0.0	 33.60436870436767	 0.5286677382917931	 0.031824439582448266	 1.4672302481230865E-4	 1.4672302481230865E-4	 875.742033354818	 1150.8222961352446	 1.3141110650206445	 -8.639146586552485	 6.663722546291716E-9	 4.9164564401919246E-11	 1.259800122086681E-14	 1.8940739204873217E-5	 1.0422550379139173E-7	 8.077672061668539E-4	 2.5856003277814208E-8	 0.2066663322066384	 0.0034370553422981174	 0.00857315778121297	 0.7149881852515171	 0.06550842467855493	 0.0	 0.0	 0.0	 
