Kurbelwinkel	V_alpha_aus_DEWE	Pm_Zyl	Pm_Saug	Pm_Saug_alt	P_Abg	V_alpha	
[KWnZOT]	[m^3]	[bar]	[bar]	[bar]	[bar]	[m^3]	
28.900000	0.000076	21.177901	0.953342	0.938054	1.048406	0.000077	
29.000000	0.000077	21.086683	0.953139	0.937909	1.048509	0.000077	
29.100000	0.000077	20.995869	0.952939	0.937764	1.048612	0.000077	
29.200000	0.000077	20.905456	0.952743	0.937618	1.048714	0.000078	
29.300000	0.000077	20.815443	0.952550	0.937471	1.048816	0.000078	
29.400000	0.000078	20.725827	0.952360	0.937324	1.048918	0.000078	
29.500000	0.000078	20.636607	0.952173	0.937176	1.049020	0.000078	
29.600000	0.000078	20.547782	0.951990	0.937027	1.049121	0.000078	
29.700000	0.000078	20.459348	0.951811	0.936877	1.049223	0.000079	
29.800000	0.000079	20.371306	0.951634	0.936726	1.049324	0.000079	
29.900000	0.000079	20.283653	0.951461	0.936575	1.049426	0.000079	
30.000000	0.000079	20.196390	0.951291	0.936422	1.049527	0.000079	
30.100000	0.000079	20.109513	0.951125	0.936269	1.049628	0.000080	
30.200000	0.000080	20.023023	0.950962	0.936114	1.049729	0.000080	
30.300000	0.000080	19.936919	0.950803	0.935959	1.049830	0.000080	
30.400000	0.000080	19.851198	0.950646	0.935803	1.049930	0.000080	
30.500000	0.000080	19.765859	0.950493	0.935645	1.050029	0.000081	
30.600000	0.000081	19.680902	0.950343	0.935487	1.050128	0.000081	
30.700000	0.000081	19.596324	0.950197	0.935327	1.050225	0.000081	
30.800000	0.000081	19.512124	0.950054	0.935166	1.050321	0.000081	
30.900000	0.000081	19.428301	0.949914	0.935004	1.050415	0.000082	
31.000000	0.000082	19.344852	0.949777	0.934840	1.050508	0.000082	
31.100000	0.000082	19.261776	0.949643	0.934675	1.050599	0.000082	
31.200000	0.000082	19.179073	0.949513	0.934509	1.050688	0.000083	
31.300000	0.000082	19.096740	0.949386	0.934341	1.050775	0.000083	
31.400000	0.000083	19.014777	0.949263	0.934172	1.050860	0.000083	
31.500000	0.000083	18.933183	0.949143	0.934001	1.050942	0.000083	
31.600000	0.000083	18.851957	0.949026	0.933829	1.051023	0.000084	
31.700000	0.000083	18.771098	0.948913	0.933656	1.051102	0.000084	
31.800000	0.000084	18.690606	0.948803	0.933481	1.051179	0.000084	
31.900000	0.000084	18.610481	0.948697	0.933304	1.051253	0.000084	
32.000000	0.000084	18.530721	0.948595	0.933127	1.051326	0.000085	
32.100000	0.000084	18.451328	0.948496	0.932948	1.051398	0.000085	
32.200000	0.000085	18.372300	0.948401	0.932769	1.051468	0.000085	
32.300000	0.000085	18.293637	0.948309	0.932589	1.051537	0.000085	
32.400000	0.000085	18.215340	0.948221	0.932407	1.051605	0.000086	
32.500000	0.000085	18.137408	0.948138	0.932226	1.051673	0.000086	
32.600000	0.000086	18.059841	0.948058	0.932044	1.051740	0.000086	
32.700000	0.000086	17.982639	0.947981	0.931861	1.051807	0.000086	
32.800000	0.000086	17.905800	0.947909	0.931679	1.051875	0.000087	
32.900000	0.000086	17.829325	0.947841	0.931496	1.051943	0.000087	
33.000000	0.000087	17.753214	0.947776	0.931314	1.052012	0.000087	
33.100000	0.000087	17.677465	0.947716	0.931132	1.052082	0.000087	
33.200000	0.000087	17.602079	0.947659	0.930951	1.052153	0.000088	
33.300000	0.000088	17.527055	0.947606	0.930770	1.052225	0.000088	
33.400000	0.000088	17.452392	0.947558	0.930590	1.052300	0.000088	
33.500000	0.000088	17.378090	0.947513	0.930411	1.052376	0.000089	
33.600000	0.000088	17.304148	0.947472	0.930233	1.052454	0.000089	
33.700000	0.000089	17.230565	0.947435	0.930055	1.052534	0.000089	
33.800000	0.000089	17.157340	0.947402	0.929879	1.052617	0.000089	
33.900000	0.000089	17.084472	0.947373	0.929704	1.052701	0.000090	
34.000000	0.000089	17.011960	0.947347	0.929530	1.052787	0.000090	
34.100000	0.000090	16.939804	0.947325	0.929358	1.052876	0.000090	
34.200000	0.000090	16.868000	0.947307	0.929186	1.052966	0.000090	
