Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	V0 [m3]	V1 [m3]	V2 [m3]	T_Zone_0 [K]	T_Zone_1 [K]	T_Zone_2 [K]	T_mittel [K]	T_BurnAdiabat_0 [K]	T_BurnAdiabat_1 [K]	Lambda z1 [-]	Lambda z0 [-]	Lambda z2 [-]	p_soll [bar]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	dmb [kg/s]	dmb [kg/KW]	mb [kg]	dQw [J/s]	dQw [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Qmax [J]	Alpha [W/(m^2K)]	Wandwärmestromdichte [MW/m^2]	PQw [W]	Brennraumfläche [m^2]	Gesamtmasse [kg]	m_0[kg]	m_1[kg]	m_2[kg]	Z0_O2 [kg]	Z0_CO2 [kg]	Z0_H2O [kg]	Z0_H [kg]	Z0_H2 [kg]	Z0_CO [kg]	Z0_Diesel [kg]	Z0_N2 [kg]	Z0_RON_95 [kg]	Z0_O [kg]	Z0_N [kg]	Z0_OH [kg]	Z0_NO [kg]	Z1_O2 [kg]	Z1_CO2 [kg]	Z1_H2O [kg]	Z1_H [kg]	Z1_H2 [kg]	Z1_CO [kg]	Z1_Diesel [kg]	Z1_N2 [kg]	Z1_RON_95 [kg]	Z1_O [kg]	Z1_N [kg]	Z1_OH [kg]	Z1_NO [kg]	Z2_O2 [kg]	Z2_CO2 [kg]	Z2_H2O [kg]	Z2_H [kg]	Z2_H2 [kg]	Z2_CO [kg]	Z2_Diesel [kg]	Z2_N2 [kg]	Z2_RON_95 [kg]	Z2_O [kg]	Z2_N [kg]	Z2_OH [kg]	Z2_NO [kg]	 mDieseldampf [kg]	m_Diesel[kg]	m_a [kg]	sumdma [kg]	s00 [kg]	dm_a [kg]
-6.000000000000028	 0.016211693337516993	 1.5859071239354342E-4	 0.29628540501641576	 0.6850763614507647	 0.01863823353168166	 792.6642404432773	 788.4315666320314	 1650.9370166798994	 798.5703998167843	 1571.788419472552	 1627.758407999412	 2.0474449029233694	 2.162673713312083	 2.039474391617621	 58.08466034090907	 58.08430118679375	 5.55	 7.256040163162848E-4	 -164.80927124789193	 0.03226497910657206	 4.218306022718866E-6	 3.75621127839072E-5	 14548.464972408181	 1.9020584892281378	 41.28835544538109	 0.009216398671111023	 -0.039463537487518435	 4176.241709198471	 1564.8165925117253	 0.5087515250385033	 14628.845126302813	 0.02875440054001936	 0.004078535419682895	 0.0012146585571379991	 0.0028277140066048684	 3.6162855940027674E-5	 0.19631690921401113	 0.027603234112144007	 0.00995272108657563	 5.576095269373889E-10	 2.281672718772255E-8	 1.0683363293378473E-6	 0.0	 0.7432152293827559	 0.022519308329235196	 6.870134173474801E-7	 7.496615807500594E-14	 2.0965615044595796E-5	 3.698535360752284E-4	 0.19597710624995482	 0.027555455951788904	 0.009935494021728384	 5.566443662143618E-10	 2.277723394407135E-8	 1.0664871567282583E-6	 0.0017308899443072734	 0.7419288056157616	 0.02248032988489531	 6.858242727317883E-7	 7.483639990583059E-14	 2.092932587233889E-5	 3.692133603087691E-4	 0.11358403574642288	 0.10504408258884894	 0.03841032773644831	 2.2952517927355796E-10	 2.0875387729346597E-8	 1.0446155814012247E-6	 0.0	 0.7412072673430392	 0.0	 6.087434370736809E-7	 1.1290050911222229E-13	 4.190976613817336E-5	 0.0017107023550583605	 5.011480434554721E-6	 4.894461739409198E-6	 0.0035638145766582166	 0.0030905681685644126	 0.13439945699123554	 0.3546964166262416	 
-5.500000000000014	 0.01627706306871666	 1.576153366487393E-4	 0.2921486856326883	 0.6879709836141404	 0.019880330751984265	 794.1439081476875	 789.9225101823881	 1652.1708445302477	 800.6426029028817	 1573.1130746351164	 1628.7279750335383	 2.0480670899718945	 2.162673713312083	 2.040003636828948	 58.59066034090907	 58.590917405473114	 39597.86375419695	 5.177003419385649	 -162.2207695381991	 0.03791907055818323	 4.957518899459161E-6	 4.0040872233636774E-5	 14697.250081572112	 1.921510574413256	 42.249110732587724	 0.009824597561038194	 -0.03884372142084024	 4176.241709198471	 1572.4436020492426	 0.514461409533733	 14776.577196689763	 0.02872242100740283	 0.0040785354196828955	 0.0011984783775750474	 0.0028414159580487475	 3.864108405910051E-5	 0.19631690921401113	 0.02760323411214401	 0.009952721086575628	 5.576095269373888E-10	 2.281672718772255E-8	 1.0683363293378473E-6	 0.0	 0.7432152293827559	 0.022519308329235196	 6.870134173474801E-7	 7.496615807500594E-14	 2.0965615044595796E-5	 3.6985353607522833E-4	 0.19597904038053918	 0.027555727901156568	 0.009935592076767698	 5.566498598299883E-10	 2.277745873637307E-8	 1.0664976820669935E-6	 0.0017210378607953893	 0.7419361278342688	 0.022480551747001597	 6.858310412453498E-7	 7.483713847868048E-14	 2.092953242732919E-5	 3.6921700413669356E-4	 0.11360880565690065	 0.10501815379077083	 0.038400265099533246	 2.3238605779257477E-10	 2.106249970101075E-8	 1.0556620703554006E-6	 0.0	 0.7412094709481882	 0.0	 6.146257023089183E-7	 1.1537935116651994E-13	 4.21831612902981E-5	 0.001719429760542989	 5.011480434554721E-6	 4.890184442070097E-6	 0.0035869327016958188	 0.003113611287951244	 0.13520666819485175	 0.352504423131992	 
-5.000000000000014	 0.016342432799916325	 1.5672437890219593E-4	 0.28801448167223986	 0.6906860687798851	 0.021299449546643368	 795.5192294211229	 791.3097400239694	 1653.0985230785789	 802.6957744624477	 1574.3446152797105	 1629.612618051773	 2.0486794030996767	 2.1626737133120826	 2.040574150702556	 59.069660340909095	 59.06995330856457	 45320.167832816725	 5.925134378309895	 -159.25820234904415	 0.04341715773167259	 5.6763358607458145E-6	 4.287904016400968E-5	 14842.507347913926	 1.9405014313243811	 43.21936144824991	 0.010520982434071362	 -0.03813433547159557	 4176.241709198471	 1579.5456035796276	 0.5199972738047538	 14920.390601273411	 0.028693209278007965	 0.004078535419682895	 0.0011823975774496055	 0.002854659189837323	 4.14786523959668E-5	 0.19631690921401113	 0.027603234112144003	 0.009952721086575626	 5.576095269373888E-10	 2.2816727187722546E-8	 1.0683363293378473E-6	 0.0	 0.7432152293827559	 0.022519308329235196	 6.870134173474801E-7	 7.496615807500592E-14	 2.0965615044595792E-5	 3.698535360752283E-4	 0.19598094270731478	 0.027555995378734304	 0.009935688519442397	 5.56655263111538E-10	 2.2777679832310424E-8	 1.0665080343326887E-6	 0.0017113477796748522	 0.7419433296501314	 0.022480769960926086	 6.858376984610948E-7	 7.483786490683352E-14	 2.092973558583972E-5	 3.692205880474609E-4	 0.11363700597129504	 0.10499022483729024	 0.03838948042520437	 2.3425780941582633E-10	 2.1184239800014906E-8	 1.0630401974269066E-6	 0.0	 0.7412131266168522	 0.0	 6.18604357516995E-7	 1.1718151254617346E-13	 4.237155119053957E-5	 0.0017260875349979189	 5.011480434554721E-6	 4.885314666256514E-6	 0.003609908790458867	 0.003136513742622505	 0.13600908870059564	 0.3503525905790747	 
-4.500000000000014	 0.01640780253111599	 1.5591794739547302E-4	 0.2838796535796018	 0.6931995264080683	 0.02292082001105585	 796.7908781389247	 792.5939224767694	 1653.7363383443503	 804.7429024368925	 1575.4835804170248	 1630.4126584893688	 2.049282190723132	 2.162673713312083	 2.0411827176044754	 59.520660340909096	 59.52098748187006	 51879.00824275081	 6.782633647467683	 -155.86688552531032	 0.04972134866283185	 6.5005423939483125E-6	 4.6129311360983835E-5	 14983.789575561108	 1.9589725938135534	 44.19884774515669	 0.011318482705498508	 -0.03732228553294757	 4176.241709198471	 1586.1107161758805	 0.5253664825067959	 15060.55954221612	 0.02866676890073836	 0.004078535419682895	 0.001166414346975055	 0.002867392826127112	 4.4728246580727986E-5	 0.19631690921401113	 0.027603234112144007	 0.009952721086575626	 5.576095269373888E-10	 2.2816727187722546E-8	 1.068336329337847E-6	 0.0	 0.7432152293827559	 0.022519308329235196	 6.870134173474801E-7	 7.496615807500594E-14	 2.0965615044595792E-5	 3.698535360752283E-4	 0.19598281436599685	 0.02755625854420989	 0.009935783407330081	 5.56660579284844E-10	 2.277789736388072E-8	 1.0665182197057885E-6	 0.0017018139158343987	 0.7419504153629326	 0.022480984656945487	 6.858442483534725E-7	 7.483857962397725E-14	 2.0929935469158885E-5	 3.6922411418071477E-4	 0.11366840148468003	 0.10496045597877841	 0.03837803298271137	 2.3517822556359595E-10	 2.12435099976085E-8	 1.0668990793735579E-6	 0.0	 0.7412181514084459	 0.0	 6.207598238882807E-7	 1.1831671861238196E-13	 4.247894032265331E-5	 0.0017307700673517999	 5.011480434554721E-6	 4.879769013666843E-6	 0.0036327454303383636	 0.0031592780786539767	 0.13680680280592866	 0.348239706875048	 
-4.0	 0.016473172262315657	 1.5519614011311783E-4	 0.27972252268583714	 0.695380769706363	 0.02489670760648813	 797.977006211593	 793.7930545943929	 1654.0255367336213	 806.8751752707415	 1576.546171300749	 1631.1435883552099	 2.0498758229867096	 2.162673713312083	 2.041864791739571	 59.94866034090909	 59.949023134387105	 63355.85246049616	 8.283110090536574	 -151.72533048004203	 0.06074587356885477	 7.941882853369779E-6	 5.0100252787668725E-5	 15121.854450061235	 1.9770231212819311	 45.187359305797656	 0.01229280966890718	 -0.036330591245678175	 4176.241709198471	 1592.1629013751608	 0.5306901025696543	 15200.61131579117	 0.028643103088202126	 0.004078535419682895	 0.0011505269306598118	 0.002879310116602465	 4.869837242061773E-5	 0.19631690921401113	 0.027603234112144007	 0.009952721086575626	 5.576095269373888E-10	 2.281672718772255E-8	 1.068336329337847E-6	 0.0	 0.7432152293827559	 0.022519308329235196	 6.870134173474801E-7	 7.496615807500594E-14	 2.0965615044595792E-5	 3.698535360752283E-4	 0.19598465655633732	 0.02755651756627504	 0.009935876801254838	 5.566658117576269E-10	 2.277811147052388E-8	 1.0665282447152196E-6	 0.0016924301579712493	 0.7419573895146853	 0.0224811959726821	 6.858506951210296E-7	 7.483928308825255E-14	 2.0930132205413915E-5	 3.692275847967422E-4	 0.11370518827805988	 0.10492711945717298	 0.03836527137215876	 2.3490556779601327E-10	 2.12246182816673E-8	 1.0663598539893493E-6	 0.0	 0.7412251526888878	 0.0	 6.206457919135276E-7	 1.1861441868763186E-13	 4.248609297134322E-5	 0.0017330736454609886	 5.011480434554721E-6	 4.8730312754897255E-6	 0.0036554451310782205	 0.003181906766196679	 0.13759989236476172	 0.3461646105532445	 
-3.5	 0.016538541993515322	 1.545590447671562E-4	 0.27555457681467865	 0.6972851936510008	 0.02716022953297528	 799.0662865508137	 794.8959072678114	 1654.0821080686019	 809.0502227010652	 1577.5221922405744	 1631.7953194660527	 2.0504606714731684	 2.162673713312083	 2.042573468437134	 60.3496603409091	 60.350097311532764	 72763.95798643194	 9.513120749193591	 -146.96877010544523	 0.06979475378369675	 9.12492858797416E-6	 5.4662717081655807E-5	 15260.54434161958	 1.9951553631444905	 46.1849369873699	 0.013412275181883046	 -0.035191634090942586	 4176.241709198471	 1597.668680999368	 0.5359260494738863	 15339.390460048215	 0.028622214716203385	 0.004078535419682894	 0.0011347336250529289	 0.002890541882569925	 5.325991206004045E-5	 0.19631690921401113	 0.027603234112144007	 0.009952721086575626	 5.576095269373888E-10	 2.281672718772255E-8	 1.068336329337847E-6	 0.0	 0.7432152293827559	 0.022519308329235196	 6.8701341734748E-7	 7.496615807500594E-14	 2.0965615044595796E-5	 3.698535360752283E-4	 0.19598647047913187	 0.027556772613768193	 0.009935968762093664	 5.566709639405714E-10	 2.2778322291801114E-8	 1.0665381158955872E-6	 0.0016831903894674286	 0.7419642566513533	 0.022481404045877937	 6.858570429659649E-7	 7.48399757581988E-14	 2.0930325922843467E-5	 3.69231002157796E-4	 0.1137443156467168	 0.104892509918438	 0.03835205556693615	 2.3387739702663903E-10	 2.1156235965672984E-8	 1.063016524705286E-6	 0.0	 0.741233211020578	 0.0	 6.190783396698313E-7	 1.1836118835454736E-13	 4.2428639314643855E-5	 0.001733775722920166	 5.011480434554721E-6	 4.865332317094786E-6	 0.003678010328000201	 0.003204402202610545	 0.13838843688548466	 0.3441261880847542	 
-3.000000000000014	 0.016603911724714985	 1.5400673878321274E-4	 0.27135328674160264	 0.6987689497385787	 0.029877763518447942	 800.0793685320128	 795.92295716752	 1653.8781963003223	 811.3692685785254	 1578.4301018343676	 1632.3855300085697	 2.0510371119040554	 2.162673713312083	 2.0433353910584087	 60.72966034090908	 60.73015147739111	 87610.41436946801	 11.454138475246838	 -141.2417008678218	 0.08406907666885442	 1.0991145888094135E-5	 6.015829002570287E-5	 15398.17399056608	 2.0131489894579646	 47.19151148209888	 0.014760692175088201	 -0.033820288839299426	 4176.241709198471	 1602.659569966768	 0.541189660450436	 15480.246588587972	 0.028604106323287203	 0.004078535419682894	 0.0011190327766086908	 0.0029007482571516948	 5.8754385922508455E-5	 0.19631690921401113	 0.027603234112144007	 0.009952721086575626	 5.576095269373888E-10	 2.281672718772255E-8	 1.068336329337847E-6	 0.0	 0.7432152293827559	 0.022519308329235196	 6.870134173474801E-7	 7.496615807500594E-14	 2.0965615044595796E-5	 3.698535360752283E-4	 0.1959882573446818	 0.02755702385686437	 0.009936059351205468	 5.56676039271362E-10	 2.2778529968378428E-8	 1.066547839833226E-6	 0.0016740884452837394	 0.7419710213548877	 0.022481609015365403	 6.85863296123743E-7	 7.484065809598527E-14	 2.0930516750701377E-5	 3.692343685440375E-4	 0.1137873652490802	 0.1048553305874785	 0.038337894054573995	 2.3198310598033947E-10	 2.103084903685315E-8	 1.0564569404036328E-6	 0.0	 0.74124272630176	 0.0	 6.158479395463495E-7	 1.1748544146588007E-13	 4.229726239558367E-5	 0.0017326929768819738	 5.011480434554721E-6	 4.856109139974596E-6	 0.003700443385058606	 0.003226766715433695	 0.1391725136239966	 0.3421233713634247	 
-2.500000000000014	 0.01666928145591465	 1.5353928928826604E-4	 0.26711264686942476	 0.6997789282281391	 0.033108424901041135	 801.02265380076	 796.8805574281312	 1653.476038418606	 813.8687828170285	 1579.275604035614	 1632.9195247095472	 2.051605549064806	 2.1626737133120835	 2.0441344767138676	 61.090660340909075	 61.09083531655143	 104508.34867171073	 13.663365321581258	 -134.4100182070312	 0.10032365978278433	 1.311626134593457E-5	 6.671642069867016E-5	 15539.423036926459	 2.0316158138435387	 48.207319389020654	 0.016369822821360142	 -0.03218444418841551	 4176.241709198471	 1607.1401213722058	 0.5465511548394199	 15625.230784755544	 0.028588780110338132	 0.0040785354196828955	 0.0011034227796626155	 0.0029098014182761356	 6.53112217441441E-5	 0.19631690921401115	 0.027603234112144007	 0.009952721086575628	 5.576095269373888E-10	 2.2816727187722556E-8	 1.0683363293378473E-6	 0.0	 0.7432152293827559	 0.022519308329235203	 6.870134173474802E-7	 7.496615807500595E-14	 2.09656150445958E-5	 3.6985353607522833E-4	 0.1959900184500629	 0.027557271477939523	 0.009936148634348382	 5.566810414341525E-10	 2.277873465100709E-8	 1.0665574235866884E-6	 0.0016651177183701106	 0.7419776885357484	 0.0224818110299307	 6.858694591334959E-7	 7.484133059691711E-14	 2.0930704827508513E-5	 3.692376863991076E-4	 0.11383320045156772	 0.10481636984640871	 0.03832307892798147	 2.294590397826876E-10	 2.0863651471165758E-8	 1.0475354257988103E-6	 0.0	 0.7412533082073548	 0.0	 6.113918952756095E-7	 1.161507457844161E-13	 4.211082726842905E-5	 0.0017302517188710184	 5.011480434554721E-6	 4.845161898510069E-6	 0.003722746597735579	 0.003249002565197713	 0.13995219767204542	 0.3401551353500345	 
-2.000000000000014	 0.016734651187114317	 1.5315675310003114E-4	 0.2628274427611261	 0.7002636130117865	 0.03690894422567167	 801.9025644129629	 797.7750829666418	 1652.93832573903	 816.5847634388597	 1580.0644243337833	 1633.4026341261376	 2.0521663941659924	 2.1626737133120826	 2.044953836633712	 61.4336603409091	 61.433865550534534	 123433.48778547667	 16.137627835147562	 -126.34120428945741	 0.11853731485652484	 1.5497504818602242E-5	 7.446517310797128E-5	 15686.023171095923	 2.050782236572524	 49.23271050730692	 0.01827108944655509	 -0.030252368777214662	 4176.241709198471	 1611.1163030915563	 0.55205903336556	 15775.770294508759	 0.02857623794023207	 0.004078535419682895	 0.0010879020745118173	 0.002917574882115165	 7.305846305591263E-5	 0.19631690921401113	 0.027603234112144003	 0.009952721086575628	 5.576095269373888E-10	 2.2816727187722553E-8	 1.068336329337847E-6	 0.0	 0.7432152293827559	 0.022519308329235203	 6.870134173474802E-7	 7.496615807500595E-14	 2.0965615044595796E-5	 3.6985353607522833E-4	 0.1959917551089026	 0.02755751566169688	 0.009936236678119666	 5.566859741601103E-10	 2.2778936492362085E-8	 1.0665668743045994E-6	 0.001656271517364643	 0.741984263167058	 0.022482010240258688	 6.858755365922792E-7	 7.484199376262006E-14	 2.09308902935534E-5	 3.692409581978302E-4	 0.11388064009867195	 0.10477645321508244	 0.03830791645423036	 2.265400743299585E-10	 2.066980242636576E-8	 1.037104980223226E-6	 0.0	 0.7412645555446232	 0.0	 6.061473887893068E-7	 1.1452152597651203E-13	 4.1888270235523496E-5	 0.001726882268330529	 5.011480434554721E-6	 4.832296177025853E-6	 0.0037449221957870237	 0.0032711119480985755	 0.14072756204116177	 0.3382204958642356	 
-1.5	 0.016800020918313983	 1.5285917671797907E-4	 0.2584777999378118	 0.7000759418680794	 0.041446258192675785	 802.7409832717827	 798.6282435194059	 1652.3012141285092	 819.622960770563	 1580.816159897326	 1633.8536136914022	 2.052720086193955	 2.162673713312083	 2.0457966530738894	 61.76566034090909	 61.76589997894074	 148054.03413941804	 19.356504829439658	 -116.66295187473759	 0.14223613866369023	 1.85958763026475E-5	 8.376311125929502E-5	 15839.992822859502	 2.0709121460699067	 50.26816658034187	 0.02055247082983677	 -0.027934913733029174	 4176.241709198471	 1614.6269648188886	 0.5578428266010078	 15935.606695379276	 0.028566481337541836	 0.004078535419682895	 0.0010724691455932533	 0.002923711664110177	 8.235460997946423E-5	 0.19631690921401115	 0.027603234112144007	 0.009952721086575628	 5.576095269373888E-10	 2.2816727187722556E-8	 1.0683363293378473E-6	 0.0	 0.7432152293827559	 0.02251930832923521	 6.870134173474804E-7	 7.496615807500597E-14	 2.09656150445958E-5	 3.6985353607522844E-4	 0.1959934687174886	 0.027557756604462157	 0.009936323553307218	 5.566908414151868E-10	 2.277913565472548E-8	 1.066576199585412E-6	 0.0016475427298503274	 0.7419907505348726	 0.022482206806516056	 6.858815333864188E-7	 7.484264812628467E-14	 2.0931073297952228E-5	 3.692441865707581E-4	 0.11392971779536451	 0.10473542735422203	 0.03829234287046006	 2.23346779211903E-10	 2.0456985389619288E-8	 1.025606150734052E-6	 0.0	 0.7412763863414806	 0.0	 6.003431017889194E-7	 1.1268959057005536E-13	 4.163955302356146E-5	 0.0017228394557520631	 5.011480434554721E-6	 4.816939896383324E-6	 0.0037669723458485186	 0.0032930969985321802	 0.1414986777424538	 0.33631850751311304	 
-1.0	 0.01686539064951365	 1.5264659631598622E-4	 0.2540574564065214	 0.6991462629757764	 0.046796280616260455	 803.5478331215527	 799.4498924007405	 1651.634041421384	 823.0348766735742	 1581.5396924958013	 1634.2808279366736	 2.0532670955555656	 2.1626737133120826	 2.046643968438149	 62.0896603409091	 62.08994626005151	 175539.29689649996	 22.949913306204888	 -105.18799522163515	 0.1687056847220503	 2.205649052427182E-5	 9.479135652143093E-5	 16006.389436207084	 2.0926667498440388	 51.31449995526389	 0.023258407675385614	 -0.025187238322425417	 4176.241709198471	 1617.6885134416132	 0.563990738262801	 16107.299968709103	 0.02855951148829617	 0.004078535419682895	 0.0010571225197537903	 0.0029280321445835796	 9.338075534552436E-5	 0.19631690921401113	 0.027603234112144003	 0.009952721086575628	 5.576095269373888E-10	 2.281672718772255E-8	 1.0683363293378473E-6	 0.0	 0.7432152293827559	 0.022519308329235207	 6.870134173474801E-7	 7.496615807500597E-14	 2.09656150445958E-5	 3.6985353607522844E-4	 0.19599516076591478	 0.027557994515750715	 0.009936409335454656	 5.566956474317763E-10	 2.277933231128187E-8	 1.0665854075380633E-6	 0.0016389237655800195	 0.7419971562803799	 0.02248240089962994	 6.858874547305164E-7	 7.48432942569226E-14	 2.0931253999839208E-5	 3.6924737432517086E-4	 0.11397911710125036	 0.10469421564996795	 0.038276701196875304	 2.2012013744750934E-10	 2.024105429415564E-8	 1.0139292464144184E-6	 0.0	 0.7412883555649664	 0.0	 5.944381739834437E-7	 1.1082418496496296E-13	 4.138496348376013E-5	 0.001718596694750558	 5.011480434554721E-6	 4.798821468140262E-6	 0.003788899153909812	 0.003314959791502806	 0.14226561386250913	 0.3344482617474481	 
-0.5000000000000284	 0.01693076038071331	 1.5251903773662098E-4	 0.2495584160465737	 0.6973893008658143	 0.053052283086161056	 804.3359231946731	 800.2527481016647	 1650.9924290846218	 826.8850929483234	 1582.2464979169004	 1634.6951468658458	 2.053807910682753	 2.162673713312083	 2.0474829990086754	 62.40966034090908	 62.40999778190809	 206594.923808321	 27.010109273130556	 -91.68294058506987	 0.19862723471979973	 2.5968417885132272E-5	 1.0777556546399707E-4	 16187.841012011237	 2.116389631316185	 52.37269477092198	 0.02644426803239311	 -0.02195345647334819	 4176.241709198471	 1620.324912394039	 0.5705775304925672	 16293.029240042939	 0.02855532923979239	 0.004078535419682894	 0.0010418607646065204	 0.0029303121356407877	 1.0636251943558567E-4	 0.19631690921401115	 0.027603234112144	 0.009952721086575628	 5.576095269373888E-10	 2.281672718772255E-8	 1.068336329337847E-6	 0.0	 0.7432152293827557	 0.02251930832923521	 6.870134173474801E-7	 7.496615807500596E-14	 2.0965615044595796E-5	 3.6985353607522844E-4	 0.1959968327965257	 0.027558229612424663	 0.009936494102754557	 5.567003965906833E-10	 2.277952664128865E-8	 1.0665945065558328E-6	 0.0016304067681517076	 0.7420034862425771	 0.022482592696521062	 6.858933060220252E-7	 7.484393274349815E-14	 2.0931432563928622E-5	 3.692505243667864E-4	 0.11402791971240818	 0.10465343883651718	 0.03826122096551037	 2.1703976204876825E-10	 2.003399592823292E-8	 1.0027472654341459E-6	 0.0	 0.7413001357826178	 0.0	 5.887820714251733E-7	 1.090522791250897E-13	 4.114020080723621E-5	 0.0017145327216576997	 5.011480434554721E-6	 4.777600738745824E-6	 0.0038107046676659428	 0.003336702344912138	 0.1430284376356335	 0.3326088850345924	 
-2.8421709430404007E-14	 0.016996130111912977	 1.5247651648705592E-4	 0.24495938131429104	 0.6946259381630097	 0.060414680521245	 805.1334514700079	 801.0647957144682	 1650.4228827738368	 831.3089052022127	 1582.9618615081476	 1635.120811146073	 2.0543430637380915	 2.1626737133120826	 2.048314558842505	 62.734660340909116	 62.735054871660026	 244979.3090079266	 32.02846315865582	 -75.66870900574196	 0.23561912311540215	 3.080471748710937E-5	 1.2317792420755175E-4	 16387.909290000352	 2.142546450423642	 53.4439679961338	 0.03022345583987156	 -0.01811885285257226	 4176.241709198471	 1622.5936150979633	 0.5777427527933914	 16496.829068024985	 0.02855393510046239	 0.004078535419682894	 0.0010266824869681074	 0.0029300909232157935	 1.2176200949899281E-4	 0.19631690921401115	 0.027603234112144007	 0.009952721086575628	 5.576095269373888E-10	 2.281672718772255E-8	 1.068336329337847E-6	 0.0	 0.7432152293827557	 0.022519308329235214	 6.870134173474801E-7	 7.496615807500595E-14	 2.0965615044595796E-5	 3.6985353607522844E-4	 0.19599848648328522	 0.027558462129852496	 0.009936577940072229	 5.567050936465576E-10	 2.277971883930051E-8	 1.066603505748259E-6	 0.001621983210720281	 0.7420097467587459	 0.02248278238920809	 6.858990931190024E-7	 7.48445642252361E-14	 2.0931609168991034E-5	 3.6925363984928873E-4	 0.11407599598682308	 0.10461305562065079	 0.038245880302002044	 2.1423202158849795E-10	 1.9844372498382237E-8	 9.925457681425868E-7	 0.0	 0.741311587662393	 0.0	 5.836316269371786E-7	 1.0746836370942717E-13	 4.09171336202673E-5	 0.0017109670584037283	 5.011480434554721E-6	 4.752558283339906E-6	 0.0038323908787524096	 0.0033583266217361045	 0.14378721451264037	 0.3307995371423078	 
0.5	 0.017061499843112643	 1.5251903773662098E-4	 0.24025633463158297	 0.6907817832420193	 0.0689618821249466	 805.9525534039227	 801.8980948326439	 1649.9756415200147	 836.3692908306145	 1583.6966731543457	 1635.5680887657213	 2.054873130240424	 2.1626737133120826	 2.049124758615966	 63.0686603409091	 63.06912695276785	 286931.33578417083	 37.51324858594431	 -56.91208471276981	 0.27607012667759856	 3.609325994634434E-5	 1.4122455418072392E-4	 16613.178485616725	 2.1719980239536563	 54.52996700811063	 0.03465145320678313	 -0.013627584003918374	 4176.241709198471	 1624.521290749706	 0.5855883882243074	 16721.669224744466	 0.02855532923979239	 0.004078535419682894	 0.001011586331372349	 0.00292714377588024	 1.3980531243030532E-4	 0.19631690921401115	 0.02760323411214401	 0.009952721086575628	 5.576095269373889E-10	 2.281672718772255E-8	 1.068336329337847E-6	 0.0	 0.7432152293827557	 0.022519308329235214	 6.870134173474801E-7	 7.496615807500594E-14	 2.0965615044595796E-5	 3.6985353607522844E-4	 0.1960001236303753	 0.027558692321712094	 0.009936660938874678	 5.567097437239149E-10	 2.2779909115006613E-8	 1.0666124149335135E-6	 0.0016136439031353257	 0.7420159446591454	 0.02248297018464685	 6.859048223352049E-7	 7.484518939108674E-14	 2.0931784007703597E-5	 3.6925672417168745E-4	 0.1141223921124428	 0.10457373821475922	 0.038230929474558736	 2.1184396457735416E-10	 1.968230122488309E-8	 9.838893539180654E-7	 0.0	 0.741322390658226	 0.0	 5.792820997688145E-7	 1.0617483429041181E-13	 4.072941444629233E-5	 0.001708237059861854	 5.011480434554721E-6	 4.7233677075496645E-6	 0.0038539597248712838	 0.003379834532096102	 0.14454200822639007	 0.3290194095230945	 
1.0	 0.01712686957431231	 1.5264659631598622E-4	 0.23542822107633904	 0.6856604365942052	 0.07891134232801396	 806.8256324106942	 802.7848124945157	 1649.6970071377273	 842.2232097720713	 1584.4800149764228	 1636.0648607232688	 2.0553987367353943	 2.1626737133120826	 2.0499153116508158	 63.4226603409091	 63.422823391306956	 337471.30247471377	 44.120816660745966	 -34.85167638239683	 0.32481567620382223	 4.2466226885762764E-5	 1.624576676236053E-4	 16867.313835058372	 2.205223542916323	 55.632578779568796	 0.03986129961889343	 -0.008345224919724718	 4176.241709198471	 1626.1785076188569	 0.5942256687855576	 16970.79481432161	 0.02855951148829617	 0.004078535419682894	 9.965709786554375E-4	 0.0029209298913157105	 1.6103454971174607E-4	 0.19631690921401115	 0.027603234112144014	 0.00995272108657563	 5.576095269373889E-10	 2.2816727187722556E-8	 1.0683363293378473E-6	 0.0	 0.7432152293827557	 0.02251930832923522	 6.870134173474802E-7	 7.496615807500595E-14	 2.09656150445958E-5	 3.698535360752285E-4	 0.19600174619562893	 0.027558920463285515	 0.009936743198418588	 5.567143523836943E-10	 2.2780097695954044E-8	 1.0666212447659214E-6	 0.001605378872577591	 0.7420220873557273	 0.022483156307418328	 6.859105005220928E-7	 7.484580898867401E-14	 2.0931957289152594E-5	 3.69259781022465E-4	 0.11416703177615008	 0.10453540043072047	 0.038216329745342885	 2.0998753563927392E-10	 1.9555575152264975E-8	 9.772196603176048E-7	 0.0	 0.741332417874225	 0.0	 5.759696521956304E-7	 1.0525655700137703E-13	 4.058827577521016E-5	 0.0017066589428058824	 5.011480434554721E-6	 4.6891991357985995E-6	 0.003875413091814749	 0.003401227935230837	 0.14529288085426476	 0.32726772379392455	 
