Hub	alpha_vor	alpha_rueck
[m]	[]	[]
0	0.000177561	0.000257597
0.001	0.01737172	0.019755186
0.002	0.031790942	0.033952432
0.003	0.043648247	0.042594985
0.004	0.056528565	0.052938912
0.005	0.06526538	0.059861128
0.006	0.069817408	0.063897805
0.007	0.070595312	0.066029159
0.008	0.070492757	0.067263472
0.009	0.070727354	0.067818916
