Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	p_Original [bar]	LWAideal [bar]	p_mitWandwärmeverlust [bar]	p_realer Brennverlauf [bar]	p_HC_CO [bar]	p_Verbrennungslage [bar]	p_Reale Ladung [bar]	p_Gleichraumprozess [bar] 
-320.0	 -0.015152650464986556	 1.0531642063842499E-4	 0.7741758883060987	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-319.0	 -0.015069394143750366	 1.0840753071675362E-4	 0.7719819963714147	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-318.0	 -0.014986137822514177	 1.1155375906978586E-4	 0.77015647976248	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-317.0	 -0.014902881501277986	 1.1475363309582399E-4	 0.769050640903837	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-316.0	 -0.014819625180041797	 1.1800566012012975E-4	 0.7688410899554694	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-315.0	 -0.014736368858805606	 1.2130832845156308E-4	 0.7692388120072623	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-314.0	 -0.014653112537569417	 1.2466010845554393E-4	 0.7697716800263945	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-313.0	 -0.014569856216333226	 1.2805945364242303E-4	 0.7702420546264276	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-312.0	 -0.014486599895097037	 1.3150480177030486E-4	 0.7708209637143407	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-311.0	 -0.014403343573860847	 1.349945759613096E-4	 0.7718504270493296	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-310.0	 -0.014320087252624656	 1.3852718583022387E-4	 0.77345553076037	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-309.0	 -0.014236830931388467	 1.4210102862442623E-4	 0.7754697296388168	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-308.0	 -0.014153574610152278	 1.4571449037394E-4	 0.7777401003134031	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-307.0	 -0.014070318288916087	 1.4936594705040957E-4	 0.7801852849084903	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-306.0	 -0.013987061967679897	 1.5305376573375058E-4	 0.782749401154575	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-305.0	 -0.013903805646443708	 1.5677630578518487E-4	 0.7855222404750473	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-304.0	 -0.013820549325207519	 1.6053192002532003E-4	 0.7885819847600583	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-303.0	 -0.013737293003971328	 1.643189559158946E-4	 0.7917676789378586	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-302.0	 -0.013654036682735137	 1.681357567437739E-4	 0.7948887316840241	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-301.0	 -0.013570780361498948	 1.7198066280573474E-4	 0.7980042339766196	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-300.0	 -0.01348752404026276	 1.7585201259255208E-4	 0.8012431693551483	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-299.0	 -0.013404267719026568	 1.7974814397085903E-4	 0.8046744932871979	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-298.0	 -0.013321011397790378	 1.836673953612336E-4	 0.8081751415471365	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-297.0	 -0.013237755076554189	 1.8760810691092862E-4	 0.8117146419264885	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-296.0	 -0.013154498755318	 1.9156862165964762E-4	 0.8153708378031197	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-295.0	 -0.013071242434081809	 1.9554728669674725E-4	 0.8190741005443368	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-294.0	 -0.012987986112845618	 1.9954245430823752E-4	 0.8226396085436755	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-293.0	 -0.01290472979160943	 2.035524831119356E-4	 0.826078744746875	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-292.0	 -0.01282147347037324	 2.07575739179131E-4	 0.8295317961075896	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-291.0	 -0.01273821714913705	 2.116105971411171E-4	 0.8330855428006481	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-290.0	 -0.012654960827900859	 2.156554412789495E-4	 0.8367015554676458	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-289.0	 -0.01257170450666467	 2.1970866659480227E-4	 0.8403047897740945	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-288.0	 -0.01248844818542848	 2.2376867986331165E-4	 0.8438466233878168	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-287.0	 -0.01240519186419229	 2.278339006613146E-4	 0.8472359633515277	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-286.0	 -0.0123219355429561	 2.3190276237441913E-4	 0.850360312320682	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-285.0	 -0.01223867922171991	 2.3597371317887538E-4	 0.8533619452746667	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-284.0	 -0.012155422900483721	 2.4004521699725302E-4	 0.8566273663533484	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-283.0	 -0.01207216657924753	 2.4411575442647514E-4	 0.8602524882731943	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-282.0	 -0.01198891025801134	 2.4818382363681036E-4	 0.8638460204519789	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-281.0	 -0.011905653936775151	 2.52247941240472E-4	 0.8670179132773065	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-280.0	 -0.011822397615538962	 2.563066431285417E-4	 0.8699083287481949	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-279.0	 -0.011739141294302771	 2.6035848527499155E-4	 0.8728384913739605	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-278.0	 -0.01165588497306658	 2.6440204450665385E-4	 0.8759335598549135	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-277.0	 -0.011572628651830391	 2.684359192380585E-4	 0.8790528502062237	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-276.0	 -0.011489372330594202	 2.7245873017013594E-4	 0.8819361589642579	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-275.0	 -0.011406116009358012	 2.764691209518687E-4	 0.884466343163495	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-274.0	 -0.011322859688121821	 2.8046575880405814E-4	 0.8868048367475277	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-273.0	 -0.011239603366885632	 2.8444733510446307E-4	 0.8891070838529214	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-272.0	 -0.011156347045649443	 2.884125659336572E-4	 0.8913267493650417	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-271.0	 -0.011073090724413252	 2.923601925810526E-4	 0.8934152095332741	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-270.0	 -0.010989834403177062	 2.962889820106251E-4	 0.8954857290450695	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-269.0	 -0.010906578081940873	 3.0019772728598554E-4	 0.8977655002804379	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-268.0	 -0.010823321760704684	 3.040852479545285E-4	 0.9002598961240811	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-267.0	 -0.010740065439468493	 3.079503903905041E-4	 0.9026843260102724	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-266.0	 -0.010656809118232302	 3.1179202809694965E-4	 0.9048569374237591	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-265.0	 -0.010573552796996113	 3.156090619665195E-4	 0.906832062147492	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-264.0	 -0.010490296475759922	 3.1940042050135597E-4	 0.9087541559954225	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-263.0	 -0.010407040154523733	 3.2316505999223865E-4	 0.9106836417945318	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-262.0	 -0.010323783833287543	 3.2690196465734716E-4	 0.9125226204519582	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-261.0	 -0.010240527512051354	 3.3061014674106993E-4	 0.9141430695365659	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-260.0	 -0.010157271190815163	 3.342886465733794E-4	 0.9156481076365166	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
