[KWnZOT]	[bar]	[bar]	[bar]
-284.5000	1.1719	1.1719	1.1719
-284.0000	1.1786	1.1786	1.1786
-283.5000	1.1643	1.1643	1.1643
-283.0000	1.1524	1.1524	1.1524
-282.5000	1.1658	1.1658	1.1658
-282.0000	1.1685	1.1685	1.1685
-281.5000	1.1507	1.1507	1.1507
-281.0000	1.1562	1.1562	1.1562
-280.5000	1.1750	1.1750	1.1750
-280.0000	1.1729	1.1729	1.1729
-279.5000	1.1495	1.1495	1.1495
-279.0000	1.1573	1.1573	1.1573
-278.5000	1.1680	1.1680	1.1680
-278.0000	1.1501	1.1501	1.1501
-277.5000	1.1546	1.1546	1.1546
-277.0000	1.1695	1.1695	1.1695
-276.5000	1.1715	1.1715	1.1715
-276.0000	1.1530	1.1530	1.1530
-275.5000	1.1599	1.1599	1.1599
-275.0000	1.1702	1.1702	1.1702
-274.5000	1.1590	1.1590	1.1590
-274.0000	1.1505	1.1505	1.1505
-273.5000	1.1688	1.1688	1.1688
-273.0000	1.1768	1.1768	1.1768
-272.5000	1.1588	1.1588	1.1588
-272.0000	1.1578	1.1578	1.1578
-271.5000	1.1687	1.1687	1.1687
-271.0000	1.1678	1.1678	1.1678
-270.5000	1.1587	1.1587	1.1587
-270.0000	1.1719	1.1719	1.1719
-269.5000	1.1727	1.1727	1.1727
-269.0000	1.1635	1.1635	1.1635
-268.5000	1.1605	1.1605	1.1605
-268.0000	1.1721	1.1721	1.1721
-267.5000	1.1744	1.1744	1.1744
-267.0000	1.1654	1.1654	1.1654
-266.5000	1.1717	1.1717	1.1717
-266.0000	1.1748	1.1748	1.1748
-265.5000	1.1781	1.1781	1.1781
-265.0000	1.1674	1.1674	1.1674
-264.5000	1.1762	1.1762	1.1762
-264.0000	1.1814	1.1814	1.1814
-263.5000	1.1814	1.1814	1.1814
-263.0000	1.1749	1.1749	1.1749
-262.5000	1.1744	1.1744	1.1744
-262.0000	1.1767	1.1767	1.1767
-261.5000	1.1807	1.1807	1.1807
-261.0000	1.1809	1.1809	1.1809
-260.5000	1.1800	1.1800	1.1800
-260.0000	1.1847	1.1847	1.1847
-259.5000	1.1851	1.1851	1.1851
-259.0000	1.1890	1.1890	1.1890
-258.5000	1.1885	1.1885	1.1885
-258.0000	1.1912	1.1912	1.1912
-257.5000	1.1906	1.1906	1.1906
-257.0000	1.1832	1.1832	1.1832
-256.5000	1.1826	1.1826	1.1826
-256.0000	1.1931	1.1931	1.1931
-255.5000	1.1955	1.1955	1.1955
-255.0000	1.1918	1.1918	1.1918
-254.5000	1.1896	1.1896	1.1896
-254.0000	1.1897	1.1897	1.1897
-253.5000	1.1908	1.1908	1.1908
-253.0000	1.1898	1.1898	1.1898
-252.5000	1.1962	1.1962	1.1962
-252.0000	1.1962	1.1962	1.1962
-251.5000	1.1955	1.1955	1.1955
-251.0000	1.1940	1.1940	1.1940
-250.5000	1.1970	1.1970	1.1970
-250.0000	1.2019	1.2019	1.2019
-249.5000	1.1999	1.1999	1.1999
-249.0000	1.1982	1.1982	1.1982
-248.5000	1.1953	1.1953	1.1953
-248.0000	1.2039	1.2039	1.2039
-247.5000	1.2064	1.2064	1.2064
-247.0000	1.2018	1.2018	1.2018
-246.5000	1.1991	1.1991	1.1991
-246.0000	1.2087	1.2087	1.2087
-245.5000	1.2098	1.2098	1.2098
-245.0000	1.2042	1.2042	1.2042
-244.5000	1.2051	1.2051	1.2051
-244.0000	1.2106	1.2106	1.2106
-243.5000	1.1951	1.1951	1.1951
-243.0000	1.2167	1.2167	1.2167
-242.5000	1.2162	1.2162	1.2162
-242.0000	1.2243	1.2243	1.2243
-241.5000	1.2293	1.2293	1.2293
-241.0000	1.2262	1.2262	1.2262
-240.5000	1.2266	1.2266	1.2266
-240.0000	1.2249	1.2249	1.2249
-239.5000	1.2192	1.2192	1.2192
-239.0000	1.2164	1.2164	1.2164
-238.5000	1.2193	1.2193	1.2193
-238.0000	1.2201	1.2201	1.2201
-237.5000	1.2252	1.2252	1.2252
-237.0000	1.2257	1.2257	1.2257
-236.5000	1.2284	1.2284	1.2284
-236.0000	1.2279	1.2279	1.2279
-235.5000	1.2338	1.2338	1.2338
-235.0000	1.2351	1.2351	1.2351
-234.5000	1.2421	1.2421	1.2421
-234.0000	1.2435	1.2435	1.2435
-233.5000	1.2469	1.2469	1.2469
-233.0000	1.2413	1.2413	1.2413
-232.5000	1.2484	1.2484	1.2484
-232.0000	1.2550	1.2550	1.2550
-231.5000	1.2425	1.2425	1.2425
-231.0000	1.2395	1.2395	1.2395
-230.5000	1.2439	1.2439	1.2439
-230.0000	1.2433	1.2433	1.2433
-229.5000	1.2424	1.2424	1.2424
-229.0000	1.2522	1.2522	1.2522
-228.5000	1.2490	1.2490	1.2490
-228.0000	1.2442	1.2442	1.2442
-227.5000	1.2508	1.2508	1.2508
-227.0000	1.2624	1.2624	1.2624
-226.5000	1.2495	1.2495	1.2495
-226.0000	1.2485	1.2485	1.2485
-225.5000	1.2645	1.2645	1.2645
-225.0000	1.2652	1.2652	1.2652
-224.5000	1.2629	1.2629	1.2629
-224.0000	1.2593	1.2593	1.2593
-223.5000	1.2652	1.2652	1.2652
-223.0000	1.2641	1.2641	1.2641
-222.5000	1.2676	1.2676	1.2676
-222.0000	1.2733	1.2733	1.2733
-221.5000	1.2717	1.2717	1.2717
-221.0000	1.2679	1.2679	1.2679
-220.5000	1.2770	1.2770	1.2770
-220.0000	1.2829	1.2829	1.2829
-219.5000	1.2784	1.2784	1.2784
-219.0000	1.2747	1.2747	1.2747
-218.5000	1.2818	1.2818	1.2818
-218.0000	1.2868	1.2868	1.2868
-217.5000	1.2875	1.2875	1.2875
-217.0000	1.2845	1.2845	1.2845
-216.5000	1.2880	1.2880	1.2880
-216.0000	1.2948	1.2948	1.2948
-215.5000	1.2973	1.2973	1.2973
-215.0000	1.2954	1.2954	1.2954
-214.5000	1.2947	1.2947	1.2947
-214.0000	1.2953	1.2953	1.2953
-213.5000	1.2943	1.2943	1.2943
-213.0000	1.3047	1.3047	1.3047
-212.5000	1.3071	1.3071	1.3071
-212.0000	1.3063	1.3063	1.3063
-211.5000	1.3021	1.3021	1.3021
-211.0000	1.3053	1.3053	1.3053
