[KWnZOT]	[bar]	[bar]	[bar]
-343.8	2.392	2.1937	2.8371
-343.7	2.3918	2.1935	2.8387
-343.6	2.3916	2.1929	2.8396
-343.5	2.3919	2.192	2.8396
-343.4	2.3907	2.1917	2.8418
-343.3	2.3929	2.1908	2.8417
-343.2	2.3929	2.1906	2.8436
-343.1	2.391	2.1897	2.8438
-343	2.3922	2.1897	2.8454
-342.9	2.3921	2.1883	2.8448
-342.8	2.3923	2.1882	2.8467
-342.7	2.3887	2.1875	2.8483
-342.6	2.3905	2.1874	2.8489
-342.5	2.3891	2.1866	2.8497
-342.4	2.3893	2.1861	2.8505
-342.3	2.3902	2.1856	2.8508
-342.2	2.3894	2.1855	2.8529
-342.1	2.3869	2.1845	2.8529
-342	2.3869	2.1842	2.8541
-341.9	2.3865	2.1836	2.8539
-341.8	2.3853	2.1832	2.8552
-341.7	2.3847	2.1819	2.8547
-341.6	2.384	2.182	2.8557
-341.5	2.3839	2.181	2.8563
-341.4	2.3812	2.1808	2.8571
-341.3	2.3812	2.1803	2.8575
-341.2	2.3814	2.1796	2.8577
-341.1	2.3774	2.1791	2.8587
-341	2.3762	2.1784	2.8587
-340.9	2.3755	2.1778	2.8579
-340.8	2.3739	2.1776	2.8599
-340.7	2.3736	2.1771	2.8593
-340.6	2.3728	2.1773	2.8602
-340.5	2.3713	2.1757	2.8594
-340.4	2.3668	2.1763	2.8606
-340.3	2.3686	2.1758	2.8607
-340.2	2.3678	2.1752	2.8602
-340.1	2.3656	2.1749	2.8604
-340	2.3646	2.1745	2.8615
-339.9	2.3617	2.1743	2.8609
-339.8	2.3602	2.1735	2.8615
-339.7	2.3588	2.1729	2.8608
-339.6	2.3583	2.1726	2.8611
-339.5	2.3569	2.1715	2.86
-339.4	2.3553	2.1715	2.8608
-339.3	2.3526	2.1714	2.8609
-339.2	2.3529	2.1709	2.8601
-339.1	2.3512	2.1704	2.86
-339	2.3461	2.1706	2.8605
-338.9	2.3466	2.1699	2.8592
-338.8	2.3466	2.1702	2.8601
-338.7	2.3437	2.1699	2.8603
-338.6	2.3434	2.1694	2.8594
-338.5	2.3396	2.1688	2.8584
-338.4	2.3397	2.1682	2.8581
-338.3	2.3363	2.1681	2.8578
-338.2	2.3349	2.1677	2.8572
-338.1	2.3347	2.1672	2.8564
-338	2.3341	2.167	2.856
-337.9	2.3304	2.1667	2.8548
-337.8	2.3295	2.1661	2.853
-337.7	2.3304	2.1661	2.8532
-337.6	2.3274	2.1664	2.8528
-337.5	2.3235	2.1659	2.8516
-337.4	2.3252	2.1654	2.85
-337.3	2.3217	2.1655	2.8497
-337.2	2.3206	2.1651	2.8488
-337.1	2.3194	2.165	2.8475
-337	2.3189	2.165	2.8479
-336.9	2.3166	2.1643	2.8469
-336.8	2.3163	2.1637	2.8449
-336.7	2.3137	2.1637	2.8454
-336.6	2.3112	2.1631	2.8436
-336.5	2.3122	2.1629	2.843
-336.4	2.3083	2.162	2.8418
-336.3	2.3095	2.1624	2.8416
-336.2	2.3064	2.1615	2.84
-336.1	2.3066	2.1611	2.8386
-336	2.3044	2.1607	2.8373
-335.9	2.3042	2.1609	2.8369
-335.8	2.3024	2.1605	2.8352
-335.7	2.2998	2.16	2.8348
-335.6	2.3003	2.1596	2.833
-335.5	2.2988	2.1592	2.8314
-335.4	2.2976	2.1585	2.8298
-335.3	2.299	2.1586	2.8293
-335.2	2.2957	2.1586	2.8281
-335.1	2.2951	2.1576	2.8259
-335	2.293	2.1578	2.8259
-334.9	2.2913	2.1576	2.8246
-334.8	2.2908	2.157	2.8223
-334.7	2.2902	2.1575	2.8219
-334.6	2.2881	2.1574	2.8208
-334.5	2.2879	2.1566	2.8172
-334.4	2.2866	2.1562	2.816
-334.3	2.2863	2.1561	2.8145
-334.2	2.2857	2.1565	2.8143
-334.1	2.2845	2.1561	2.8117
-334	2.2822	2.1559	2.8109
-333.9	2.2818	2.1558	2.8097
-333.8	2.2803	2.1562	2.8077
