CA	pMess	dummy	dummy	
[KWnZOT]	[bar]	[bar]	[bar]	
-359.650000000000	1.608012217621	5.000000000000	5.000000000000	1.000000000000
-359.4	1.603406623	5	5	2
-359.15	1.59757772	5	5	3
-358.9	1.590751258	5	5	4
-358.65	1.583240426	5	5	5
-358.4	1.575360962	5	5	6
-358.15	1.56735092	5	5	7
-357.9	1.559322619	5	5	8
-357.65	1.551259111	5	5	9
-357.4	1.54305021	5	5	10
-357.15	1.534552375	5	5	11
-356.9	1.525653634	5	5	12
-356.65	1.51632472	5	5	13
-356.4	1.506638634	5	5	14
-356.15	1.496747034	5	5	15
-355.9	1.486817898	5	5	16
-355.65	1.476961064	5	5	17
-355.4	1.467182175	5	5	18
-355.15	1.457396732	5	5	19
-354.9	1.447503204	5	5	20
-354.65	1.437474718	5	5	21
-354.4	1.427409011	5	5	22
-354.15	1.417493462	5	5	23
-353.9	1.407891048	5	5	24
-353.65	1.398606561	5	5	25
-353.4	1.389415809	5	5	26
-353.15	1.379914515	5	5	27
-352.9	1.369678843	5	5	28
-352.65	1.358463317	5	5	29
-352.4	1.346335076	5	5	30
-352.15	1.333673728	5	5	31
-351.9	1.321035509	5	5	32
-351.65	1.308947745	5	5	33
-351.4	1.297727724	5	5	34
-351.15	1.287398632	5	5	35
-350.9	1.277723147	5	5	36
-350.65	1.268323836	5	5	37
-350.4	1.258831916	5	5	38
-350.15	1.249007194	5	5	39
-349.9	1.238793397	5	5	40
-349.65	1.228302094	5	5	41
-349.4	1.217745207	5	5	42
-349.15	1.207352884	5	5	43
-348.9	1.197313944	5	5	44
-348.65	1.18775797	5	5	45
-348.4	1.178769971	5	5	46
-348.15	1.170407793	5	5	47
-347.9	1.162695427	5	5	48
-347.65	1.155591389	5	5	49
-347.4	1.14896053	5	5	50
-347.15	1.142584215	5	5	51
-346.9	1.136219198	5	5	52
-346.65	1.129677383	5	5	53
-346.4	1.12287865	5	5	54
-346.15	1.11584536	5	5	55
-345.9	1.108648969	5	5	56
-345.65	1.101353675	5	5	57
-345.4	1.094001562	5	5	58
-345.15	1.086648259	5	5	59
-344.9	1.079414849	5	5	60
-344.65	1.072503737	5	5	61
-344.4	1.066147378	5	5	62
-344.15	1.060504921	5	5	63
-343.9	1.055562054	5	5	64
-343.65	1.051097258	5	5	65
-343.4	1.046747736	5	5	66
-343.15	1.042156982	5	5	67
-342.9	1.037141199	5	5	68
-342.65	1.031797514	5	5	69
-342.4	1.026500893	5	5	70
-342.15	1.021787049	5	5	71
-341.9	1.018169768	5	5	72
-341.65	1.015967274	5	5	73
-341.4	1.015201936	5	5	74
-341.15	1.015599929	5	5	75
-340.9	1.016675387	5	5	76
-340.65	1.01785883	5	5	77
-340.4	1.01862882	5	5	78
-340.15	1.018619401	5	5	79
-339.9	1.017688962	5	5	80
-339.65	1.01594136	5	5	81
-339.4	1.013691984	5	5	82
-339.15	1.011379429	5	5	83
-338.9	1.009440829	5	5	84
-338.65	1.008187793	5	5	85
-338.4	1.00772686	5	5	86
-338.15	1.007954718	5	5	87
-337.9	1.008627716	5	5	88
-337.65	1.009471526	5	5	89
-337.4	1.010277757	5	5	90
-337.15	1.010941303	5	5	91
-336.9	1.011424608	5	5	92
-336.65	1.011677803	5	5	93
-336.4	1.011573325	5	5	94
-336.15	1.010909681	5	5	95
-335.9	1.009499115	5	5	96
-335.65	1.007298774	5	5	97
-335.4	1.004508612	5	5	98
-335.15	1.001567285	5	5	99
-334.9	0.999028211	5	5	100
-334.65	0.997363289	5	5	101
-334.4	0.996783272	5	5	102
-334.15	0.997158387	5	5	103
-333.9	0.998074727	5	5	104
-333.65	0.998998708	5	5	105
-333.4	0.999476091	5	5	106
-333.15	0.99928384	5	5	107
-332.9	0.998481241	5	5	108
-332.65	0.99735349	5	5	109
-332.4	0.996283248	5	5	110
-332.15	0.995607441	5	5	111
-331.9	0.995513367	5	5	112
-331.65	0.996005876	5	5	113
-331.4	0.996946901	5	5	114
-331.15	0.998141522	5	5	115
-330.9	0.999430338	5	5	116
-330.65	1.000750838	5	5	117
-330.4	1.002148117	5	5	118
-330.15	1.003738698	5	5	119
-329.9	1.005649089	5	5	120
-329.65	1.007956156	5	5	121
-329.4	1.010649784	5	5	122
-329.15	1.013625949	5	5	123
-328.9	1.016707313	5	5	124
-328.65	1.019682473	5	5	125
-328.4	1.022353659	5	5	126
-328.15	1.024583017	5	5	127
-327.9	1.026326986	5	5	128
-327.65	1.027646942	5	5	129
-327.4	1.028685934	5	5	130
-327.15	1.029610329	5	5	131
-326.9	1.030531734	5	5	132
-326.65	1.03144147	5	5	133
-326.4	1.032194915	5	5	134
-326.15	1.032567735	5	5	135
-325.9	1.032373007	5	5	136
-325.65	1.031593113	5	5	137
-325.4	1.030463116	5	5	138
-325.15	1.029456204	5	5	139
-324.9	1.029163242	5	5	140
-324.65	1.030108031	5	5	141
-324.4	1.032571798	5	5	142
-324.15	1.036497485	5	5	143
-323.9	1.041508345	5	5	144
-323.65	1.047025887	5	5	145
-323.4	1.052434886	5	5	146
-323.15	1.057234203	5	5	147
-322.9	1.06113015	5	5	148
-322.65	1.064059296	5	5	149
-322.4	1.066152727	5	5	150
-322.15	1.067665086	5	5	151
-321.9	1.068890831	5	5	152
-321.65	1.070084922	5	5	153
-321.4	1.071401648	5	5	154
-321.15	1.072864049	5	5	155
-320.9	1.074373405	5	5	156
-320.65	1.07576006	5	5	157
-320.4	1.076864114	5	5	158
-320.15	1.07762221	5	5	159
-319.9	1.078130567	5	5	160
-319.65	1.078657689	5	5	161
-319.4	1.079593066	5	5	162
-319.15	1.081338356	5	5	163
-318.9	1.084170391	5	5	164
-318.65	1.088122852	5	5	165
-318.4	1.092935441	5	5	166
-318.15	1.098099379	5	5	167
-317.9	1.102990301	5	5	168
-317.65	1.107041276	5	5	169
-317.4	1.109890606	5	5	170
-317.15	1.11145268	5	5	171
-316.9	1.111897513	5	5	172
-316.65	1.111563727	5	5	173
-316.4	1.11084925	5	5	174
-316.15	1.110117928	5	5	175
-315.9	1.109639564	5	5	176
-315.65	1.109562785	5	5	177
-315.4	1.109913946	5	5	178
-315.15	1.110617562	5	5	179
-314.9	1.111535127	5	5	180
-314.65	1.112514397	5	5	181
-314.4	1.113434586	5	5	182
-314.15	1.114232452	5	5	183
-313.9	1.114903692	5	5	184
-313.65	1.115487989	5	5	185
-313.4	1.116053713	5	5	186
-313.15	1.116692802	5	5	187
-312.9	1.117521109	5	5	188
-312.65	1.118666703	5	5	189
-312.4	1.12023087	5	5	190
-312.15	1.122225916	5	5	191
-311.9	1.124518586	5	5	192
-311.65	1.126819122	5	5	193
-311.4	1.128741481	5	5	194
-311.15	1.129924566	5	5	195
-310.9	1.13016753	5	5	196
-310.65	1.129517121	5	5	197
-310.4	1.128262428	5	5	198
-310.15	1.126834135	5	5	199
-309.9	1.125649763	5	5	200
-309.65	1.124970834	5	5	201
-309.4	1.124831053	5	5	202
-309.15	1.125061192	5	5	203
-308.9	1.12539308	5	5	204
-308.65	1.125592422	5	5	205
-308.4	1.125561944	5	5	206
-308.15	1.125374703	5	5	207
-307.9	1.125231672	5	5	208
-307.65	1.125370581	5	5	209
-307.4	1.125969247	5	5	210
-307.15	1.127080565	5	5	211
-306.9	1.128614596	5	5	212
-306.65	1.130359538	5	5	213
-306.4	1.132021048	5	5	214
-306.15	1.133263133	5	5	215
-305.9	1.133748041	5	5	216
-305.65	1.133184792	5	5	217
-305.4	1.13139497	5	5	218
-305.15	1.128388095	5	5	219
-304.9	1.124417453	5	5	220
-304.65	1.119977791	5	5	221
-304.4	1.115720833	5	5	222
-304.15	1.112299911	5	5	223
-303.9	1.110192238	5	5	224
-303.65	1.109564171	5	5	225
-303.4	1.110230381	5	5	226
-303.15	1.111720612	5	5	227
-302.9	1.113427633	5	5	228
-302.65	1.114785366	5	5	229
-302.4	1.115423181	5	5	230
-302.15	1.115255853	5	5	231
-301.9	1.114489722	5	5	232
-301.65	1.1135473	5	5	233
-301.4	1.112931729	5	5	234
-301.15	1.113066827	5	5	235
-300.9	1.114155479	5	5	236
-300.65	1.116096732	5	5	237
-300.4	1.118489411	5	5	238
-300.15	1.120728447	5	5	239
