h	alpha_vor	alpha_rueck
[m]	[]	[]
0	0	0
0.001	0.017337732	0.018805928
0.002	0.031702047	0.037301225
0.003	0.045614498	0.049228231
0.004	0.061919182	0.069555756
0.005	0.077108282	0.084588037
0.006	0.092305452	0.098100153
0.007	0.103100793	0.109060739
0.008	0.109766511	0.117764405
0.009	0.113320622	0.121318516
