Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	p_mitWandwärmeverlust [Pa]	p_Reale Ladung [Pa]	p_Verbrennungslage [Pa]	p_HC_CO [Pa]	p_realer Brennverlauf [Pa]
57.5	 0.01562236449148792	 1.662237393879254E-4	 817720.7884940422	 962390.4038078649	 975347.287413156	 975344.5094348796	 924846.2285465564	 
59.0	 0.015747343407419824	 1.7198066280573474E-4	 781236.5923844486	 919283.3884937913	 931688.7398215157	 931686.0781833683	 884641.9138559883	 
60.49999999999997	 0.015872322323351725	 1.7779708445823895E-4	 747297.1850390177	 879003.7069928041	 890892.6026700141	 890890.0500590913	 847177.4415930997	 
62.0	 0.01599730123928363	 1.836673953612336E-4	 715382.4275359198	 841339.3519013629	 852744.3131137887	 852741.8627432897	 811931.2282450143	 
63.5	 0.016122280155215534	 1.8958599230073432E-4	 685540.6952835091	 806095.1952882868	 817046.3853733513	 817044.0309425023	 778935.3389450762	 
64.99999999999997	 0.016247259071147435	 1.9554728669674725E-4	 657679.3532998412	 773091.7377756424	 783617.1457822328	 783614.8814389854	 748085.7145446672	 
66.5	 0.01637223798707934	 2.0154571336934073E-4	 631581.160389517	 742163.9097640917	 752289.5204650513	 752287.340771472	 719157.7755888433	 
68.0	 0.016497216903011244	 2.07575739179131E-4	 607171.64580607	 713159.9347920528	 722909.8857716817	 722907.7856719198	 692066.6492661452	 
69.49999999999997	 0.016622195818943145	 2.1363187151411466E-4	 584194.9786778635	 685940.2607119111	 695336.9872341437	 695334.9620248452	 666551.8603871438	 
71.0	 0.01674717473487505	 2.197086665948021E-4	 562706.6754922234	 660376.5612012112	 669440.9296081726	 669438.9749111958	 642655.9697234952	 
72.5	 0.016872153650806954	 2.2580073756979952E-4	 542388.221651674	 636350.8078408211	 645102.238246678	 645100.3499839639	 620059.5188937855	 
73.99999999999997	 0.016997132566738855	 2.3190276237441913E-4	 523404.23264257703	 613754.5692477141	 622210.9904184566	 622209.1647889058	 598911.7831801747	 
75.5	 0.01712211148267076	 2.380094913255018E-4	 505493.8595196523	 592487.8941936197	 600666.0362671583	 600664.2697415054	 578950.5407487155	 
77.0	 0.017247090398602664	 2.4411575442647514E-4	 488756.07357705996	 572458.5379778091	 580374.4016612518	 580372.690971544	 560262.5902807486	 
78.49999999999997	 0.017372069314534565	 2.502164683577167E-4	 472926.74665543187	 553581.5719347061	 561250.1089576734	 561248.4509462437	 542584.2566000954	 
80.0	 0.01749704823046647	 2.563066431285417E-4	 457976.5112341621	 535778.7575502752	 543213.8879416826	 543212.2796670264	 525879.0528045082	 
81.5	 0.017622027146398375	 2.6238138836859125E-4	 443873.99956204597	 518977.97332585405	 526192.670571104	 526191.109290156	 510109.5123457167	 
82.99999999999997	 0.017747006062330276	 2.684359192380585E-4	 430606.88469171384	 503112.6925036033	 510119.06063630915	 510117.54378838977	 495256.68777934497	 
84.5	 0.01787198497826218	 2.7446556193800714E-4	 418015.8830744448	 488121.50735678605	 494930.850841597	 494929.37603385106	 481160.57314265834	 
86.0	 0.017996963894194085	 2.8046575880405814E-4	 406229.5133489467	 473947.6960177228	 480570.5831809746	 480569.1481751466	 467939.04718450125	 
87.49999999999997	 0.018121942810125986	 2.8643207296886065E-4	 394858.34003846184	 460538.82809648	 466985.14877413976	 466983.75147454813	 455211.00341066276	 
89.0	 0.01824692172605789	 2.923601925810524E-4	 384200.9704610458	 447846.40562426776	 454125.42362028186	 454124.0620628692	 443258.7116984862	 
90.5	 0.018371900641989795	 2.982459345708046E-4	 374082.75194008846	 435825.5361303052	 441945.93701153883	 441944.60935388977	 431909.27822362754	 
91.99999999999997	 0.018496879557921696	 3.0408524795452817E-4	 364640.22563442535	 424434.6349249289	 430404.5696201521	 430403.27413238265	 421289.5884315752	 
93.5	 0.0186218584738536	 3.0987421667384745E-4	 355568.459686131	 413635.1539120317	 419462.2785307918	 419461.0135872236	 411101.6593493304	 
95.0	 0.018746837389785505	 3.156090619665195E-4	 347093.38392778864	 403391.3344888635	 409082.84673065605	 409081.6108021997	 401558.996622628	 
96.49999999999997	 0.018871816305717406	 3.212861442695557E-4	 338878.29789805645	 393669.98230995936	 399232.65479407925	 399231.4464412575	 392333.6508258478	 
98.0	 0.01899679522164931	 3.269019646573473E-4	 331218.5469597889	 384440.2618943244	 389880.4727054509	 389879.2905720016	 383706.26950081345	 
99.5	 0.019121774137581215	 3.324531658201102E-4	 323894.17132756056	 375673.50924129615	 380997.26995465305	 380996.1127616566	 375462.0172933195	 
100.99999999999997	 0.019246753053513116	 3.37936532590391E-4	 316981.14200072445	 367343.0607912829	 372556.042213595	 372554.90875407757	 367670.81444709713	 
102.5	 0.01937173196944502	 3.4334899202771236E-4	 310268.0609922637	 359424.09722360777	 364531.6530616098	 364530.5421955785	 360126.29360205313	 
104.0	 0.019496710885376925	 3.486876130736487E-4	 303948.7987174958	 351893.5007258913	 356900.68937244144	 356899.60002231214	 353012.1317804983	 
105.49999999999997	 0.019621689801308826	 3.539496057916915E-4	 298048.02032166184	 344729.72449869686	 349641.32910727244	 349640.2602536542	 346349.6712122743	 
107.0	 0.01974666871724073	 3.5913232020818176E-4	 292355.71418329957	 337912.67337651056	 342733.2203777226	 342732.17105552775	 339934.5490154397	 
108.5	 0.019871647633172635	 3.642332447723104E-4	 286913.1528706746	 331423.5945525029	 336157.370751006	 336156.3400458564	 333804.02948096924	 
109.99999999999997	 0.019996626549104536	 3.6925000445475113E-4	 281673.2587055601	 325244.97749081603	 329896.04586738814	 329895.03291229194	 327910.77434974926	 
111.5	 0.02012160546503644	 3.7418035850582317E-4	 276756.629059655	 319360.4621972255	 323932.6765286519	 323931.6805009276	 322368.63037784334	 
113.0	 0.020246584380968345	 3.790221978952345E-4	 272013.01422925806	 313754.7550977699	 318251.7734963216	 318250.7936147477	 317031.37688083894	 
114.49999999999997	 0.020371563296900246	 3.8377354245639037E-4	 267626.5309217373	 308413.5518460822	 312838.84931067657	 312837.88483284856	 312074.1895104768	 
