Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	p [bar]	dQh [J/s]	dQh [J/KW]	Qh [J]	dQb [J/s]	dQb [J/KW]	Qb [J]	T_mittel [K]	 kappa [-]	dQw [J/s]	dQw [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Alpha [W/(m^2K)]	dmL [kg/s]	dmL [kg/KW]	mL [kg]
-98.5	 0.0026245572345699707	 3.3197763698099585E-4	 1.7384460873282213	 -475.4015388483568	 -0.039610112638417516	 0.4206992592475874	 -476.34782040000005	 -0.03968895613341134	 0.40793221929917056	 419.60155953919394	 1.3910772631285013	 -0.9462815516432553	 -7.884349499382232E-5	 -0.012767039948416829	 3.8828170847812364E-4	 0.001105514050845013	 137.55573353774977	 9.999351453026909E-6	 8.331387364142705E-10	 1.7037908974699332E-8	 
-97.0	 0.002749536150501874	 3.263954984361571E-4	 1.779859378966405	 612.1648232547925	 0.05100513065468613	 0.49720695522961655	 611.7516497999998	 0.05097070534103824	 0.4843882773107279	 422.37484488537285	 1.3908643300830559	 -0.41317345479269135	 -3.442531364788656E-5	 -0.012818677918888658	 3.8828170847812364E-4	 0.0013127132923003936	 139.94447856918111	 1.0329963464973905E-5	 8.606850903124045E-10	 1.8328936610167937E-8	 
-95.5	 0.002874515066433777	 3.2074856162586424E-4	 1.8247735137167815	 200.28600878591695	 0.016687685502927714	 0.5222384834840081	 200.5025764000046	 0.01670572976001747	 0.5094468719507541	 425.5426301649201	 1.3906183602899769	 0.21656761408765363	 1.8044257089755834E-5	 -0.012791611533254024	 3.8828170847812364E-4	 0.0013806231733011435	 142.4856557055637	 1.0669582696692864E-5	 8.889819192523121E-10	 1.9662409489046406E-8	 
-94.0	 0.0029994939823656808	 3.1504026589294134E-4	 1.870724996297286	 584.3908394966193	 0.048691022400548276	 0.5952750170848305	 585.1574523000002	 0.04875489602528565	 0.5825792159886826	 428.4958636915941	 1.3903864412243294	 0.7666128033808866	 6.387362473737372E-5	 -0.012695801096147962	 3.8828170847812364E-4	 0.0015788150053757468	 145.10367932243582	 1.0997627006184377E-5	 9.163143340375649E-10	 2.1036880990102754E-8	 
-92.5	 0.003124472898297584	 3.092741945377567E-4	 1.9203060720286944	 583.712165688219	 0.048634475789318114	 0.6682267307688077	 585.1574523	 0.04875489602528564	 0.655711560026611	 431.8033717188546	 1.3901237490050866	 1.445286611781043	 1.2042023596752562E-4	 -0.012515170742196675	 3.8828170847812364E-4	 0.00177700683745035	 147.88101211515254	 1.1337681738549365E-5	 9.44647448576558E-10	 2.245385216296759E-8	 
-91.0	 0.003249451814229487	 3.03454073573185E-4	 1.972152037358962	 -295.58626649966686	 -0.024628034100991365	 0.6312846796173206	 -293.46162569999547	 -0.024451010565066284	 0.6190350441790116	 435.11751197493004	 1.3898574412487368	 2.124640799671421	 1.7702353592508432E-4	 -0.012249635438309049	 3.8828170847812364E-4	 0.0016776118848397916	 150.77703322645164	 1.1675666555830184E-5	 9.728080992866908E-10	 2.3913064311897626E-8	 
-89.5	 0.0033744307301613904	 2.975837700039306E-4	 2.0272183109359347	 671.8468030848536	 0.055977790081239966	 0.7152513647391806	 674.7014189500029	 0.05621563461205888	 0.7033584960970999	 438.61583524175546	 1.3895730244927547	 2.8546158651492672	 2.378445308189119E-4	 -0.011892868642080681	 3.8828170847812364E-4	 0.0019061321058494343	 153.82298045411244	 1.2016707288593673E-5	 1.0012233666662927E-9	 2.5414899361897064E-8	 
-88.0	 0.003499409646093294	 2.916672896263115E-4	 2.0853050592817706	 391.614935150077	 0.03262907337186617	 0.7641949747969798	 395.2143562	 0.03292897453240074	 0.752751957895701	 442.21478002460464	 1.389276930954087	 3.59942104992302	 2.999011605345683E-4	 -0.01144301690127883	 3.8828170847812364E-4	 0.002039990534909149	 157.01465718989232	 1.2357620922530557E-5	 1.0296280442635178E-9	 2.695934142829234E-8	 
-86.5	 0.0036243885620251973	 2.8570877434726624E-4	 2.145086496610753	 -127.12409325755385	 -0.010591887576103512	 0.7483071434328246	 -122.81492160000562	 -0.010232850507886937	 0.7374026821338706	 445.60057518505806	 1.3889951838524732	 4.309171657548236	 3.5903706821657446E-4	 -0.010904461298953968	 3.8828170847812364E-4	 0.0019983933302211965	 160.31465261350604	 1.2695003681984615E-5	 1.0577385319506393E-9	 2.8545949226218297E-8	 
-85.0	 0.0037493674779571005	 2.797124990240232E-4	 2.2103884362862947	 630.8110516452357	 0.05255872092832364	 0.8271452248253099	 636.0206192000019	 0.052992778331969435	 0.8168918496318247	 449.53063376672105	 1.3886643278214301	 5.209567554766178	 4.3405740364579567E-4	 -0.010253375193485275	 3.8828170847812364E-4	 0.0022138124302617202	 163.83984686400152	 1.3046199892477701E-5	 1.0869999463951848E-9	 3.0176449145811076E-8	 
-83.5	 0.003874346393889004	 2.73682867828568E-4	 2.2779775795361115	 93.63905244220774	 0.007801938175411848	 0.8388481320884278	 99.6556008499906	 0.008303232640516196	 0.829346698592599	 453.29129595706974	 1.3883439529216979	 6.016548407782857	 5.012944651043471E-4	 -0.009501433495828755	 3.8828170847812364E-4	 0.0022475656124716073	 167.4961505820981	 1.3390048774036376E-5	 1.1156491867029188E-9	 3.1849922925865456E-8	 
-82.0	 0.003999325309820907	 2.676244101437052E-4	 2.3509794661834085	 316.2913643092975	 0.026353167886665807	 0.8783778839184265	 323.2963999	 0.026936822389459405	 0.8697519321767881	 457.4634748713962	 1.3879842705913594	 7.005035590702523	 5.836545027936011E-4	 -0.008625951741638353	 3.8828170847812364E-4	 0.0023570655522697844	 171.3783820587118	 1.3745504576687994E-5	 1.1452655072876545E-9	 3.3567821186796936E-8	 
-80.5	 0.004124304225752811	 2.615417760001198E-4	 2.427818551248775	 454.64868323923946	 0.03788099970740498	 0.9351993834795339	 462.62136265	 0.03854527759395795	 0.9275698485677251	 461.67966140691175	 1.387616335898208	 7.9726794107605174	 6.642778865529704E-4	 -0.007629534911808898	 3.8828170847812364E-4	 0.0025137546195628147	 175.4426999110641	 1.4099183937610198E-5	 1.1747338160313514E-9	 3.532992191084396E-8	 
-79.0	 0.004249283141684714	 2.5543973106637616E-4	 2.50900545189022	 -547.8768034811359	 -0.045648699308872547	 0.8667263345162252	 -538.8622618999882	 -0.04489761421924928	 0.8602234272388511	 465.9884214363115	 1.387235782246843	 9.014541581147638	 7.510850896232653E-4	 -0.006502907277374	 3.8828170847812364E-4	 0.002331242889596724	 179.70700640673635	 1.4457046857097326E-5	 1.2045506958511697E-9	 3.7136747954620715E-8	 
-77.5	 0.0043742620576166175	 2.493231512062123E-4	 2.59632614300226	 1473.2036071224181	 0.12274625984341966	 1.0508457242813547	 1483.363243	 0.12359275336224836	 1.0456125572822237	 470.6614091798945	 1.386817979213535	 10.159635877581962	 8.464935188287103E-4	 -0.005233166999130935	 3.8828170847812364E-4	 0.002833655492575197	 184.22530628785626	 1.4820216689086501E-5	 1.2348097437852888E-9	 3.898896257029865E-8	 
-76.0	 0.004499240973548521	 2.431970166197815E-4	 2.688638601109029	 -1146.0367989375923	 -0.09548695783285932	 0.9076152875320658	 -1134.680862	 -0.09454078937429175	 0.9038013732207861	 475.42182609342825	 1.3863870437272448	 11.355936937592237	 9.461684585675576E-4	 -0.003813914311279599	 3.8828170847812364E-4	 0.0024493410179396153	 188.96783422861822	 1.5185866952003262E-5	 1.2652754594316569E-9	 4.088687575944613E-8	 
-74.5	 0.004624219889480424	 2.370664055876289E-4	 2.7861892325654365	 411.9339855344802	 0.0343220419650718	 0.9590983504796734	 424.5450358000189	 0.03537278555903831	 0.9568605515593436	 480.2538062505269	 1.3859442727441236	 12.61105026553874	 0.0010507435939665158	 -0.0022377989203298254	 3.8828170847812364E-4	 0.002593133698204834	 193.945203479698	 1.5554454008356237E-5	 1.2959858665846742E-9	 4.283085455932314E-8	 
-73.0	 0.004749198805412328	 2.3093648783815675E-4	 2.888638512688251	 -230.42046277670485	 -0.01919846643090671	 0.9303006508333134	 -216.5852719	 -0.01804572832591902	 0.9297919590704651	 485.04020044069915	 1.3855004875582562	 13.835190876704837	 0.0011527381049876869	 -5.086917628482953E-4	 3.8828170847812364E-4	 0.0025197766356407055	 199.1521472644809	 1.5922831641088735E-5	 1.3266788247129866E-9	 4.482087279639262E-8	 
-71.5	 0.004874177721344231	 2.2481251756111415E-4	 2.9998109585641655	 194.35188691444304	 0.016193258757257977	 0.9545905389692003	 209.6707104999996	 0.017469612067307932	 0.9559963771714269	 490.3522694015455	 1.3850020709994406	 15.318823585556547	 0.0012763533100499534	 0.0014058382022266347	 3.8828170847812364E-4	 0.002590791748040016	 204.69804154118626	 1.6301573972412678E-5	 1.3582353620372454E-9	 4.6858225839448486E-8	 
-70.0	 0.004999156637276134	 2.1869982609121533E-4	 3.116293486746061	 1408.4155799006248	 0.11734816823838874	 1.1306127913267834	 1425.1136119999728	 0.11873943620503717	 1.1341055314789827	 495.5442921510348	 1.3845090922158516	 16.698032099348037	 0.001391267966648428	 0.003492740152199277	 3.8828170847812364E-4	 0.0030734753002473027	 210.49310135273015	 1.66781292010534E-5	 1.3896096715465836E-9	 4.894264034676836E-8	 
-68.5	 0.005124135553208038	 2.1260381428736105E-4	 3.2413253073546513	 49.32959891662241	 0.004110106530636709	 1.1367779511227385	 67.62987220000002	 0.005634872074779447	 1.142557839591152	 501.06178261345997	 1.3839790851657725	 18.300273283377614	 0.0015247655441427387	 0.005779888468413385	 3.8828170847812364E-4	 0.0030963814227304145	 216.62990246597803	 1.7062895872404903E-5	 1.4216681525280754E-9	 5.1075142575560474E-8	 
-67.0	 0.005249114469139941	 2.0652994463407276E-4	 3.374008871912771	 -622.5205519768288	 -0.051867962487596106	 1.0589760073913443	 -602.5262588	 -0.050202052430219635	 1.0672547609458225	 506.67423291827566	 1.3834336824358326	 19.99429317682876	 0.0016659100573764736	 0.008278753554478095	 3.8828170847812364E-4	 0.002892306805488069	 223.08868826019636	 1.7451574053612337E-5	 1.4540525376838681E-9	 5.325622138208628E-8	 
-65.5	 0.005374093385071844	 2.0048373309267806E-4	 3.516927333344283	 717.0265605597942	 0.05974213482209623	 1.1485892096244887	 738.8542742000129	 0.06156080414744726	 1.1595959671669933	 512.6773281988873	 1.3828435509415726	 21.827713640218633	 0.00181866932535103	 0.01100675754250464	 3.8828170847812364E-4	 0.00314255548926417	 229.9425829798221	 1.7845185953749245E-5	 1.4868479967352065E-9	 5.5486493377189085E-8	 
-64.0	 0.005499072301003748	 1.9447074073047674E-4	 3.668621318353815	 94.39549302504533	 0.00786496425808514	 1.1603866560116165	 118.0983474	 0.009839868954267545	 1.1743557705983947	 518.7531927671746	 1.3822394008940546	 23.70285437495467	 0.001974904696182405	 0.013969114586778249	 3.8828170847812364E-4	 0.0031825551983069066	 237.15802339860204	 1.8241736196562625E-5	 1.5198882763747726E-9	 5.7766325791751246E-8	 
-62.5	 0.0056240512169356514	 1.884965651565961E-4	 3.8313746689988375	 80.96774920743343	 0.006746174347594172	 1.1705059175330077	 106.76197454999988	 0.008895330561338961	 1.187698766440403	 525.1263253835835	 1.3815985609196284	 25.794225342566456	 0.0021491562137447894	 0.017192848907395433	 3.8828170847812364E-4	 0.003218715297180805	 244.7998002171168	 1.8644423831688583E-5	 1.5534399191062554E-9	 6.009648567041063E-8	 
-61.0	 0.005749030132867554	 1.8256683179349934E-4	 4.004232290118246	 848.7509922510756	 0.07071731927177782	 1.2765818964406743	 876.6661690999844	 0.07304319163219382	 1.2972635538886939	 531.555984814216	 1.380944946187952	 27.915176848908814	 0.002325872360415993	 0.020681657448019423	 3.8828170847812364E-4	 0.003515640634948993	 252.84919541486525	 1.9050203026181766E-5	 1.5872491483299079E-9	 6.247735939290549E-8	 
-59.5	 0.005874009048799458	 1.7668718501316809E-4	 4.1907661351871335	 143.45316357714358	 0.011952413913915607	 1.2945105173115479	 173.7648287	 0.014477959945345927	 1.3189804938067127	 538.4043216177109	 1.380241291752219	 30.31166512285641	 0.0025255460314303193	 0.0244699764951649	 3.8828170847812364E-4	 0.0035744944863608115	 261.40272197441595	 1.946235838941601E-5	 1.6215896353249318E-9	 6.490974384589288E-8	 
-58.0	 0.0059989879647313615	 1.7086327916683133E-4	 4.389506741686272	 601.2095822772185	 0.05009234789391948	 1.369649039152427	 634.0083053	 0.052825113792144815	 1.3982181644949299	 545.3518041809281	 1.3795199516869574	 32.79872302278142	 0.0027327658982253212	 0.02856912534250288	 3.8828170847812364E-4	 0.003789232019112082	 270.42948012959465	 1.9878517110332034E-5	 1.6562636791887266E-9	 6.739413936467597E-8	 
-56.5	 0.006123966880663264	 1.6510076953678006E-4	 4.603083937483664	 414.42938412105644	 0.03452995677185067	 1.421443974310203	 449.9313200999935	 0.03748795241993826	 1.4544500931248372	 552.6021540884261	 1.378759540945573	 35.50193597893705	 0.0029579956480875924	 0.03300611881463427	 3.8828170847812364E-4	 0.00394162299061533	 280.0014130930697	 2.029989749062365E-5	 1.6913727879379394E-9	 6.993119854658288E-8	 
-55.0	 0.006248945796595168	 1.594053032383084E-4	 4.832087861863319	 -469.4814448981009	 -0.03911685468900552	 1.3627686922766948	 -431.0580711000001	 -0.03591544695318356	 1.400576922695062	 560.085723680218	 1.377966975575967	 38.423373798100805	 0.0032014077358219592	 0.03780823041836721	 3.8828170847812364E-4	 0.003795624356391231	 290.1395771493602	 2.07262648873727E-5	 1.726897411294209E-9	 7.252154466352419E-8	 
-53.500000000000014	 0.006373924712527071	 1.5378251009915848E-4	 5.077702651613779	 -140.25728637672955	 -0.011686135735276118	 1.3452394886737806	 -98.71966629998144	 -0.008225251250220623	 1.3882390458197311	 567.7975402898113	 1.3771425779555617	 41.53762007674813	 0.003460884485055497	 0.042999557145950454	 3.8828170847812364E-4	 0.0037621881736187423	 300.87983036818827	 2.1157417675775342E-5	 1.7628207500245951E-9	 7.516577578856109E-8	 
-52.0	 0.006498903628458974	 1.4823799354304857E-4	 5.339907768166839	 635.5716440629918	 0.05295537004803351	 1.4246725437458307	 680.3281323999825	 0.05668444831021749	 1.4732657182850573	 575.592347361546	 1.3763019547322675	 44.75648833699063	 0.0037290782621839766	 0.048593174539226416	 3.8828170847812364E-4	 0.0039926141528868276	 312.2299154223729	 2.159337958935578E-5	 1.7991447815891825E-9	 7.786449296094486E-8	 
-50.5	 0.006623882544390878	 1.4277732150294608E-4	 5.623576395973996	 292.09974087942504	 0.024337539306066944	 1.4611788527049312	 340.46768771999996	 0.028367521680724934	 1.5158170008061447	 583.8429468320767	 1.3754047388809976	 48.3679468405749	 0.0040299823746579875	 0.054638148101213396	 3.8828170847812364E-4	 0.004107929978612373	 324.31213059339495	 2.203451201770539E-5	 1.8358996167075443E-9	 8.061834238600617E-8	 
-49.000000000000014	 0.006748861460322781	 1.3740601738871286E-4	 5.929343296374877	 36.135817606281705	 0.00301081020716405	 1.4656950680156773	 88.42530830000658	 0.007367532781519439	 1.5268682999784238	 592.4327896378185	 1.3744631994571734	 52.28949069372487	 0.004356722574355389	 0.06117323196274648	 3.8828170847812364E-4	 0.0041378794798702925	 337.1478382367753	 2.2480339982299527E-5	 1.873045680512279E-9	 8.34279109067746E-8	 
-47.5	 0.0068738403762546845	 1.3212955113263888E-4	 6.258088095921164	 275.3209687900328	 0.0229395441417998	 1.500104384228377	 331.79080125000417	 0.02764456977093542	 1.568335154634827	 601.27196411082	 1.3734871833623483	 56.4698324599714	 0.004705025629135622	 0.06823077040644991	 3.8828170847812364E-4	 0.0042502564589325465	 350.76482997625504	 2.2930902628635615E-5	 1.9105862345779414E-9	 8.629379025864151E-8	 
-46.0	 0.006998819292186588	 1.26953330335195E-4	 6.61059791778316	 -583.3550188933086	 -0.04860471857648048	 1.4271973063636563	 -522.4257393	 -0.043528135035091446	 1.5030429520821897	 610.2626584812748	 1.372487817372287	 60.92927959330861	 0.005076583541389034	 0.07584564571853346	 3.8828170847812364E-4	 0.004073311751165733	 365.18952541685974	 2.3386262336625543E-5	 1.9485264763537078E-9	 8.921657997317207E-8	 
-44.500000000000014	 0.007123798208118491	 1.2188269153209325E-4	 6.990741876084162	 -177.29626652856794	 -0.014772196793009484	 1.405039011174142	 -111.509753599987	 -0.009290912080506688	 1.4891065839614297	 619.5836444074051	 1.3714455790461235	 65.78651292858095	 0.005481284712502795	 0.08406757278728764	 3.8828170847812364E-4	 0.004035543587617099	 380.51623949099996	 2.384587388615226E-5	 1.986820978493462E-9	 9.219681144091226E-8	 
-43.0	 0.007248777124050395	 1.169228916024625E-4	 7.399855207474869	 897.0234740944737	 0.07473934757186475	 1.517148032531939	 967.9592699999823	 0.08064966682055623	 1.610081084192264	 629.158618074649	 1.3703693737711933	 70.93579590550857	 0.0059103192486914735	 0.09293305166032485	 3.8828170847812364E-4	 0.00436338974311054	 396.7816944242646	 2.431030878104589E-5	 2.0255173582832976E-9	 9.52350874783372E-8	 
-41.5	 0.007373756039982298	 1.1207909933665222E-4	 7.841098521188821	 -434.30275335733353	 -0.03618579153389356	 1.4628693452310988	 -357.7178573	 -0.029804793343224868	 1.5653738941774267	 639.0601177724124	 1.3692515838264092	 76.58489605733354	 0.006380998190668697	 0.10250454894632789	 3.8828170847812364E-4	 0.004242231314339918	 414.0611151653821	 2.4778181178659988E-5	 2.064500148315478E-9	 9.833183770081042E-8	 
-40.000000000000014	 0.007498734955914201	 1.0735638718086194E-4	 8.315157338013215	 -557.8399175889231	 -0.04647881877587061	 1.3931511170672928	 -475.1864690999974	 -0.03959219318241771	 1.5059856044038	 649.144491866162	 1.3681091613713525	 82.65344848892568	 0.006886625593452898	 0.11283448733650724	 3.8828170847812364E-4	 0.004081286466901306	 432.3756581478109	 2.524991845744699E-5	 2.1038049574537882E-9	 1.014875451369911E-7	 
