Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	 kappa [-]	dQw [J/s]	dQw [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Alpha [W/(m^2K)]
-165.0	 0.0	 4.854192605044447E-4	 0.4609603515638653	 0.0	 0.0	 20.66992574368528	 1.3185832007384015	 0.0	 0.0	 0.0	 0.0	 0.0501124667000128	 68.24986054677329	 
-164.91	 7.5483724237121845E-6	 4.853568409256051E-4	 0.46062810005396143	 -16446.424257000934	 -1.379374837002411	 20.50825451152518	 1.3186502595014093	 58.62410533588333	 0.004916850889802001	 4.4251658008218005E-4	 0.0	 0.0497205086282501	 68.23991702162391	 
-164.82	 1.5096744847424369E-5	 4.8529402454293403E-4	 0.4598130349320285	 -18273.80473	 -1.5326387077803698	 20.523806944730193	 1.3188001372430358	 56.128752805420994	 0.004707563665042197	 8.661973099359778E-4	 0.0	 0.049758214172080054	 68.20911928034275	 
-164.73	 2.2645117271136552E-5	 4.8523081133669907E-4	 0.4589828202774621	 -18273.80473	 -1.5326387077803698	 20.539359377935206	 1.3189527628336521	 53.67779809646623	 0.004502000121299512	 0.0012713773208529338	 0.0	 0.049795919715910006	 68.17764996480359	 
-164.64	 3.0193489694848738E-5	 4.851672012871617E-4	 0.4582673337376244	 -11337.287339800921	 -0.9508674123939393	 20.607271227724997	 1.3190858484307075	 51.42738027656643	 0.0043132557678154885	 0.0016595703399563278	 0.0	 0.0499605661860197	 68.15113699093597	 
-164.55	 3.7741862118560924E-5	 4.8510319437457966E-4	 0.45797295261653914	 -6712.942413	 -0.5630198821361904	 20.62334307800091	 1.3191467556484253	 50.62307196708421	 0.004245797782665953	 0.0020416921403962635	 0.0	 0.04999953101210309	 68.14288611217611	 
-164.46	 4.5290234542273104E-5	 4.8503879057920684E-4	 0.45771723929217656	 -6712.942413	 -0.5630198821361904	 20.639414928276825	 1.3192010944898436	 49.63212044139564	 0.004162685880779919	 0.002416333869666456	 0.0	 0.05003849583818648	 68.13633487446698	 
-164.37	 5.283860696598529E-5	 4.8497398988129584E-4	 0.457461931164787	 -6712.942413	 -0.5630198821361904	 20.65548677855274	 1.319255432310039	 48.74877146305735	 0.004088598691128774	 0.002784307751868046	 0.0	 0.05007746066426987	 68.1298246380498	 
-164.28	 6.0386979389697476E-5	 4.8490879226109835E-4	 0.45720702770131594	 -6712.942413	 -0.5630198821361904	 20.584812351591577	 1.3193097691242042	 47.86602489099835	 0.004014562025777033	 0.0031456183341879787	 0.0	 0.049906116562140446	 68.12335540093174	 
-164.19	 6.793535181340966E-5	 4.84843197698867E-4	 0.45696070048217774	 -5726.782319601074	 -0.48030984153199163	 20.60832810552187	 1.3193627011389035	 46.983880177189214	 0.0039405758387610285	 0.0035002701596764715	 0.0	 0.0499631284958247	 68.117282174483	 
-164.1	 7.548372423712185E-5	 4.8477720617485663E-4	 0.4569763386712498	 3148.6585209994437	 0.26408052390665104	 20.698838992341642	 1.3193706994466423	 46.87745194787204	 0.003931649617524559	 0.003854118625253682	 0.0	 0.05018256439791691	 68.12261555829978	 
-164.01	 8.303209666083403E-5	 4.847108176693253E-4	 0.45721317114252963	 3148.658521	 0.2640805239066977	 20.65557797087248	 1.3193407773884465	 47.3642215578132	 0.003972475376417681	 0.0042116414091312735	 0.0	 0.050077681752247784	 68.1375864301961	 
-163.92	 9.058046908454621E-5	 4.8464403216253615E-4	 0.4574505326737865	 3148.658521	 0.2640805239066977	 20.659342580455178	 1.3193108448086515	 47.851355485546186	 0.004013331690937173	 0.004572841261315619	 0.0	 0.050086808726127176	 68.15260723866469	 
-163.83	 9.81288415082584E-5	 4.8457684963475834E-4	 0.4576884241950283	 3148.658521	 0.2640805239066977	 20.663107190037877	 1.3192809016934077	 48.338864080563944	 0.004054219429103337	 0.004937721009934919	 0.0	 0.05009593570000657	 68.16767803993385	 
-163.74	 1.0567721393197058E-4	 4.845092700662682E-4	 0.45792684663979355	 3148.658521	 0.2640805239066977	 20.6493469403596	 1.3192509480288173	 48.82674793735251	 0.004095138640776194	 0.005306283487604776	 0.0	 0.05006257515181992	 68.18279889049522	 
-163.65	 1.1322558635568277E-4	 4.8444129343735135E-4	 0.45816580094516024	 3148.658521	 0.2640805239066977	 20.6531115499423	 1.3192209838009321	 49.31500765226358	 0.004136089375972242	 0.005678531531442278	 0.0	 0.050071702125699315	 68.19796984710423	 
-163.56	 1.2077395877939495E-4	 4.8437291972830345E-4	 0.4584052880517556	 3148.658521	 0.2640805239066977	 20.656876159524998	 1.319191008995756	 49.803643823521824	 0.004177071684865064	 0.006054467983080134	 0.0	 0.05008082909957871	 68.2131909667806	 
-163.47	 1.2832233120310714E-4	 4.843041489194316E-4	 0.45864530890376554	 3148.658521	 0.2640805239066977	 20.660640769107697	 1.3191610235992426	 50.2926570512289	 0.004218085617785671	 0.006434095688680844	 0.0	 0.0500899560734581	 68.22846230680872	 
-163.38	 1.358707036268193E-4	 4.8423498099105624E-4	 0.4589038869942932	 5322.366436800723	 0.44639115600486506	 20.68081333557923	 1.319127939461264	 50.782047937369406	 0.004259131225222994	 0.006817417498950914	 0.0	 0.05013886273515074	 68.2445652478545	 
-163.29	 1.434190760505315E-4	 4.8416541592351205E-4	 0.4594873754326209	 14017.1981	 1.1756336843972315	 20.729425689151178	 1.3190392922036678	 52.30347462392404	 0.004386734505728425	 0.007212223604466472	 0.0	 0.05025671922770866	 68.27477319368059	 
-163.2	 1.509674484742437E-4	 4.8409545369714906E-4	 0.4602695103704363	 14017.1981	 1.1756336843972315	 20.768204452126163	 1.3189167884582735	 54.278939023578616	 0.0045524182945992885	 0.007621941250980408	 0.0	 0.05035073502110576	 68.31359138578775	 
-163.11	 1.5851582089795586E-4	 4.840250942923354E-4	 0.46070897663667054	 217.4367317009801	 0.01823659366081981	 20.645702010225417	 1.3188530625443187	 55.321333985564934	 0.0046398447988845555	 0.008039527282880017	 0.0	 0.050053738330525156	 68.33758904603924	 
-163.02	 1.6606419332166806E-4	 4.839543376894571E-4	 0.4607423549626863	 -1315.870087	 -0.1103630830877617	 20.615766695178614	 1.3188588932593983	 55.19159594307253	 0.004628963564859488	 0.00845613400371737	 0.0	 0.049981162720092905	 68.34404839988419	 
-162.93	 1.7361256574538025E-4	 4.838831838689203E-4	 0.46097844004861527	 9254.368099900616	 0.7761712996019059	 20.752365751810956	 1.3188318964795094	 55.62391240694683	 0.004665222294573106	 0.00887600401022895	 1.8411791976370785E-4	 0.050312335447156645	 68.35942945705654	 
